#  South Carolina Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,8,-1
199702,6,3
199703,60,40
199704,10,-22
199705,94,-88
199706,251,-106
199707,471,14
199708,382,-39
199709,254,-7
199710,58,-7
199711,2,-4
199712,2,-1
199801,14,5
199802,4,1
199803,11,-9
199804,29,-3
199805,247,65
199806,449,92
199807,531,74
199808,444,23
199809,307,46
199810,90,25
199811,19,13
199812,11,8
199901,17,8
199902,5,2
199903,7,-13
199904,70,38
199905,136,-46
199906,309,-48
199907,489,32
199908,527,106
199909,213,-48
199910,53,-12
199911,16,10
199912,2,-1
200001,5,-4
200002,4,1
200003,35,15
200004,17,-15
200005,260,78
200006,399,42
200007,459,2
200008,424,3
200009,218,-43
200010,53,-12
200011,2,-4
200012,0,-3
200101,5,-4
200102,7,4
200103,11,-9
200104,45,13
200105,189,7
200106,354,-3
200107,412,-45
200108,459,38
200109,190,-71
200110,36,-29
200111,27,21
200112,13,10
200201,11,2
200202,2,-1
200203,25,5
200204,105,73
200205,140,-42
200206,382,25
200207,522,65
200208,452,31
200209,318,57
200210,108,43
200211,2,-4
200212,0,-3
200301,2,-7
200302,1,-2
200303,30,10
200304,22,-10
200305,176,-6
200306,323,-34
200307,430,-27
200308,450,29
200309,220,-41
200310,60,-5
200311,24,18
200312,0,-3
200401,3,-6
200402,0,-3
200403,30,10
200404,33,1
200405,283,101
200406,397,40
200407,469,12
200408,368,-53
200409,243,-18
200410,104,39
200411,14,8
200412,2,-1
200501,13,4
200502,2,-1
200503,11,-9
200504,17,-15
200505,117,-65
200506,332,-25
200507,508,51
200508,477,56
200509,360,99
200510,89,24
200511,11,5
200512,0,-3
200601,21,12
200602,1,-2
200603,18,-2
200604,80,48
200605,145,-37
200606,341,-16
200607,478,21
200608,494,73
200609,220,-41
200610,41,-24
200611,6,0
200612,10,7
200701,13,4
200702,1,-2
200703,40,20
200704,20,-12
200705,150,-32
200706,364,7
200707,413,-44
200708,588,167
200709,318,57
200710,144,79
200711,6,0
200712,12,9
200801,6,-3
200802,7,4
200803,18,-2
200804,27,-5
200805,149,-33
200806,448,91
200807,459,2
200808,436,15
200809,261,0
200810,38,-27
200811,1,-5
200812,10,7
200901,6,-3
200902,1,-2
200903,17,-3
200904,26,-6
200905,195,13
200906,418,61
200907,425,-32
200908,462,41
200909,262,1
200910,50,-15
200911,11,5
200912,2,-1
201001,2,-7
201002,0,-3
201003,10,-10
201004,58,26
201005,257,75
201006,497,140
201007,535,78
201008,512,91
201009,343,82
201010,77,12
201011,6,0
201012,0,-3
201101,2,-7
201102,6,3
201103,24,4
201104,67,35
201105,206,24
201106,469,112
201107,550,93
201108,505,84
201109,270,9
201110,36,-29
201111,9,3
201112,9,6
201201,15,6
201202,7,4
201203,92,72
201204,53,21
201205,244,62
201206,291,-66
201207,547,90
201208,398,-23
201209,254,-7
201210,67,2
201211,1,-5
201212,11,8
201301,20,11
201302,2,-1
201303,2,-18
201304,30,-2
201305,123,-59
201306,366,9
201307,425,-32
201308,379,-42
201309,254,-7
201310,75,10
201311,2,-4
201312,8,5
201401,2,-7
201402,2,-1
201403,5,-15
201404,42,10
201405,215,33
201406,397,40
201407,434,-23
201408,406,-15
201409,275,14
201410,85,20
201411,0,-6
201412,6,3
201501,5,-4
201502,0,-3
201503,26,6
201504,63,31
201505,213,31
201506,459,102
201507,529,72
201508,446,25
201509,273,12
201510,61,-4
201511,22,16
201512,47,44
201601,5,-4
201602,2,-1
201603,59,39
201604,40,8
201605,174,-8
201606,440,83
201607,577,120
201608,522,101
201609,363,102
201610,109,44
201611,11,5
201612,6,3
201701,24,15
201702,21,18
201703,22,2
201704,98,66
201705,207,25
201706,350,-7
201707,495,38
201708,444,23
201709,274,13
201710,106,41
201711,7,1
201712,4,1
201801,2,-7
201802,31,28
201803,10,-10
201804,14,-18
201805,273,91
201806,450,93
201807,468,11
201808,458,37
201809,426,165
201810,118,53
201811,3,-3
201812,5,2
201901,10,1
201902,12,9
201903,17,-3
201904,52,20
201905,319,137
201906,361,4
201907,504,47
201908,469,48
201909,399,138
201910,147,82
201911,2,-4
201912,8,5
202001,20,11
202002,7,4
202003,58,38
202004,30,-2
202005,127,-55
202006,330,-27
202007,519,62
202008,463,42
202009,246,-15
202010,126,61
202011,30,24
202012,1,-2
202101,8,-1
202102,2,-1
202103,34,14
202104,28,-4
202105,149,-33
202106,349,-8
202107,443,-14
202108,465,44
202109,252,-9
202110,114,49
202111,2,-4
202112,22,19
202201,5,-4
202202,9,6
202203,35,15
202204,32,0
202205,245,63
202206,414,57
202207,505,48
202208,433,12
202209,260,-1
202210,36,-29
202211,15,9
202212,2,-1
