#  South Carolina Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.70,0.65
199702,0.80,0.75
199703,0.10,0.11
199704,0.75,0.87
199705,0.47,0.65
199706,1.18,1.17
199707,1.58,1.53
199708,0.77,0.75
199709,1.19,1.19
199710,1.62,1.52
199711,2.35,2.29
199712,2.95,2.84
199801,3.90,3.85
199802,4.76,4.71
199803,4.51,4.52
199804,5.15,5.27
199805,-0.13,0.05
199806,-0.71,-0.72
199807,-1.32,-1.37
199808,-1.88,-1.90
199809,-1.50,-1.50
199810,-1.88,-1.98
199811,-2.49,-2.55
199812,-2.83,-2.94
199901,-2.28,-2.33
199902,-2.48,-2.53
199903,-2.69,-2.68
199904,-2.37,-2.25
199905,-2.46,-2.28
199906,-1.98,-1.99
199907,-2.33,-2.38
199908,-3.06,-3.08
199909,-2.00,-2.00
199910,-1.32,-1.42
199911,-1.46,-1.52
199912,-1.57,-1.68
200001,-0.62,-0.67
200002,-1.36,-1.41
200003,-1.47,-1.46
200004,-1.44,-1.32
200005,-2.36,-2.18
200006,-2.69,-2.70
200007,-2.80,-2.85
200008,-3.07,-3.09
200009,-1.77,-1.77
200010,-2.39,-2.49
200011,-1.87,-1.93
200012,-2.02,-2.13
200101,-2.34,-2.39
200102,-2.67,-2.72
200103,-1.75,-1.74
200104,-2.50,-2.38
200105,-2.80,-2.62
200106,-2.38,-2.39
200107,-2.18,-2.23
200108,-2.92,-2.94
200109,-2.80,-2.80
200110,-3.23,-3.33
200111,-3.92,-3.98
200112,-4.86,-4.97
200201,-4.93,-4.98
200202,-5.31,-5.36
200203,-4.82,-4.81
200204,-5.15,-5.03
200205,-4.70,-4.52
200206,-4.80,-4.81
200207,-5.30,-5.35
200208,-4.82,-4.84
200209,0.09,0.09
200210,0.44,0.34
200211,1.05,0.99
200212,1.55,1.44
200301,0.81,0.76
200302,0.86,0.81
200303,1.60,1.61
200304,2.43,2.55
200305,2.98,3.16
200306,3.52,3.51
200307,4.31,4.26
200308,0.01,-0.01
200309,-0.14,-0.14
200310,0.24,0.14
200311,-0.47,-0.53
200312,-0.64,-0.75
200401,-1.18,-1.23
200402,-0.55,-0.60
200403,-1.68,-1.67
200404,-2.10,-1.98
200405,-2.50,-2.32
200406,0.35,0.34
200407,0.04,-0.01
200408,0.63,0.61
200409,1.97,1.97
200410,-0.38,-0.48
200411,-0.27,-0.33
200412,-0.50,-0.61
200501,-1.07,-1.12
200502,-0.02,-0.07
200503,0.18,0.19
200504,0.01,0.13
200505,0.24,0.42
200506,1.21,1.20
200507,1.27,1.22
200508,-0.04,-0.06
200509,-1.20,-1.20
200510,0.33,0.23
200511,0.37,0.31
200512,0.65,0.54
200601,-0.26,-0.31
200602,-0.50,-0.55
200603,-1.44,-1.43
200604,-1.80,-1.68
200605,-1.97,-1.79
200606,-1.00,-1.01
200607,-1.61,-1.66
200608,-1.75,-1.77
200609,0.08,0.08
200610,0.12,0.02
200611,0.88,0.82
200612,0.91,0.80
200701,-0.07,-0.12
200702,-0.44,-0.49
200703,-1.13,-1.12
200704,-1.26,-1.14
200705,-1.86,-1.68
200706,-1.70,-1.71
200707,-2.02,-2.07
200708,-3.01,-3.03
200709,-3.63,-3.63
200710,-3.73,-3.83
200711,-4.36,-4.42
200712,-4.05,-4.16
200801,-4.02,-4.07
200802,-3.66,-3.71
200803,-3.61,-3.60
200804,-3.29,-3.17
200805,-3.19,-3.01
200806,-3.81,-3.82
200807,-3.89,-3.94
200808,0.36,0.34
200809,0.22,0.22
200810,0.71,0.61
200811,1.24,1.18
200812,-0.13,-0.24
200901,-0.65,-0.70
200902,-1.18,-1.23
200903,0.20,0.21
200904,0.21,0.33
200905,0.93,1.11
200906,-0.13,-0.14
200907,-0.40,-0.45
200908,-1.02,-1.04
200909,-1.44,-1.44
200910,0.49,0.39
200911,1.08,1.02
200912,2.74,2.63
201001,2.99,2.94
201002,-0.04,-0.09
201003,-0.40,-0.39
201004,-1.21,-1.09
201005,-1.40,-1.22
201006,-1.74,-1.75
201007,-2.08,-2.13
201008,-2.02,-2.04
201009,-1.88,-1.88
201010,-2.33,-2.43
201011,-2.83,-2.89
201012,-3.37,-3.48
201101,-3.87,-3.92
201102,-3.90,-3.95
201103,-3.39,-3.38
201104,-3.36,-3.24
201105,-3.32,-3.14
201106,-3.92,-3.93
201107,-4.44,-4.49
201108,-4.75,-4.77
201109,-4.48,-4.48
201110,-4.35,-4.45
201111,-4.14,-4.20
201112,-4.68,-4.79
201201,-5.06,-5.11
201202,-5.35,-5.40
201203,-5.41,-5.40
201204,-5.25,-5.13
201205,0.63,0.81
201206,0.71,0.70
201207,0.58,0.53
201208,1.34,1.32
201209,-0.29,-0.29
201210,-0.60,-0.70
201211,-0.92,-0.98
201212,-0.69,-0.80
201301,-1.14,-1.19
201302,0.82,0.77
201303,0.57,0.58
201304,0.99,1.11
201305,1.01,1.19
201306,2.12,2.11
201307,3.69,3.64
201308,4.02,4.00
201309,-0.38,-0.38
201310,-0.87,-0.97
201311,0.19,0.13
201312,0.78,0.67
201401,0.63,0.58
201402,0.38,0.33
201403,0.43,0.44
201404,0.64,0.76
201405,0.63,0.81
201406,-0.34,-0.35
201407,-0.57,-0.62
201408,-0.86,-0.88
201409,-0.49,-0.49
201410,-0.87,-0.97
201411,0.63,0.57
201412,0.77,0.66
201501,0.69,0.64
201502,0.83,0.78
201503,-0.47,-0.46
201504,-0.16,-0.04
201505,-0.95,-0.77
201506,-1.41,-1.42
201507,-2.24,-2.29
201508,-2.14,-2.16
201509,-2.09,-2.09
201510,2.77,2.67
201511,4.16,4.10
201512,4.65,4.54
201601,-0.24,-0.29
201602,0.27,0.22
201603,-0.93,-0.92
201604,-1.23,-1.11
201605,-0.37,-0.19
201606,-0.65,-0.66
201607,-1.38,-1.43
201608,-2.09,-2.11
201609,0.47,0.47
201610,1.12,1.02
201611,-0.54,-0.60
201612,-0.34,-0.45
201701,-0.03,-0.08
201702,-1.07,-1.12
201703,-1.66,-1.65
201704,0.52,0.64
201705,0.98,1.16
201706,1.00,0.99
201707,0.01,-0.04
201708,-0.18,-0.20
201709,0.19,0.19
201710,0.17,0.07
201711,-0.56,-0.62
201712,-0.64,-0.75
201801,-0.78,-0.83
201802,-1.52,-1.57
201803,-1.71,-1.70
201804,0.50,0.62
201805,1.21,1.39
201806,-0.34,-0.35
201807,-0.22,-0.27
201808,-0.62,-0.64
201809,0.26,0.26
201810,0.62,0.52
201811,1.77,1.71
201812,3.25,3.14
201901,-0.05,-0.10
201902,-0.64,-0.69
201903,-1.17,-1.16
201904,-0.92,-0.80
201905,-1.66,-1.48
201906,-1.18,-1.19
201907,-1.71,-1.76
201908,-1.95,-1.97
201909,-2.76,-2.76
201910,-2.53,-2.63
201911,0.20,0.14
201912,1.19,1.08
202001,1.11,1.06
202002,2.03,1.98
202003,1.52,1.53
202004,2.00,2.12
202005,3.06,3.24
202006,2.86,2.85
202007,2.28,2.23
202008,2.46,2.44
202009,3.08,3.08
202010,2.73,2.63
202011,3.05,2.99
202012,2.70,2.59
202101,2.76,2.71
202102,3.31,3.26
202103,-0.49,-0.48
202104,-1.05,-0.93
202105,-1.32,-1.14
202106,0.49,0.48
202107,0.89,0.84
202108,0.91,0.89
202109,0.92,0.92
202110,-0.14,-0.24
202111,-0.71,-0.77
202112,-1.13,-1.24
202201,-0.85,-0.90
202202,-1.46,-1.51
202203,-1.70,-1.69
202204,-1.30,-1.18
202205,-1.39,-1.21
202206,-1.68,-1.69
202207,-1.50,-1.55
202208,-1.41,-1.43
202209,-1.51,-1.51
202210,-1.49,-1.59
202211,0.13,0.07
202212,0.04,-0.07
