#  South Carolina Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.70,0.53
199702,0.80,0.58
199703,0.10,-0.04
199704,0.75,0.64
199705,0.47,0.35
199706,1.18,1.02
199707,1.58,1.47
199708,0.77,0.67
199709,1.19,1.04
199710,1.62,1.49
199711,2.35,2.21
199712,2.95,2.83
199801,3.90,3.73
199802,4.76,4.54
199803,4.51,4.37
199804,5.15,5.04
199805,4.49,4.37
199806,3.44,3.28
199807,2.40,2.29
199808,1.46,1.36
199809,1.49,1.34
199810,0.80,0.67
199811,-2.49,-2.63
199812,-2.83,-2.95
199901,-2.28,-2.45
199902,-2.48,-2.70
199903,-2.69,-2.83
199904,-2.37,-2.48
199905,-2.46,-2.58
199906,-1.98,-2.14
199907,-2.33,-2.44
199908,-3.06,-3.16
199909,-2.00,-2.15
199910,-1.32,-1.45
199911,-1.46,-1.60
199912,-1.57,-1.69
200001,-0.62,-0.79
200002,-1.36,-1.58
200003,-1.47,-1.61
200004,-1.44,-1.55
200005,-2.36,-2.48
200006,-2.69,-2.85
200007,-2.80,-2.91
200008,-3.07,-3.17
200009,-1.77,-1.92
200010,-2.39,-2.52
200011,-1.87,-2.01
200012,-2.02,-2.14
200101,-2.34,-2.51
200102,-2.67,-2.89
200103,-1.75,-1.89
200104,-2.50,-2.61
200105,-2.80,-2.92
200106,-2.38,-2.54
200107,-2.18,-2.29
200108,-2.92,-3.02
200109,-2.80,-2.95
200110,-3.23,-3.36
200111,-3.92,-4.06
200112,-4.86,-4.98
200201,-4.93,-5.10
200202,-5.31,-5.53
200203,-4.82,-4.96
200204,-5.15,-5.26
200205,-4.70,-4.82
200206,-4.80,-4.96
200207,-5.30,-5.41
200208,-4.82,-4.92
200209,-4.24,-4.39
200210,-3.44,-3.57
200211,-2.42,-2.56
200212,-1.57,-1.69
200301,-1.99,-2.16
200302,-1.66,-1.88
200303,-0.65,-0.79
200304,2.43,2.32
200305,2.98,2.86
200306,3.52,3.36
200307,4.31,4.20
200308,3.88,3.78
200309,3.35,3.20
200310,3.24,3.11
200311,2.44,2.30
200312,1.97,1.85
200401,1.16,0.99
200402,1.55,1.33
200403,-1.68,-1.82
200404,-2.10,-2.21
200405,-2.50,-2.62
200406,-1.89,-2.05
200407,-1.96,-2.07
200408,-1.17,-1.27
200409,1.97,1.82
200410,1.39,1.26
200411,1.32,1.18
200412,0.92,0.80
200501,-1.07,-1.24
200502,-0.98,-1.20
200503,-0.70,-0.84
200504,-0.78,-0.89
200505,0.24,0.12
200506,1.21,1.05
200507,1.27,1.16
200508,1.11,1.01
200509,-1.20,-1.35
200510,-0.75,-0.88
200511,-0.60,-0.74
200512,0.65,0.53
200601,-0.26,-0.43
200602,-0.50,-0.72
200603,-1.44,-1.58
200604,-1.80,-1.91
200605,-1.97,-2.09
200606,-1.00,-1.16
200607,-1.61,-1.72
200608,-1.75,-1.85
200609,-1.48,-1.63
200610,-1.28,-1.41
200611,0.88,0.74
200612,0.91,0.79
200701,-0.07,-0.24
200702,-0.44,-0.66
200703,-1.13,-1.27
200704,-1.26,-1.37
200705,-1.86,-1.98
200706,-1.70,-1.86
200707,-2.02,-2.13
200708,-3.01,-3.11
200709,-3.63,-3.78
200710,-3.73,-3.86
200711,-4.36,-4.50
200712,-4.05,-4.17
200801,-4.02,-4.19
200802,-3.66,-3.88
200803,-3.61,-3.75
200804,-3.29,-3.40
200805,-3.19,-3.31
200806,-3.81,-3.97
200807,-3.89,-4.00
200808,-3.13,-3.23
200809,-2.91,-3.06
200810,-2.09,-2.22
200811,-1.28,-1.42
200812,-1.28,-1.40
200901,-1.68,-1.85
200902,-2.10,-2.32
200903,-1.69,-1.83
200904,-1.48,-1.59
200905,-0.59,-0.71
200906,-0.66,-0.82
200907,-0.87,-0.98
200908,-1.44,-1.54
200909,-1.82,-1.97
200910,-1.14,-1.27
200911,1.08,0.94
200912,2.74,2.62
201001,2.99,2.82
201002,2.65,2.43
201003,2.01,1.87
201004,0.95,0.84
201005,-1.40,-1.52
201006,-1.74,-1.90
201007,-2.08,-2.19
201008,-2.02,-2.12
201009,-1.88,-2.03
201010,-2.33,-2.46
201011,-2.83,-2.97
201012,-3.37,-3.49
201101,-3.87,-4.04
201102,-3.90,-4.12
201103,-3.39,-3.53
201104,-3.36,-3.47
201105,-3.32,-3.44
201106,-3.92,-4.08
201107,-4.44,-4.55
201108,-4.75,-4.85
201109,-4.48,-4.63
201110,-4.35,-4.48
201111,-4.14,-4.28
201112,-4.68,-4.80
201201,-5.06,-5.23
201202,-5.35,-5.57
201203,-5.41,-5.55
201204,-5.25,-5.36
201205,-4.08,-4.20
201206,-3.51,-3.67
201207,-3.21,-3.32
201208,-2.06,-2.16
201209,-2.14,-2.29
201210,-2.26,-2.39
201211,-2.40,-2.54
201212,-2.02,-2.14
201301,-2.34,-2.51
201302,-1.28,-1.50
201303,-1.31,-1.45
201304,-0.70,-0.81
201305,1.01,0.89
201306,2.12,1.96
201307,3.69,3.58
201308,4.02,3.92
201309,3.23,3.08
201310,2.36,2.23
201311,2.31,2.17
201312,2.68,2.56
201401,2.33,2.16
201402,1.91,1.69
201403,1.80,1.66
201404,1.87,1.76
201405,1.74,1.62
201406,1.22,1.06
201407,0.82,0.71
201408,-0.86,-0.96
201409,-0.49,-0.64
201410,-0.87,-1.00
201411,0.63,0.49
201412,0.77,0.65
201501,0.69,0.52
201502,0.83,0.61
201503,-0.47,-0.61
201504,-0.16,-0.27
201505,-0.95,-1.07
201506,-1.41,-1.57
201507,-2.24,-2.35
201508,-2.14,-2.24
201509,-2.09,-2.24
201510,2.77,2.64
201511,4.16,4.02
201512,4.65,4.53
201601,3.93,3.76
201602,3.79,3.57
201603,2.47,2.33
201604,1.82,1.71
201605,2.37,2.25
201606,1.80,1.64
201607,0.83,0.72
201608,-2.09,-2.19
201609,-1.41,-1.56
201610,-0.55,-0.68
201611,-1.04,-1.18
201612,-0.79,-0.91
201701,-0.03,-0.20
201702,-1.07,-1.29
201703,-1.66,-1.80
201704,-0.97,-1.08
201705,0.98,0.86
201706,1.00,0.84
201707,0.91,0.80
201708,0.63,0.53
201709,0.76,0.61
201710,0.68,0.55
201711,-0.56,-0.70
201712,-0.64,-0.76
201801,-0.78,-0.95
201802,-1.52,-1.74
201803,-1.71,-1.85
201804,-1.03,-1.14
201805,1.21,1.09
201806,0.75,0.59
201807,0.76,0.65
201808,-0.62,-0.72
201809,0.26,0.11
201810,0.62,0.49
201811,1.77,1.63
201812,3.25,3.13
201901,2.87,2.70
201902,1.97,1.75
201903,1.18,1.04
201904,1.18,1.07
201905,-1.66,-1.78
201906,-1.18,-1.34
201907,-1.71,-1.82
201908,-1.95,-2.05
201909,-2.76,-2.91
201910,-2.53,-2.66
201911,-2.07,-2.21
201912,-0.85,-0.97
202001,-0.72,-0.89
202002,2.03,1.81
202003,1.52,1.38
202004,2.00,1.89
202005,3.06,2.94
202006,2.86,2.70
202007,2.28,2.17
202008,2.46,2.36
202009,3.08,2.93
202010,2.73,2.60
202011,3.05,2.91
202012,2.70,2.58
202101,2.76,2.59
202102,3.31,3.09
202103,2.48,2.34
202104,1.62,1.51
202105,1.07,0.95
