#  South Carolina Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,56.5,0.9
199702,61.7,3.2
199703,73.6,7.7
199704,72.1,-2.5
199705,79.4,-3.3
199706,82.6,-5.8
199707,90.8,0.2
199708,88.7,-0.5
199709,84.0,-0.5
199710,74.1,-1.3
199711,61.5,-3.9
199712,55.6,-1.2
199801,58.1,2.5
199802,59.6,1.1
199803,63.8,-2.1
199804,73.4,-1.2
199805,84.4,1.7
199806,92.2,3.8
199807,93.1,2.5
199808,90.5,1.3
199809,86.6,2.1
199810,78.4,3.0
199811,69.0,3.6
199812,62.3,5.5
199901,61.8,6.2
199902,62.3,3.8
199903,64.6,-1.3
199904,77.3,2.7
199905,80.9,-1.8
199906,85.6,-2.8
199907,91.1,0.5
199908,93.6,4.4
199909,83.8,-0.7
199910,73.6,-1.8
199911,70.4,5.0
199912,59.0,2.2
200001,54.0,-1.6
200002,63.4,4.9
200003,71.2,5.3
200004,73.0,-1.6
200005,86.7,4.0
200006,90.3,1.9
200007,90.8,0.2
200008,89.1,-0.1
200009,81.8,-2.7
200010,77.0,1.6
200011,64.2,-1.2
200012,49.0,-7.8
200101,55.2,-0.4
200102,63.1,4.6
200103,63.9,-2.0
200104,76.6,2.0
200105,84.2,1.5
200106,87.3,-1.1
200107,88.2,-2.4
200108,90.6,1.4
200109,82.1,-2.4
200110,75.3,-0.1
200111,73.1,7.7
200112,64.2,7.4
200201,59.0,3.4
200202,61.0,2.5
200203,69.0,3.1
200204,79.6,5.0
200205,81.2,-1.5
200206,89.4,1.0
200207,93.2,2.6
200208,90.8,1.6
200209,84.5,0.0
200210,74.8,-0.6
200211,63.2,-2.2
200212,55.0,-1.8
200301,53.0,-2.6
200302,57.6,-0.9
200303,67.4,1.5
200304,72.2,-2.4
200305,80.1,-2.6
200306,86.4,-2.0
200307,88.1,-2.5
200308,88.6,-0.6
200309,82.9,-1.6
200310,74.7,-0.7
200311,71.7,6.3
200312,55.9,-0.9
200401,55.1,-0.5
200402,54.4,-4.1
200403,70.7,4.8
200404,76.5,1.9
200405,86.0,3.3
200406,88.0,-0.4
200407,90.5,-0.1
200408,86.4,-2.8
200409,81.7,-2.8
200410,75.3,-0.1
200411,67.6,2.2
200412,58.0,1.2
200501,58.9,3.3
200502,59.1,0.6
200503,64.5,-1.4
200504,73.6,-1.0
200505,79.8,-2.9
200506,85.4,-3.0
200507,91.1,0.5
200508,89.6,0.4
200509,88.5,4.0
200510,75.9,0.5
