#  South Dakota Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.18,0.71
199702,0.79,0.25
199703,0.44,-0.61
199704,2.74,0.79
199705,2.92,0.00
199706,3.16,-0.27
199707,4.16,1.62
199708,2.02,-0.11
199709,1.45,-0.16
199710,1.82,0.54
199711,0.29,-0.37
199712,0.15,-0.33
199801,0.46,-0.01
199802,0.77,0.23
199803,1.70,0.65
199804,1.52,-0.43
199805,2.55,-0.37
199806,4.64,1.21
199807,2.80,0.26
199808,2.94,0.81
199809,0.71,-0.90
199810,5.35,4.07
199811,1.26,0.60
199812,0.17,-0.31
199901,0.53,0.06
199902,0.28,-0.26
199903,0.69,-0.36
199904,3.05,1.10
199905,3.61,0.69
199906,4.72,1.29
199907,2.64,0.10
199908,2.66,0.53
199909,2.60,0.99
199910,0.44,-0.84
199911,0.21,-0.45
199912,0.18,-0.30
200001,0.38,-0.09
200002,0.72,0.18
200003,1.27,0.22
200004,2.63,0.68
200005,3.24,0.32
200006,2.70,-0.73
200007,2.52,-0.02
200008,1.46,-0.67
200009,0.61,-1.00
200010,1.31,0.03
200011,1.86,1.20
200012,0.42,-0.06
200101,0.82,0.35
200102,0.87,0.33
200103,0.46,-0.59
200104,3.84,1.89
200105,2.48,-0.44
200106,3.20,-0.23
200107,3.80,1.26
200108,0.70,-1.43
200109,1.80,0.19
200110,0.96,-0.32
200111,1.19,0.53
200112,0.06,-0.42
200201,0.28,-0.19
200202,0.18,-0.36
200203,0.95,-0.10
200204,1.29,-0.66
200205,1.64,-1.28
200206,1.55,-1.88
200207,1.79,-0.75
200208,3.27,1.14
200209,1.59,-0.02
200210,1.46,0.18
200211,0.06,-0.60
200212,0.24,-0.24
200301,0.45,-0.02
200302,0.63,0.09
200303,0.94,-0.11
200304,2.28,0.33
200305,2.79,-0.13
200306,3.61,0.18
200307,1.63,-0.91
200308,1.12,-1.01
200309,1.81,0.20
200310,0.84,-0.44
200311,0.74,0.08
200312,0.29,-0.19
200401,0.33,-0.14
200402,0.46,-0.08
200403,1.61,0.56
200404,0.88,-1.07
200405,3.70,0.78
200406,2.64,-0.79
200407,2.86,0.32
200408,1.78,-0.35
200409,3.88,2.27
200410,2.20,0.92
200411,0.36,-0.30
200412,0.09,-0.39
200501,0.37,-0.10
200502,0.39,-0.15
200503,0.69,-0.36
200504,2.07,0.12
200505,3.70,0.78
200506,5.04,1.61
200507,1.66,-0.88
200508,1.93,-0.20
200509,2.14,0.53
200510,0.90,-0.38
200511,1.07,0.41
200512,0.74,0.26
200601,0.30,-0.17
200602,0.29,-0.25
200603,1.35,0.30
200604,2.36,0.41
200605,1.20,-1.72
200606,1.77,-1.66
200607,0.75,-1.79
200608,3.05,0.92
200609,3.40,1.79
200610,0.38,-0.90
200611,0.35,-0.31
200612,0.73,0.25
200701,0.19,-0.28
200702,0.90,0.36
200703,2.13,1.08
200704,2.21,0.26
200705,4.53,1.61
200706,3.22,-0.21
200707,0.93,-1.61
200708,4.00,1.87
200709,1.49,-0.12
200710,2.68,1.40
200711,0.05,-0.61
200712,0.61,0.13
200801,0.22,-0.25
200802,0.38,-0.16
200803,0.90,-0.15
200804,1.72,-0.23
200805,4.06,1.14
200806,5.04,1.61
200807,2.96,0.42
200808,1.56,-0.57
200809,2.11,0.50
200810,2.86,1.58
200811,1.15,0.49
200812,0.71,0.23
200901,0.40,-0.07
200902,1.00,0.46
200903,1.75,0.70
200904,1.86,-0.09
200905,1.27,-1.65
200906,3.49,0.06
200907,3.45,0.91
200908,2.87,0.74
200909,1.30,-0.31
200910,3.94,2.66
200911,0.11,-0.55
200912,1.15,0.67
201001,0.61,0.14
201002,0.60,0.06
201003,1.19,0.14
201004,2.38,0.43
201005,3.69,0.77
201006,4.92,1.49
201007,3.73,1.19
201008,2.02,-0.11
201009,3.26,1.65
201010,1.00,-0.28
201011,0.33,-0.33
201012,0.95,0.47
201101,0.93,0.46
201102,1.13,0.59
201103,1.05,0.00
201104,2.29,0.34
201105,4.50,1.58
201106,4.52,1.09
201107,3.15,0.61
201108,2.32,0.19
201109,0.63,-0.98
201110,1.11,-0.17
201111,0.24,-0.42
201112,0.26,-0.22
201201,0.41,-0.06
201202,1.13,0.59
201203,0.37,-0.68
201204,3.06,1.11
201205,2.79,-0.13
201206,2.18,-1.25
201207,1.54,-1.00
201208,1.12,-1.01
201209,0.20,-1.41
201210,0.83,-0.45
201211,0.32,-0.34
201212,0.63,0.15
201301,0.45,-0.02
201302,0.70,0.16
201303,0.67,-0.38
201304,2.33,0.38
201305,4.82,1.90
201306,3.12,-0.31
201307,2.47,-0.07
201308,2.41,0.28
201309,1.91,0.30
201310,5.01,3.73
201311,0.30,-0.36
201312,0.75,0.27
201401,0.24,-0.23
201402,0.36,-0.18
201403,0.76,-0.29
201404,1.97,0.02
201405,2.42,-0.50
201406,5.89,2.46
201407,1.04,-1.50
201408,4.04,1.91
201409,1.61,0.00
201410,0.57,-0.71
201411,0.62,-0.04
201412,0.67,0.19
201501,0.27,-0.20
201502,0.34,-0.20
201503,0.24,-0.81
201504,0.87,-1.08
201505,5.72,2.80
201506,4.05,0.62
201507,3.02,0.48
201508,3.36,1.23
201509,1.33,-0.28
201510,1.44,0.16
201511,1.02,0.36
201512,1.12,0.64
201601,0.27,-0.20
201602,0.58,0.04
201603,1.04,-0.01
201604,3.76,1.81
201605,2.54,-0.38
201606,1.78,-1.65
201607,2.74,0.20
201608,2.61,0.48
201609,1.97,0.36
201610,1.23,-0.05
201611,0.91,0.25
201612,1.25,0.77
201701,0.68,0.21
201702,0.37,-0.17
201703,0.66,-0.39
201704,1.94,-0.01
201705,2.12,-0.80
201706,2.19,-1.24
201707,2.12,-0.42
201708,3.17,1.04
201709,2.49,0.88
201710,1.24,-0.04
201711,0.23,-0.43
201712,0.42,-0.06
201801,0.30,-0.17
201802,0.94,0.40
201803,1.53,0.48
201804,1.70,-0.25
201805,2.71,-0.21
201806,4.78,1.35
201807,3.40,0.86
201808,1.94,-0.19
201809,2.55,0.94
201810,1.70,0.42
201811,0.73,0.07
201812,0.97,0.49
201901,0.49,0.02
201902,1.01,0.47
201903,1.69,0.64
201904,2.64,0.69
201905,5.90,2.98
201906,2.63,-0.80
