#  South Dakota Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,7.52,6.58
199702,7.55,6.67
199703,7.07,6.34
199704,7.71,7.00
199705,7.54,6.75
199706,6.89,6.01
199707,8.01,7.00
199708,7.99,6.83
199709,7.31,6.15
199710,7.09,5.96
199711,6.22,5.19
199712,5.34,4.36
199801,4.89,3.95
199802,4.69,3.81
199803,4.94,4.21
199804,4.29,3.58
199805,3.66,2.87
199806,4.31,3.43
199807,4.57,3.56
199808,5.05,3.89
199809,3.85,2.69
199810,6.67,5.54
199811,6.77,5.74
199812,6.13,5.15
199901,5.96,5.02
199902,5.50,4.62
199903,5.02,4.29
199904,5.73,5.02
199905,6.01,5.22
199906,6.54,5.66
199907,6.95,5.94
199908,7.44,6.28
199909,7.86,6.70
199910,6.69,5.56
199911,5.28,4.25
199912,4.51,3.53
200001,4.04,3.10
200002,3.89,3.01
200003,3.31,2.58
200004,3.48,2.77
200005,3.43,2.64
200006,2.94,2.06
200007,2.95,1.94
200008,2.20,1.04
200009,1.20,0.04
200010,1.06,-0.07
200011,2.07,1.04
200012,1.88,0.90
200101,2.17,1.23
200102,2.43,1.55
200103,1.97,1.24
200104,3.07,2.36
200105,2.81,2.02
200106,2.71,1.83
200107,3.78,2.77
200108,-0.61,-1.77
200109,-0.40,-1.56
200110,-0.47,-1.60
200111,-0.35,-1.38
200112,-0.75,-1.73
200201,-0.88,-1.82
200202,-1.20,-2.08
200203,-1.30,-2.03
200204,-1.70,-2.41
200205,-2.05,-2.84
200206,-3.43,-4.31
200207,-4.35,-5.36
200208,-3.48,-4.64
200209,-3.35,-4.51
200210,-2.41,-3.54
200211,-2.71,-3.74
200212,-2.73,-3.71
200301,-2.51,-3.45
200302,-2.24,-3.12
200303,-2.24,-2.97
200304,-2.13,-2.84
200305,-1.88,-2.67
200306,-1.49,-2.37
200307,-2.02,-3.03
200308,-2.98,-4.14
200309,-2.58,-3.74
200310,-2.81,-3.94
200311,-2.43,-3.46
200312,-2.42,-3.40
200401,-2.35,-3.29
200402,-2.27,-3.15
200403,-2.18,-2.91
200404,-2.98,-3.69
200405,0.33,-0.46
200406,-0.29,-1.17
200407,-0.24,-1.25
200408,-0.41,-1.57
200409,1.52,0.36
200410,2.25,1.12
200411,-0.29,-1.32
200412,-0.62,-1.60
200501,-0.62,-1.56
200502,-0.69,-1.57
200503,-1.11,-1.84
200504,-1.24,-1.95
200505,0.65,-0.14
200506,1.43,0.55
200507,-0.23,-1.24
200508,-0.31,-1.47
200509,-0.07,-1.23
200510,-0.31,-1.44
200511,0.18,-0.85
200512,0.46,-0.52
200601,-0.13,-1.07
200602,-0.35,-1.23
200603,-0.10,-0.83
200604,-0.16,-0.87
200605,-1.19,-1.98
200606,-2.32,-3.20
200607,-3.86,-4.87
200608,0.15,-1.01
200609,1.50,0.34
200610,1.11,-0.02
200611,0.68,-0.35
200612,0.81,-0.17
200701,0.40,-0.54
200702,0.63,-0.25
200703,0.75,0.02
200704,0.94,0.23
200705,1.69,0.90
200706,-0.06,-0.94
200707,-0.86,-1.87
200708,1.17,0.01
200709,0.88,-0.28
200710,1.82,0.69
200711,-0.51,-1.54
200712,-0.30,-1.28
200801,-0.49,-1.43
200802,-0.59,-1.47
200803,-0.69,-1.42
200804,0.00,-0.71
200805,1.01,0.22
200806,2.13,1.25
200807,2.96,1.95
200808,2.91,1.75
200809,3.19,2.03
200810,4.29,3.16
200811,4.48,3.45
200812,4.52,3.54
200901,4.28,3.34
200902,4.66,3.78
200903,5.38,4.65
200904,5.46,4.75
200905,4.38,3.59
200906,4.37,3.49
200907,5.25,4.24
200908,6.05,4.89
200909,5.52,4.36
200910,7.56,6.43
200911,6.41,5.38
200912,6.81,5.83
201001,6.66,5.72
201002,6.54,5.66
201003,6.49,5.76
201004,6.36,5.65
201005,6.72,5.93
201006,7.26,6.38
201007,8.27,7.26
201008,8.42,7.26
201009,9.16,8.00
201010,8.19,7.06
201011,7.28,6.25
201012,7.20,6.22
201101,7.17,6.23
201102,7.34,6.46
201103,7.16,6.43
201104,7.24,6.53
201105,8.07,7.28
201106,8.31,7.43
201107,8.80,7.79
201108,8.85,7.69
201109,-0.37,-1.53
201110,-0.43,-1.56
201111,-0.72,-1.75
201112,-0.84,-1.82
201201,-0.77,-1.71
201202,-0.05,-0.93
201203,-1.65,-2.38
201204,-1.40,-2.11
201205,-1.45,-2.24
201206,-2.39,-3.27
201207,-3.43,-4.44
201208,-4.24,-5.40
201209,-5.05,-6.21
201210,-4.73,-5.86
201211,-4.69,-5.72
201212,-4.14,-5.12
201301,-3.81,-4.75
201302,-3.37,-4.25
201303,-3.51,-4.24
201304,0.53,-0.18
201305,1.74,0.95
201306,1.66,0.78
201307,2.00,0.99
201308,2.27,1.11
201309,2.19,1.03
201310,5.12,3.99
201311,4.68,3.65
201312,4.84,3.86
201401,4.49,3.55
201402,4.29,3.41
201403,4.29,3.56
201404,4.49,3.78
201405,4.20,3.41
201406,5.60,4.72
201407,5.17,4.16
201408,6.68,5.52
201409,6.39,5.23
201410,5.34,4.21
201411,4.93,3.90
201412,4.76,3.78
201501,4.23,3.29
201502,3.75,2.87
201503,2.43,1.70
201504,1.25,0.54
201505,2.89,2.10
201506,3.08,2.20
201507,3.67,2.66
201508,4.71,3.55
201509,4.13,2.97
201510,3.83,2.70
201511,3.68,2.65
201512,4.09,3.11
201601,3.62,2.68
201602,3.45,2.57
201603,2.77,2.04
201604,3.68,2.97
201605,3.42,2.63
201606,2.18,1.30
201607,2.20,1.19
201608,2.38,1.22
201609,2.39,1.23
201610,2.04,0.91
201611,1.57,0.54
201612,2.23,1.25
201701,2.29,1.35
201702,-0.09,-0.97
201703,-0.53,-1.26
201704,-0.58,-1.29
201705,-0.89,-1.68
201706,-1.70,-2.58
201707,-2.19,-3.20
201708,0.69,-0.47
201709,1.17,0.01
201710,1.09,-0.04
201711,-0.47,-1.50
201712,-0.54,-1.52
201801,-0.71,-1.65
201802,0.31,-0.57
201803,0.57,-0.16
201804,0.82,0.11
201805,0.38,-0.41
201806,0.89,0.01
201807,1.56,0.55
201808,1.52,0.36
201809,2.11,0.95
201810,2.58,1.45
201811,2.54,1.51
201812,2.94,1.96
201901,2.85,1.91
201902,3.25,2.37
201903,3.85,3.12
201904,4.40,3.69
201905,6.51,5.72
201906,5.76,4.88
201907,7.71,6.70
201908,9.15,7.99
201909,10.44,9.28
201910,10.75,9.62
201911,10.41,9.38
201912,10.39,9.41
202001,9.76,8.82
202002,9.19,8.31
202003,8.53,7.80
202004,7.71,7.00
202005,7.35,6.56
202006,6.53,5.65
202007,6.98,5.97
202008,6.58,5.42
202009,-0.46,-1.62
202010,-0.10,-1.23
202011,-0.50,-1.53
202012,-0.56,-1.54
202101,-0.65,-1.59
202102,-0.76,-1.64
202103,-1.13,-1.86
202104,-1.34,-2.05
202105,-1.50,-2.29
202106,-3.17,-4.05
202107,-3.55,-4.56
202108,-3.36,-4.52
202109,-0.02,-1.18
202110,1.50,0.37
202111,-0.47,-1.50
202112,-0.24,-1.22
202201,-0.44,-1.38
202202,-0.64,-1.52
202203,-1.20,-1.93
202204,0.65,-0.06
202205,1.09,0.30
202206,-0.55,-1.43
202207,-0.28,-1.29
202208,-0.55,-1.71
202209,-1.44,-2.60
202210,-1.85,-2.98
202211,-1.78,-2.81
202212,0.98,0.00
