#  South Dakota Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,7.52,6.56
199702,7.55,6.63
199703,7.07,6.27
199704,7.71,6.90
199705,7.54,6.61
199706,6.89,5.93
199707,8.01,6.93
199708,7.99,6.80
199709,7.31,6.12
199710,7.09,5.89
199711,6.22,5.09
199712,5.34,4.31
199801,4.89,3.93
199802,4.69,3.77
199803,4.94,4.14
199804,4.29,3.48
199805,3.66,2.73
199806,4.31,3.35
199807,4.57,3.49
199808,5.05,3.86
199809,3.85,2.66
199810,6.67,5.47
199811,6.77,5.64
199812,6.13,5.10
199901,5.96,5.00
199902,5.50,4.58
199903,5.02,4.22
199904,5.73,4.92
199905,6.01,5.08
199906,6.54,5.58
199907,6.95,5.87
199908,7.44,6.25
199909,7.86,6.67
199910,6.69,5.49
199911,5.28,4.15
199912,4.51,3.48
200001,4.04,3.08
200002,3.89,2.97
200003,3.31,2.51
200004,3.48,2.67
200005,3.43,2.50
200006,2.94,1.98
200007,2.95,1.87
200008,2.20,1.01
200009,1.20,0.01
200010,1.06,-0.14
200011,2.07,0.94
200012,1.88,0.85
200101,2.17,1.21
200102,2.43,1.51
200103,1.97,1.17
200104,3.07,2.26
200105,2.81,1.88
200106,2.71,1.75
200107,3.78,2.70
200108,2.78,1.59
200109,2.64,1.45
200110,2.26,1.06
200111,2.09,0.96
200112,1.44,0.41
200201,1.10,0.14
200202,0.57,-0.35
200203,-1.30,-2.10
200204,-1.70,-2.51
200205,-2.05,-2.98
200206,-3.43,-4.39
200207,-4.35,-5.43
200208,-3.48,-4.67
200209,-3.35,-4.54
200210,-2.41,-3.61
200211,-2.71,-3.84
200212,-2.73,-3.76
200301,-2.51,-3.47
200302,-2.24,-3.16
200303,-2.24,-3.04
200304,-2.13,-2.94
200305,-1.88,-2.81
200306,-1.49,-2.45
200307,-2.02,-3.10
200308,-2.98,-4.17
200309,-2.58,-3.77
200310,-2.81,-4.01
200311,-2.43,-3.56
200312,-2.42,-3.45
200401,-2.35,-3.31
200402,-2.27,-3.19
200403,-2.18,-2.98
200404,-2.98,-3.79
200405,-2.34,-3.27
200406,-2.39,-3.35
200407,-2.13,-3.21
200408,-2.10,-3.29
200409,1.52,0.33
200410,2.25,1.05
200411,1.74,0.61
200412,1.19,0.16
200501,1.01,0.05
200502,0.77,-0.15
200503,-1.11,-1.91
200504,-1.24,-2.05
200505,0.65,-0.28
200506,1.43,0.47
200507,1.06,-0.02
200508,0.85,-0.34
200509,0.97,-0.22
200510,0.61,-0.59
200511,0.73,-0.40
200512,0.96,-0.07
200601,0.73,-0.23
200602,-0.35,-1.27
200603,-0.10,-0.90
200604,-0.16,-0.97
200605,-1.19,-2.12
200606,-2.32,-3.28
200607,-3.86,-4.94
200608,-3.32,-4.51
200609,-1.61,-2.80
200610,-1.67,-2.87
200611,-1.82,-2.95
200612,-1.43,-2.46
200701,-1.62,-2.58
200702,-1.17,-2.09
200703,-0.87,-1.67
200704,0.94,0.13
200705,1.69,0.76
200706,1.45,0.49
200707,-0.86,-1.94
200708,1.17,-0.02
200709,0.88,-0.31
200710,1.82,0.62
200711,1.12,-0.01
200712,1.17,0.14
200801,0.83,-0.13
200802,0.59,-0.33
200803,-0.69,-1.49
200804,0.00,-0.81
200805,1.01,0.08
200806,2.13,1.17
200807,2.96,1.88
200808,2.91,1.72
200809,3.19,2.00
200810,4.29,3.09
200811,4.48,3.35
200812,4.52,3.49
200901,4.28,3.32
200902,4.66,3.74
200903,5.38,4.58
200904,5.46,4.65
200905,4.38,3.45
200906,4.37,3.41
200907,5.25,4.17
200908,6.05,4.86
200909,5.52,4.33
200910,7.56,6.36
200911,6.41,5.28
200912,6.81,5.78
201001,6.66,5.70
201002,6.54,5.62
201003,6.49,5.69
201004,6.36,5.55
