#  South Dakota Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,7.52,6.64
199702,7.55,6.67
199703,7.07,6.32
199704,7.71,6.96
199705,7.54,6.69
199706,6.89,6.03
199707,8.01,6.97
199708,7.99,6.91
199709,7.31,6.25
199710,7.09,6.02
199711,6.01,5.07
199712,4.81,3.93
199801,4.42,3.54
199802,4.50,3.62
199803,4.94,4.19
199804,4.07,3.32
199805,3.18,2.33
199806,4.31,3.45
199807,4.57,3.53
199808,5.05,3.97
199809,3.03,1.97
199810,6.67,5.60
199811,6.77,5.83
199812,6.13,5.25
199901,5.96,5.08
199902,5.50,4.62
199903,5.02,4.27
199904,5.73,4.98
199905,6.01,5.16
199906,6.54,5.68
199907,6.95,5.91
199908,7.44,6.36
199909,7.86,6.80
199910,6.26,5.19
199911,4.01,3.07
199912,2.98,2.10
200001,2.50,1.62
200002,2.62,1.74
200003,1.85,1.10
200004,2.49,1.74
200005,2.68,1.83
200006,2.03,1.17
200007,2.26,1.22
200008,1.07,-0.01
200009,-0.61,-1.67
200010,-0.65,-1.72
200011,1.22,0.28
200012,1.04,0.16
200101,1.56,0.68
200102,2.19,1.31
200103,1.44,0.69
200104,3.07,2.32
200105,2.81,1.96
200106,2.71,1.85
200107,3.78,2.74
200108,2.00,0.92
200109,1.99,0.93
200110,1.44,0.37
200111,1.32,0.38
200112,0.19,-0.69
200201,-0.33,-1.21
200202,-1.18,-2.06
200203,-1.30,-2.05
200204,-1.70,-2.45
200205,-2.05,-2.90
200206,-3.43,-4.29
200207,-4.35,-5.39
200208,-2.93,-4.01
200209,-3.02,-4.08
200210,-1.36,-2.43
200211,-2.24,-3.18
200212,-2.51,-3.39
200301,-2.30,-3.18
200302,-1.96,-2.84
200303,-2.16,-2.91
200304,-2.13,-2.88
200305,-1.76,-2.61
200306,-1.05,-1.91
200307,-2.02,-3.06
200308,-2.98,-4.06
200309,-2.41,-3.47
200310,-2.81,-3.88
200311,-2.27,-3.21
200312,-2.42,-3.30
200401,-2.35,-3.23
200402,-2.27,-3.15
200403,-2.18,-2.93
200404,-2.98,-3.73
200405,-1.87,-2.72
200406,-2.22,-3.08
200407,-1.88,-2.92
200408,-2.01,-3.09
200409,1.52,0.46
200410,2.25,1.18
200411,1.29,0.35
200412,0.21,-0.67
200501,-0.06,-0.94
200502,-0.45,-1.33
200503,-1.11,-1.86
200504,-1.24,-1.99
200505,0.65,-0.20
200506,1.43,0.57
200507,0.60,-0.44
200508,0.17,-0.91
200509,0.56,-0.50
200510,-0.22,-1.29
200511,0.15,-0.79
200512,0.65,-0.23
200601,0.14,-0.74
200602,-0.35,-1.23
200603,0.24,-0.51
200604,-0.16,-0.91
200605,-1.19,-2.04
200606,-2.32,-3.18
200607,-3.86,-4.90
200608,-3.08,-4.16
200609,0.27,-0.79
200610,-0.12,-1.19
200611,-0.62,-1.56
200612,-0.05,-0.93
200701,-0.58,-1.46
200702,0.09,-0.79
200703,0.50,-0.25
200704,0.94,0.19
200705,1.69,0.84
200706,1.28,0.42
200707,-0.86,-1.90
200708,1.17,0.09
200709,0.45,-0.61
200710,1.82,0.75
200711,0.31,-0.63
200712,0.55,-0.33
200801,-0.12,-1.00
200802,-0.54,-1.42
200803,-0.69,-1.44
200804,-0.62,-1.37
200805,1.01,0.16
200806,2.13,1.27
200807,2.96,1.92
200808,2.91,1.83
200809,3.19,2.13
200810,4.29,3.22
200811,4.48,3.54
200812,4.52,3.64
200901,4.28,3.40
200902,4.66,3.78
200903,5.38,4.63
200904,5.46,4.71
200905,3.74,2.89
200906,4.16,3.30
200907,5.25,4.21
200908,6.05,4.97
200909,5.52,4.46
200910,7.56,6.49
200911,5.97,5.03
200912,6.81,5.93
201001,6.66,5.78
201002,6.54,5.66
201003,6.49,5.74
201004,6.36,5.61
201005,6.72,5.87
201006,7.26,6.40
201007,8.27,7.23
201008,8.42,7.34
201009,9.16,8.10
201010,8.12,7.05
201011,7.08,6.14
201012,7.20,6.32
201101,7.17,6.29
201102,7.34,6.46
201103,7.16,6.41
201104,7.24,6.49
201105,8.07,7.22
201106,8.31,7.45
201107,8.80,7.76
201108,8.85,7.77
201109,7.13,6.07
201110,6.10,5.03
201111,4.66,3.72
201112,3.66,2.78
201201,3.10,2.22
201202,3.90,3.02
201203,0.23,-0.52
201204,0.21,-0.54
201205,-0.31,-1.16
201206,-2.35,-3.21
201207,-3.43,-4.47
201208,-4.24,-5.32
201209,-5.05,-6.11
201210,-4.73,-5.80
201211,-4.69,-5.63
201212,-4.01,-4.89
201301,-3.73,-4.61
201302,-3.17,-4.05
201303,-3.51,-4.26
201304,-1.93,-2.68
201305,1.11,0.26
201306,1.32,0.46
201307,2.00,0.96
201308,2.27,1.19
201309,2.19,1.13
201310,5.12,4.05
201311,4.68,3.74
201312,4.84,3.96
201401,4.49,3.61
201402,4.29,3.41
201403,4.29,3.54
201404,4.49,3.74
201405,4.20,3.35
201406,5.60,4.74
201407,5.17,4.13
201408,6.68,5.60
201409,6.39,5.33
201410,4.85,3.78
201411,4.55,3.61
201412,4.69,3.81
201501,4.05,3.17
201502,3.48,2.60
201503,1.07,0.32
201504,-1.09,-1.84
201505,2.38,1.53
201506,3.00,2.14
201507,3.67,2.63
201508,4.71,3.63
201509,3.97,2.91
201510,3.75,2.68
201511,3.68,2.74
201512,4.09,3.21
201601,3.51,2.63
201602,3.45,2.57
201603,2.31,1.56
201604,3.68,2.93
201605,3.42,2.57
201606,1.06,0.20
201607,1.34,0.30
201608,1.95,0.87
201609,2.17,1.11
201610,1.64,0.57
201611,0.82,-0.12
201612,2.23,1.35
201701,2.29,1.41
201702,1.78,0.90
201703,0.46,-0.29
201704,0.08,-0.67
201705,-0.84,-1.69
201706,-1.70,-2.56
201707,-2.19,-3.23
201708,-0.29,-1.37
201709,1.11,0.05
201710,1.09,0.02
201711,-0.47,-1.41
201712,-0.54,-1.42
201801,-0.71,-1.59
201802,-0.32,-1.20
201803,0.57,-0.18
201804,0.82,0.07
201805,0.38,-0.47
201806,0.89,0.03
201807,1.56,0.52
201808,1.52,0.44
201809,2.11,1.05
201810,2.58,1.51
201811,2.54,1.60
201812,2.94,2.06
201901,2.85,1.97
201902,3.25,2.37
201903,3.85,3.10
201904,4.40,3.65
201905,6.51,5.66
201906,5.62,4.76
201907,7.71,6.67
201908,9.15,8.07
201909,10.44,9.38
201910,10.75,9.68
201911,10.41,9.47
201912,10.39,9.51
202001,9.76,8.88
202002,9.19,8.31
202003,8.53,7.78
202004,7.71,6.96
202005,7.35,6.50
202006,6.41,5.55
202007,6.98,5.94
202008,6.58,5.50
202009,4.88,3.82
202010,4.93,3.86
202011,3.49,2.55
202012,2.77,1.89
202101,2.07,1.19
202102,1.36,0.48
202103,0.21,-0.54
202104,-0.54,-1.29
202105,-1.15,-2.00
202106,-3.17,-4.03
202107,-3.55,-4.59
202108,-3.36,-4.44
202109,-2.99,-4.05
202110,0.69,-0.38
202111,-0.27,-1.21
202112,0.26,-0.62
202201,-0.11,-0.99
202202,-0.49,-1.37
202203,-1.43,-2.18
202204,0.13,-0.62
202205,1.09,0.24
202206,-0.55,-1.41
202207,-0.28,-1.32
202208,-0.55,-1.63
202209,-1.44,-2.50
202210,-1.85,-2.92
202211,-1.78,-2.72
202212,0.89,0.01
