#  South Dakota Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,10.6,-4.4
199702,22.8,2.9
199703,31.9,1.1
199704,39.5,-5.2
199705,53.1,-2.9
199706,68.0,2.3
199707,71.4,-1.2
199708,69.4,-1.1
199709,63.1,2.9
199710,49.7,1.9
199711,30.0,-1.7
199712,28.0,8.3
199801,19.3,4.3
199802,32.7,12.8
199803,26.4,-4.4
199804,46.9,2.2
199805,59.3,3.3
199806,61.7,-4.0
199807,73.4,0.8
199808,72.2,1.7
199809,66.9,6.7
199810,48.4,0.6
199811,36.0,4.3
199812,25.6,5.9
199901,17.6,2.6
199902,32.9,13.0
199903,36.8,6.0
199904,44.7,0.0
199905,55.9,-0.1
199906,65.1,-0.6
199907,73.3,0.7
199908,71.0,0.5
199909,57.1,-3.1
199910,47.8,0.0
199911,42.4,10.7
199912,29.1,9.4
200001,21.1,6.1
200002,30.1,10.2
200003,39.3,8.5
200004,45.0,0.3
200005,58.1,2.1
200006,64.4,-1.3
200007,73.0,0.4
200008,73.2,2.7
200009,62.3,2.1
200010,50.1,2.3
200011,24.4,-7.3
200012,10.5,-9.2
200101,22.7,7.7
200102,12.4,-7.5
200103,29.8,-1.0
200104,46.1,1.4
200105,57.8,1.8
200106,66.0,0.3
200107,74.6,2.0
200108,73.4,2.9
200109,62.1,1.9
200110,47.5,-0.3
200111,40.8,9.1
200112,24.7,5.0
200201,24.1,9.1
200202,29.6,9.7
200203,22.2,-8.6
200204,44.5,-0.2
200205,52.4,-3.6
200206,70.4,4.7
200207,77.3,4.7
200208,70.4,-0.1
200209,62.7,2.5
200210,39.5,-8.3
200211,34.5,2.8
200212,27.3,7.6
200301,19.8,4.8
200302,18.8,-1.1
200303,32.1,1.3
200304,47.9,3.2
200305,55.0,-1.0
200306,63.9,-1.8
200307,74.4,1.8
200308,74.8,4.3
200309,60.0,-0.2
200310,51.8,4.0
200311,27.6,-4.1
200312,26.6,6.9
200401,16.1,1.1
200402,22.9,3.0
200403,38.4,7.6
200404,47.9,3.2
200405,55.6,-0.4
200406,62.1,-3.6
200407,70.8,-1.8
200408,66.1,-4.4
200409,63.0,2.8
200410,48.8,1.0
200411,36.6,4.9
200412,27.2,7.5
200501,16.8,1.8
200502,29.3,9.4
200503,34.9,4.1
200504,48.2,3.5
200505,54.0,-2.0
200506,67.9,2.2
200507,74.4,1.8
200508,71.0,0.5
200509,65.5,5.3
200510,49.2,1.4
200511,36.8,5.1
200512,20.1,0.4
200601,32.2,17.2
200602,23.3,3.4
200603,32.4,1.6
200604,50.2,5.5
200605,58.2,2.2
200606,69.1,3.4
200607,78.2,5.6
200608,72.2,1.7
200609,56.8,-3.4
200610,44.4,-3.4
200611,33.7,2.0
200612,27.0,7.3
200701,20.1,5.1
200702,15.2,-4.7
200703,40.2,9.4
200704,42.9,-1.8
200705,60.0,4.0
200706,68.2,2.5
200707,76.5,3.9
200708,71.4,0.9
200709,62.6,2.4
200710,50.2,2.4
200711,34.9,3.2
200712,19.4,-0.3
200801,16.2,1.2
200802,19.1,-0.8
200803,32.2,1.4
200804,42.1,-2.6
200805,53.0,-3.0
200806,63.8,-1.9
200807,72.7,0.1
200808,71.2,0.7
200809,60.3,0.1
200810,47.2,-0.6
200811,34.2,2.5
200812,14.1,-5.6
200901,16.7,1.7
200902,23.4,3.5
200903,30.0,-0.8
200904,42.3,-2.4
200905,55.8,-0.2
200906,63.2,-2.5
200907,67.9,-4.7
200908,67.4,-3.1
200909,63.0,2.8
200910,39.5,-8.3
200911,40.0,8.3
200912,13.5,-6.2
201001,14.8,-0.2
201002,14.6,-5.3
201003,36.3,5.5
201004,49.3,4.6
201005,54.2,-1.8
201006,65.9,0.2
201007,72.4,-0.2
201008,73.6,3.1
201009,59.1,-1.1
201010,51.6,3.8
201011,32.1,0.4
201012,17.7,-2.0
201101,13.0,-2.0
201102,16.3,-3.6
201103,27.3,-3.5
201104,43.1,-1.6
201105,53.0,-3.0
201106,64.7,-1.0
201107,75.9,3.3
201108,71.6,1.1
201109,59.9,-0.3
201110,51.3,3.5
201111,34.4,2.7
201112,26.8,7.1
201201,25.4,10.4
201202,25.7,5.8
201203,47.0,16.2
201204,50.2,5.5
201205,58.3,2.3
201206,70.4,4.7
201207,78.7,6.1
201208,71.0,0.5
201209,62.6,2.4
201210,45.6,-2.2
201211,34.9,3.2
201212,21.4,1.7
201301,19.4,4.4
201302,23.8,3.9
201303,28.1,-2.7
201304,36.9,-7.8
201305,55.9,-0.1
201306,65.3,-0.4
201307,71.8,-0.8
201308,71.6,1.1
201309,65.8,5.6
201310,44.3,-3.5
201311,32.1,0.4
201312,13.5,-6.2
201401,18.3,3.3
201402,13.9,-6.0
201403,29.4,-1.4
201404,43.4,-1.3
201405,55.6,-0.4
201406,64.2,-1.5
201407,69.5,-3.1
201408,69.3,-1.2
201409,60.5,0.3
201410,50.3,2.5
201411,25.6,-6.1
201412,24.2,4.5
201501,22.7,7.7
201502,19.5,-0.4
201503,39.0,8.2
201504,47.7,3.0
201505,53.8,-2.2
201506,67.6,1.9
201507,72.1,-0.5
201508,69.8,-0.7
201509,65.9,5.7
201510,51.6,3.8
201511,36.4,4.7
201512,24.3,4.6
201601,19.8,4.8
201602,31.2,11.3
201603,40.1,9.3
201604,46.3,1.6
201605,56.7,0.7
201606,70.7,5.0
201607,73.0,0.4
201608,71.0,0.5
201609,62.4,2.2
201610,51.6,3.8
201611,42.0,10.3
201612,15.4,-4.3
201701,16.5,1.5
201702,29.4,9.5
201703,35.5,4.7
201704,46.1,1.4
201705,56.0,0.0
201706,68.1,2.4
201707,76.0,3.4
201708,67.4,-3.1
201709,61.8,1.6
201710,48.0,0.2
201711,34.7,3.0
201712,21.7,2.0
201801,18.1,3.1
201802,11.6,-8.3
201803,30.4,-0.4
201804,36.7,-8.0
201805,62.1,6.1
201806,69.3,3.6
201807,72.2,-0.4
201808,69.9,-0.6
201809,61.5,1.3
201810,43.2,-4.6
201811,29.3,-2.4
201812,25.3,5.6
201901,18.0,3.0
201902,6.1,-13.8
201903,25.1,-5.7
201904,44.2,-0.5
201905,50.4,-5.6
201906,66.3,0.6
201907,72.1,-0.5
201908,68.2,-2.3
201909,63.1,2.9
201910,40.2,-7.6
201911,31.1,-0.6
201912,23.3,3.6
202001,20.1,5.1
202002,23.5,3.6
202003,36.4,5.6
202004,42.0,-2.7
202005,54.2,-1.8
202006,70.3,4.6
202007,73.5,0.9
202008,72.6,2.1
202009,60.4,0.2
202010,41.2,-6.6
202011,38.6,6.9
202012,28.3,8.6
202101,26.5,11.5
202102,12.8,-7.1
202103,39.4,8.6
202104,43.6,-1.1
202105,55.0,-1.0
202106,72.3,6.6
202107,75.3,2.7
202108,72.5,2.0
202109,65.0,4.8
202110,51.2,3.4
202111,38.2,6.5
202112,24.5,4.8
202201,19.1,4.1
202202,20.0,0.1
202203,33.4,2.6
202204,39.7,-5.0
202205,55.4,-0.6
202206,67.6,1.9
202207,74.6,2.0
202208,73.2,2.7
202209,65.4,5.2
202210,49.4,1.6
202211,29.2,-2.5
202212,15.1,-4.6
