#  South Dakota Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.2,-3.0
199702,13.6,4.8
199703,20.4,0.7
199704,28.3,-3.6
199705,40.6,-2.4
199706,55.7,2.7
199707,59.8,1.0
199708,57.5,1.0
199709,49.3,3.3
199710,35.8,1.6
199711,19.6,-1.0
199712,18.8,9.6
199801,9.2,5.0
199802,24.5,15.7
199803,17.8,-1.9
199804,34.0,2.1
199805,46.4,3.4
199806,50.6,-2.4
199807,61.2,2.4
199808,59.6,3.1
199809,52.0,6.0
199810,37.8,3.6
199811,27.3,6.7
199812,13.6,4.4
199901,7.0,2.8
199902,22.2,13.4
199903,25.0,5.3
199904,33.8,1.9
199905,44.2,1.2
199906,53.8,0.8
199907,60.7,1.9
199908,57.3,0.8
199909,43.6,-2.4
199910,33.4,-0.8
199911,28.4,7.8
199912,17.4,8.2
200001,9.8,5.6
200002,18.1,9.3
200003,26.2,6.5
200004,31.6,-0.3
200005,45.0,2.0
200006,51.4,-1.6
200007,60.1,1.3
200008,59.2,2.7
200009,46.6,0.6
200010,37.6,3.4
200011,15.5,-5.1
200012,0.7,-8.5
200101,12.6,8.4
200102,2.4,-6.4
200103,20.0,0.3
200104,34.2,2.3
200105,45.5,2.5
200106,53.9,0.9
200107,62.3,3.5
200108,59.0,2.5
200109,48.6,2.6
200110,34.0,-0.2
200111,27.3,6.7
200112,14.9,5.7
200201,13.4,9.2
200202,16.8,8.0
200203,11.7,-8.0
200204,31.0,-0.9
200205,38.6,-4.4
200206,56.1,3.1
200207,63.2,4.4
200208,57.0,0.5
200209,49.3,3.3
200210,29.3,-4.9
200211,23.0,2.4
200212,16.2,7.0
200301,8.8,4.6
200302,7.8,-1.0
200303,19.4,-0.3
200304,35.2,3.3
200305,43.1,0.1
200306,52.0,-1.0
200307,60.0,1.2
200308,60.4,3.9
200309,45.2,-0.8
200310,37.3,3.1
200311,17.6,-3.0
200312,17.7,8.5
200401,6.1,1.9
200402,12.5,3.7
200403,26.9,7.2
200404,32.9,1.0
200405,42.7,-0.3
200406,49.4,-3.6
200407,57.8,-1.0
200408,52.4,-4.1
200409,50.0,4.0
200410,36.6,2.4
200411,24.8,4.2
200412,16.3,7.1
200501,6.7,2.5
200502,17.0,8.2
200503,22.6,2.9
200504,35.1,3.2
200505,41.8,-1.2
200506,56.8,3.8
200507,60.4,1.6
200508,56.9,0.4
200509,50.6,4.6
200510,35.8,1.6
200511,24.9,4.3
200512,11.8,2.6
200601,23.0,18.8
200602,12.3,3.5
200603,22.2,2.5
200604,36.9,5.0
200605,44.1,1.1
200606,55.0,2.0
200607,62.8,4.0
200608,58.6,2.1
200609,44.9,-1.1
200610,31.7,-2.5
200611,21.3,0.7
200612,15.2,6.0
200701,9.4,5.2
200702,5.9,-2.9
200703,28.2,8.5
200704,31.1,-0.8
200705,47.2,4.2
200706,55.8,2.8
200707,62.6,3.8
200708,59.4,2.9
200709,48.3,2.3
200710,37.8,3.6
200711,22.6,2.0
200712,9.0,-0.2
200801,4.6,0.4
200802,7.2,-1.6
200803,20.4,0.7
200804,28.6,-3.3
200805,40.9,-2.1
200806,51.6,-1.4
200807,59.3,0.5
200808,57.9,1.4
200809,46.3,0.3
200810,35.0,0.8
200811,24.6,4.0
200812,3.5,-5.7
200901,5.6,1.4
200902,13.0,4.2
200903,18.3,-1.4
200904,31.0,-0.9
200905,41.8,-1.2
200906,51.8,-1.2
200907,55.4,-3.4
200908,54.2,-2.3
200909,50.0,4.0
200910,31.4,-2.8
200911,27.0,6.4
200912,5.3,-3.9
201001,6.5,2.3
201002,5.2,-3.6
201003,27.1,7.4
201004,36.9,5.0
201005,43.1,0.1
201006,54.7,1.7
201007,59.8,1.0
201008,60.0,3.5
201009,46.1,0.1
201010,38.0,3.8
201011,21.2,0.6
201012,8.6,-0.6
201101,3.3,-0.9
201102,6.0,-2.8
201103,18.2,-1.5
201104,32.7,0.8
201105,42.2,-0.8
201106,53.0,0.0
201107,64.1,5.3
201108,58.4,1.9
201109,45.0,-1.0
201110,38.0,3.8
201111,21.4,0.8
201112,15.9,6.7
201201,13.5,9.3
201202,13.9,5.1
201203,32.4,12.7
201204,36.8,4.9
201205,44.9,1.9
201206,56.5,3.5
201207,64.4,5.6
201208,55.3,-1.2
201209,45.4,-0.6
201210,32.9,-1.3
201211,22.9,2.3
201212,11.4,2.2
201301,9.2,5.0
201302,13.7,4.9
201303,16.3,-3.4
201304,25.5,-6.4
201305,43.2,0.2
201306,53.4,0.4
201307,59.1,0.3
201308,59.4,2.9
201309,52.2,6.2
201310,34.3,0.1
201311,20.0,-0.6
201312,2.9,-6.3
201401,6.4,2.2
201402,2.5,-6.3
201403,17.3,-2.4
201404,30.0,-1.9
201405,43.4,0.4
201406,52.8,-0.2
201407,56.5,-2.3
201408,58.0,1.5
201409,47.2,1.2
201410,36.5,2.3
201411,14.6,-6.0
201412,14.8,5.6
201501,12.2,8.0
201502,7.0,-1.8
201503,23.9,4.2
201504,33.3,1.4
201505,42.3,-0.7
201506,55.8,2.8
201507,59.0,0.2
201508,56.8,0.3
201509,52.2,6.2
201510,39.1,4.9
201511,25.0,4.4
201512,16.1,6.9
201601,11.0,6.8
201602,21.4,12.6
201603,26.8,7.1
201604,33.9,2.0
201605,43.1,0.1
201606,56.4,3.4
201607,59.4,0.6
201608,57.4,0.9
201609,49.6,3.6
201610,38.7,4.5
201611,29.8,9.2
201612,6.2,-3.0
201701,8.4,4.2
201702,18.9,10.1
201703,24.2,4.5
201704,33.2,1.3
201705,42.6,-0.4
201706,53.6,0.6
201707,61.0,2.2
201708,54.6,-1.9
201709,48.4,2.4
201710,34.5,0.3
201711,22.6,2.0
201712,11.7,2.5
201801,7.0,2.8
201802,-0.1,-8.9
201803,21.3,1.6
201804,24.7,-7.2
201805,49.0,6.0
201806,57.4,4.4
201807,59.8,1.0
201808,56.4,-0.1
201809,49.6,3.6
201810,31.8,-2.4
201811,19.6,-1.0
201812,15.6,6.4
