#  Tennessee Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,-2
199702,3,2
199703,20,9
199704,1,-15
199705,46,-68
199706,192,-79
199707,390,11
199708,290,-53
199709,163,-21
199710,21,-12
199711,0,-1
199712,0,0
199801,6,4
199802,1,0
199803,7,-4
199804,9,-7
199805,175,61
199806,327,56
199807,407,28
199808,357,14
199809,289,105
199810,53,20
199811,1,0
199812,0,0
199901,6,4
199902,2,1
199903,2,-9
199904,38,22
199905,105,-9
199906,285,14
199907,447,68
199908,373,30
199909,159,-25
199910,24,-9
199911,5,4
199912,0,0
200001,0,-2
200002,4,3
200003,19,8
200004,5,-11
200005,159,45
200006,278,7
200007,368,-11
200008,377,34
200009,167,-17
200010,49,16
200011,0,-1
200012,0,0
200101,0,-2
200102,1,0
200103,1,-10
200104,40,24
200105,125,11
200106,217,-54
200107,377,-2
200108,365,22
200109,125,-59
200110,15,-18
200111,5,4
200112,0,0
200201,0,-2
200202,0,-1
200203,9,-2
200204,33,17
200205,79,-35
200206,302,31
200207,430,51
200208,398,55
200209,258,74
200210,44,11
200211,0,-1
200212,0,0
200301,0,-2
200302,0,-1
200303,14,3
200304,21,5
200305,116,2
200306,182,-89
200307,349,-30
200308,379,36
200309,133,-51
200310,26,-7
200311,4,3
200312,0,0
200401,0,-2
200402,0,-1
200403,19,8
200404,11,-5
200405,189,75
200406,267,-4
200407,332,-47
200408,234,-109
200409,166,-18
200410,67,34
200411,5,4
200412,0,0
200501,8,6
200502,1,0
200503,5,-6
200504,14,-2
200505,68,-46
200506,274,3
200507,406,27
200508,432,89
200509,241,57
200510,31,-2
200511,1,0
200512,0,0
200601,12,10
200602,0,-1
200603,11,0
200604,59,43
200605,94,-20
200606,251,-20
200607,405,26
200608,440,97
200609,117,-67
200610,14,-19
200611,0,-1
200612,0,0
200701,0,-2
200702,0,-1
200703,40,29
200704,5,-11
200705,159,45
200706,309,38
200707,351,-28
200708,548,205
200709,253,69
200710,74,41
200711,0,-1
200712,0,0
200801,0,-2
200802,0,-1
200803,9,-2
200804,11,-5
200805,88,-26
200806,315,44
200807,366,-13
200808,321,-22
200809,204,20
200810,22,-11
200811,0,-1
200812,0,0
200901,0,-2
200902,0,-1
200903,13,2
200904,11,-5
200905,115,1
200906,320,49
200907,274,-105
200908,309,-34
200909,188,4
200910,14,-19
200911,1,0
200912,0,0
201001,0,-2
201002,0,-1
201003,6,-5
201004,34,18
201005,166,52
201006,402,131
201007,460,81
201008,462,119
201009,215,31
201010,32,-1
201011,0,-1
201012,0,0
201101,0,-2
201102,0,-1
201103,13,2
201104,35,19
201105,104,-10
201106,345,74
201107,467,88
201108,400,57
201109,136,-48
201110,17,-16
201111,1,0
201112,0,0
201201,6,4
201202,1,0
201203,70,59
201204,26,10
201205,198,84
201206,265,-6
201207,481,102
201208,331,-12
201209,155,-29
201210,16,-17
201211,0,-1
201212,4,4
201301,0,-2
201302,0,-1
201303,0,-11
201304,9,-7
201305,93,-21
201306,281,10
201307,306,-73
201308,303,-40
201309,191,7
201310,32,-1
201311,0,-1
201312,0,0
201401,0,-2
201402,0,-1
201403,0,-11
201404,16,0
201405,130,16
201406,297,26
201407,263,-116
201408,338,-5
201409,189,5
201410,39,6
201411,0,-1
201412,0,0
201501,0,-2
201502,0,-1
201503,10,-1
201504,26,10
201505,143,29
201506,330,59
201507,411,32
201508,287,-56
201509,197,13
201510,34,1
201511,6,5
201512,16,16
201601,0,-2
201602,0,-1
201603,24,13
201604,23,7
201605,95,-19
201606,346,75
201607,460,81
201608,436,93
201609,283,99
201610,92,59
201611,5,4
201612,0,0
201701,12,10
201702,10,9
201703,15,4
201704,56,40
201705,118,4
201706,247,-24
201707,409,30
201708,302,-41
201709,155,-29
201710,44,11
201711,0,-1
201712,0,0
201801,0,-2
201802,9,8
201803,8,-3
201804,0,-16
201805,243,129
201806,345,74
201807,408,29
201808,359,16
201809,304,120
201810,46,13
201811,0,-1
201812,0,0
201901,0,-2
201902,5,4
201903,4,-7
201904,20,4
201905,189,75
201906,258,-13
201907,398,19
201908,373,30
201909,348,164
201910,54,21
201911,0,-1
201912,2,2
202001,8,6
202002,0,-1
202003,28,17
202004,5,-11
202005,76,-38
202006,261,-10
202007,446,67
202008,355,12
202009,171,-13
202010,39,6
202011,2,1
202012,0,0
202101,0,-2
202102,0,-1
202103,24,13
202104,7,-9
202105,79,-35
202106,275,4
202107,376,-3
202108,381,38
202109,167,-17
202110,76,43
202111,0,-1
202112,14,14
202201,0,-2
202202,0,-1
202203,16,5
202204,8,-8
202205,164,50
202206,325,54
202207,472,93
202208,356,13
202209,162,-22
202210,16,-17
202211,0,-1
202212,0,0
