#  Tennessee Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,863,2
199702,562,-133
199703,394,-129
199704,360,123
199705,153,75
199706,10,7
199707,0,0
199708,0,0
199709,25,-1
199710,243,18
199711,631,104
199712,807,10
199801,701,-160
199802,576,-119
199803,521,-2
199804,253,16
199805,36,-42
199806,0,-3
199807,0,0
199808,0,0
199809,5,-21
199810,157,-68
199811,428,-99
199812,670,-127
199901,719,-142
199902,568,-127
199903,626,103
199904,145,-92
199905,78,0
199906,0,-3
199907,0,0
199908,0,0
199909,28,2
199910,230,5
199911,372,-155
199912,728,-69
200001,843,-18
200002,550,-145
200003,406,-117
200004,296,59
200005,41,-37
200006,0,-3
200007,0,0
200008,0,0
200009,25,-1
200010,168,-57
200011,541,14
200012,1061,264
200101,950,89
200102,568,-127
200103,631,108
200104,149,-88
200105,63,-15
200106,7,4
200107,0,0
200108,0,0
200109,45,19
200110,278,53
200111,368,-159
200112,637,-160
200201,764,-97
200202,684,-11
200203,522,-1
200204,155,-82
200205,103,25
200206,0,-3
200207,0,0
200208,0,0
200209,7,-19
200210,170,-55
200211,588,61
200212,789,-8
200301,1014,153
200302,740,45
200303,437,-86
200304,189,-48
200305,68,-10
200306,11,8
200307,0,0
200308,0,0
200309,38,12
200310,227,2
200311,372,-155
200312,810,13
200401,869,8
200402,714,19
200403,402,-121
200404,244,7
200405,29,-49
200406,2,-1
200407,0,0
200408,3,3
200409,25,-1
200410,134,-91
200411,365,-162
200412,813,16
200501,696,-165
200502,579,-116
200503,561,38
200504,227,-10
200505,119,41
200506,0,-3
200507,0,0
200508,0,0
200509,10,-16
200510,203,-22
200511,437,-90
200512,885,88
200601,630,-231
200602,740,45
200603,487,-36
200604,112,-125
200605,91,13
200606,3,0
200607,0,0
200608,0,0
200609,48,22
200610,287,62
200611,498,-29
200612,670,-127
200701,767,-94
200702,810,115
200703,306,-217
200704,297,60
200705,44,-34
200706,0,-3
200707,0,0
200708,0,0
200709,8,-18
200710,127,-98
200711,503,-24
200712,635,-162
200801,885,24
200802,635,-60
200803,511,-12
200804,241,4
200805,94,16
200806,0,-3
200807,0,0
200808,0,0
200809,15,-11
200810,240,15
200811,593,66
200812,758,-39
200901,919,58
200902,635,-60
200903,466,-57
200904,244,7
200905,69,-9
200906,0,-3
200907,0,0
200908,0,0
200909,19,-7
200910,283,58
200911,433,-94
200912,839,42
201001,994,133
201002,874,179
201003,556,33
201004,156,-81
201005,37,-41
201006,0,-3
201007,0,0
201008,0,0
201009,14,-12
201010,209,-16
201011,456,-71
201012,998,201
201101,960,99
201102,611,-84
201103,458,-65
201104,153,-84
201105,78,0
201106,0,-3
201107,0,0
201108,0,0
201109,37,11
201110,269,44
201111,422,-105
201112,685,-112
201201,704,-157
201202,573,-122
201203,229,-294
201204,174,-63
201205,27,-51
201206,2,-1
201207,0,0
201208,0,0
201209,30,4
201210,269,44
201211,575,48
201212,607,-190
201301,744,-117
201302,677,-18
201303,691,168
201304,254,17
201305,89,11
201306,0,-3
201307,0,0
201308,0,0
201309,19,-7
201310,200,-25
201311,605,78
201312,761,-36
201401,1083,222
201402,745,50
201403,618,95
201404,209,-28
201405,58,-20
201406,0,-3
201407,0,0
201408,0,0
201409,18,-8
201410,188,-37
201411,679,152
201412,686,-111
201501,895,34
201502,939,244
201503,505,-18
201504,173,-64
201505,48,-30
201506,0,-3
201507,0,0
201508,0,0
201509,17,-9
201510,197,-28
201511,354,-173
201512,441,-356
201601,933,72
201602,631,-64
201603,368,-155
201604,185,-52
201605,86,8
201606,0,-3
201607,0,0
201608,0,0
201609,5,-21
201610,107,-118
201611,375,-152
201612,747,-50
201701,633,-228
201702,461,-234
201703,446,-77
201704,113,-124
201705,66,-12
201706,3,0
201707,0,0
201708,0,0
201709,30,4
201710,172,-53
201711,455,-72
201712,788,-9
201801,996,135
201802,469,-226
201803,528,5
201804,363,126
201805,17,-61
201806,0,-3
201807,0,0
201808,0,0
201809,0,-26
201810,167,-58
201811,614,87
201812,690,-107
201901,793,-68
201902,515,-180
201903,564,41
201904,189,-48
201905,27,-51
201906,3,0
201907,0,0
201908,0,0
201909,0,-26
201910,153,-72
201911,623,96
201912,616,-181
202001,690,-171
202002,604,-91
202003,347,-176
202004,292,55
202005,108,30
202006,3,0
202007,0,0
202008,0,0
202009,23,-3
202010,180,-45
202011,395,-132
202012,790,-7
202101,784,-77
202102,767,72
202103,376,-147
202104,271,34
202105,103,25
202106,0,-3
202107,0,0
202108,0,0
202109,26,0
202110,125,-100
202111,583,56
202112,468,-329
202201,911,50
202202,645,-50
202203,429,-94
202204,258,21
202205,39,-39
202206,0,-3
202207,0,0
202208,0,0
202209,28,2
202210,283,58
202211,478,-49
202212,749,-48
