#  Tennessee Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,4.97,0.08
199702,4.76,0.31
199703,9.22,3.77
199704,4.17,-0.34
199705,5.33,0.89
199706,7.56,3.33
199707,2.60,-1.78
199708,3.73,-0.12
199709,4.60,1.20
199710,3.15,0.12
199711,3.01,-1.04
199712,3.41,-1.54
199801,5.53,0.64
199802,4.70,0.25
199803,4.58,-0.87
199804,8.40,3.89
199805,4.72,0.28
199806,8.09,3.86
199807,6.21,1.83
199808,2.87,-0.98
199809,1.13,-2.27
199810,2.45,-0.58
199811,1.96,-2.09
199812,6.93,1.98
199901,8.76,3.87
199902,3.30,-1.15
199903,4.59,-0.86
199904,4.01,-0.50
199905,4.23,-0.21
199906,5.64,1.41
199907,3.78,-0.60
199908,1.38,-2.47
199909,1.29,-2.11
199910,2.55,-0.48
199911,3.29,-0.76
199912,3.23,-1.72
200001,3.58,-1.31
200002,3.72,-0.73
200003,4.47,-0.98
200004,6.44,1.93
200005,4.59,0.15
200006,4.19,-0.04
200007,2.95,-1.43
200008,2.60,-1.25
200009,3.38,-0.02
200010,0.35,-2.68
200011,5.10,1.05
200012,3.65,-1.30
200101,3.71,-1.18
200102,6.93,2.48
200103,3.33,-2.12
200104,2.93,-1.58
200105,4.42,-0.02
200106,4.36,0.13
200107,4.84,0.46
200108,4.21,0.36
200109,3.57,0.17
200110,4.54,1.51
200111,5.68,1.63
200112,5.48,0.53
200201,6.65,1.76
200202,2.19,-2.26
200203,9.14,3.69
200204,2.43,-2.08
200205,5.55,1.11
200206,2.45,-1.78
200207,4.14,-0.24
200208,3.33,-0.52
200209,7.30,3.90
200210,5.23,2.20
200211,4.23,0.18
200212,6.58,1.63
200301,2.10,-2.79
200302,9.66,5.21
200303,2.54,-2.91
200304,5.14,0.63
200305,9.71,5.27
200306,5.15,0.92
200307,5.79,1.41
200308,4.41,0.56
200309,5.64,2.24
200310,2.03,-1.00
200311,5.77,1.72
200312,3.82,-1.13
200401,3.33,-1.56
200402,5.07,0.62
200403,4.80,-0.65
200404,4.92,0.41
200405,5.28,0.84
200406,5.83,1.60
200407,4.85,0.47
200408,4.14,0.29
200409,4.36,0.96
200410,5.29,2.26
200411,6.77,2.72
200412,6.61,1.66
200501,4.29,-0.60
200502,4.17,-0.28
200503,3.35,-2.10
200504,6.05,1.54
200505,1.62,-2.82
200506,4.22,-0.01
200507,5.35,0.97
200508,5.74,1.89
200509,2.63,-0.77
200510,0.62,-2.41
200511,3.66,-0.39
200512,2.98,-1.97
200601,6.37,1.48
200602,2.96,-1.49
200603,3.19,-2.26
200604,5.49,0.98
200605,4.13,-0.31
200606,3.38,-0.85
200607,3.65,-0.73
200608,4.09,0.24
200609,4.67,1.27
200610,3.65,0.62
200611,3.90,-0.15
200612,3.39,-1.56
200701,4.12,-0.77
200702,2.16,-2.29
200703,2.21,-3.24
200704,3.74,-0.77
200705,1.80,-2.64
200706,2.86,-1.37
200707,3.69,-0.69
200708,1.35,-2.50
200709,3.02,-0.38
200710,4.73,1.70
200711,3.57,-0.48
200712,4.47,-0.48
200801,3.45,-1.44
200802,4.01,-0.44
200803,6.52,1.07
200804,5.76,1.25
200805,4.99,0.55
200806,2.48,-1.75
200807,3.94,-0.44
200808,3.30,-0.55
200809,1.26,-2.14
200810,3.26,0.23
200811,2.67,-1.38
200812,8.13,3.18
200901,4.61,-0.28
200902,2.66,-1.79
200903,4.52,-0.93
200904,4.33,-0.18
200905,8.36,3.92
200906,3.66,-0.57
200907,6.96,2.58
200908,3.34,-0.51
200909,7.13,3.73
200910,6.81,3.78
200911,2.02,-2.03
200912,5.88,0.93
201001,5.30,0.41
201002,3.12,-1.33
201003,3.88,-1.57
201004,3.09,-1.42
201005,9.01,4.57
201006,3.33,-0.90
201007,4.34,-0.04
201008,4.37,0.52
201009,2.02,-1.38
201010,2.75,-0.28
201011,5.64,1.59
201012,2.80,-2.15
201101,3.18,-1.71
201102,4.21,-0.24
201103,6.96,1.51
201104,9.83,5.32
201105,5.02,0.58
201106,5.68,1.45
201107,3.17,-1.21
201108,1.58,-2.27
201109,6.56,3.16
201110,2.55,-0.48
201111,7.56,3.51
201112,6.29,1.34
201201,4.88,-0.01
201202,2.90,-1.55
201203,4.86,-0.59
201204,2.01,-2.50
201205,3.25,-1.19
201206,2.15,-2.08
201207,5.75,1.37
201208,3.58,-0.27
201209,5.81,2.41
201210,4.09,1.06
201211,1.70,-2.35
201212,5.91,0.96
201301,8.64,3.75
201302,3.01,-1.44
201303,4.97,-0.48
201304,7.88,3.37
201305,5.66,1.22
201306,5.83,1.60
201307,6.96,2.58
201308,4.25,0.40
201309,3.72,0.32
201310,1.85,-1.18
201311,3.71,-0.34
201312,6.79,1.84
201401,2.70,-2.19
201402,5.18,0.73
201403,3.93,-1.52
201404,5.81,1.30
201405,2.91,-1.53
201406,6.82,2.59
201407,4.13,-0.25
201408,5.00,1.15
201409,2.22,-1.18
201410,7.01,3.98
201411,3.23,-0.82
201412,4.59,-0.36
201501,2.81,-2.08
201502,4.56,0.11
201503,5.41,-0.04
201504,5.96,1.45
201505,3.68,-0.76
201506,4.76,0.53
201507,6.48,2.10
201508,4.53,0.68
201509,2.73,-0.67
201510,3.96,0.93
201511,6.38,2.33
201512,7.90,2.95
201601,2.76,-2.13
201602,5.79,1.34
201603,5.16,-0.29
201604,3.20,-1.31
201605,3.80,-0.64
201606,3.99,-0.24
201607,4.86,0.48
201608,5.03,1.18
201609,1.80,-1.60
201610,0.73,-2.30
201611,3.05,-1.00
201612,6.87,1.92
201701,4.24,-0.65
201702,2.38,-2.07
201703,5.77,0.32
201704,6.61,2.10
201705,5.95,1.51
201706,4.37,0.14
201707,5.36,0.98
201708,4.90,1.05
201709,4.31,0.91
201710,4.92,1.89
201711,2.78,-1.27
201712,4.63,-0.32
201801,2.55,-2.34
201802,10.73,6.28
201803,5.67,0.22
201804,5.97,1.46
201805,4.99,0.55
201806,5.74,1.51
201807,3.52,-0.86
201808,4.26,0.41
201809,7.29,3.89
201810,3.57,0.54
201811,5.51,1.46
201812,7.34,2.39
201901,5.78,0.89
201902,12.07,7.62
201903,4.26,-1.19
201904,5.84,1.33
201905,3.71,-0.73
201906,6.47,2.24
201907,6.13,1.75
201908,3.97,0.12
201909,0.50,-2.90
201910,7.28,4.25
201911,4.74,0.69
201912,6.17,1.22
202001,6.73,1.84
202002,9.18,4.73
202003,8.15,2.70
202004,6.56,2.05
202005,4.56,0.12
202006,3.88,-0.35
202007,4.76,0.38
202008,5.93,2.08
202009,4.37,0.97
202010,4.97,1.94
202011,1.98,-2.07
202012,4.66,-0.29
202101,3.32,-1.57
202102,5.05,0.60
202103,10.15,4.70
202104,2.82,-1.69
202105,4.27,-0.17
202106,4.52,0.29
202107,5.06,0.68
202108,7.13,3.28
202109,4.86,1.46
202110,5.30,2.27
202111,1.68,-2.37
202112,4.62,-0.33
202201,6.06,1.17
202202,8.56,4.11
202203,4.52,-0.93
202204,4.71,0.20
202205,4.46,0.02
202206,2.58,-1.65
202207,5.55,1.17
202208,4.28,0.43
202209,2.74,-0.66
202210,1.95,-1.08
202211,3.52,-0.53
202212,5.88,0.93
