#  Tennessee Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.37,3.52
199702,2.94,3.13
199703,3.70,3.82
199704,3.46,3.46
199705,3.64,3.62
199706,4.79,4.59
199707,3.68,3.55
199708,3.41,3.20
199709,3.48,3.33
199710,3.28,3.18
199711,2.71,2.81
199712,2.07,2.08
199801,1.95,2.10
199802,1.66,1.85
199803,1.21,1.33
199804,2.62,2.62
199805,2.29,2.27
199806,3.53,3.33
199807,3.94,3.81
199808,-0.08,-0.29
199809,-0.99,-1.14
199810,-1.28,-1.38
199811,-2.13,-2.03
199812,0.33,0.34
199901,1.28,1.43
199902,-0.53,-0.34
199903,-0.64,-0.52
199904,-0.91,-0.91
199905,-0.85,-0.87
199906,-0.12,-0.32
199907,-0.37,-0.50
199908,-1.21,-1.42
199909,-1.95,-2.10
199910,-2.06,-2.16
199911,-2.53,-2.43
199912,-2.94,-2.93
200001,-3.04,-2.89
200002,-3.15,-2.96
200003,-3.27,-3.15
200004,-2.06,-2.06
200005,-1.92,-1.94
200006,-1.61,-1.81
200007,-1.92,-2.05
200008,-2.26,-2.47
200009,-2.14,-2.29
200010,-3.09,-3.19
200011,-2.74,-2.64
200012,-2.76,-2.75
200101,-2.77,-2.62
200102,-1.87,-1.68
200103,-2.24,-2.12
200104,-2.74,-2.74
200105,-0.02,-0.04
200106,0.29,0.09
200107,0.52,0.39
200108,0.82,0.61
200109,0.96,0.81
200110,1.60,1.50
200111,1.98,2.08
200112,1.92,1.93
200201,2.16,2.31
200202,1.14,1.33
200203,2.22,2.34
200204,-0.89,-0.89
200205,-0.37,-0.39
200206,-0.91,-1.11
200207,-1.14,-1.27
200208,-1.36,-1.57
200209,1.14,0.99
200210,1.88,1.78
200211,1.97,2.07
200212,2.32,2.33
200301,1.36,1.51
200302,2.82,3.01
200303,1.50,1.62
200304,1.54,1.54
200305,3.14,3.12
200306,3.46,3.26
200307,3.80,3.67
200308,3.91,3.70
200309,4.57,4.42
200310,4.05,3.95
200311,4.20,4.30
200312,3.53,3.54
200401,2.73,2.88
200402,2.58,2.77
200403,1.97,2.09
200404,1.98,1.98
200405,1.88,1.86
200406,2.43,2.23
200407,2.54,2.41
200408,2.85,2.64
200409,3.09,2.94
200410,3.67,3.57
200411,4.18,4.28
200412,4.33,4.34
200501,-0.26,-0.11
200502,-0.48,-0.29
200503,-1.06,-0.94
200504,-0.35,-0.35
200505,-1.09,-1.11
200506,0.02,-0.18
200507,0.25,0.12
200508,0.91,0.70
200509,-0.36,-0.51
200510,-1.22,-1.32
200511,-1.53,-1.43
200512,-1.96,-1.95
200601,-1.48,-1.33
200602,-1.85,-1.66
200603,-2.42,-2.30
200604,-2.05,-2.05
200605,-1.86,-1.88
200606,-1.82,-2.02
200607,-1.97,-2.10
200608,-1.82,-2.03
200609,-1.13,-1.28
200610,-0.62,-0.72
200611,-0.57,-0.47
200612,-0.95,-0.94
200701,-1.11,-0.96
200702,-1.74,-1.55
200703,-2.89,-2.77
200704,-2.71,-2.71
200705,-3.42,-3.44
200706,-3.70,-3.90
200707,-3.80,-3.93
200708,-4.96,-5.17
200709,-4.96,-5.11
200710,-4.24,-4.34
200711,-4.18,-4.08
200712,-4.01,-4.00
200801,-3.99,-3.84
200802,-3.84,-3.65
200803,-3.11,-2.99
200804,-2.26,-2.26
200805,-1.75,-1.77
200806,-2.17,-2.37
200807,-2.23,-2.36
200808,-2.20,-2.41
200809,-2.91,-3.06
200810,-2.63,-2.73
200811,-2.94,-2.84
200812,-1.80,-1.79
200901,-1.68,-1.53
200902,-2.19,-2.00
200903,-2.32,-2.20
200904,0.00,0.00
200905,1.31,1.29
200906,1.01,0.81
200907,2.09,1.96
200908,2.04,1.83
200909,3.28,3.13
200910,4.70,4.60
200911,-0.55,-0.45
200912,0.38,0.39
201001,0.49,0.64
201002,-0.41,-0.22
201003,-0.83,-0.71
201004,-1.39,-1.39
201005,1.39,1.37
201006,-0.43,-0.63
201007,-0.67,-0.80
201008,-0.63,-0.84
201009,-1.23,-1.38
201010,-1.34,-1.44
201011,-1.00,-0.90
201012,-1.37,-1.36
201101,-1.67,-1.52
201102,-1.71,-1.52
201103,0.42,0.54
201104,2.23,2.23
201105,2.23,2.21
201106,2.55,2.35
201107,1.71,1.58
201108,0.60,0.39
201109,1.61,1.46
201110,1.47,1.37
201111,2.36,2.46
201112,2.53,2.54
201201,-0.09,0.06
201202,-0.74,-0.55
201203,-1.28,-1.16
201204,-2.15,-2.15
201205,-2.65,-2.67
201206,-3.12,-3.32
201207,-2.82,-2.95
201208,-2.70,-2.91
201209,0.79,0.64
201210,1.25,1.15
201211,0.53,0.63
201212,0.73,0.74
201301,1.62,1.77
201302,0.91,1.10
201303,0.83,0.95
201304,2.08,2.08
201305,2.35,2.33
201306,2.83,2.63
201307,3.77,3.64
201308,3.92,3.71
201309,3.80,3.65
201310,3.17,3.07
201311,2.85,2.95
201312,3.16,3.17
201401,2.27,2.42
201402,2.22,2.41
201403,1.61,1.73
201404,1.92,1.92
201405,1.18,1.16
201406,2.06,1.86
201407,2.05,1.92
201408,2.58,2.37
201409,2.03,1.88
201410,3.28,3.18
201411,2.98,3.08
201412,2.59,2.60
201501,1.76,1.91
201502,1.63,1.82
201503,1.44,1.56
201504,1.75,1.75
201505,1.24,1.22
201506,1.33,1.13
201507,1.98,1.85
201508,2.40,2.19
201509,2.03,1.88
201510,2.23,2.13
201511,2.68,2.78
201512,3.10,3.11
201601,-0.56,-0.41
201602,-0.21,-0.02
201603,-0.47,-0.35
201604,-0.95,-0.95
201605,-1.00,-1.02
201606,-0.99,-1.19
201607,-0.86,-0.99
201608,-0.36,-0.57
201609,-1.08,-1.23
201610,-2.13,-2.23
201611,-2.67,-2.57
201612,-2.03,-2.02
201701,-2.13,-1.98
201702,-2.84,-2.65
201703,0.02,0.14
201704,0.56,0.56
201705,1.00,0.98
201706,1.13,0.93
201707,1.42,1.29
201708,2.00,1.79
201709,2.31,2.16
201710,2.90,2.80
201711,2.31,2.41
201712,2.06,2.07
201801,1.24,1.39
201802,2.84,3.03
201803,2.63,2.75
201804,3.17,3.17
201805,2.73,2.71
201806,3.01,2.81
201807,2.41,2.28
201808,2.44,2.23
201809,3.40,3.25
201810,3.42,3.32
201811,3.78,3.88
201812,4.11,4.12
201901,3.90,4.05
201902,5.70,5.89
201903,4.78,4.90
201904,4.75,4.75
201905,3.83,3.81
201906,4.40,4.20
201907,4.69,4.56
201908,4.55,4.34
201909,2.92,2.77
201910,3.95,3.85
201911,4.00,4.10
201912,3.92,3.93
202001,3.93,4.08
202002,4.88,5.07
202003,5.03,5.15
202004,5.43,5.43
202005,5.03,5.01
202006,4.54,4.34
202007,4.15,4.02
202008,4.64,4.43
202009,4.62,4.47
202010,4.96,4.86
202011,3.85,3.95
202012,3.45,3.46
202101,2.62,2.77
202102,2.51,2.70
202103,3.59,3.71
202104,2.71,2.71
202105,2.50,2.48
202106,2.48,2.28
202107,2.57,2.44
202108,3.79,3.58
202109,4.18,4.03
202110,4.69,4.59
202111,3.67,3.77
202112,3.05,3.06
202201,3.08,3.23
202202,3.96,4.15
202203,-0.40,-0.28
202204,-0.20,-0.20
202205,-0.29,-0.31
202206,-0.84,-1.04
202207,-0.67,-0.80
202208,-0.43,-0.64
202209,-0.64,-0.79
202210,-0.92,-1.02
202211,-1.24,-1.14
202212,0.21,0.22
