#  Tennessee Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.33,3.32
199702,2.76,2.92
199703,3.70,3.83
199704,3.46,3.48
199705,3.64,3.68
199706,4.79,4.65
199707,2.92,2.87
199708,2.73,2.49
199709,3.21,3.05
199710,3.12,2.97
199711,2.23,2.25
199712,1.14,1.11
199801,1.09,1.08
199802,0.70,0.86
199803,-0.03,0.10
199804,2.62,2.64
199805,2.16,2.20
199806,3.53,3.39
199807,3.94,3.89
199808,3.31,3.07
199809,0.90,0.74
199810,-0.15,-0.30
199811,-2.13,-2.11
199812,-1.07,-1.10
199901,1.28,1.27
199902,-0.41,-0.25
199903,-0.64,-0.51
199904,-0.91,-0.89
199905,-0.85,-0.81
199906,0.64,0.50
199907,-0.37,-0.42
199908,-1.21,-1.45
199909,-1.95,-2.11
199910,-2.06,-2.21
199911,-2.53,-2.51
199912,-2.94,-2.97
200001,-3.04,-3.05
200002,-3.15,-2.99
200003,-3.27,-3.14
200004,-0.95,-0.93
200005,-0.86,-0.82
200006,-0.42,-0.56
200007,-1.25,-1.30
200008,-2.08,-2.32
200009,-2.03,-2.19
200010,-3.09,-3.24
200011,-2.64,-2.62
200012,-2.76,-2.79
200101,-2.77,-2.78
200102,-1.03,-0.87
200103,-2.06,-1.93
200104,-2.74,-2.72
200105,-2.44,-2.40
200106,-1.48,-1.62
200107,-0.63,-0.68
200108,0.32,0.08
200109,0.86,0.70
200110,1.60,1.45
200111,1.98,2.00
200112,1.92,1.89
200201,2.16,2.15
200202,-0.01,0.15
200203,2.22,2.35
200204,-0.16,-0.14
200205,0.70,0.74
200206,-0.75,-0.89
200207,-1.14,-1.19
200208,-1.36,-1.60
200209,1.14,0.98
200210,1.88,1.73
200211,1.97,1.99
200212,2.32,2.29
200301,0.33,0.32
200302,2.82,2.98
200303,0.15,0.28
200304,0.43,0.45
200305,3.14,3.18
200306,3.46,3.32
200307,3.80,3.75
200308,3.91,3.67
200309,4.57,4.41
200310,3.93,3.78
200311,4.20,4.22
200312,3.19,3.16
200401,1.86,1.85
200402,1.82,1.98
200403,0.78,0.91
200404,1.03,1.05
200405,1.01,1.05
200406,2.21,2.07
200407,2.54,2.49
200408,2.85,2.61
200409,3.09,2.93
200410,3.67,3.52
200411,4.18,4.20
200412,4.33,4.30
200501,3.27,3.26
200502,2.31,2.47
200503,0.63,0.76
200504,1.68,1.70
200505,-0.19,-0.15
200506,-0.25,-0.39
200507,0.13,0.08
200508,1.24,1.00
200509,0.36,0.20
200510,-1.22,-1.37
200511,-1.53,-1.51
200512,-1.96,-1.99
200601,-1.03,-1.04
200602,-1.85,-1.69
200603,-2.42,-2.29
200604,-1.83,-1.81
200605,-1.61,-1.57
200606,-1.68,-1.82
200607,-1.97,-2.02
200608,-1.82,-2.06
200609,-0.33,-0.49
200610,0.74,0.59
200611,0.71,0.73
200612,-0.23,-0.26
200701,-0.63,-0.64
200702,-1.74,-1.58
200703,-2.89,-2.76
200704,-2.71,-2.69
200705,-3.42,-3.38
200706,-3.70,-3.84
200707,-3.80,-3.85
200708,-4.96,-5.20
200709,-4.96,-5.12
200710,-3.94,-4.09
200711,-4.18,-4.16
200712,-4.01,-4.04
200801,-3.99,-4.00
200802,-3.84,-3.68
200803,-2.66,-2.53
200804,-1.14,-1.12
200805,-0.32,-0.28
200806,-1.38,-1.52
200807,-1.71,-1.76
200808,-1.81,-2.05
200809,-2.91,-3.07
200810,-2.59,-2.74
200811,-2.94,-2.92
200812,-0.71,-0.74
200901,-0.64,-0.65
200902,-1.91,-1.75
200903,-2.32,-2.19
200904,-2.02,-2.00
200905,1.31,1.35
200906,0.88,0.74
200907,2.09,2.04
200908,2.04,1.80
200909,3.28,3.12
200910,4.70,4.55
200911,2.99,3.01
200912,3.36,3.33
201001,3.24,3.23
201002,1.96,2.12
201003,0.68,0.81
201004,-0.83,-0.81
201005,1.85,1.89
201006,0.70,0.56
201007,-0.02,-0.07
201008,-0.16,-0.40
201009,-1.23,-1.39
201010,-1.34,-1.49
201011,-0.57,-0.55
201012,-1.37,-1.40
201101,-1.67,-1.68
201102,-1.71,-1.55
201103,-0.42,-0.29
201104,2.23,2.25
201105,2.23,2.27
201106,2.55,2.41
201107,0.90,0.85
201108,-1.39,-1.63
201109,0.95,0.79
201110,0.81,0.66
201111,2.36,2.38
201112,2.53,2.50
201201,2.01,2.00
201202,0.21,0.37
201203,-1.28,-1.15
201204,-2.15,-2.13
201205,-2.65,-2.61
201206,-3.12,-3.26
201207,-2.78,-2.83
201208,-2.70,-2.94
201209,-0.58,-0.74
201210,0.81,0.66
201211,-0.42,-0.40
201212,0.23,0.20
201301,1.62,1.61
201302,0.01,0.17
201303,-0.07,0.06
201304,2.08,2.10
201305,2.35,2.39
201306,2.83,2.69
201307,3.77,3.72
201308,3.92,3.68
201309,3.80,3.64
201310,2.83,2.68
201311,2.45,2.47
201312,3.16,3.13
201401,1.52,1.51
201402,1.66,1.82
201403,0.55,0.68
201404,1.39,1.41
201405,0.02,0.06
201406,1.91,1.77
201407,2.05,2.00
201408,2.58,2.34
201409,1.59,1.43
201410,3.28,3.13
201411,2.96,2.98
201412,2.41,2.38
201501,0.83,0.82
201502,0.75,0.91
201503,0.50,0.63
201504,1.29,1.31
201505,0.41,0.45
201506,0.69,0.55
201507,1.98,1.93
201508,2.40,2.16
201509,1.81,1.65
201510,2.23,2.08
201511,2.68,2.70
201512,3.10,3.07
201601,1.46,1.45
201602,1.85,2.01
201603,0.96,1.09
201604,-0.39,-0.37
201605,-0.75,-0.71
201606,-0.91,-1.05
201607,-0.82,-0.87
201608,-0.06,-0.30
201609,-1.08,-1.24
201610,-2.13,-2.28
201611,-2.67,-2.65
201612,-1.50,-1.53
201701,-1.94,-1.95
201702,-2.84,-2.68
201703,-2.45,-2.32
201704,-0.90,-0.88
201705,0.41,0.45
201706,0.96,0.82
201707,1.42,1.37
201708,2.00,1.76
201709,2.31,2.15
201710,2.90,2.75
201711,1.88,1.90
201712,1.57,1.54
201801,-0.03,-0.04
201802,2.84,3.00
201803,2.63,2.76
201804,3.17,3.19
201805,2.52,2.56
201806,3.01,2.87
201807,1.99,1.94
201808,2.31,2.07
201809,3.40,3.24
201810,3.42,3.27
201811,3.78,3.80
201812,4.11,4.08
201901,3.90,3.89
201902,5.70,5.86
201903,4.36,4.49
201904,4.75,4.77
201905,3.30,3.34
201906,4.40,4.26
201907,4.69,4.64
201908,4.55,4.31
201909,1.55,1.39
201910,3.95,3.80
201911,4.00,4.02
201912,3.92,3.89
202001,3.93,3.92
202002,4.88,5.04
202003,5.03,5.16
202004,5.43,5.45
202005,5.03,5.07
202006,4.51,4.37
202007,4.14,4.09
202008,4.64,4.40
202009,4.62,4.46
202010,4.96,4.81
202011,3.11,3.13
202012,2.67,2.64
202101,1.29,1.28
202102,1.35,1.51
202103,3.59,3.72
202104,2.04,2.06
202105,1.86,1.90
202106,2.07,1.93
202107,2.49,2.44
202108,3.79,3.55
202109,4.18,4.02
202110,4.69,4.54
202111,3.02,3.04
202112,2.08,2.05
202201,2.44,2.43
202202,3.96,4.12
202203,2.62,2.75
202204,2.60,2.62
202205,1.99,2.03
202206,0.47,0.33
202207,0.47,0.42
202208,0.66,0.42
202209,-0.01,-0.17
202210,-0.75,-0.90
202211,-1.24,-1.22
202212,-0.43,-0.46
