#  Tennessee Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,37.0,-0.2
199702,45.0,4.9
199703,52.9,4.5
199704,53.0,-4.6
199705,61.5,-4.6
199706,70.9,-2.9
199707,77.5,0.4
199708,74.2,-1.8
199709,69.6,-0.6
199710,57.7,-1.1
199711,43.9,-3.5
199712,38.9,-0.3
199801,42.6,5.4
199802,44.4,4.3
199803,48.4,0.0
199804,56.8,-0.8
199805,69.5,3.4
199806,75.8,2.0
199807,78.0,0.9
199808,76.4,0.4
199809,74.4,4.2
199810,61.6,2.8
199811,50.7,3.3
199812,43.3,4.1
199901,42.0,4.8
199902,44.7,4.6
199903,44.8,-3.6
199904,61.4,3.8
199905,65.8,-0.3
199906,74.4,0.6
199907,79.4,2.3
199908,77.0,1.0
199909,69.3,-0.9
199910,58.4,-0.4
199911,52.8,5.4
199912,41.5,2.3
200001,37.8,0.6
200002,45.4,5.3
200003,52.5,4.1
200004,55.3,-2.3
200005,68.8,2.7
200006,74.1,0.3
200007,76.8,-0.3
200008,77.1,1.1
200009,69.6,-0.6
200010,61.1,2.3
200011,46.9,-0.5
200012,30.6,-8.6
200101,34.3,-2.9
200102,44.7,4.6
200103,44.6,-3.8
200104,61.3,3.7
200105,66.9,0.8
200106,71.9,-1.9
200107,77.1,0.0
200108,76.7,0.7
200109,67.6,-2.6
200110,56.5,-2.3
200111,53.0,5.6
200112,44.4,5.2
200201,40.3,3.1
200202,40.5,0.4
200203,48.3,-0.1
200204,60.9,3.3
200205,64.2,-1.9
200206,74.9,1.1
200207,78.8,1.7
200208,77.8,1.8
200209,73.3,3.1
200210,60.9,2.1
200211,45.3,-2.1
200212,39.5,0.3
200301,32.2,-5.0
200302,38.5,-1.6
200303,51.3,2.9
200304,59.4,1.8
200305,66.5,0.4
200306,70.6,-3.2
200307,76.2,-0.9
200308,77.1,1.1
200309,68.1,-2.1
200310,58.5,-0.3
200311,52.8,5.4
200312,38.9,-0.3
200401,36.9,-0.3
200402,39.4,-0.7
