#  Tennessee Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,47.0,-0.1
199702,54.4,3.7
199703,65.0,5.1
199704,65.6,-4.4
199705,73.9,-4.4
199706,79.5,-6.1
199707,88.8,0.2
199708,85.4,-2.2
199709,81.6,-0.8
199710,70.0,-1.9
199711,53.0,-6.0
199712,47.4,-1.7
199801,50.6,3.5
199802,52.5,1.8
199803,57.6,-2.3
199804,68.0,-2.0
199805,80.6,2.3
199806,86.6,1.0
199807,87.3,-1.3
199808,87.5,-0.1
199809,88.3,5.9
199810,75.5,3.6
199811,62.8,3.8
199812,52.5,3.4
199901,51.9,4.8
199902,55.6,4.9
199903,56.2,-3.7
199904,73.0,3.0
199905,78.5,0.2
199906,84.7,-0.9
199907,89.6,1.0
199908,90.6,3.0
199909,84.9,2.5
199910,72.5,0.6
199911,66.1,7.1
199912,52.8,3.7
200001,47.3,0.2
200002,57.5,6.8
200003,65.3,5.4
200004,67.3,-2.7
200005,80.2,1.9
200006,85.0,-0.6
200007,88.3,-0.3
200008,89.0,1.4
200009,81.2,-1.2
200010,75.6,3.7
200011,57.2,-1.8
200012,39.8,-9.3
200101,44.2,-2.9
200102,55.2,4.5
200103,55.1,-4.8
200104,73.4,3.4
200105,78.9,0.6
200106,83.2,-2.4
200107,87.3,-1.3
200108,86.5,-1.1
200109,78.8,-3.6
200110,70.3,-1.6
200111,67.8,8.8
200112,54.7,5.6
200201,51.2,4.1
200202,51.8,1.1
200203,60.2,0.3
200204,73.2,3.2
200205,75.8,-2.5
200206,86.5,0.9
200207,89.2,0.6
200208,89.4,1.8
200209,84.5,2.1
200210,69.2,-2.7
200211,55.1,-3.9
200212,48.7,-0.4
200301,42.0,-5.1
200302,46.6,-4.1
200303,62.8,2.9
200304,71.5,1.5
200305,76.3,-2.0
200306,81.2,-4.4
200307,86.1,-2.5
200308,87.2,-0.4
200309,79.7,-2.7
200310,71.0,-0.9
200311,63.8,4.8
200312,49.0,-0.1
200401,47.5,0.4
200402,49.2,-1.5
200403,64.1,4.2
200404,69.5,-0.5
200405,80.8,2.5
200406,83.1,-2.5
200407,85.6,-3.0
200408,83.1,-4.5
200409,80.7,-1.7
200410,73.1,1.2
200411,62.4,3.4
200412,49.2,0.1
200501,51.7,4.6
200502,53.8,3.1
200503,58.4,-1.5
200504,70.1,0.1
200505,76.3,-2.0
200506,84.5,-1.1
200507,87.5,-1.1
200508,89.6,2.0
200509,85.2,2.8
200510,71.7,-0.2
200511,63.4,4.4
200512,46.1,-3.0
200601,55.7,8.6
200602,48.7,-2.0
200603,61.4,1.5
200604,75.8,5.8
200605,76.2,-2.1
200606,85.1,-0.5
200607,89.4,0.8
200608,89.8,2.2
200609,78.3,-4.1
200610,68.3,-3.6
200611,60.0,1.0
200612,55.1,6.0
200701,49.5,2.4
200702,46.4,-4.3
200703,69.6,9.7
200704,67.7,-2.3
200705,82.5,4.2
200706,88.0,2.4
200707,87.0,-1.6
200708,95.9,8.3
200709,85.4,3.0
200710,75.4,3.5
200711,60.4,1.4
200712,54.4,5.3
200801,46.4,-0.7
200802,52.6,1.9
200803,60.5,0.6
200804,69.1,-0.9
200805,76.4,-1.9
200806,87.1,1.5
200807,88.5,-0.1
200808,86.9,-0.7
200809,82.8,0.4
200810,70.9,-1.0
200811,56.8,-2.2
200812,50.7,1.6
200901,45.1,-2.0
200902,54.1,3.4
200903,61.2,1.3
200904,69.5,-0.5
200905,76.0,-2.3
200906,86.8,1.2
200907,83.8,-4.8
200908,85.2,-2.4
200909,79.5,-2.9
200910,66.3,-5.6
200911,62.6,3.6
200912,46.6,-2.5
201001,41.6,-5.5
201002,41.7,-9.0
201003,57.5,-2.4
201004,75.1,5.1
201005,80.0,1.7
201006,89.0,3.4
201007,90.5,1.9
201008,90.9,3.3
201009,85.3,2.9
201010,74.9,3.0
201011,62.3,3.3
201012,41.3,-7.8
201101,42.9,-4.2
201102,53.9,3.2
201103,60.9,1.0
201104,73.4,3.4
201105,76.7,-1.6
201106,87.7,2.1
201107,90.2,1.6
201108,90.0,2.4
201109,79.2,-3.2
201110,69.9,-2.0
201111,61.8,2.8
201112,52.7,3.6
201201,53.1,6.0
201202,54.8,4.1
201203,72.2,12.3
201204,72.8,2.8
201205,82.3,4.0
201206,86.8,1.2
201207,91.4,2.8
201208,87.0,-0.6
201209,80.4,-2.0
201210,67.8,-4.1
201211,59.2,0.2
201212,54.8,5.7
201301,49.7,2.6
201302,50.7,0.0
201303,52.6,-7.3
201304,68.7,-1.3
201305,76.2,-2.1
201306,84.5,-1.1
201307,84.2,-4.4
201308,84.0,-3.6
201309,81.8,-0.6
201310,70.4,-1.5
201311,56.2,-2.8
201312,49.8,0.7
201401,41.6,-5.5
201402,48.4,-2.3
201403,57.4,-2.5
201404,71.9,1.9
201405,78.9,0.6
201406,84.4,-1.2
201407,84.1,-4.5
201408,86.6,-1.0
201409,81.2,-1.2
201410,71.8,-0.1
201411,53.0,-6.0
201412,50.3,1.2
201501,45.8,-1.3
201502,41.4,-9.3
201503,60.2,0.3
201504,71.8,1.8
201505,79.8,1.5
201506,86.5,0.9
201507,87.6,-1.0
201508,85.0,-2.6
201509,82.5,0.1
201510,71.3,-0.6
201511,63.6,4.6
201512,60.9,11.8
201601,44.7,-2.4
201602,51.3,0.6
201603,65.7,5.8
201604,72.4,2.4
201605,76.4,-1.9
201606,88.1,2.5
201607,90.2,1.6
201608,88.7,1.1
201609,86.9,4.5
201610,78.5,6.6
201611,66.5,7.5
201612,50.5,1.4
201701,52.9,5.8
201702,60.3,9.6
201703,62.9,3.0
201704,75.0,5.0
201705,77.9,-0.4
201706,83.7,-1.9
201707,88.3,-0.3
201708,84.8,-2.8
201709,80.3,-2.1
201710,73.4,1.5
201711,61.4,2.4
201712,49.1,0.0
201801,43.0,-4.1
201802,58.1,7.4
201803,58.2,-1.7
201804,64.9,-5.1
201805,83.6,5.3
201806,87.1,1.5
201807,88.3,-0.3
201808,86.5,-1.1
201809,84.2,1.8
201810,71.8,-0.1
201811,53.8,-5.2
201812,50.8,1.7
201901,47.8,0.7
201902,56.1,5.4
201903,58.2,-1.7
201904,71.7,1.7
201905,81.2,2.9
201906,83.6,-2.0
201907,87.7,-0.9
201908,87.7,0.1
201909,89.8,7.4
201910,73.8,1.9
201911,56.0,-3.0
201912,55.1,6.0
202001,51.6,4.5
202002,52.3,1.6
202003,64.2,4.3
202004,67.4,-2.6
202005,74.7,-3.6
202006,84.3,-1.3
202007,89.5,0.9
202008,86.0,-1.6
202009,79.6,-2.8
202010,71.6,-0.3
202011,64.9,5.9
202012,50.0,0.9
202101,48.2,1.1
202102,46.4,-4.3
202103,65.2,5.3
202104,69.1,-0.9
202105,75.6,-2.7
202106,84.3,-1.3
202107,86.7,-1.9
202108,87.1,-0.5
202109,80.4,-2.0
202110,73.4,1.5
202111,58.1,-0.9
202112,61.3,12.2
202201,45.7,-1.4
202202,53.4,2.7
202203,64.2,4.3
202204,69.0,-1.0
202205,80.0,1.7
202206,87.9,2.3
202207,90.5,1.9
202208,86.3,-1.3
202209,81.5,-0.9
202210,70.5,-1.4
202211,60.6,1.6
202212,50.0,0.9
