#  Tennessee Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.06,0.14
199702,-0.23,0.03
199703,3.20,3.22
199704,0.40,0.27
199705,1.62,1.59
199706,4.58,4.24
199707,-1.85,-1.78
199708,0.32,0.04
199709,1.26,1.32
199710,0.47,0.42
199711,-0.70,-0.50
199712,-1.07,-1.09
199801,0.27,0.35
199802,-0.25,0.01
199803,-0.83,-0.81
199804,4.59,4.46
199805,-0.17,-0.20
199806,4.43,4.09
199807,2.30,2.37
199808,-0.23,-0.51
199809,-2.76,-2.70
199810,-1.17,-1.22
199811,-2.95,-2.75
199812,0.99,0.97
199901,2.97,3.05
199902,-1.60,-1.34
199903,-0.49,-0.47
199904,-0.99,-1.12
199905,-0.09,-0.12
199906,1.91,1.57
199907,-0.78,-0.71
199908,-2.64,-2.92
199909,-2.60,-2.54
199910,-0.93,-0.98
199911,-2.02,-1.82
199912,-2.03,-2.05
200001,-1.19,-1.11
200002,-1.27,-1.01
200003,-1.35,-1.33
200004,2.62,2.49
200005,-0.19,-0.22
200006,0.33,-0.01
200007,-1.45,-1.38
200008,-1.61,-1.89
200009,-0.34,-0.28
200010,-3.51,-3.56
200011,0.10,0.30
200012,-0.91,-0.93
200101,-0.89,-0.81
200102,1.86,2.12
200103,-1.70,-1.68
200104,-2.18,-2.31
200105,-0.07,-0.10
200106,0.86,0.52
200107,0.79,0.86
200108,1.06,0.78
200109,0.69,0.75
200110,2.22,2.17
200111,1.61,1.81
200112,0.44,0.42
200201,1.31,1.39
200202,-2.40,-2.14
200203,3.59,3.61
200204,-2.67,-2.80
200205,1.28,1.25
200206,-1.73,-2.07
200207,-0.96,-0.89
200208,-1.01,-1.29
200209,3.41,3.47
200210,2.58,2.53
200211,0.86,1.06
200212,1.67,1.65
200301,-2.19,-2.11
200302,4.82,5.08
200303,-3.09,-3.07
200304,0.58,0.45
200305,5.27,5.24
200306,1.93,1.59
200307,2.10,2.17
200308,1.50,1.22
200309,3.19,3.25
200310,-0.16,-0.21
200311,1.70,1.90
200312,-0.71,-0.73
200401,-1.29,-1.21
200402,0.39,0.65
200403,-1.06,-1.04
200404,0.66,0.53
200405,0.30,0.27
200406,2.23,1.89
200407,1.09,1.16
200408,1.72,1.44
200409,1.60,1.66
200410,2.71,2.66
200411,2.65,2.85
200412,1.73,1.71
200501,-0.77,-0.69
200502,-0.75,-0.49
200503,-1.89,-1.87
200504,1.81,1.68
200505,-2.33,-2.36
200506,0.05,-0.29
200507,0.70,0.77
200508,2.06,1.78
200509,-1.07,-1.01
200510,-2.71,-2.76
200511,-1.29,-1.09
200512,-1.76,-1.78
200601,0.82,0.90
200602,-1.56,-1.30
200603,-2.29,-2.27
200604,0.37,0.24
200605,-0.07,-0.10
200606,-0.43,-0.77
200607,-1.02,-0.95
200608,-0.16,-0.44
200609,1.51,1.57
200610,1.17,1.12
200611,-0.04,0.16
200612,-1.32,-1.34
200701,-0.78,-0.70
200702,-2.22,-1.96
200703,-3.98,-3.96
200704,-0.38,-0.51
200705,-2.96,-2.99
200706,-1.88,-2.22
200707,-1.46,-1.39
200708,-4.63,-4.91
200709,-1.56,-1.50
200710,0.64,0.59
200711,-1.14,-0.94
200712,-0.79,-0.81
200801,-1.17,-1.09
200802,-0.78,-0.52
200803,1.01,1.03
200804,1.59,1.46
200805,0.81,0.78
200806,-1.78,-2.12
200807,-0.86,-0.79
200808,-0.61,-0.89
200809,-2.80,-2.74
200810,-0.06,-0.11
200811,-1.75,-1.55
200812,2.51,2.49
200901,-0.18,-0.10
200902,-2.06,-1.80
200903,-1.07,-1.05
200904,0.00,-0.13
200905,3.94,3.91
200906,-0.49,-0.83
200907,3.53,3.60
200908,0.49,0.21
200909,4.37,4.43
200910,5.27,5.22
200911,-1.65,-1.45
200912,1.13,1.11
201001,0.45,0.53
201002,-1.23,-0.97
201003,-1.39,-1.37
201004,-1.94,-2.07
201005,4.17,4.14
201006,-1.30,-1.64
201007,-0.85,-0.78
201008,-0.08,-0.36
201009,-2.00,-1.94
201010,-0.71,-0.76
201011,0.61,0.81
201012,-1.42,-1.44
201101,-1.32,-1.24
201102,-0.63,-0.37
201103,1.25,1.27
201104,5.55,5.42
201105,0.71,0.68
201106,1.63,1.29
201107,-1.73,-1.66
201108,-2.80,-3.08
201109,3.22,3.28
201110,0.07,0.02
201111,3.13,3.33
201112,1.24,1.22
201201,-0.26,-0.18
201202,-1.99,-1.73
201203,-1.83,-1.81
201204,-3.00,-3.13
201205,-2.17,-2.20
201206,-2.24,-2.58
201207,-0.06,0.01
201208,-0.51,-0.79
201209,2.36,2.42
201210,1.64,1.59
201211,-1.77,-1.57
201212,0.74,0.72
201301,2.92,3.00
201302,-1.64,-1.38
201303,0.04,0.06
201304,4.01,3.88
201305,1.45,1.42
201306,2.15,1.81
201307,3.69,3.76
201308,1.61,1.33
201309,0.87,0.93
201310,-0.72,-0.77
201311,0.01,0.21
201312,1.81,1.79
201401,-1.69,-1.61
201402,0.56,0.82
201403,-1.15,-1.13
201404,1.44,1.31
201405,-1.64,-1.67
201406,3.01,2.67
201407,0.59,0.66
201408,2.25,1.97
201409,-0.87,-0.81
201410,4.39,4.34
201411,0.10,0.30
201412,-0.24,-0.26
201501,-1.69,-1.61
201502,0.16,0.42
201503,-0.08,-0.06
201504,1.38,1.25
201505,-0.97,-1.00
201506,0.63,0.29
201507,2.37,2.44
201508,1.87,1.59
201509,-0.36,-0.30
201510,1.22,1.17
201511,2.04,2.24
201512,2.07,2.05
201601,-1.69,-1.61
201602,0.90,1.16
201603,-0.84,-0.82
201604,-1.60,-1.73
201605,-0.45,-0.48
201606,-0.26,-0.60
201607,0.09,0.16
201608,1.22,0.94
201609,-2.27,-2.21
201610,-3.47,-3.52
201611,-2.28,-2.08
201612,1.10,1.08
201701,-0.93,-0.85
201702,-2.79,-2.53
201703,0.05,0.07
201704,1.63,1.50
201705,1.50,1.47
201706,0.70,0.36
201707,1.22,1.29
201708,2.18,1.90
201709,1.53,1.59
201710,2.48,2.43
201711,-0.88,-0.68
201712,-0.03,-0.05
201801,-1.83,-1.75
201802,5.20,5.46
201803,0.24,0.26
201804,2.42,2.29
201805,-0.35,-0.38
201806,1.70,1.36
201807,-0.87,-0.80
201808,0.84,0.56
201809,3.64,3.70
201810,1.10,1.05
201811,2.14,2.34
201812,2.17,2.15
201901,0.63,0.71
201902,6.61,6.87
201903,-1.00,-0.98
201904,1.37,1.24
201905,-1.27,-1.30
201906,2.89,2.55
201907,2.24,2.31
201908,1.01,0.73
201909,-3.47,-3.41
201910,3.97,3.92
201911,1.39,1.59
201912,0.99,0.97
202001,1.24,1.32
202002,4.07,4.33
202003,1.96,1.98
202004,2.74,2.61
202005,0.50,0.47
202006,0.08,-0.26
202007,0.22,0.29
202008,2.78,2.50
202009,1.36,1.42
202010,2.46,2.41
202011,-1.81,-1.61
202012,-0.01,-0.03
202101,-1.41,-1.33
202102,0.48,0.74
202103,4.02,4.04
202104,-1.54,-1.67
202105,0.20,0.17
202106,0.72,0.38
202107,1.04,1.11
202108,4.45,4.17
202109,2.34,2.40
202110,2.82,2.77
202111,-1.59,-1.39
202112,-0.72,-0.74
202201,1.01,1.09
202202,3.59,3.85
202203,-1.21,-1.19
202204,0.49,0.36
202205,-0.35,-0.38
202206,-1.73,-2.07
202207,0.25,0.32
202208,0.52,0.24
202209,-0.78,-0.72
202210,-1.03,-1.08
202211,-1.24,-1.04
202212,0.63,0.61
