#  Texas Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,9,-5
199702,13,-2
199703,78,26
199704,44,-68
199705,223,-53
199706,414,-48
199707,580,15
199708,558,-3
199709,435,54
199710,144,-9
199711,16,-18
199712,5,-4
199801,33,19
199802,19,4
199803,38,-14
199804,79,-33
199805,402,126
199806,586,124
199807,688,123
199808,597,36
199809,484,103
199810,198,45
199811,62,28
199812,10,1
199901,29,15
199902,50,35
199903,62,10
199904,167,55
199905,293,17
199906,460,-2
199907,544,-21
199908,643,82
199909,376,-5
199910,139,-14
199911,63,29
199912,9,0
200001,32,18
200002,52,37
200003,109,57
200004,118,6
200005,379,103
200006,444,-18
200007,612,47
200008,629,68
200009,429,48
200010,180,27
200011,19,-15
200012,1,-8
200101,7,-7
200102,28,13
200103,22,-30
200104,165,53
200105,315,39
200106,469,7
200107,620,55
200108,583,22
200109,328,-53
200110,114,-39
200111,61,27
200112,12,3
200201,21,7
200202,6,-9
200203,42,-10
200204,198,86
200205,307,31
200206,464,2
200207,524,-41
200208,570,9
200209,385,4
200210,145,-8
200211,19,-15
200212,9,0
200301,7,-7
200302,8,-7
200303,44,-8
200304,131,19
200305,379,103
200306,441,-21
200307,550,-15
200308,581,20
200309,311,-70
200310,166,13
200311,64,30
200312,8,-1
200401,20,6
200402,8,-7
200403,105,53
200404,105,-7
200405,293,17
200406,428,-34
200407,519,-46
200408,489,-72
200409,380,-1
200410,270,117
200411,49,15
200412,6,-3
200501,29,15
200502,23,8
200503,50,-2
200504,99,-13
200505,259,-17
200506,496,34
200507,570,5
200508,570,9
200509,505,124
200510,156,3
200511,65,31
200512,6,-3
200601,38,24
200602,13,-2
200603,103,51
200604,231,119
200605,349,73
200606,474,12
200607,579,14
200608,629,68
200609,349,-32
200610,173,20
200611,52,18
200612,10,1
200701,6,-8
200702,11,-4
200703,108,56
200704,64,-48
200705,271,-5
200706,431,-31
200707,466,-99
200708,566,5
200709,412,31
200710,191,38
200711,52,18
200712,18,9
200801,11,-3
200802,33,18
200803,64,12
200804,120,8
200805,332,56
200806,548,86
200807,561,-4
200808,541,-20
200809,322,-59
200810,130,-23
200811,46,12
200812,9,0
200901,17,3
200902,42,27
200903,69,17
200904,109,-3
200905,314,38
200906,531,69
200907,630,65
200908,610,49
200909,340,-41
200910,133,-20
200911,41,7
200912,1,-8
201001,7,-7
201002,1,-14
201003,30,-22
201004,113,1
201005,344,68
201006,546,84
201007,556,-9
201008,651,90
201009,421,40
201010,158,5
201011,42,8
201012,9,0
201101,9,-5
201102,12,-3
201103,101,49
201104,219,107
201105,317,41
201106,601,139
201107,697,132
201108,751,190
201109,445,64
201110,160,7
201111,50,16
201112,8,-1
201201,31,17
201202,25,10
201203,130,78
201204,207,95
201205,362,86
201206,524,62
201207,586,21
201208,609,48
201209,400,19
201210,146,-7
201211,55,21
201212,21,12
201301,19,5
201302,28,13
201303,44,-8
201304,75,-37
201305,261,-15
201306,521,59
201307,547,-18
201308,602,41
201309,460,79
201310,167,14
201311,18,-16
201312,4,-5
201401,6,-8
201402,10,-5
201403,27,-25
201404,115,3
201405,246,-30
201406,484,22
201407,542,-23
201408,588,27
201409,408,27
201410,228,75
201411,13,-21
201412,16,7
201501,5,-9
201502,7,-8
201503,40,-12
201504,157,45
201505,283,7
201506,463,1
201507,599,34
201508,600,39
201509,452,71
201510,219,66
201511,58,24
201512,25,16
201601,10,-4
201602,31,16
201603,98,46
201604,138,26
201605,265,-11
201606,486,24
201607,645,80
201608,564,3
201609,450,69
201610,258,105
201611,97,63
201612,19,10
201701,39,25
201702,78,63
201703,131,79
201704,158,46
201705,271,-5
201706,476,14
201707,606,41
201708,541,-20
201709,393,12
201710,161,8
201711,83,49
201712,7,-2
201801,5,-9
201802,31,16
201803,105,53
201804,71,-41
201805,414,138
201806,578,116
201807,631,66
201808,600,39
201809,404,23
201810,151,-2
201811,15,-19
201812,10,1
201901,13,-1
201902,25,10
201903,43,-9
201904,105,-7
201905,314,38
201906,462,0
201907,572,7
201908,663,102
201909,544,163
201910,157,4
201911,20,-14
201912,14,5
202001,33,19
202002,14,-1
202003,150,98
202004,123,11
202005,321,45
202006,476,14
202007,630,65
202008,622,61
202009,346,-35
202010,152,-1
202011,84,50
202012,10,1
202101,17,3
202102,5,-10
202103,79,27
202104,101,-11
202105,257,-19
202106,479,17
202107,527,-38
202108,569,8
202109,423,42
202110,232,79
202111,40,6
202112,87,78
202201,10,-4
202202,5,-10
202203,47,-5
202204,192,80
202205,433,157
202206,590,128
202207,708,143
202208,611,50
202209,431,50
202210,152,-1
202211,30,-4
202212,15,6
