#  Texas Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,548,9
199702,371,-15
199703,180,-73
199704,139,73
199705,11,5
199706,0,0
199707,0,0
199708,0,0
199709,0,-2
199710,49,-4
199711,323,60
199712,527,50
199801,389,-150
199802,336,-50
199803,275,22
199804,87,21
199805,0,-6
199806,0,0
199807,0,0
199808,0,0
199809,0,-2
199810,28,-25
199811,176,-87
199812,437,-40
199901,396,-143
199902,216,-170
199903,223,-30
199904,39,-27
199905,5,-1
199906,0,0
199907,0,0
199908,0,0
199909,1,-1
199910,50,-3
199911,155,-108
199912,421,-56
200001,389,-150
200002,212,-174
200003,145,-108
200004,57,-9
200005,0,-6
200006,0,0
200007,0,0
200008,0,0
200009,0,-2
200010,34,-19
200011,335,72
200012,635,158
200101,586,47
200102,312,-74
200103,335,82
200104,33,-33
200105,1,-5
200106,0,0
200107,0,0
200108,0,0
200109,3,1
200110,69,16
200111,168,-95
200112,398,-79
200201,444,-95
200202,449,63
200203,267,14
200204,25,-41
200205,4,-2
200206,0,0
200207,0,0
200208,0,0
200209,1,-1
200210,67,14
200211,301,38
200212,446,-31
200301,551,12
200302,417,31
200303,240,-13
200304,45,-21
200305,1,-5
200306,0,0
200307,0,0
200308,0,0
200309,4,2
200310,36,-17
200311,175,-88
200312,426,-51
200401,437,-102
200402,441,55
200403,138,-115
200404,61,-5
200405,1,-5
200406,0,0
200407,0,0
200408,0,0
200409,1,-1
200410,20,-33
200411,215,-48
200412,460,-17
200501,393,-146
200502,310,-76
200503,237,-16
200504,67,1
200505,7,1
200506,0,0
200507,0,0
200508,0,0
200509,0,-2
200510,46,-7
200511,166,-97
200512,481,4
200601,327,-212
200602,369,-17
200603,146,-107
200604,14,-52
200605,0,-6
200606,0,0
200607,0,0
200608,0,0
200609,4,2
200610,43,-10
200611,194,-69
200612,423,-54
200701,604,65
200702,388,2
200703,133,-120
200704,108,42
200705,7,1
200706,0,0
200707,0,0
200708,0,0
200709,0,-2
200710,28,-25
200711,188,-75
200712,399,-78
200801,520,-19
200802,288,-98
200803,203,-50
200804,60,-6
200805,2,-4
200806,0,0
200807,0,0
200808,0,0
200809,5,3
200810,58,5
200811,208,-55
200812,451,-26
200901,471,-68
200902,235,-151
200903,185,-68
200904,66,0
200905,5,-1
200906,0,0
200907,0,0
200908,0,0
200909,4,2
200910,79,26
200911,200,-63
200912,601,124
201001,576,37
201002,545,159
201003,288,35
201004,57,-9
201005,3,-3
201006,0,0
201007,0,0
201008,0,0
201009,0,-2
201010,42,-11
201011,212,-51
201012,426,-51
201101,559,20
201102,382,-4
201103,146,-107
201104,17,-49
201105,3,-3
201106,0,0
201107,0,0
201108,0,0
201109,1,-1
201110,43,-10
201111,204,-59
201112,472,-5
201201,386,-153
201202,306,-80
201203,111,-142
201204,18,-48
201205,1,-5
201206,0,0
201207,0,0
201208,0,0
201209,1,-1
201210,57,4
201211,180,-83
201212,351,-126
201301,450,-89
201302,308,-78
201303,247,-6
201304,95,29
201305,6,0
201306,0,0
201307,0,0
201308,0,0
201309,0,-2
201310,45,-8
201311,309,46
201312,554,77
201401,580,41
201402,417,31
201403,299,46
201404,58,-8
201405,6,0
201406,0,0
201407,0,0
201408,0,0
201409,1,-1
201410,20,-33
201411,340,77
201412,367,-110
201501,583,44
201502,429,43
201503,250,-3
201504,40,-26
201505,8,2
201506,0,0
201507,0,0
201508,0,0
201509,0,-2
201510,24,-29
201511,193,-70
201512,331,-146
201601,512,-27
201602,265,-121
201603,149,-104
201604,46,-20
201605,8,2
201606,0,0
201607,0,0
201608,0,0
201609,0,-2
201610,13,-40
201611,122,-141
201612,386,-91
201701,369,-170
201702,170,-216
201703,111,-142
201704,37,-29
201705,7,1
201706,0,0
201707,0,0
201708,0,0
201709,1,-1
201710,44,-9
201711,141,-122
201712,457,-20
201801,609,70
201802,313,-73
201803,142,-111
201804,104,38
201805,0,-6
201806,0,0
201807,0,0
201808,0,0
201809,1,-1
201810,54,1
201811,330,67
201812,431,-46
201901,495,-44
201902,313,-73
201903,262,9
201904,62,-4
201905,6,0
201906,0,0
201907,0,0
201908,0,0
201909,0,-2
201910,61,8
201911,301,38
201912,379,-98
202001,378,-161
202002,366,-20
202003,107,-146
202004,64,-2
202005,3,-3
202006,0,0
202007,0,0
202008,0,0
202009,4,2
202010,59,6
202011,141,-122
202012,427,-50
202101,465,-74
202102,522,136
202103,173,-80
202104,78,12
202105,9,3
202106,0,0
202107,0,0
202108,0,0
202109,0,-2
202110,19,-34
202111,216,-47
202112,161,-316
202201,523,-16
202202,473,87
202203,229,-24
202204,26,-40
202205,0,-6
202206,0,0
202207,0,0
202208,0,0
202209,0,-2
202210,47,-6
202211,265,2
202212,386,-91
