#  Texas Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,0.55,0.70
199702,1.52,1.64
199703,1.68,1.68
199704,3.11,3.05
199705,3.18,3.14
199706,4.09,4.14
199707,4.19,4.23
199708,3.80,3.83
199709,2.86,3.02
199710,2.88,2.91
199711,2.71,2.74
199712,3.07,3.08
199801,3.02,3.17
199802,3.33,3.45
199803,3.52,3.52
199804,-0.46,-0.52
199805,-1.83,-1.87
199806,-2.98,-2.93
199807,-3.85,-3.81
199808,0.51,0.54
199809,0.32,0.48
199810,1.24,1.27
199811,1.79,1.82
199812,1.82,1.83
199901,1.78,1.93
199902,0.76,0.88
199903,1.26,1.26
199904,1.03,0.97
199905,1.12,1.08
199906,1.63,1.68
199907,1.66,1.70
199908,-0.57,-0.54
199909,-1.19,-1.03
199910,-1.54,-1.51
199911,-2.49,-2.46
199912,-2.71,-2.70
200001,-3.11,-2.96
200002,-3.76,-3.64
200003,-3.48,-3.48
200004,-3.57,-3.63
200005,-4.18,-4.22
200006,-3.47,-3.42
200007,-4.47,-4.43
200008,-5.32,-5.29
200009,-5.77,-5.61
200010,0.54,0.57
200011,2.47,2.50
200012,2.80,2.81
200101,3.38,3.53
200102,3.41,3.53
200103,4.14,4.14
200104,-0.63,-0.69
200105,-0.81,-0.85
200106,-0.94,-0.89
200107,-1.73,-1.69
200108,-1.10,-1.07
200109,-0.91,-0.75
200110,-1.11,-1.08
200111,-0.51,-0.48
200112,-0.22,-0.21
200201,-0.54,-0.39
200202,-0.73,-0.61
200203,-0.40,-0.40
200204,-0.75,-0.81
200205,-1.50,-1.54
200206,-1.87,-1.82
200207,0.83,0.87
200208,0.36,0.39
200209,0.25,0.41
200210,1.75,1.78
200211,1.93,1.96
200212,2.76,2.77
200301,2.40,2.55
200302,2.85,2.97
200303,-0.20,-0.20
200304,-0.78,-0.84
200305,-1.76,-1.80
200306,-1.17,-1.12
200307,-1.15,-1.11
200308,-1.26,-1.23
200309,-0.70,-0.54
200310,-0.61,-0.58
200311,-0.90,-0.87
200312,-1.51,-1.50
200401,-1.46,-1.31
200402,0.47,0.59
200403,0.48,0.48
200404,1.26,1.20
200405,0.72,0.68
200406,2.28,2.33
200407,2.78,2.82
200408,3.37,3.40
200409,2.88,3.04
200410,3.05,3.08
200411,5.01,5.04
200412,4.55,4.56
200501,4.49,4.64
200502,4.66,4.78
200503,4.36,4.36
200504,-0.50,-0.56
200505,-0.54,-0.58
200506,-1.09,-1.04
200507,-0.97,-0.93
200508,-0.37,-0.34
200509,-1.32,-1.16
200510,-1.35,-1.32
200511,-2.03,-2.00
200512,-2.63,-2.62
200601,-3.20,-3.05
200602,-3.55,-3.43
200603,-3.42,-3.42
200604,-4.10,-4.16
200605,-4.95,-4.99
200606,-5.56,-5.51
200607,-5.59,-5.55
200608,-5.28,-5.25
200609,0.14,0.30
200610,0.69,0.72
200611,0.01,0.04
200612,0.26,0.27
200701,1.23,1.38
200702,0.68,0.80
200703,1.84,1.84
200704,1.92,1.86
200705,2.96,2.92
200706,4.21,4.26
200707,6.44,6.48
200708,7.70,7.73
200709,-0.02,0.14
200710,-0.55,-0.52
200711,-0.84,-0.81
200712,-1.12,-1.11
200801,-1.47,-1.32
200802,-1.92,-1.80
200803,-1.52,-1.52
200804,-1.63,-1.69
200805,-2.32,-2.36
200806,-3.07,-3.02
200807,-3.20,-3.16
200808,-1.82,-1.79
200809,-1.63,-1.47
200810,-1.58,-1.55
200811,-2.01,-1.98
200812,-2.60,-2.59
200901,-3.32,-3.17
200902,-4.18,-4.06
200903,-3.89,-3.89
200904,-3.36,-3.42
200905,-3.92,-3.96
200906,-4.72,-4.67
200907,-4.51,-4.47
200908,-4.70,-4.67
200909,0.54,0.70
200910,1.78,1.81
200911,1.44,1.47
200912,1.82,1.83
201001,2.29,2.44
201002,2.98,3.10
201003,2.97,2.97
201004,3.03,2.97
201005,2.35,2.31
201006,2.13,2.18
201007,3.17,3.21
201008,-0.46,-0.43
201009,-0.02,0.14
201010,-0.78,-0.75
201011,-1.25,-1.22
201012,-1.84,-1.83
201101,-1.96,-1.81
201102,-2.50,-2.38
201103,-3.39,-3.39
201104,-4.47,-4.53
201105,-5.39,-5.43
201106,-6.56,-6.51
201107,-7.33,-7.29
201108,-7.86,-7.83
201109,-8.06,-7.90
201110,-7.39,-7.36
201111,-7.08,-7.05
201112,-5.91,-5.90
201201,-5.17,-5.02
201202,-4.40,-4.28
201203,-3.53,-3.53
201204,-3.77,-3.83
201205,-3.84,-3.88
201206,-4.14,-4.09
201207,-3.94,-3.90
201208,-4.01,-3.98
201209,-3.31,-3.15
201210,-3.71,-3.68
201211,-4.38,-4.35
201212,-4.61,-4.60
201301,-4.08,-3.93
201302,-4.13,-4.01
201303,-4.31,-4.31
201304,-4.19,-4.25
201305,-4.48,-4.52
201306,-4.84,-4.79
201307,-4.40,-4.36
201308,-4.67,-4.64
201309,-3.95,-3.79
201310,-3.26,-3.23
201311,-2.77,-2.74
201312,-2.59,-2.58
201401,-2.94,-2.79
201402,-3.20,-3.08
201403,-3.10,-3.10
201404,-3.49,-3.55
201405,-3.06,-3.10
201406,-3.14,-3.09
201407,-3.02,-2.98
201408,-3.20,-3.17
201409,-2.72,-2.56
201410,-2.92,-2.89
201411,0.59,0.62
201412,0.22,0.23
201501,0.74,0.89
201502,0.51,0.63
201503,1.48,1.48
201504,2.20,2.14
201505,4.75,4.71
201506,5.13,5.18
201507,5.16,5.20
201508,4.19,4.22
201509,2.82,2.98
201510,3.86,3.89
201511,4.64,4.67
201512,4.85,4.86
201601,4.46,4.61
201602,3.76,3.88
201603,3.85,3.85
201604,4.50,4.44
201605,4.96,4.92
201606,5.15,5.20
201607,4.70,4.74
201608,5.75,5.78
201609,-0.17,-0.01
201610,-1.13,-1.10
201611,-1.14,-1.11
201612,-1.00,-0.99
201701,-0.81,-0.66
201702,-1.11,-0.99
201703,-1.31,-1.31
201704,-1.15,-1.21
