#  Texas Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-0.62,-0.63
199702,1.38,1.48
199703,1.68,1.72
199704,3.11,3.06
199705,3.18,3.19
199706,4.09,4.07
199707,4.19,4.16
199708,3.78,3.81
199709,2.15,2.29
199710,2.48,2.56
199711,2.41,2.37
199712,3.07,2.94
199801,3.02,3.01
199802,3.33,3.43
199803,3.52,3.56
199804,2.10,2.05
199805,-1.29,-1.28
199806,-2.98,-3.00
199807,-3.85,-3.88
199808,-2.29,-2.26
199809,-2.23,-2.09
199810,0.13,0.21
199811,1.62,1.58
199812,1.82,1.69
199901,1.78,1.77
199902,-0.52,-0.42
199903,0.79,0.83
199904,0.37,0.32
199905,0.68,0.69
199906,1.63,1.61
199907,1.66,1.63
199908,-0.02,0.01
199909,-1.19,-1.05
199910,-1.54,-1.46
199911,-2.49,-2.53
199912,-2.71,-2.84
200001,-3.11,-3.12
200002,-3.76,-3.66
200003,-3.48,-3.44
200004,-3.57,-3.62
200005,-4.18,-4.17
200006,-3.09,-3.11
200007,-4.47,-4.50
200008,-5.32,-5.29
200009,-5.77,-5.63
200010,-3.99,-3.91
200011,0.70,0.66
200012,1.97,1.84
200101,3.38,3.37
200102,3.41,3.51
200103,4.14,4.18
200104,2.30,2.25
200105,1.43,1.44
200106,0.70,0.68
200107,-1.32,-1.35
200108,-0.39,-0.36
200109,-0.30,-0.16
200110,-0.89,-0.81
200111,-0.01,-0.05
200112,0.32,0.19
200201,-0.34,-0.35
200202,-0.73,-0.63
200203,-0.40,-0.36
200204,-0.75,-0.80
200205,-1.50,-1.49
200206,-1.87,-1.89
200207,0.41,0.38
200208,-0.42,-0.39
200209,-0.46,-0.32
200210,1.75,1.83
200211,1.93,1.89
200212,2.76,2.63
200301,2.24,2.23
200302,2.85,2.95
200303,2.04,2.08
200304,0.40,0.35
200305,-1.76,-1.75
200306,-0.50,-0.52
200307,-0.56,-0.59
200308,-0.95,-0.92
200309,0.25,0.39
200310,0.35,0.43
200311,-0.36,-0.40
200312,-1.51,-1.64
200401,-1.46,-1.47
200402,0.00,0.10
200403,0.27,0.31
200404,1.26,1.21
200405,-0.10,-0.09
200406,2.28,2.26
200407,2.78,2.75
200408,3.37,3.40
200409,2.65,2.79
200410,3.05,3.13
200411,5.01,4.97
200412,4.55,4.42
200501,4.49,4.48
200502,4.66,4.76
200503,4.36,4.40
200504,2.78,2.73
200505,2.19,2.20
200506,0.57,0.55
200507,0.39,0.36
200508,1.24,1.27
200509,-0.94,-0.80
200510,-1.23,-1.15
200511,-2.03,-2.07
200512,-2.63,-2.76
200601,-3.20,-3.21
200602,-3.55,-3.45
200603,-3.42,-3.38
200604,-4.10,-4.15
200605,-4.95,-4.94
200606,-5.56,-5.58
200607,-5.59,-5.62
200608,-5.28,-5.25
200609,-4.39,-4.25
200610,-2.66,-2.58
200611,-3.54,-3.58
200612,-2.57,-2.70
200701,-0.13,-0.14
200702,-0.84,-0.74
200703,1.77,1.81
200704,1.92,1.87
200705,2.96,2.97
200706,4.21,4.19
200707,6.44,6.41
200708,7.70,7.73
