#  Utah Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,1,1
199704,1,0
199705,24,12
199706,76,11
199707,130,-43
199708,162,30
199709,41,9
199710,1,-1
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,-1
199805,7,-5
199806,24,-41
199807,227,54
199808,174,42
199809,49,17
199810,1,-1
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,-1
199905,7,-5
199906,62,-3
199907,181,8
199908,147,15
199909,26,-6
199910,4,2
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,3,2
200005,25,13
200006,101,36
200007,248,75
200008,217,85
200009,38,6
200010,1,-1
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,1,0
200105,30,18
200106,97,32
200107,221,48
200108,219,87
200109,80,48
200110,4,2
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,3,2
200205,14,2
200206,112,47
200207,294,121
200208,151,19
200209,34,2
200210,1,-1
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,1,0
200305,18,6
200306,85,20
200307,318,145
200308,214,82
200309,40,8
200310,11,9
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,1,1
200404,1,0
200405,16,4
200406,87,22
200407,191,18
200408,109,-23
200409,27,-5
200410,1,-1
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,1,0
200505,13,1
200506,40,-25
200507,244,71
200508,137,5
200509,30,-2
200510,2,0
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,1,0
200605,25,13
200606,121,56
200607,269,96
200608,141,9
200609,18,-14
200610,1,-1
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,1,1
200704,2,1
200705,22,10
200706,115,50
200707,300,127
200708,213,81
200709,38,6
200710,2,0
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,1,0
200805,7,-5
200806,71,6
200807,231,58
200808,171,39
200809,39,7
200810,2,0
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,1,0
200905,23,11
200906,43,-22
200907,195,22
200908,124,-8
200909,70,38
200910,1,-1
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,1,0
201005,2,-10
201006,69,4
201007,200,27
201008,132,0
201009,56,24
201010,2,0
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,1,0
201105,2,-10
201106,47,-18
201107,180,7
201108,196,64
201109,58,26
201110,2,0
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,0,0
201204,2,1
201205,19,7
201206,113,48
201207,226,53
201208,222,90
201209,58,26
201210,3,1
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,1,0
201305,14,2
201306,123,58
201307,250,77
201308,182,50
201309,35,3
201310,1,-1
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,1,0
201405,17,5
201406,78,13
201407,248,75
201408,97,-35
201409,60,28
201410,4,2
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,1,1
201504,1,0
201505,9,-3
201506,160,95
201507,140,-33
201508,161,29
201509,78,46
201510,9,7
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,0,0
201604,1,0
201605,10,-2
201606,158,93
201607,229,56
201608,161,29
201609,33,1
201610,4,2
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,1,1
201704,1,0
201705,12,0
201706,126,61
201707,275,102
201708,181,49
201709,26,-6
201710,2,0
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,2,1
201805,20,8
201806,119,54
201807,288,115
201808,184,52
201809,78,46
201810,1,-1
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,2,1
201905,1,-11
201906,57,-8
201907,218,45
201908,191,59
201909,39,7
201910,0,-2
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,1,0
202005,25,13
202006,71,6
202007,220,47
202008,273,141
202009,58,26
202010,5,3
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,2,1
202105,18,6
202106,196,131
202107,306,133
202108,151,19
202109,65,33
202110,1,-1
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,1,0
202205,10,-2
202206,101,36
202207,288,115
202208,201,69
202209,96,64
202210,3,1
202211,0,0
202212,0,0
