#  Utah Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1211,-47
199702,1055,37
199703,805,-120
199704,729,82
199705,311,-91
199706,143,-33
199707,52,16
199708,38,-16
199709,189,-39
199710,564,7
199711,880,-33
199712,1254,48
199801,1077,-181
199802,974,-44
199803,908,-17
199804,691,44
199805,419,17
199806,269,93
199807,17,-19
199808,32,-22
199809,156,-72
199810,584,27
199811,849,-64
199812,1227,21
199901,1084,-174
199902,932,-86
199903,795,-130
199904,755,108
199905,463,61
199906,173,-3
199907,29,-7
199908,46,-8
199909,248,20
199910,467,-90
199911,686,-227
199912,1163,-43
200001,1081,-177
200002,854,-164
200003,875,-50
200004,496,-151
200005,301,-101
200006,118,-58
200007,14,-22
200008,19,-35
200009,200,-28
200010,550,-7
200011,1112,199
200012,1128,-78
200101,1256,-2
200102,991,-27
200103,792,-133
200104,611,-36
200105,279,-123
200106,118,-58
200107,19,-17
200108,20,-34
200109,119,-109
200110,473,-84
200111,813,-100
200112,1292,86
200201,1283,25
200202,1090,72
200203,985,60
200204,557,-90
200205,370,-32
200206,101,-75
200207,7,-29
200208,41,-13
200209,209,-19
200210,626,69
200211,930,17
200212,1119,-87
200301,950,-308
200302,1017,-1
200303,828,-97
200304,631,-16
200305,336,-66
200306,148,-28
200307,6,-30
200308,22,-32
200309,198,-30
200310,383,-174
200311,995,82
200312,1088,-118
200401,1324,66
200402,1099,81
200403,687,-238
200404,564,-83
200405,359,-43
200406,140,-36
200407,31,-5
200408,71,17
200409,232,4
200410,550,-7
200411,910,-3
200412,1111,-95
200501,1056,-202
200502,957,-61
200503,880,-45
200504,632,-15
200505,373,-29
200506,220,44
200507,17,-19
200508,53,-1
200509,221,-7
200510,506,-51
200511,831,-82
200512,1162,-44
200601,1125,-133
200602,1016,-2
200603,941,16
200604,561,-86
200605,299,-103
200606,95,-81
200607,12,-24
200608,51,-3
200609,277,49
200610,605,48
200611,853,-60
200612,1167,-39
200701,1357,99
200702,918,-100
200703,736,-189
200704,560,-87
200705,316,-86
200706,98,-78
200707,8,-28
200708,24,-30
200709,202,-26
200710,542,-15
200711,776,-137
200712,1276,70
200801,1351,93
200802,1031,13
200803,961,36
200804,751,104
200805,453,51
200806,166,-10
200807,19,-17
200808,35,-19
200809,207,-21
200810,514,-43
200811,759,-154
200812,1207,1
200901,1144,-114
200902,961,-57
200903,883,-42
200904,656,9
200905,323,-79
200906,214,38
200907,30,-6
200908,61,7
200909,137,-91
200910,675,118
200911,816,-97
200912,1362,156
201001,1173,-85
201002,1010,-8
201003,879,-46
201004,677,30
201005,550,148
201006,162,-14
201007,28,-8
201008,54,0
201009,157,-71
201010,474,-83
201011,952,39
201012,1055,-151
201101,1242,-16
201102,1056,38
201103,873,-52
201104,741,94
201105,529,127
201106,203,27
201107,34,-2
201108,28,-26
201109,157,-71
201110,517,-40
201111,920,7
201112,1207,1
201201,1089,-169
201202,975,-43
201203,736,-189
201204,525,-122
201205,335,-67
201206,100,-76
201207,20,-16
201208,20,-34
201209,151,-77
201210,512,-45
201211,744,-169
201212,1176,-30
201301,1413,155
201302,1102,84
201303,823,-102
201304,688,41
201305,361,-41
201306,94,-82
201307,15,-21
201308,32,-22
201309,192,-36
201310,622,65
201311,828,-85
201312,1316,110
201401,1130,-128
201402,885,-133
201403,800,-125
201404,621,-26
201405,331,-71
201406,153,-23
201407,17,-19
201408,74,20
201409,150,-78
201410,426,-131
201411,869,-44
201412,1054,-152
201501,1034,-224
201502,767,-251
201503,673,-252
201504,588,-59
201505,404,2
201506,63,-113
201507,51,15
201508,38,-16
201509,121,-107
201510,376,-181
201511,953,40
201512,1218,12
201601,1215,-43
201602,915,-103
201603,770,-155
201604,550,-97
201605,400,-2
201606,65,-111
201607,20,-16
201608,38,-16
201609,200,-28
201610,435,-122
201611,721,-192
201612,1220,14
201701,1283,25
201702,866,-152
201703,670,-255
201704,655,8
201705,374,-28
201706,91,-85
201707,11,-25
201708,31,-23
201709,227,-1
201710,607,50
201711,717,-196
201712,1109,-97
201801,1018,-240
201802,971,-47
201803,866,-59
201804,569,-78
201805,306,-96
201806,93,-83
201807,8,-28
201808,28,-26
201809,120,-108
201810,587,30
201811,951,38
201812,1208,2
201901,1209,-49
201902,1070,52
201903,899,-26
201904,577,-70
201905,494,92
201906,181,5
201907,21,-15
201908,27,-27
201909,186,-42
201910,769,212
201911,848,-65
201912,1155,-51
202001,1132,-126
202002,1016,-2
202003,808,-117
202004,605,-42
202005,299,-103
202006,162,-14
202007,21,-15
202008,11,-43
202009,154,-74
202010,466,-91
202011,832,-81
202012,1187,-19
202101,1154,-104
202102,977,-41
202103,870,-55
202104,611,-36
202105,339,-63
202106,49,-127
202107,7,-29
202108,43,-11
202109,142,-86
202110,566,9
202111,709,-204
202112,1084,-122
202201,1141,-117
202202,1046,28
202203,815,-110
202204,658,11
202205,431,29
202206,118,-58
202207,11,-25
202208,25,-29
202209,99,-129
202210,475,-82
202211,1020,107
202212,1180,-26
