#  Utah Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.31,1.87
199702,2.49,2.01
199703,1.62,1.13
199704,2.17,1.71
199705,2.13,1.58
199706,2.68,2.19
199707,2.92,2.38
199708,3.60,3.01
199709,5.06,4.43
199710,4.55,3.93
199711,3.93,3.38
199712,3.12,2.72
199801,2.85,2.41
199802,3.44,2.96
199803,3.41,2.92
199804,3.41,2.95
199805,3.44,2.89
199806,4.42,3.93
199807,5.45,4.91
199808,4.94,4.35
199809,5.11,4.48
199810,5.37,4.75
199811,4.76,4.21
199812,3.91,3.51
199901,3.44,3.00
199902,2.86,2.38
199903,1.59,1.10
199904,2.59,2.13
199905,2.67,2.12
199906,2.85,2.36
199907,3.21,2.67
199908,3.63,3.04
199909,3.21,2.58
199910,1.97,1.35
199911,0.69,0.14
199912,-2.36,-2.76
200001,-2.19,-2.63
200002,-1.80,-2.28
200003,-1.84,-2.33
200004,-2.52,-2.98
200005,-2.93,-3.48
200006,-3.44,-3.93
200007,-4.21,-4.75
200008,-3.79,-4.38
200009,-3.56,-4.19
200010,-1.99,-2.61
200011,-1.83,-2.38
200012,-1.94,-2.34
200101,-1.80,-2.24
200102,-1.47,-1.95
200103,-1.58,-2.07
200104,-1.28,-1.74
200105,-1.64,-2.19
200106,-2.02,-2.51
200107,-2.22,-2.76
200108,-2.15,-2.74
200109,-2.72,-3.35
200110,-3.11,-3.73
200111,-2.67,-3.22
200112,-2.46,-2.86
200201,-2.81,-3.25
200202,-3.32,-3.80
200203,-3.54,-4.03
200204,-3.85,-4.31
200205,-4.58,-5.13
200206,-5.48,-5.97
200207,-6.10,-6.64
200208,-6.60,-7.19
200209,-4.86,-5.49
200210,-4.16,-4.78
200211,-3.89,-4.44
200212,-3.93,-4.33
200301,-4.46,-4.90
200302,-4.12,-4.60
200303,-4.12,-4.61
200304,-4.01,-4.47
200305,-4.04,-4.59
200306,-4.38,-4.87
200307,-5.08,-5.62
200308,-4.93,-5.52
200309,-4.85,-5.48
200310,-5.22,-5.84
200311,-4.41,-4.96
200312,-3.50,-3.90
200401,-3.45,-3.89
200402,-2.45,-2.93
200403,-3.27,-3.76
200404,-2.74,-3.20
200405,-2.95,-3.50
200406,-2.99,-3.48
