#  Utah Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,36.3,0.6
199702,40.2,-1.0
199703,55.7,7.0
199704,55.1,-3.2
199705,72.4,4.2
199706,79.1,0.3
199707,84.7,-1.5
199708,83.6,-0.1
199709,73.9,-1.1
199710,62.1,-0.1
199711,48.2,0.7
199712,36.4,-0.8
199801,41.7,6.0
199802,40.2,-1.0
199803,50.3,1.6
199804,55.4,-2.9
199805,66.9,-1.3
199806,74.1,-4.7
199807,88.2,2.0
199808,86.2,2.5
199809,76.0,1.0
199810,59.6,-2.6
199811,48.8,1.3
199812,38.4,1.2
199901,42.2,6.5
199902,45.9,4.7
199903,55.6,6.9
199904,53.3,-5.0
199905,66.5,-1.7
199906,78.5,-0.3
199907,85.7,-0.5
199908,82.7,-1.0
199909,74.4,-0.6
199910,68.4,6.2
199911,56.9,9.4
199912,40.3,3.1
200001,41.5,5.8
200002,46.0,4.8
200003,50.6,1.9
200004,65.2,6.9
200005,73.8,5.6
200006,82.8,4.0
200007,89.8,3.6
200008,87.0,3.3
200009,76.7,1.7
200010,60.6,-1.6
200011,40.3,-7.2
200012,41.0,3.8
200101,36.6,0.9
200102,41.7,0.5
200103,52.8,4.1
200104,59.3,1.0
200105,74.2,6.0
200106,83.2,4.4
200107,87.6,1.4
200108,87.2,3.5
200109,81.1,6.1
200110,66.6,4.4
200111,50.7,3.2
200112,34.8,-2.4
200201,36.6,0.9
200202,42.2,1.0
200203,49.2,0.5
200204,63.7,5.4
200205,71.5,3.3
200206,85.0,6.2
200207,91.8,5.6
200208,86.4,2.7
200209,74.2,-0.8
200210,59.7,-2.5
200211,47.4,-0.1
200212,39.3,2.1
200301,46.2,10.5
200302,41.3,0.1
200303,51.8,3.1
200304,58.4,0.1
200305,71.5,3.3
200306,81.0,2.2
200307,93.3,7.1
200308,86.9,3.2
200309,77.5,2.5
200310,70.0,7.8
200311,43.7,-3.8
200312,40.0,2.8
200401,34.4,-1.3
200402,37.6,-3.6
200403,59.2,10.5
200404,60.2,1.9
200405,71.0,2.8
200406,81.0,2.2
200407,87.0,0.8
200408,83.0,-0.7
200409,74.6,-0.4
200410,59.8,-2.4
200411,45.6,-1.9
200412,39.9,2.7
200501,41.2,5.5
200502,43.4,2.2
200503,50.6,1.9
200504,58.9,0.6
200505,69.6,1.4
200506,75.9,-2.9
200507,90.8,4.6
200508,83.2,-0.5
200509,75.5,0.5
200510,63.4,1.2
200511,50.6,3.1
200512,40.2,3.0
200601,40.8,5.1
200602,44.3,3.1
200603,47.2,-1.5
200604,61.9,3.6
