#  Vermont Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,0,-4
199706,29,10
199707,54,-30
199708,45,-9
199709,0,-4
199710,0,0
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,20,16
199806,20,1
199807,73,-11
199808,75,21
199809,8,4
199810,0,0
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,9,5
199906,65,46
199907,135,51
199908,51,-3
199909,21,17
199910,0,0
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,3,-1
200006,12,-7
200007,38,-46
200008,48,-6
200009,0,-4
200010,0,0
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,7,3
200106,35,16
200107,43,-41
200108,127,73
200109,7,3
200110,0,0
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,0
200205,0,-4
200206,13,-6
200207,94,10
200208,105,51
200209,21,17
200210,0,0
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,0,-4
200306,19,0
200307,92,8
200308,114,60
200309,10,6
200310,0,0
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,8,4
200406,7,-12
200407,76,-8
200408,64,10
200409,10,6
200410,0,0
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,0,-4
200506,86,67
200507,140,56
200508,110,56
200509,22,18
200510,0,0
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,0,0
200605,6,2
200606,31,12
200607,153,69
200608,52,-2
200609,3,-1
200610,0,0
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,4,0
200706,33,14
200707,59,-25
200708,68,14
200709,12,8
200710,0,0
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,0,-4
200806,42,23
200807,101,17
200808,45,-9
200809,11,7
200810,0,0
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,0,-4
200906,11,-8
200907,51,-33
200908,92,38
200909,0,-4
200910,0,0
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,0,0
201005,11,7
201006,22,3
201007,157,73
201008,82,28
201009,14,10
201010,0,0
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,0
201105,11,7
201106,24,5
201107,137,53
201108,88,34
201109,25,21
201110,0,0
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,0,0
201204,0,0
201205,18,14
201206,26,7
201207,128,44
201208,111,57
201209,6,2
201210,0,0
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,8,4
201306,22,3
201307,166,82
201308,59,5
201309,4,0
201310,0,0
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,3,-1
201406,30,11
201407,91,7
201408,49,-5
201409,7,3
201410,0,0
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,23,19
201506,8,-11
201507,89,5
201508,102,48
201509,41,37
201510,0,0
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,0,0
201604,0,0
201605,5,1
201606,25,6
201607,114,30
201608,122,68
201609,19,15
201610,0,0
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,0
201705,0,-4
201706,18,-1
201707,70,-14
201708,50,-4
201709,24,20
201710,0,0
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,14,10
201806,9,-10
201807,158,74
201808,140,86
201809,23,19
201810,0,0
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,0
201905,0,-4
201906,13,-6
201907,147,63
201908,68,14
201909,5,1
201910,0,0
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,0
202005,0,-4
202006,33,14
202007,201,117
202008,80,26
202009,5,1
202010,0,0
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,3,-1
202106,68,49
202107,65,-19
202108,147,93
202109,15,11
202110,0,0
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,0
202205,14,10
202206,18,-1
202207,115,31
202208,139,85
202209,8,4
202210,0,0
202211,0,0
202212,0,0
