#  Vermont Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1504,-24
199702,1158,-188
199703,1234,74
199704,801,59
199705,528,137
199706,93,-36
199707,66,20
199708,98,4
199709,284,19
199710,651,47
199711,983,40
199712,1292,-81
199801,1329,-199
199802,1082,-264
199803,1034,-126
199804,644,-98
199805,224,-167
199806,108,-21
199807,48,2
199808,63,-31
199809,217,-48
199810,560,-44
199811,874,-69
199812,1098,-275
199901,1477,-51
199902,1185,-161
199903,1112,-48
199904,702,-40
199905,296,-95
199906,47,-82
199907,16,-30
199908,88,-6
199909,147,-118
199910,664,60
199911,757,-186
199912,1207,-166
200001,1535,7
200002,1227,-119
200003,948,-212
200004,746,4
200005,365,-26
200006,141,12
200007,86,40
200008,91,-3
200009,281,16
200010,593,-11
200011,899,-44
200012,1488,115
200101,1445,-83
200102,1257,-89
200103,1220,60
200104,742,0
200105,317,-74
200106,81,-48
200107,79,33
200108,27,-67
200109,229,-36
200110,524,-80
200111,784,-159
200112,1078,-295
200201,1217,-311
200202,1134,-212
200203,1078,-82
200204,635,-107
200205,475,84
200206,134,5
200207,34,-12
200208,39,-55
200209,148,-117
200210,674,70
200211,968,25
200212,1331,-42
200301,1706,178
200302,1411,65
200303,1138,-22
200304,797,55
200305,398,7
200306,110,-19
200307,34,-12
200308,33,-61
200309,199,-66
200310,638,34
200311,841,-102
200312,1326,-47
200401,1777,249
200402,1323,-23
200403,1022,-138
200404,696,-46
200405,310,-81
200406,165,36
200407,45,-1
200408,73,-21
200409,202,-63
200410,598,-6
200411,895,-48
200412,1335,-38
200501,1573,45
200502,1224,-122
200503,1226,66
200504,635,-107
200505,496,105
200506,32,-97
200507,16,-30
200508,36,-58
200509,146,-119
200510,527,-77
200511,827,-116
200512,1341,-32
200601,1197,-331
200602,1213,-133
200603,1105,-55
200604,651,-91
200605,332,-59
200606,86,-43
200607,12,-34
200608,89,-5
200609,256,-9
200610,630,26
200611,727,-216
200612,1057,-316
200701,1389,-139
200702,1447,101
200703,1203,43
200704,775,33
200705,358,-33
200706,85,-44
200707,62,16
200708,70,-24
200709,187,-78
200710,421,-183
200711,964,21
200712,1334,-39
200801,1332,-196
200802,1233,-113
200803,1202,42
200804,590,-152
200805,454,63
200806,71,-58
200807,29,-17
200808,96,2
200809,197,-68
200810,639,35
200811,899,-44
200812,1294,-79
200901,1660,132
200902,1230,-116
200903,1081,-79
200904,644,-98
200905,378,-13
200906,144,15
200907,70,24
200908,48,-46
200909,271,6
200910,675,71
200911,759,-184
200912,1324,-49
201001,1379,-149
201002,1156,-190
201003,895,-265
201004,554,-188
201005,276,-115
201006,106,-23
201007,11,-35
201008,57,-37
201009,179,-86
201010,602,-2
201011,889,-54
201012,1359,-14
201101,1514,-14
201102,1316,-30
201103,1151,-9
201104,685,-57
201105,278,-113
201106,103,-26
201107,17,-29
201108,51,-43
201109,139,-126
201110,529,-75
201111,736,-207
201112,1137,-236
201201,1329,-199
201202,1088,-258
201203,798,-362
201204,660,-82
201205,237,-154
201206,97,-32
201207,20,-26
201208,35,-59
201209,228,-37
201210,476,-128
201211,944,1
201212,1152,-221
201301,1419,-109
201302,1209,-137
201303,1092,-68
201304,712,-30
201305,304,-87
201306,105,-24
201307,10,-36
201308,78,-16
201309,252,-13
201310,523,-81
201311,987,44
201312,1339,-34
201401,1553,25
201402,1342,-4
201403,1420,260
201404,722,-20
201405,349,-42
201406,90,-39
201407,35,-11
201408,91,-3
201409,220,-45
201410,477,-127
201411,939,-4
201412,1165,-208
201501,1620,92
201502,1660,314
201503,1309,149
201504,749,7
201505,209,-182
201506,152,23
201507,37,-9
201508,41,-53
201509,107,-158
201510,631,27
201511,763,-180
201512,912,-461
201601,1355,-173
201602,1142,-204
201603,960,-200
201604,791,49
201605,337,-54
201606,101,-28
201607,25,-21
201608,31,-63
201609,159,-106
201610,525,-79
201611,838,-105
201612,1256,-117
201701,1230,-298
201702,1088,-258
201703,1270,110
201704,583,-159
201705,401,10
201706,114,-15
201707,52,6
201708,90,-4
201709,141,-124
201710,366,-238
201711,947,4
201712,1442,69
201801,1494,-34
201802,1093,-253
201803,1131,-29
201804,858,116
201805,262,-129
201806,147,18
201807,12,-34
201808,23,-71
201809,143,-122
201810,622,18
201811,1036,93
201812,1283,-90
201901,1537,9
201902,1274,-72
201903,1195,35
201904,700,-42
201905,429,38
201906,135,6
201907,14,-32
201908,70,-24
201909,241,-24
201910,538,-66
201911,1058,115
201912,1280,-93
202001,1274,-254
202002,1180,-166
202003,977,-183
202004,775,33
202005,376,-15
202006,87,-42
202007,3,-43
202008,59,-35
202009,233,-32
202010,561,-43
202011,799,-144
202012,1157,-216
202101,1369,-159
202102,1280,-66
202103,1042,-118
202104,644,-98
202105,357,-34
202106,45,-84
202107,56,10
202108,20,-74
202109,170,-95
202110,408,-196
202111,912,-31
202112,1123,-250
202201,1634,106
202202,1228,-118
202203,1053,-107
202204,701,-41
202205,255,-136
202206,115,-14
202207,25,-21
202208,23,-71
202209,214,-51
202210,523,-81
202211,781,-162
202212,1163,-210
