#  Vermont Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.13,3.45
199702,2.79,3.12
199703,2.95,3.16
199704,2.61,2.87
199705,2.58,2.86
199706,1.68,1.93
199707,1.73,1.99
199708,2.47,2.72
199709,2.18,2.32
199710,1.66,1.79
199711,2.22,2.42
199712,1.71,2.02
199801,2.89,3.21
199802,2.44,2.77
199803,2.55,2.76
199804,1.64,1.90
199805,0.80,1.08
199806,2.85,3.10
199807,3.12,3.38
199808,3.26,3.51
199809,3.16,3.30
199810,2.77,2.90
199811,2.06,2.26
199812,1.08,1.39
199901,2.26,2.58
199902,1.40,1.73
199903,1.83,2.04
199904,-1.39,-1.13
199905,-1.51,-1.23
199906,-2.23,-1.98
199907,-2.44,-2.18
199908,-3.02,-2.77
199909,-1.23,-1.09
199910,-0.63,-0.50
199911,-0.99,-0.79
199912,-1.62,-1.31
200001,-1.06,-0.74
200002,1.13,1.46
200003,0.85,1.06
200004,2.15,2.41
200005,2.66,2.94
200006,2.42,2.67
200007,2.77,3.03
200008,2.85,3.10
200009,2.34,2.48
200010,1.97,2.10
200011,1.51,1.71
200012,2.09,2.40
200101,1.23,1.55
200102,1.36,1.69
200103,2.56,2.77
200104,1.05,1.31
200105,-1.78,-1.50
200106,-1.78,-1.53
200107,-1.85,-1.59
200108,-2.83,-2.58
200109,-2.74,-2.60
200110,-3.40,-3.27
200111,-4.17,-3.97
200112,-4.25,-3.94
200201,-3.99,-3.67
200202,-3.20,-2.87
200203,-2.52,-2.31
200204,-1.89,-1.63
200205,-1.25,-0.97
200206,2.70,2.95
200207,2.09,2.35
200208,0.74,0.99
200209,0.70,0.84
200210,0.71,0.84
200211,1.19,1.39
200212,0.84,1.15
200301,-0.94,-0.62
200302,-1.26,-0.93
200303,-1.30,-1.09
200304,-1.33,-1.07
200305,-1.00,-0.72
200306,-1.29,-1.04
200307,-1.06,-0.80
200308,0.61,0.86
200309,1.02,1.16
200310,2.49,2.62
200311,2.57,2.77
200312,3.94,4.25
200401,2.73,3.05
200402,1.65,1.98
200403,0.91,1.12
200404,0.66,0.92
200405,0.96,1.24
200406,0.65,0.90
200407,1.29,1.55
200408,2.95,3.20
200409,2.62,2.76
200410,1.72,1.85
200411,1.46,1.66
200412,1.84,2.15
200501,1.68,2.00
200502,1.39,1.72
200503,1.13,1.34
200504,1.70,1.96
200505,1.33,1.61
200506,1.39,1.64
200507,1.22,1.48
200508,1.04,1.29
200509,0.78,0.92
200510,3.37,3.50
200511,3.73,3.93
200512,3.37,3.68
200601,3.78,4.10
200602,3.13,3.46
200603,2.12,2.33
200604,1.65,1.91
200605,2.55,2.83
200606,4.40,4.65
200607,4.26,4.52
200608,4.35,4.60
200609,3.78,3.92
200610,5.16,5.29
200611,4.06,4.26
200612,4.04,4.35
200701,3.88,4.20
200702,3.47,3.80
200703,3.40,3.61
200704,4.10,4.36
200705,3.32,3.60
200706,2.69,2.94
200707,3.28,3.54
200708,2.68,2.93
200709,2.18,2.32
200710,2.64,2.77
200711,2.90,3.10
200712,3.26,3.57
200801,2.67,2.99
200802,4.39,4.72
200803,4.88,5.09
200804,4.17,4.43
200805,2.92,3.20
200806,3.51,3.76
200807,4.63,4.89
200808,5.23,5.48
200809,4.59,4.73
200810,5.02,5.15
200811,4.09,4.29
200812,4.75,5.06
200901,4.18,4.50
200902,3.55,3.88
200903,2.93,3.14
200904,1.99,2.25
200905,2.41,2.69
200906,2.68,2.93
200907,3.95,4.21
200908,3.87,4.12
200909,3.13,3.27
200910,3.69,3.82
200911,3.24,3.44
200912,3.15,3.46
201001,2.63,2.95
201002,2.64,2.97
201003,2.60,2.81
201004,1.92,2.18
201005,0.96,1.24
201006,1.56,1.81
201007,1.22,1.48
201008,1.28,1.53
201009,0.90,1.04
201010,3.14,3.27
201011,2.54,2.74
201012,2.60,2.91
201101,2.03,2.35
201102,2.36,2.69
201103,2.98,3.19
201104,4.09,4.35
201105,4.66,4.94
201106,4.62,4.87
201107,3.76,4.02
201108,6.13,6.38
201109,6.49,6.63
201110,6.31,6.44
201111,4.67,4.87
201112,4.29,4.60
201201,3.86,4.18
201202,2.65,2.98
201203,1.34,1.55
201204,1.00,1.26
201205,1.34,1.62
201206,1.13,1.38
201207,0.67,0.93
201208,-2.12,-1.87
201209,-1.41,-1.27
201210,-0.60,-0.47
201211,-1.66,-1.46
201212,-0.71,-0.40
201301,-1.13,-0.81
201302,-1.41,-1.08
201303,-1.60,-1.39
201304,-1.87,-1.61
201305,-0.95,-0.67
201306,2.49,2.74
201307,3.14,3.40
201308,2.70,2.95
201309,2.78,2.92
201310,2.11,2.24
201311,2.06,2.26
201312,1.89,2.20
201401,1.77,2.09
201402,1.91,2.24
201403,1.90,2.11
201404,1.62,1.88
201405,1.74,2.02
201406,1.79,2.04
201407,2.65,2.91
201408,2.34,2.59
201409,1.37,1.51
201410,1.63,1.76
201411,0.98,1.18
201412,1.48,1.79
201501,1.26,1.58
201502,0.65,0.98
201503,-1.39,-1.18
201504,-1.55,-1.29
201505,-2.00,-1.72
201506,2.19,2.44
201507,2.00,2.26
201508,1.24,1.49
201509,1.13,1.27
201510,1.06,1.19
201511,-1.41,-1.21
201512,-0.59,-0.28
201601,-1.13,-0.81
201602,1.20,1.53
201603,0.95,1.16
201604,0.58,0.84
201605,-0.86,-0.58
201606,-1.14,-0.89
201607,-1.28,-1.02
201608,-1.09,-0.84
201609,-1.93,-1.79
201610,-2.11,-1.98
201611,-2.62,-2.42
201612,-2.23,-1.92
201701,-2.19,-1.87
201702,-1.84,-1.51
201703,-1.50,-1.29
201704,-1.24,-0.98
201705,1.10,1.38
201706,2.15,2.40
201707,2.09,2.35
201708,1.81,2.06
201709,1.13,1.27
201710,1.35,1.48
201711,0.57,0.77
201712,-0.81,-0.50
201801,0.25,0.57
201802,0.42,0.75
201803,0.38,0.59
201804,1.32,1.58
201805,-0.93,-0.65
201806,-0.96,-0.71
201807,-1.00,-0.74
201808,-1.18,-0.93
201809,-1.31,-1.17
201810,-0.91,-0.78
201811,1.50,1.70
201812,1.54,1.85
201901,2.36,2.68
201902,2.17,2.50
201903,1.45,1.66
201904,2.42,2.68
201905,2.99,3.27
201906,3.51,3.76
201907,2.72,2.98
201908,2.24,2.49
201909,1.65,1.79
201910,2.64,2.77
201911,2.58,2.78
201912,2.41,2.72
202001,2.11,2.43
202002,2.24,2.57
202003,1.90,2.11
202004,2.10,2.36
202005,1.53,1.81
202006,0.58,0.83
202007,-1.40,-1.14
202008,-1.40,-1.15
202009,-1.98,-1.84
202010,-1.73,-1.60
202011,-2.09,-1.89
202012,-1.81,-1.50
202101,-1.98,-1.66
202102,-2.01,-1.68
202103,-2.57,-2.36
202104,-2.22,-1.96
202105,-2.56,-2.28
202106,-3.02,-2.77
202107,-1.18,-0.92
202108,-1.29,-1.04
202109,-1.20,-1.06
202110,-0.69,-0.56
202111,-0.80,-0.60
202112,-0.84,-0.53
202201,-1.45,-1.13
202202,0.83,1.16
202203,0.80,1.01
202204,1.47,1.73
202205,0.88,1.16
202206,-0.70,-0.45
202207,-0.88,-0.62
202208,-1.36,-1.11
202209,-0.75,-0.61
202210,-0.92,-0.79
202211,-1.03,-0.83
202212,0.44,0.75
