#  Vermont Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,15.9,0.6
199702,23.2,6.7
199703,24.8,-2.4
199704,37.9,-2.0
199705,47.6,-4.6
199706,62.5,1.5
199707,64.3,-1.6
199708,62.9,-0.5
199709,55.3,-0.7
199710,43.7,-1.5
199711,32.0,-1.2
199712,22.7,2.5
199801,21.7,6.4
199802,26.1,9.6
199803,31.3,4.1
199804,43.2,3.3
199805,58.1,5.9
199806,61.8,0.8
199807,65.6,-0.3
199808,65.1,1.7
199809,57.8,1.8
199810,46.7,1.5
199811,35.5,2.3
199812,29.2,9.0
199901,17.0,1.7
199902,22.2,5.7
199903,28.9,1.7
199904,41.3,1.4
199905,55.5,3.3
199906,65.4,4.4
199907,68.5,2.6
199908,63.6,0.2
199909,60.6,4.6
199910,43.3,-1.9
199911,39.3,6.1
199912,25.7,5.5
200001,15.0,-0.3
200002,20.8,4.3
200003,34.1,6.9
200004,39.8,-0.1
200005,52.9,0.7
200006,60.4,-0.6
200007,63.1,-2.8
200008,63.3,-0.1
200009,55.5,-0.5
200010,45.6,0.4
200011,34.8,1.6
200012,16.6,-3.6
200101,17.8,2.5
200102,19.5,3.0
200103,25.2,-2.0
200104,39.9,0.0
200105,54.8,2.6
200106,63.2,2.2
200107,63.6,-2.3
200108,67.9,4.5
200109,57.4,1.4
200110,47.8,2.6
200111,38.5,5.3
200112,29.8,9.6
200201,25.2,9.9
200202,24.0,7.5
200203,29.7,2.5
200204,43.4,3.5
200205,49.4,-2.8
200206,60.6,-0.4
200207,66.5,0.6
200208,66.8,3.4
200209,60.4,4.4
200210,42.9,-2.3
200211,32.3,-0.9
200212,21.6,1.4
200301,9.5,-5.8
200302,14.2,-2.3
200303,27.8,0.6
200304,38.1,-1.8
200305,51.9,-0.3
200306,61.7,0.7
200307,66.5,0.6
200308,67.3,3.9
200309,58.4,2.4
200310,44.1,-1.1
200311,36.5,3.3
200312,21.8,1.6
200401,7.2,-8.1
200402,17.5,1.0
200403,31.6,4.4
200404,41.4,1.5
200405,54.9,2.7
200406,59.4,-1.6
200407,65.7,-0.2
200408,64.5,1.1
200409,58.3,2.3
200410,45.4,0.2
200411,34.8,1.6
200412,21.4,1.2
200501,13.9,-1.4
200502,21.1,4.6
200503,25.1,-2.1
200504,43.4,3.5
200505,48.7,-3.5
200506,66.5,5.5
