#  Virginia Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,920,-21
199702,653,-146
199703,542,-89
199704,414,82
199705,194,82
199706,16,7
199707,0,0
199708,1,-1
199709,49,4
199710,283,3
199711,632,56
199712,824,-50
199801,743,-198
199802,651,-148
199803,595,-36
199804,273,-59
199805,69,-43
199806,5,-4
199807,0,0
199808,0,-2
199809,7,-38
199810,245,-35
199811,517,-59
199812,682,-192
199901,810,-131
199902,699,-100
199903,694,63
199904,279,-53
199905,107,-5
199906,6,-3
199907,0,0
199908,0,-2
199909,49,4
199910,320,40
199911,402,-174
199912,777,-97
200001,956,15
200002,656,-143
200003,480,-151
200004,325,-7
200005,67,-45
200006,2,-7
200007,1,1
200008,1,-1
200009,58,13
200010,237,-43
200011,636,60
200012,1073,199
200101,949,8
200102,676,-123
200103,707,76
200104,260,-72
200105,114,2
200106,5,-4
200107,1,1
200108,0,-2
200109,66,21
200110,287,7
200111,402,-174
200112,663,-211
200201,779,-162
200202,671,-128
200203,571,-60
200204,224,-108
200205,126,14
200206,2,-7
200207,0,0
200208,0,-2
200209,21,-24
200210,253,-27
200211,590,14
200212,901,27
200301,1054,113
200302,861,62
200303,547,-84
200304,316,-16
200305,143,31
200306,16,7
200307,0,0
200308,0,-2
200309,43,-2
200310,306,26
200311,395,-181
200312,858,-16
200401,1035,94
200402,806,7
200403,541,-90
200404,284,-48
200405,29,-83
200406,7,-2
200407,0,0
200408,2,0
200409,30,-15
200410,260,-20
200411,462,-114
200412,814,-60
200501,860,-81
200502,723,-76
200503,723,92
200504,294,-38
200505,178,66
200506,3,-6
200507,0,0
200508,0,-2
200509,14,-31
200510,222,-58
200511,474,-102
200512,922,48
200601,700,-241
200602,763,-36
200603,581,-50
200604,223,-109
200605,141,29
200606,7,-2
200607,0,0
200608,0,-2
200609,67,22
200610,324,44
200611,471,-105
200612,666,-208
200701,771,-170
200702,935,136
200703,519,-112
200704,347,15
200705,85,-27
200706,2,-7
200707,1,1
200708,0,-2
200709,20,-25
200710,122,-158
200711,552,-24
200712,740,-134
200801,881,-60
200802,695,-104
200803,559,-72
200804,267,-65
200805,146,34
200806,1,-8
200807,0,0
200808,2,0
200809,29,-16
200810,312,32
200811,609,33
200812,768,-106
200901,1015,74
200902,726,-73
200903,624,-7
200904,281,-51
200905,92,-20
200906,5,-4
200907,3,3
200908,0,-2
200909,45,0
200910,295,15
200911,453,-123
200912,897,23
201001,984,43
201002,917,118
201003,526,-105
201004,198,-134
201005,61,-51
201006,0,-9
201007,0,0
201008,0,-2
201009,16,-29
201010,223,-57
201011,553,-23
201012,1061,187
201101,1021,80
201102,677,-122
201103,591,-40
201104,213,-119
201105,74,-38
201106,1,-8
201107,0,0
201108,0,-2
201109,29,-16
201110,289,9
201111,454,-122
201112,689,-185
201201,805,-136
201202,643,-156
201203,327,-304
201204,289,-43
201205,45,-67
201206,9,0
201207,0,0
201208,0,-2
201209,40,-5
201210,263,-17
201211,660,84
201212,680,-194
201301,821,-120
201302,792,-7
201303,759,128
201304,265,-67
201305,119,7
201306,2,-7
201307,0,0
201308,3,1
201309,50,5
201310,235,-45
201311,625,49
201312,763,-111
201401,1093,152
201402,794,-5
201403,765,134
201404,304,-28
201405,76,-36
201406,1,-8
201407,1,1
201408,4,2
201409,31,-14
201410,225,-55
201411,663,87
201412,752,-122
201501,977,36
201502,1015,216
201503,667,36
201504,276,-56
201505,46,-66
201506,1,-8
201507,0,0
201508,1,-1
201509,19,-26
201510,276,-4
201511,408,-168
201512,478,-396
201601,976,35
201602,739,-60
201603,421,-210
201604,302,-30
201605,135,23
201606,2,-7
201607,0,0
201608,0,-2
201609,7,-38
201610,188,-92
201611,499,-77
201612,796,-78
201701,777,-164
201702,528,-271
201703,599,-32
201704,151,-181
201705,108,-4
201706,5,-4
201707,0,0
201708,1,-1
201709,35,-10
201710,165,-115
201711,559,-17
201712,861,-13
201801,1012,71
201802,567,-232
201803,741,110
201804,372,40
201805,25,-87
201806,1,-8
201807,0,0
201808,0,-2
201809,6,-39
201810,198,-82
201811,622,46
201812,778,-96
201901,890,-51
201902,661,-138
201903,650,19
201904,203,-129
201905,34,-78
201906,6,-3
201907,0,0
201908,0,-2
201909,5,-40
201910,168,-112
201911,642,66
201912,733,-141
202001,754,-187
202002,623,-176
202003,424,-207
202004,347,15
202005,155,43
202006,4,-5
202007,0,0
202008,0,-2
202009,48,3
202010,203,-77
202011,397,-179
202012,808,-66
202101,877,-64
202102,794,-5
202103,509,-122
202104,281,-51
202105,120,8
202106,2,-7
202107,0,0
202108,0,-2
202109,25,-20
202110,126,-154
202111,597,21
202112,596,-278
202201,995,54
202202,679,-120
202203,501,-130
202204,297,-35
202205,79,-33
202206,2,-7
202207,0,0
202208,0,-2
202209,31,-14
202210,333,53
202211,465,-111
202212,851,-23
