#  Virginia Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.66,-0.69
199702,2.87,-0.15
199703,4.32,0.54
199704,3.30,-0.07
199705,1.91,-1.92
199706,3.46,-0.52
199707,4.51,-0.01
199708,2.17,-2.18
199709,3.10,-0.45
199710,2.55,-0.57
199711,4.47,1.62
199712,2.76,-0.46
199801,6.89,3.54
199802,5.99,2.97
199803,5.22,1.44
199804,4.95,1.58
199805,5.30,1.47
199806,4.30,0.32
199807,2.15,-2.37
199808,2.91,-1.44
199809,1.81,-1.74
199810,1.50,-1.62
199811,1.15,-1.70
199812,3.77,0.55
199901,4.99,1.64
199902,2.20,-0.82
199903,3.46,-0.32
199904,2.90,-0.47
199905,2.31,-1.52
199906,1.89,-2.09
199907,4.18,-0.34
199908,3.35,-1.00
199909,10.37,6.82
199910,2.65,-0.47
199911,2.22,-0.63
199912,2.20,-1.02
200001,3.25,-0.10
200002,1.81,-1.21
200003,3.25,-0.53
200004,4.66,1.29
200005,3.29,-0.54
200006,5.51,1.53
200007,5.14,0.62
200008,4.57,0.22
200009,4.84,1.29
200010,0.09,-3.03
200011,1.88,-0.97
200012,2.04,-1.18
200101,2.27,-1.08
200102,2.01,-1.01
200103,4.45,0.67
200104,1.64,-1.73
200105,4.88,1.05
200106,4.62,0.64
200107,5.21,0.69
200108,3.84,-0.51
200109,2.20,-1.35
200110,0.89,-2.23
200111,0.59,-2.26
200112,2.28,-0.94
200201,2.99,-0.36
200202,0.90,-2.12
200203,4.39,0.61
200204,3.20,-0.17
200205,3.52,-0.31
200206,2.54,-1.44
200207,3.97,-0.55
200208,2.98,-1.37
200209,3.49,-0.06
200210,5.74,2.62
200211,4.80,1.95
200212,4.10,0.88
200301,2.19,-1.16
200302,6.10,3.08
200303,4.33,0.55
200304,4.79,1.42
200305,7.22,3.39
200306,6.49,2.51
200307,6.15,1.63
200308,5.29,0.94
200309,8.15,4.60
200310,2.66,-0.46
200311,4.35,1.50
200312,4.17,0.95
200401,1.95,-1.40
200402,2.38,-0.64
200403,2.17,-1.61
200404,4.13,0.76
200405,4.40,0.57
200406,5.36,1.38
200407,5.81,1.29
200408,6.03,1.68
200409,7.25,3.70
200410,2.35,-0.77
200411,4.21,1.36
200412,2.90,-0.32
200501,3.09,-0.26
200502,1.82,-1.20
200503,3.80,0.02
200504,3.10,-0.27
200505,3.15,-0.68
200506,2.47,-1.51
200507,5.65,1.13
200508,3.37,-0.98
200509,0.71,-2.84
200510,5.54,2.42
200511,3.66,0.81
200512,3.47,0.25
200601,3.10,-0.25
200602,1.65,-1.37
200603,0.70,-3.08
200604,3.49,0.12
200605,2.55,-1.28
200606,7.06,3.08
200607,4.11,-0.41
200608,3.22,-1.13
200609,6.91,3.36
200610,6.23,3.11
200611,5.28,2.43
200612,1.90,-1.32
200701,3.19,-0.16
200702,2.15,-0.87
200703,3.29,-0.49
200704,3.72,0.35
200705,2.16,-1.67
200706,3.77,-0.21
200707,3.09,-1.43
200708,3.17,-1.18
200709,1.54,-2.01
200710,4.71,1.59
200711,1.05,-1.80
200712,3.35,0.13
200801,1.42,-1.93
200802,2.71,-0.31
200803,3.23,-0.55
200804,5.61,2.24
200805,4.23,0.40
200806,3.01,-0.97
200807,4.05,-0.47
200808,3.66,-0.69
200809,4.34,0.79
200810,1.49,-1.63
