#  Virginia Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-0.19,-0.10
199702,-0.37,-0.37
199703,-0.21,-0.17
199704,-0.03,-0.04
199705,-0.60,-0.50
199706,-0.53,-0.56
199707,-0.55,-0.52
199708,-1.26,-1.18
199709,-1.42,-1.35
199710,-1.70,-1.61
199711,0.36,0.54
199712,0.25,0.31
199801,1.74,1.83
199802,2.80,2.80
199803,3.14,3.18
199804,3.46,3.45
199805,3.53,3.63
199806,3.42,3.39
199807,-0.96,-0.93
199808,-1.60,-1.52
199809,-2.46,-2.39
199810,-3.17,-3.08
199811,-4.15,-3.97
199812,-4.14,-4.08
199901,-3.35,-3.26
199902,-3.46,-3.46
199903,-3.12,-3.08
199904,-3.10,-3.11
199905,-3.41,-3.31
199906,-3.90,-3.93
199907,-4.09,-4.06
199908,-4.32,-4.24
199909,2.23,2.30
199910,2.09,2.18
199911,-0.29,-0.11
199912,-0.61,-0.55
200001,-0.46,-0.37
200002,-1.10,-1.10
200003,-1.41,-1.37
200004,0.61,0.60
200005,0.15,0.25
200006,0.84,0.81
200007,1.26,1.29
200008,1.45,1.53
200009,2.00,2.07
200010,-0.96,-0.87
200011,-1.29,-1.11
200012,-1.50,-1.44
200101,-1.69,-1.60
200102,-2.10,-2.10
200103,-1.46,-1.42
200104,-2.20,-2.21
200105,0.29,0.39
200106,0.67,0.64
200107,1.15,1.18
200108,-0.05,0.03
200109,-0.34,-0.27
200110,-1.13,-1.04
200111,-2.37,-2.19
200112,-2.98,-2.92
200201,-3.15,-3.06
200202,-3.90,-3.90
200203,-3.27,-3.23
200204,-3.19,-3.20
200205,-2.95,-2.85
200206,-3.25,-3.28
200207,-3.38,-3.35
200208,-3.79,-3.71
200209,-3.72,-3.65
200210,0.64,0.73
200211,1.37,1.55
200212,1.76,1.82
200301,1.23,1.32
200302,2.57,2.57
200303,2.43,2.47
200304,2.81,2.80
200305,3.94,4.04
200306,4.92,4.89
200307,5.23,5.26
200308,5.17,5.25
200309,6.52,6.59
200310,5.92,6.01
200311,5.86,6.04
200312,5.81,5.87
200401,4.76,4.85
200402,3.99,3.99
200403,2.77,2.81
200404,2.78,2.77
200405,2.35,2.45
200406,2.88,2.85
200407,3.25,3.28
200408,3.84,3.92
200409,4.98,5.05
200410,4.34,4.43
200411,4.46,4.64
200412,-0.02,0.04
200501,-0.07,0.02
200502,-0.68,-0.68
200503,-0.46,-0.42
200504,-0.56,-0.57
200505,-0.62,-0.52
200506,-1.13,-1.16
200507,-0.78,-0.75
200508,-1.22,-1.14
200509,-2.36,-2.29
200510,-1.61,-1.52
200511,-1.31,-1.13
200512,-0.89,-0.83
200601,-0.98,-0.89
200602,-1.52,-1.52
200603,-2.73,-2.69
200604,-2.69,-2.70
200605,-2.85,-2.75
200606,1.51,1.48
200607,1.22,1.25
200608,0.63,0.71
200609,1.78,1.85
200610,3.02,3.11
200611,3.73,3.91
200612,-0.57,-0.51
200701,-0.58,-0.49
200702,-0.83,-0.83
200703,-1.13,-1.09
200704,-0.80,-0.81
200705,-1.50,-1.40
200706,-1.45,-1.48
200707,-1.97,-1.94
200708,-2.57,-2.49
200709,-3.34,-3.27
200710,-3.00,-2.91
200711,-3.73,-3.55
200712,-3.66,-3.60
200801,-4.07,-3.98
200802,-3.89,-3.89
200803,-3.79,-3.75
200804,-2.47,-2.48
200805,-1.99,-1.89
200806,-2.24,-2.27
200807,-2.28,-2.25
200808,-2.32,-2.24
200809,-1.96,-1.89
200810,-2.42,-2.33
200811,-2.44,-2.26
200812,-1.96,-1.90
200901,-1.80,-1.71
200902,-2.62,-2.62
200903,0.11,0.15
200904,-0.16,-0.17
200905,0.84,0.94
200906,1.41,1.38
200907,1.35,1.38
200908,1.24,1.32
200909,1.26,1.33
200910,1.18,1.27
200911,2.51,2.69
200912,4.08,4.14
201001,4.17,4.26
201002,3.80,3.80
201003,3.68,3.72
201004,-0.96,-0.97
201005,-1.04,-0.94
201006,-1.75,-1.78
201007,-2.74,-2.71
201008,-2.79,-2.71
201009,-2.24,-2.17
201010,-2.00,-1.91
201011,-2.29,-2.11
201012,-2.08,-2.02
201101,-2.48,-2.39
201102,-2.95,-2.95
201103,0.63,0.67
201104,0.98,0.97
201105,0.95,1.05
201106,0.55,0.52
201107,0.09,0.12
201108,0.21,0.29
201109,1.24,1.31
201110,1.55,1.64
201111,1.82,2.00
201112,1.80,1.86
201201,-0.45,-0.36
201202,-0.77,-0.77
201203,-1.11,-1.07
201204,-1.21,-1.22
201205,-1.23,-1.13
201206,-1.42,-1.45
201207,-1.54,-1.51
201208,-1.33,-1.25
201209,-1.04,-0.97
201210,-0.65,-0.56
201211,-1.31,-1.13
201212,-1.31,-1.25
201301,1.17,1.26
201302,0.71,0.71
201303,0.80,0.84
201304,0.72,0.71
201305,0.87,0.97
201306,2.22,2.19
201307,2.88,2.91
201308,2.92,3.00
201309,2.20,2.27
201310,1.91,2.00
201311,1.85,2.03
201312,2.81,2.87
201401,2.39,2.48
201402,2.30,2.30
201403,2.03,2.07
201404,2.41,2.40
201405,2.22,2.32
201406,-0.16,-0.19
201407,-0.36,-0.33
201408,-0.12,-0.04
201409,-0.36,-0.29
201410,0.15,0.24
201411,0.32,0.50
201412,0.33,0.39
201501,0.10,0.19
201502,0.02,0.02
201503,0.05,0.09
201504,0.48,0.47
201505,-0.94,-0.84
201506,1.15,1.12
201507,1.30,1.33
201508,0.69,0.77
201509,1.28,1.35
201510,1.77,1.86
201511,1.98,2.16
201512,2.38,2.44
201601,2.10,2.19
201602,2.62,2.62
201603,1.31,1.35
201604,0.68,0.67
201605,1.90,2.00
201606,2.28,2.25
201607,2.13,2.16
201608,-0.44,-0.36
201609,-0.04,0.03
201610,-0.05,0.04
201611,-0.72,-0.54
201612,-0.66,-0.60
201701,-0.33,-0.24
201702,-1.58,-1.58
201703,-1.70,-1.66
201704,0.32,0.31
201705,1.74,1.84
201706,-0.12,-0.15
201707,-0.39,-0.36
201708,-0.25,-0.17
201709,-0.81,-0.74
201710,-0.56,-0.47
201711,-1.21,-1.03
201712,-2.00,-1.94
201801,-2.01,-1.92
201802,0.36,0.36
201803,0.22,0.26
201804,0.79,0.78
201805,1.69,1.79
201806,2.42,2.39
201807,2.64,2.67
201808,3.03,3.11
201809,4.33,4.40
201810,4.70,4.79
201811,5.71,5.89
201812,6.10,6.16
201901,5.63,5.72
201902,5.93,5.93
201903,5.18,5.22
201904,4.80,4.79
201905,3.84,3.94
201906,4.36,4.33
201907,3.87,3.90
201908,3.18,3.26
201909,1.68,1.75
201910,1.98,2.07
201911,1.64,1.82
201912,1.57,1.63
202001,1.47,1.56
202002,2.07,2.07
202003,1.20,1.24
202004,2.31,2.30
202005,2.61,2.71
202006,2.98,2.95
202007,2.36,2.39
202008,3.50,3.58
202009,4.39,4.46
202010,4.75,4.84
202011,5.14,5.32
202012,5.52,5.58
202101,4.95,5.04
202102,5.31,5.31
202103,-0.27,-0.23
202104,-0.57,-0.58
202105,-1.16,-1.06
202106,-0.97,-1.00
202107,-0.98,-0.95
202108,-0.44,-0.36
202109,-0.18,-0.11
202110,-0.30,-0.21
202111,-1.03,-0.85
202112,-2.03,-1.97
202201,-1.31,-1.22
202202,-1.38,-1.38
202203,-1.54,-1.50
202204,-1.69,-1.70
202205,0.55,0.65
202206,0.25,0.22
202207,0.48,0.51
202208,-0.01,0.07
202209,-0.37,-0.30
202210,-0.47,-0.38
202211,0.21,0.39
202212,0.61,0.67
