#  Virginia Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.91,3.89
199702,3.30,3.32
199703,3.08,3.09
199704,2.93,2.95
199705,2.05,2.11
199706,1.85,1.69
199707,1.58,1.40
199708,0.65,0.54
199709,-1.42,-1.47
199710,-1.70,-1.71
199711,-1.17,-1.00
199712,-1.12,-1.06
199801,1.74,1.72
199802,2.80,2.82
199803,3.14,3.15
199804,3.46,3.48
199805,3.53,3.59
199806,3.42,3.26
199807,2.10,1.92
199808,1.15,1.04
199809,-2.46,-2.51
199810,-3.17,-3.18
199811,-4.15,-3.98
199812,-4.14,-4.08
199901,-3.35,-3.37
199902,-3.46,-3.44
199903,-3.12,-3.11
199904,-3.10,-3.08
199905,-3.41,-3.35
199906,-3.90,-4.06
199907,-4.09,-4.27
199908,-4.32,-4.43
199909,-1.64,-1.69
199910,-1.39,-1.40
199911,-1.54,-1.37
199912,-1.73,-1.67
200001,-1.46,-1.48
200002,-2.00,-1.98
200003,-2.21,-2.20
200004,-1.37,-1.35
200005,-1.63,-1.57
200006,-0.75,-0.91
200007,1.26,1.08
200008,1.45,1.34
200009,2.00,1.95
200010,0.83,0.82
200011,-1.29,-1.12
200012,-1.50,-1.44
200101,-1.69,-1.71
200102,-2.10,-2.08
200103,-1.46,-1.45
200104,-2.20,-2.18
200105,-1.68,-1.62
200106,-1.10,-1.26
200107,1.15,0.97
200108,0.98,0.87
200109,0.59,0.54
200110,-1.13,-1.14
200111,-2.37,-2.20
200112,-2.98,-2.92
200201,-3.15,-3.17
200202,-3.90,-3.88
200203,-3.27,-3.26
200204,-3.19,-3.17
200205,-2.95,-2.89
200206,-3.25,-3.41
200207,-3.38,-3.56
200208,-3.79,-3.90
200209,-3.72,-3.77
200210,-2.70,-2.71
200211,-1.62,-1.45
200212,-0.92,-0.86
200301,-1.17,-1.19
200302,2.57,2.59
200303,2.43,2.44
200304,2.81,2.83
200305,3.94,4.00
200306,4.92,4.76
200307,5.23,5.05
200308,5.17,5.06
200309,6.52,6.47
200310,5.92,5.91
200311,5.86,6.03
200312,5.81,5.87
200401,4.76,4.74
200402,3.99,4.01
200403,2.77,2.78
200404,2.78,2.80
200405,2.35,2.41
200406,2.88,2.72
200407,3.25,3.07
200408,3.84,3.73
200409,4.98,4.93
200410,4.34,4.33
200411,4.46,4.63
200412,3.98,4.04
200501,3.52,3.50
200502,2.54,2.56
200503,2.43,2.44
200504,2.03,2.05
200505,1.70,1.76
200506,0.95,0.79
200507,1.08,0.90
200508,-1.22,-1.33
200509,-2.36,-2.41
200510,-1.61,-1.62
200511,-1.31,-1.14
200512,-0.89,-0.83
200601,-0.98,-1.00
200602,-1.52,-1.50
200603,-2.73,-2.72
200604,-2.69,-2.67
200605,-2.85,-2.79
200606,-1.05,-1.21
200607,-1.07,-1.25
200608,-1.43,-1.54
200609,1.78,1.73
200610,3.02,3.01
200611,3.73,3.90
200612,2.77,2.83
200701,2.41,2.39
200702,1.85,1.87
200703,1.28,1.29
200704,1.37,1.39
200705,-1.50,-1.44
200706,-1.45,-1.61
200707,-1.97,-2.15
200708,-2.57,-2.68
200709,-3.34,-3.39
200710,-3.00,-3.01
200711,-3.73,-3.56
200712,-3.66,-3.60
200801,-4.07,-4.09
200802,-3.89,-3.87
200803,-3.79,-3.78
200804,-2.47,-2.45
200805,-1.99,-1.93
200806,-2.24,-2.40
200807,-2.28,-2.46
200808,-2.32,-2.43
200809,-1.96,-2.01
200810,-2.42,-2.43
200811,-2.44,-2.27
200812,-1.96,-1.90
200901,-1.80,-1.82
200902,-2.62,-2.60
200903,-2.24,-2.23
200904,-2.16,-2.14
200905,-1.10,-1.04
200906,1.41,1.25
200907,1.35,1.17
200908,1.24,1.13
200909,1.26,1.21
200910,1.18,1.17
200911,2.51,2.68
200912,4.08,4.14
201001,4.17,4.15
201002,3.80,3.82
201003,3.68,3.69
201004,2.34,2.36
201005,1.93,1.99
201006,0.91,0.75
201007,-2.74,-2.92
201008,-2.79,-2.90
201009,-2.24,-2.29
201010,-2.00,-2.01
201011,-2.29,-2.12
201012,-2.08,-2.02
201101,-2.48,-2.50
201102,-2.95,-2.93
201103,-2.02,-2.01
201104,-1.39,-1.37
201105,-1.18,-1.12
201106,-1.36,-1.52
201107,-1.62,-1.80
201108,-1.32,-1.43
201109,1.24,1.19
201110,1.55,1.54
201111,1.82,1.99
201112,1.80,1.86
201201,1.17,1.15
201202,0.68,0.70
201203,-1.11,-1.10
201204,-1.21,-1.19
201205,-1.23,-1.17
201206,-1.42,-1.58
201207,-1.54,-1.72
201208,-1.33,-1.44
201209,-1.04,-1.09
201210,-0.65,-0.66
201211,-1.31,-1.14
201212,-1.31,-1.25
201301,1.17,1.15
201302,0.71,0.73
201303,0.80,0.81
201304,0.72,0.74
201305,0.87,0.93
201306,2.22,2.06
201307,2.88,2.70
201308,2.92,2.81
201309,2.20,2.15
201310,1.91,1.90
201311,1.85,2.02
201312,2.81,2.87
201401,2.39,2.37
201402,2.30,2.32
201403,2.03,2.04
201404,2.41,2.43
201405,2.22,2.28
201406,1.83,1.67
201407,1.42,1.24
201408,1.48,1.37
201409,1.08,1.03
201410,1.12,1.11
201411,1.18,1.35
201412,1.11,1.17
201501,0.80,0.78
201502,0.64,0.66
201503,0.61,0.62
201504,0.98,1.00
201505,-0.94,-0.88
201506,1.15,0.99
201507,1.30,1.12
201508,0.69,0.58
201509,1.28,1.23
201510,1.77,1.76
201511,1.98,2.15
201512,2.38,2.44
201601,2.10,2.08
201602,2.62,2.64
201603,1.31,1.32
201604,0.68,0.70
201605,1.90,1.96
201606,2.28,2.12
201607,2.13,1.95
201608,1.47,1.36
201609,1.68,1.63
201610,1.49,1.48
201611,0.66,0.83
201612,0.58,0.64
201701,0.78,0.76
201702,-1.58,-1.56
201703,-1.70,-1.69
201704,-1.21,-1.19
201705,1.74,1.80
201706,1.44,1.28
201707,1.01,0.83
201708,1.01,0.90
201709,-0.81,-0.86
201710,-0.56,-0.57
201711,-1.21,-1.04
201712,-2.00,-1.94
201801,-2.01,-2.03
201802,-1.44,-1.42
201803,-1.39,-1.38
201804,-0.65,-0.63
201805,1.69,1.75
201806,2.42,2.26
201807,2.64,2.46
201808,3.03,2.92
201809,4.33,4.28
201810,4.70,4.69
201811,5.71,5.88
201812,6.10,6.16
201901,5.63,5.61
201902,5.93,5.95
201903,5.18,5.19
201904,4.80,4.82
201905,3.84,3.90
201906,4.36,4.20
201907,3.87,3.69
201908,3.18,3.07
201909,1.68,1.63
201910,1.98,1.97
201911,1.64,1.81
201912,1.57,1.63
202001,1.47,1.45
202002,2.07,2.09
202003,1.20,1.21
202004,2.31,2.33
202005,2.61,2.67
202006,2.98,2.82
202007,2.36,2.18
202008,3.50,3.39
202009,4.39,4.34
202010,4.75,4.74
202011,5.14,5.31
202012,5.52,5.58
202101,4.95,4.93
202102,5.31,5.33
202103,4.49,4.50
202104,3.70,3.72
202105,2.67,2.73
202106,2.47,2.31
202107,2.11,1.93
202108,2.33,2.22
202109,2.30,2.25
202110,1.93,1.92
202111,0.97,1.14
202112,-2.03,-1.97
202201,-1.31,-1.33
202202,-1.38,-1.36
202203,-1.54,-1.53
202204,-1.69,-1.67
202205,-0.97,-0.91
202206,-1.11,-1.27
202207,-0.74,-0.92
202208,-0.68,-0.79
202209,-0.97,-1.02
202210,-1.01,-1.02
202211,-0.70,-0.53
202212,0.61,0.67
