#  Virginia Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.63,3.60
199702,2.75,2.77
199703,2.62,2.67
199704,2.59,2.58
199705,1.04,1.10
199706,0.83,0.70
199707,0.48,0.43
199708,-1.17,-1.24
199709,-1.42,-1.46
199710,-1.70,-1.62
199711,-0.57,-0.36
199712,-0.57,-0.51
199801,1.74,1.71
199802,2.80,2.82
199803,3.14,3.19
199804,3.46,3.45
199805,3.53,3.59
199806,3.42,3.29
199807,0.89,0.84
199808,-0.92,-0.99
199809,-2.46,-2.50
199810,-3.17,-3.09
199811,-4.15,-3.94
199812,-4.14,-4.08
199901,-2.86,-2.89
199902,-3.45,-3.43
199903,-3.07,-3.02
199904,-3.10,-3.11
199905,-3.41,-3.35
199906,-3.90,-4.03
199907,-4.09,-4.14
199908,-4.32,-4.39
199909,0.98,0.94
199910,1.20,1.28
199911,0.61,0.82
199912,-0.01,0.05
200001,0.27,0.24
200002,-0.90,-0.88
200003,-1.38,-1.33
200004,-0.04,-0.05
200005,-0.65,-0.59
200006,0.70,0.57
200007,1.26,1.21
200008,1.45,1.38
200009,2.00,1.96
200010,-0.57,-0.49
200011,-1.29,-1.08
200012,-1.50,-1.44
200101,-1.69,-1.72
200102,-2.10,-2.08
200103,-0.81,-0.76
200104,-2.20,-2.21
200105,-1.21,-1.15
200106,-0.05,-0.18
200107,1.15,1.10
200108,0.77,0.70
200109,-0.26,-0.30
200110,-1.13,-1.05
200111,-2.37,-2.16
200112,-2.98,-2.92
200201,-3.15,-3.18
200202,-3.90,-3.88
200203,-2.95,-2.90
200204,-3.10,-3.11
200205,-2.92,-2.86
200206,-3.25,-3.38
200207,-3.38,-3.43
200208,-3.79,-3.86
200209,-3.72,-3.76
200210,-1.88,-1.80
200211,0.14,0.35
200212,1.37,1.43
200301,0.62,0.59
200302,2.57,2.59
200303,2.43,2.48
200304,2.81,2.80
200305,3.94,4.00
200306,4.92,4.79
200307,5.23,5.18
200308,5.17,5.10
200309,6.52,6.48
200310,5.92,6.00
200311,5.86,6.07
200312,5.81,5.87
200401,4.20,4.17
200402,3.08,3.10
200403,0.96,1.01
200404,1.30,1.29
200405,0.75,0.81
200406,2.02,1.89
200407,2.93,2.88
200408,3.84,3.77
200409,4.98,4.94
200410,4.15,4.23
200411,4.46,4.67
200412,3.91,3.97
200501,3.32,3.29
200502,1.59,1.61
200503,1.62,1.67
200504,1.03,1.02
200505,0.56,0.62
200506,-0.74,-0.87
200507,-0.30,-0.35
200508,-1.22,-1.29
200509,-2.36,-2.40
200510,-0.88,-0.80
200511,-0.37,-0.16
200512,0.41,0.47
200601,0.07,0.04
200602,-1.11,-1.09
200603,-2.73,-2.68
200604,-2.69,-2.70
200605,-2.85,-2.79
200606,0.88,0.75
200607,0.62,0.57
200608,-0.30,-0.37
200609,1.78,1.74
200610,3.02,3.10
200611,3.73,3.94
200612,2.04,2.10
200701,1.56,1.53
200702,0.62,0.64
200703,-0.35,-0.30
200704,0.01,0.00
