#  Washington Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.98,4.09
199702,3.19,3.37
199703,4.43,4.65
199704,4.58,4.80
199705,4.25,4.23
199706,4.37,4.36
199707,4.79,4.78
199708,4.60,4.64
199709,5.04,5.10
199710,5.85,5.98
199711,-0.47,-0.42
199712,-1.25,-1.10
199801,-0.50,-0.39
199802,-0.60,-0.42
199803,-0.76,-0.54
199804,-1.29,-1.07
199805,-0.50,-0.52
199806,-0.58,-0.59
199807,-0.36,-0.37
199808,-0.97,-0.93
199809,-1.72,-1.66
199810,-2.02,-1.89
199811,1.12,1.17
199812,2.17,2.32
199901,2.32,2.43
199902,3.93,4.11
199903,3.59,3.81
199904,2.66,2.88
199905,2.70,2.68
199906,2.52,2.51
199907,2.62,2.61
199908,2.62,2.66
199909,-0.74,-0.68
199910,-0.77,-0.64
199911,-0.13,-0.08
199912,-0.02,0.13
200001,-0.01,0.10
200002,-0.22,-0.04
200003,-0.38,-0.16
200004,-0.74,-0.52
200005,0.46,0.44
200006,0.56,0.55
200007,0.65,0.64
200008,-0.33,-0.29
200009,-0.27,-0.21
200010,-0.57,-0.44
200011,-1.33,-1.28
200012,-2.30,-2.15
200101,-2.97,-2.86
200102,-3.58,-3.40
200103,-3.59,-3.37
200104,0.28,0.50
200105,0.06,0.04
200106,0.42,0.41
200107,0.48,0.47
200108,0.62,0.66
200109,-0.64,-0.58
200110,0.31,0.44
200111,0.74,0.79
200112,1.01,1.16
200201,1.25,1.36
200202,0.93,1.11
200203,1.01,1.23
200204,1.11,1.33
200205,0.02,0.00
200206,-0.08,-0.09
200207,-0.29,-0.30
200208,-0.82,-0.78
200209,-1.35,-1.29
200210,-2.40,-2.27
200211,-2.96,-2.91
200212,0.17,0.32
200301,0.70,0.81
200302,-0.86,-0.68
200303,1.00,1.22
200304,1.39,1.61
200305,-0.31,-0.33
200306,-1.10,-1.11
200307,-2.08,-2.09
200308,-2.74,-2.70
200309,-2.99,-2.93
200310,-2.00,-1.87
200311,-1.58,-1.53
200312,-1.80,-1.65
200401,-1.58,-1.47
200402,-2.02,-1.84
200403,-2.45,-2.23
200404,-3.08,-2.86
200405,-2.44,-2.46
200406,-2.39,-2.40
200407,-2.57,-2.58
200408,-1.39,-1.35
200409,-0.80,-0.74
200410,-0.76,-0.63
200411,-1.39,-1.34
200412,-1.89,-1.74
200501,-2.13,-2.02
200502,-3.29,-3.11
200503,-3.11,-2.89
200504,0.18,0.40
200505,0.72,0.70
200506,0.80,0.79
200507,1.12,1.11
200508,0.74,0.78
200509,0.52,0.58
200510,0.53,0.66
200511,0.35,0.40
200512,0.34,0.49
200601,1.89,2.00
200602,-0.39,-0.21
200603,-0.70,-0.48
200604,-0.62,-0.40
200605,-0.53,-0.55
200606,-0.36,-0.37
200607,-0.58,-0.59
200608,-1.21,-1.17
200609,-1.58,-1.52
200610,-2.24,-2.11
200611,2.24,2.29
200612,2.08,2.23
200701,-0.28,-0.17
200702,-0.35,-0.17
200703,-0.08,0.14
200704,-0.39,-0.17
200705,-0.77,-0.79
200706,-0.85,-0.86
200707,-0.94,-0.95
200708,-1.20,-1.16
200709,-1.35,-1.29
200710,-1.13,-1.00
200711,-1.61,-1.56
200712,-0.71,-0.56
200801,-0.72,-0.61
200802,-1.09,-0.91
200803,-1.03,-0.81
200804,-0.94,-0.72
200805,-1.20,-1.22
200806,-1.07,-1.08
200807,-1.27,-1.28
200808,-0.67,-0.63
200809,-1.25,-1.19
200810,-1.67,-1.54
200811,-1.37,-1.32
200812,-1.56,-1.41
200901,-1.35,-1.24
200902,-2.19,-2.01
200903,-1.59,-1.37
200904,-1.46,-1.24
200905,-0.88,-0.90
200906,-1.27,-1.28
200907,-1.44,-1.45
200908,-1.63,-1.59
200909,-1.75,-1.69
200910,0.68,0.81
200911,1.22,1.27
200912,-1.12,-0.97
201001,-1.05,-0.94
201002,-1.58,-1.40
201003,-1.77,-1.55
201004,0.59,0.81
201005,1.69,1.67
201006,2.32,2.31
201007,2.32,2.31
201008,2.10,2.14
201009,2.65,2.71
201010,2.66,2.79
201011,2.41,2.46
201012,2.52,2.67
201101,2.39,2.50
201102,1.97,2.15
201103,3.17,3.39
201104,3.96,4.18
201105,4.63,4.61
201106,4.07,4.06
201107,3.97,3.96
201108,-0.35,-0.31
201109,-0.77,-0.71
201110,-0.90,-0.77
201111,-0.76,-0.71
201112,-1.86,-1.71
201201,0.08,0.19
201202,0.06,0.24
201203,1.52,1.74
201204,1.82,2.04
201205,1.74,1.72
201206,2.69,2.68
201207,3.25,3.24
201208,2.79,2.83
201209,1.57,1.63
201210,2.34,2.47
201211,2.51,2.56
201212,2.79,2.94
201301,-0.62,-0.51
201302,-1.32,-1.14
201303,-1.49,-1.27
201304,0.67,0.89
201305,0.92,0.90
201306,1.02,1.01
201307,0.75,0.74
201308,0.75,0.79
201309,2.32,2.38
201310,-0.52,-0.39
201311,-1.06,-1.01
201312,-2.23,-2.08
201401,-2.53,-2.42
201402,0.62,0.80
201403,1.87,2.09
201404,2.08,2.30
201405,0.00,-0.02
