#  Washington Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.98,4.05
199702,3.19,3.34
199703,4.43,4.66
199704,4.58,4.77
199705,4.25,4.41
199706,4.37,4.49
199707,4.79,4.88
199708,4.60,4.71
199709,5.04,5.15
199710,5.85,6.05
199711,4.78,4.86
199712,3.46,3.61
199801,3.73,3.80
199802,3.19,3.34
199803,2.64,2.87
199804,1.76,1.95
199805,2.23,2.39
199806,1.88,2.00
199807,1.84,1.93
199808,1.01,1.12
199809,-1.72,-1.61
199810,-2.02,-1.82
199811,-0.69,-0.61
199812,2.17,2.32
199901,2.32,2.39
199902,3.93,4.08
199903,3.59,3.82
199904,2.66,2.85
199905,2.70,2.86
199906,2.52,2.64
199907,2.62,2.71
199908,2.62,2.73
199909,1.61,1.72
199910,1.33,1.53
199911,1.76,1.84
199912,1.67,1.82
200001,1.51,1.58
200002,1.14,1.29
200003,0.84,1.07
200004,-0.74,-0.55
200005,0.46,0.62
200006,0.56,0.68
200007,0.65,0.74
200008,-0.33,-0.22
200009,-0.27,-0.16
200010,-0.57,-0.37
200011,-1.33,-1.25
200012,-2.30,-2.15
200101,-2.97,-2.90
200102,-3.58,-3.43
200103,-3.59,-3.36
200104,-2.93,-2.74
200105,-2.82,-2.66
200106,-2.17,-2.05
200107,-1.84,-1.75
200108,-1.46,-1.35
200109,-1.96,-1.85
200110,-1.44,-1.24
200111,-0.84,-0.76
200112,1.01,1.16
200201,1.25,1.32
200202,0.93,1.08
200203,1.01,1.24
200204,1.11,1.30
200205,1.02,1.18
200206,0.83,0.95
200207,-0.29,-0.20
200208,-0.82,-0.71
200209,-1.35,-1.24
200210,-2.40,-2.20
200211,-2.96,-2.88
200212,-2.48,-2.33
200301,-1.68,-1.61
200302,-2.37,-2.22
200303,-1.13,-0.90
200304,1.39,1.58
200305,0.93,1.09
200306,-1.10,-0.98
200307,-2.08,-1.99
200308,-2.74,-2.63
200309,-2.99,-2.88
200310,-2.00,-1.80
200311,-1.58,-1.50
200312,-1.80,-1.65
200401,-1.58,-1.51
200402,-2.02,-1.87
200403,-2.45,-2.22
200404,-3.08,-2.89
200405,-2.44,-2.28
200406,-2.39,-2.27
200407,-2.57,-2.48
200408,-1.39,-1.28
200409,-0.80,-0.69
200410,-0.76,-0.56
200411,-1.39,-1.31
200412,-1.89,-1.74
200501,-2.13,-2.06
200502,-3.29,-3.14
200503,-3.11,-2.88
200504,-2.61,-2.42
200505,-1.78,-1.62
200506,-1.45,-1.33
200507,-0.89,-0.80
200508,-1.07,-0.96
200509,-1.10,-0.99
200510,-0.92,-0.72
200511,-0.95,-0.87
200512,-0.83,-0.68
200601,1.89,1.96
200602,1.30,1.45
200603,0.82,1.05
200604,0.74,0.93
200605,0.70,0.86
200606,0.74,0.86
200607,-0.58,-0.49
200608,-1.21,-1.10
200609,-1.58,-1.47
200610,-2.24,-2.04
200611,2.24,2.32
200612,2.08,2.23
200701,1.58,1.65
200702,1.32,1.47
200703,1.42,1.65
200704,0.96,1.15
200705,-0.77,-0.61
200706,-0.85,-0.73
200707,-0.94,-0.85
200708,-1.20,-1.09
200709,-1.35,-1.24
200710,-1.13,-0.93
200711,-1.61,-1.53
200712,-0.71,-0.56
200801,-0.72,-0.65
200802,-1.09,-0.94
200803,-1.03,-0.80
200804,-0.94,-0.75
200805,-1.20,-1.04
200806,-1.07,-0.95
200807,-1.27,-1.18
200808,-0.67,-0.56
200809,-1.25,-1.14
200810,-1.67,-1.47
200811,-1.37,-1.29
200812,-1.56,-1.41
200901,-1.35,-1.28
200902,-2.19,-2.04
200903,-1.59,-1.36
200904,-1.46,-1.27
200905,-0.88,-0.72
200906,-1.27,-1.15
200907,-1.44,-1.35
200908,-1.63,-1.52
200909,-1.75,-1.64
200910,-0.89,-0.69
200911,1.22,1.30
200912,-1.12,-0.97
201001,-1.05,-0.98
201002,-1.58,-1.43
201003,-1.77,-1.54
201004,-1.00,-0.81
201005,1.69,1.85
201006,2.32,2.44
201007,2.32,2.41
201008,2.10,2.21
201009,2.65,2.76
201010,2.66,2.86
201011,2.41,2.49
201012,2.52,2.67
201101,2.39,2.46
201102,1.97,2.12
201103,3.17,3.40
201104,3.96,4.15
201105,4.63,4.79
201106,4.07,4.19
201107,3.97,4.06
201108,3.22,3.33
201109,2.43,2.54
201110,1.97,2.17
201111,1.82,1.90
201112,-1.86,-1.71
201201,-1.59,-1.52
201202,-1.44,-1.29
201203,1.52,1.75
201204,1.82,2.01
201205,1.74,1.90
201206,2.69,2.81
201207,3.25,3.34
201208,2.79,2.90
201209,1.57,1.68
201210,2.34,2.54
201211,2.51,2.59
201212,2.79,2.94
201301,1.89,1.96
201302,0.92,1.07
201303,-1.49,-1.26
201304,-0.67,-0.48
201305,0.92,1.08
201306,1.02,1.14
201307,0.75,0.84
201308,0.75,0.86
201309,2.32,2.43
201310,1.56,1.76
201311,0.80,0.88
201312,-2.23,-2.08
201401,-2.53,-2.46
201402,-1.65,-1.50
201403,1.87,2.10
201404,2.08,2.27
201405,1.86,2.02
201406,1.59,1.71
201407,1.25,1.34
201408,1.09,1.20
201409,0.77,0.88
201410,1.28,1.48
201411,1.23,1.31
201412,0.90,1.05
201501,-0.58,-0.51
201502,-0.89,-0.74
201503,-1.09,-0.86
201504,-1.48,-1.29
201505,-1.86,-1.70
201506,-2.79,-2.67
201507,-3.76,-3.67
201508,-3.73,-3.62
