#  Washington Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.98,4.09
199702,2.69,2.79
199703,4.43,4.64
199704,4.58,4.73
199705,4.25,4.34
199706,4.37,4.47
199707,4.79,4.84
199708,4.60,4.73
199709,5.04,5.18
199710,5.85,6.05
199711,4.20,4.23
199712,1.92,2.08
199801,2.86,2.97
199802,2.13,2.23
199803,1.33,1.54
199804,-0.12,0.03
199805,1.01,1.10
199806,0.56,0.66
199807,0.69,0.74
199808,-0.61,-0.48
199809,-1.72,-1.58
199810,-2.02,-1.82
199811,0.92,0.95
199812,2.17,2.33
199901,2.32,2.43
199902,3.93,4.03
199903,3.59,3.80
199904,1.93,2.08
199905,2.30,2.39
199906,2.18,2.28
199907,2.62,2.67
199908,2.62,2.75
199909,0.61,0.75
199910,0.18,0.38
199911,1.26,1.29
199912,1.24,1.40
200001,1.03,1.14
200002,0.40,0.50
200003,-0.09,0.12
200004,-0.74,-0.59
200005,0.46,0.55
200006,0.56,0.66
200007,0.65,0.70
200008,-0.33,-0.20
200009,-0.27,-0.13
200010,-0.57,-0.37
200011,-1.33,-1.30
200012,-2.30,-2.14
200101,-2.97,-2.86
200102,-3.58,-3.48
200103,-3.59,-3.38
200104,-2.54,-2.39
200105,-2.59,-2.50
200106,-1.46,-1.36
200107,-0.98,-0.93
200108,-0.37,-0.24
200109,-1.52,-1.38
200110,-0.63,-0.43
200111,0.45,0.48
200112,1.01,1.17
200201,1.25,1.36
200202,0.48,0.58
200203,0.81,1.02
200204,1.11,1.26
200205,0.95,1.04
200206,0.51,0.61
200207,-0.29,-0.24
200208,-0.82,-0.69
200209,-1.35,-1.21
200210,-2.40,-2.20
200211,-2.96,-2.93
200212,-2.21,-2.05
200301,-0.69,-0.58
200302,-2.37,-2.27
200303,0.24,0.45
200304,1.39,1.54
200305,0.32,0.41
200306,-1.10,-1.00
200307,-2.08,-2.03
200308,-2.74,-2.61
200309,-2.99,-2.85
200310,-1.10,-0.90
200311,-0.39,-0.36
