#  Washington Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,30.4,2.0
199702,34.0,0.9
199703,38.7,0.1
199704,43.6,-1.5
199705,54.5,2.7
199706,56.9,-0.8
199707,63.2,-0.8
199708,66.5,3.0
199709,59.2,2.3
199710,46.3,-0.9
199711,39.6,3.0
199712,32.4,1.8
199801,32.0,3.6
199802,37.7,4.6
199803,41.0,2.4
199804,46.0,0.9
199805,52.9,1.1
199806,58.8,1.1
199807,69.0,5.0
199808,66.8,3.3
199809,62.2,5.3
199810,47.0,-0.2
199811,39.6,3.0
199812,30.2,-0.4
199901,34.3,5.9
199902,35.0,1.9
199903,38.6,0.0
199904,43.7,-1.4
199905,48.5,-3.3
199906,56.0,-1.7
199907,62.0,-2.0
199908,65.6,2.1
199909,57.1,0.2
199910,46.7,-0.5
199911,41.1,4.5
199912,34.7,4.1
200001,30.4,2.0
200002,35.2,2.1
200003,39.1,0.5
200004,47.8,2.7
200005,51.1,-0.7
200006,58.5,0.8
200007,63.5,-0.5
200008,63.4,-0.1
200009,56.3,-0.6
200010,46.8,-0.4
200011,32.6,-4.0
200012,29.4,-1.2
200101,31.8,3.4
200102,32.1,-1.0
200103,40.0,1.4
200104,43.5,-1.6
200105,53.1,1.3
200106,55.6,-2.1
200107,63.4,-0.6
200108,66.0,2.5
200109,59.8,2.9
200110,45.7,-1.5
200111,39.7,3.1
200112,31.8,1.2
200201,32.9,4.5
200202,34.3,1.2
200203,35.6,-3.0
200204,44.7,-0.4
200205,49.7,-2.1
200206,59.5,1.8
200207,66.1,2.1
200208,63.6,0.1
200209,57.5,0.6
200210,45.5,-1.7
200211,39.2,2.6
200212,34.6,4.0
200301,36.1,7.7
200302,35.4,2.3
200303,41.0,2.4
200304,44.6,-0.5
200305,51.3,-0.5
200306,60.8,3.1
200307,67.5,3.5
200308,65.9,2.4
200309,60.0,3.1
200310,50.6,3.4
200311,33.3,-3.3
200312,31.6,1.0
200401,29.8,1.4
200402,35.1,2.0
200403,42.9,4.3
200404,48.6,3.5
200405,52.4,0.6
200406,60.4,2.7
200407,67.3,3.3
200408,67.0,3.5
200409,56.1,-0.8
200410,48.5,1.3
200411,38.1,1.5
200412,34.5,3.9
200501,31.5,3.1
200502,35.8,2.7
200503,42.7,4.1
200504,46.3,1.2
200505,54.7,2.9
200506,57.0,-0.7
200507,65.0,1.0
200508,65.8,2.3
200509,55.7,-1.2
200510,48.4,1.2
200511,35.7,-0.9
200512,29.4,-1.2
200601,35.9,7.5
200602,32.8,-0.3
200603,38.8,0.2
200604,45.7,0.6
200605,53.0,1.2
200606,59.8,2.1
200607,67.5,3.5
200608,64.2,0.7
200609,58.8,1.9
200610,47.0,-0.2
200611,36.1,-0.5
200612,30.5,-0.1
200701,28.6,0.2
200702,35.6,2.5
200703,41.5,2.9
200704,44.9,-0.2
200705,52.9,1.1
200706,57.5,-0.2
200707,68.1,4.1
200708,63.3,-0.2
200709,56.7,-0.2
200710,45.6,-1.6
200711,36.4,-0.2
200712,30.4,-0.2
200801,27.4,-1.0
200802,35.4,2.3
200803,37.0,-1.6
200804,40.8,-4.3
200805,53.1,1.3
200806,56.2,-1.5
200807,64.4,0.4
200808,64.0,0.5
200809,57.8,0.9
200810,46.6,-0.6
200811,40.2,3.6
200812,26.2,-4.4
200901,30.1,1.7
200902,33.1,0.0
200903,35.3,-3.3
200904,44.1,-1.0
200905,52.3,0.5
200906,59.9,2.2
200907,67.5,3.5
200908,65.4,1.9
200909,59.9,3.0
200910,44.2,-3.0
200911,38.0,1.4
200912,26.6,-4.0
201001,36.3,7.9
201002,38.5,5.4
201003,40.9,2.3
201004,44.6,-0.5
201005,48.7,-3.1
201006,55.9,-1.8
201007,64.2,0.2
201008,63.5,0.0
201009,57.1,0.2
201010,48.6,1.4
201011,34.8,-1.8
201012,31.9,1.3
201101,32.1,3.7
201102,31.1,-2.0
201103,38.4,-0.2
201104,40.2,-4.9
201105,48.6,-3.2
201106,55.5,-2.2
201107,61.0,-3.0
201108,64.9,1.4
201109,61.0,4.1
201110,47.2,0.0
201111,35.3,-1.3
201112,31.0,0.4
201201,30.7,2.3
201202,34.5,1.4
201203,37.6,-1.0
201204,46.0,0.9
201205,50.9,-0.9
201206,55.0,-2.7
201207,65.2,1.2
201208,66.2,2.7
201209,59.7,2.8
201210,47.4,0.2
201211,39.0,2.4
201212,32.5,1.9
201301,29.1,0.7
201302,35.5,2.4
201303,40.2,1.6
201304,44.7,-0.4
201305,53.5,1.7
201306,58.7,1.0
201307,67.2,3.2
201308,66.2,2.7
201309,59.7,2.8
201310,46.1,-1.1
201311,36.7,0.1
201312,28.2,-2.4
201401,34.1,5.7
201402,29.8,-3.3
201403,40.1,1.5
201404,45.8,0.7
201405,54.3,2.5
201406,58.3,0.6
201407,68.6,4.6
201408,67.3,3.8
201409,59.8,2.9
201410,51.9,4.7
201411,36.3,-0.3
201412,34.2,3.6
201501,35.1,6.7
201502,40.7,7.6
201503,44.8,6.2
201504,45.7,0.6
201505,56.0,4.2
201506,65.5,7.8
201507,68.6,4.6
201508,66.6,3.1
201509,56.2,-0.7
201510,52.4,5.2
201511,36.0,-0.6
201512,32.1,1.5
201601,33.0,4.6
201602,39.1,6.0
201603,41.8,3.2
201604,51.6,6.5
201605,55.1,3.3
201606,59.9,2.2
201607,63.6,-0.4
201608,65.9,2.4
201609,56.4,-0.5
201610,47.4,0.2
201611,43.0,6.4
201612,26.1,-4.5
201701,24.8,-3.6
201702,31.0,-2.1
201703,39.3,0.7
201704,44.2,-0.9
201705,53.7,1.9
201706,59.5,1.8
201707,67.1,3.1
201708,68.6,5.1
201709,59.8,2.9
201710,46.2,-1.0
201711,37.7,1.1
201712,29.9,-0.7
201801,35.4,7.0
201802,32.4,-0.7
201803,38.8,0.2
201804,45.3,0.2
201805,57.6,5.8
201806,58.2,0.5
201807,67.5,3.5
201808,66.0,2.5
201809,56.3,-0.6
201810,47.4,0.2
201811,38.6,2.0
201812,33.1,2.5
201901,34.2,5.8
201902,25.3,-7.8
201903,36.2,-2.4
201904,46.3,1.2
201905,55.6,3.8
201906,59.5,1.8
201907,63.8,-0.2
201908,66.4,2.9
201909,57.1,0.2
201910,42.8,-4.4
201911,37.6,1.0
201912,33.5,2.9
202001,34.2,5.8
202002,35.6,2.5
202003,38.3,-0.3
202004,46.0,0.9
202005,53.3,1.5
202006,57.9,0.2
202007,64.8,0.8
202008,65.7,2.2
202009,61.2,4.3
202010,48.4,1.2
202011,37.6,1.0
202012,33.7,3.1
202101,34.6,6.2
202102,31.4,-1.7
202103,39.7,1.1
202104,46.8,1.7
202105,52.6,0.8
202106,64.6,6.9
202107,69.7,5.7
202108,65.8,2.3
202109,58.0,1.1
202110,46.6,-0.6
202111,39.9,3.3
202112,29.4,-1.2
202201,31.2,2.8
202202,33.6,0.5
202203,41.5,2.9
202204,40.9,-4.2
202205,48.5,-3.3
202206,58.0,0.3
202207,67.9,3.9
202208,69.8,6.3
202209,61.7,4.8
202210,53.6,6.4
202211,32.1,-4.5
202212,26.3,-4.3
