#  Washington Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,36.2,1.8
199702,41.3,1.0
199703,46.7,-0.9
199704,53.6,-2.3
199705,66.0,2.4
199706,67.7,-2.2
199707,75.9,-1.9
199708,79.7,2.5
199709,70.6,1.3
199710,54.9,-2.3
199711,46.5,3.3
199712,38.1,2.0
199801,37.4,3.0
199802,44.0,3.7
199803,49.6,2.0
199804,57.2,1.3
199805,62.7,-0.9
199806,69.9,0.0
199807,81.8,4.0
199808,81.2,4.0
199809,76.0,6.7
199810,57.1,-0.1
199811,44.9,1.7
199812,35.9,-0.2
199901,39.5,5.1
199902,41.3,1.0
199903,47.3,-0.3
199904,55.6,-0.3
199905,59.9,-3.7
199906,66.8,-3.1
199907,75.3,-2.5
199908,78.0,0.8
199909,71.2,1.9
199910,57.4,0.2
199911,47.4,4.2
199912,39.6,3.5
200001,35.9,1.5
200002,42.0,1.7
200003,47.8,0.2
200004,59.3,3.4
200005,61.6,-2.0
200006,70.6,0.7
200007,76.7,-1.1
200008,77.2,0.0
200009,67.8,-1.5
200010,56.6,-0.6
200011,39.2,-4.0
200012,34.5,-1.6
200101,37.1,2.7
200102,39.9,-0.4
200103,49.5,1.9
200104,53.4,-2.5
200105,66.0,2.4
200106,66.9,-3.0
200107,76.3,-1.5
200108,79.3,2.1
200109,72.6,3.3
200110,54.9,-2.3
200111,45.9,2.7
200112,36.9,0.8
200201,38.1,3.7
200202,42.3,2.0
200203,43.6,-4.0
200204,55.2,-0.7
200205,60.5,-3.1
200206,71.9,2.0
200207,79.9,2.1
200208,77.5,0.3
200209,70.6,1.3
200210,57.2,0.0
200211,46.8,3.6
200212,39.0,2.9
200301,41.1,6.7
200302,43.6,3.3
200303,49.0,1.4
200304,54.0,-1.9
200305,62.4,-1.2
200306,73.9,4.0
200307,82.7,4.9
200308,80.2,3.0
200309,73.0,3.7
200310,60.6,3.4
200311,40.8,-2.4
200312,36.5,0.4
200401,34.5,0.1
200402,42.0,1.7
200403,53.0,5.4
200404,61.2,5.3
200405,63.0,-0.6
200406,72.8,2.9
200407,80.9,3.1
200408,79.2,2.0
200409,66.7,-2.6
200410,58.0,0.8
200411,45.3,2.1
200412,39.9,3.8
200501,37.2,2.8
200502,46.5,6.2
200503,52.8,5.2
200504,56.8,0.9
200505,65.3,1.7
200506,67.8,-2.1
200507,78.8,1.0
200508,80.3,3.1
200509,68.1,-1.2
200510,56.9,-0.3
200511,41.5,-1.7
200512,34.9,-1.2
200601,40.8,6.4
200602,41.2,0.9
200603,47.4,-0.2
200604,56.3,0.4
200605,65.2,1.6
200606,71.6,1.7
200607,81.5,3.7
200608,78.6,1.4
200609,72.1,2.8
200610,57.6,0.4
200611,42.3,-0.9
200612,36.0,-0.1
200701,35.2,0.8
200702,41.7,1.4
200703,50.3,2.7
200704,55.2,-0.7
200705,65.6,2.0
200706,69.0,-0.9
200707,81.5,3.7
200708,76.4,-0.8
200709,68.9,-0.4
200710,54.8,-2.4
200711,43.6,0.4
200712,35.7,-0.4
200801,33.7,-0.7
200802,42.8,2.5
200803,45.7,-1.9
200804,51.3,-4.6
200805,64.2,0.6
200806,68.0,-1.9
200807,78.1,0.3
200808,76.6,-0.6
200809,71.0,1.7
200810,56.8,-0.4
200811,46.5,3.3
200812,32.2,-3.9
200901,36.2,1.8
200902,40.5,0.2
200903,43.5,-4.1
200904,55.2,-0.7
200905,64.8,1.2
200906,72.0,2.1
200907,81.6,3.8
200908,78.2,1.0
200909,73.1,3.8
200910,53.0,-4.2
200911,44.6,1.4
200912,32.8,-3.3
201001,41.1,6.7
201002,45.6,5.3
201003,50.8,3.2
201004,54.2,-1.7
201005,59.0,-4.6
201006,66.2,-3.7
201007,77.8,0.0
201008,76.4,-0.8
201009,67.1,-2.2
201010,58.0,0.8
201011,41.1,-2.1
201012,36.9,0.8
201101,37.9,3.5
201102,38.6,-1.7
201103,45.9,-1.7
201104,49.5,-6.4
201105,58.8,-4.8
201106,66.1,-3.8
201107,73.5,-4.3
201108,78.6,1.4
201109,74.5,5.2
201110,55.4,-1.8
201111,43.1,-0.1
201112,37.6,1.5
201201,37.5,3.1
201202,41.4,1.1
201203,45.7,-1.9
201204,56.4,0.5
201205,62.4,-1.2
201206,65.1,-4.8
201207,77.9,0.1
201208,80.6,3.4
201209,73.9,4.6
201210,57.0,-0.2
201211,44.7,1.5
201212,37.2,1.1
201301,34.6,0.2
201302,42.5,2.2
201303,49.5,1.9
201304,54.8,-1.1
201305,65.0,1.4
201306,69.8,-0.1
201307,81.4,3.6
201308,78.6,1.4
201309,69.9,0.6
201310,56.6,-0.6
201311,43.6,0.4
201312,34.7,-1.4
201401,39.9,5.5
201402,36.3,-4.0
201403,49.0,1.4
201404,56.3,0.4
201405,66.2,2.6
201406,69.8,-0.1
201407,82.4,4.6
201408,80.0,2.8
201409,72.0,2.7
201410,60.7,3.5
201411,43.7,0.5
201412,39.6,3.5
201501,40.6,6.2
201502,48.3,8.0
201503,55.0,7.4
201504,57.2,1.3
201505,67.6,4.0
201506,79.2,9.3
201507,82.2,4.4
201508,80.1,2.9
201509,67.9,-1.4
201510,62.2,5.0
201511,43.1,-0.1
201512,37.0,0.9
201601,37.9,3.5
201602,46.5,6.2
201603,50.4,2.8
201604,63.3,7.4
201605,66.4,2.8
201606,72.2,2.3
201607,75.5,-2.3
201608,79.7,2.5
201609,68.1,-1.2
201610,54.4,-2.8
201611,49.2,6.0
201612,32.1,-4.0
201701,30.9,-3.5
201702,37.7,-2.6
201703,46.3,-1.3
201704,53.2,-2.7
201705,65.5,1.9
201706,71.5,1.6
201707,81.7,3.9
201708,83.1,5.9
201709,71.9,2.6
201710,56.4,-0.8
201711,43.4,0.2
201712,35.1,-1.0
201801,40.2,5.8
201802,39.8,-0.5
201803,47.9,0.3
201804,54.8,-1.1
201805,69.3,5.7
201806,69.9,0.0
201807,82.0,4.2
201808,79.3,2.1
201809,68.1,-1.2
201810,57.5,0.3
201811,45.3,2.1
201812,38.4,2.3
201901,40.0,5.6
201902,32.0,-8.3
201903,46.6,-1.0
201904,55.8,-0.1
201905,67.0,3.4
201906,71.6,1.7
201907,75.9,-1.9
201908,79.2,2.0
201909,66.6,-2.7
201910,52.3,-4.9
201911,45.4,2.2
201912,37.9,1.8
202001,39.5,5.1
202002,43.8,3.5
202003,47.8,0.2
202004,57.4,1.5
202005,64.3,0.7
202006,68.6,-1.3
202007,78.0,0.2
202008,79.5,2.3
202009,73.3,4.0
202010,58.0,0.8
202011,44.3,1.1
202012,39.2,3.1
202101,40.0,5.6
202102,37.5,-2.8
202103,50.0,2.4
202104,59.3,3.4
202105,64.7,1.1
202106,77.8,7.9
202107,83.9,6.1
202108,78.4,1.2
202109,69.8,0.5
202110,55.6,-1.6
202111,46.1,2.9
202112,35.0,-1.1
202201,37.0,2.6
202202,41.9,1.6
202203,50.2,2.6
202204,50.3,-5.6
202205,58.0,-5.6
202206,68.5,-1.4
202207,81.6,3.8
202208,84.0,6.8
202209,74.7,5.4
202210,65.2,8.0
202211,39.2,-4.0
202212,31.8,-4.3
