#  West Virginia Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,3,1
199704,0,-2
199705,10,-41
199706,113,-31
199707,235,-7
199708,147,-53
199709,50,-32
199710,4,-5
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,-2
199804,2,0
199805,82,31
199806,137,-7
199807,231,-11
199808,231,31
199809,136,54
199810,9,0
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,-2
199904,6,4
199905,50,-1
199906,170,26
199907,350,108
199908,200,0
199909,63,-19
199910,5,-4
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,5,3
200004,0,-2
200005,75,24
200006,179,35
200007,160,-82
200008,175,-25
200009,60,-22
200010,12,3
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,-2
200104,6,4
200105,51,0
200106,132,-12
200107,175,-67
200108,259,59
200109,48,-34
200110,4,-5
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,-2
200204,4,2
200205,23,-28
200206,186,42
200207,293,51
200208,271,71
200209,131,49
200210,10,1
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,3,1
200304,3,1
200305,40,-11
200306,81,-63
200307,218,-24
200308,256,56
200309,63,-19
200310,3,-6
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,2,0
200404,2,0
200405,121,70
200406,127,-17
200407,216,-26
200408,156,-44
200409,95,13
200410,11,2
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,-2
200504,2,0
200505,15,-36
200506,195,51
200507,307,65
200508,298,98
200509,127,45
200510,11,2
200511,0,0
200512,0,0
200601,5,5
200602,0,0
200603,0,-2
200604,9,7
200605,24,-27
200606,109,-35
200607,255,13
200608,278,78
200609,41,-41
200610,2,-7
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,6,4
200704,0,-2
200705,77,26
200706,169,25
200707,182,-60
200708,333,133
200709,125,43
200710,37,28
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,-2
200804,5,3
200805,19,-32
200806,178,34
200807,207,-35
200808,156,-44
200809,113,31
200810,3,-6
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,2,0
200904,2,0
200905,53,2
200906,143,-1
200907,131,-111
200908,222,22
200909,77,-5
200910,2,-7
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,-2
201004,8,6
201005,81,30
201006,235,91
201007,297,55
201008,283,83
201009,95,13
201010,9,0
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,-2
201104,7,5
201105,61,10
201106,172,28
201107,332,90
201108,230,30
201109,86,4
201110,4,-5
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,23,21
201204,0,-2
201205,120,69
201206,130,-14
201207,345,103
201208,211,11
201209,70,-12
201210,5,-4
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,-2
201304,2,0
201305,49,-2
201306,163,19
201307,252,10
201308,166,-34
201309,69,-13
201310,10,1
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,-2
201404,3,1
201405,58,7
201406,182,38
201407,175,-67
201408,169,-31
201409,80,-2
201410,8,-1
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,-2
201504,2,0
201505,101,50
201506,195,51
201507,244,2
201508,185,-15
201509,126,44
201510,9,0
201511,0,0
201512,7,7
201601,0,0
201602,0,0
201603,9,7
201604,3,1
201605,35,-16
201606,174,30
201607,292,50
201608,338,138
201609,172,90
201610,23,14
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,-2
201704,16,14
201705,51,0
201706,132,-12
201707,256,14
201708,169,-31
201709,82,0
201710,23,14
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,-2
201804,0,-2
201805,158,107
201806,186,42
201807,260,18
201808,258,58
201809,196,114
201810,12,3
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,-2
201904,6,4
201905,109,58
201906,128,-16
201907,312,70
201908,229,29
201909,187,105
201910,24,15
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,8,6
202004,0,-2
202005,23,-28
202006,141,-3
202007,356,114
202008,259,59
202009,74,-8
202010,12,3
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,5,3
202104,0,-2
202105,28,-23
202106,164,20
202107,248,6
202108,301,101
202109,95,13
202110,37,28
202111,0,0
202112,2,2
202201,0,0
202202,0,0
202203,2,0
202204,0,-2
202205,77,26
202206,154,10
202207,270,28
202208,236,36
202209,74,-8
202210,2,-7
202211,0,0
202212,0,0
