#  West Virginia Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.80,3.56
199702,2.71,2.40
199703,3.69,3.39
199704,2.82,2.56
199705,2.84,2.57
199706,2.69,2.46
199707,2.27,2.10
199708,2.19,2.04
199709,1.99,1.84
199710,1.14,1.07
199711,1.30,1.34
199712,0.98,0.87
199801,1.50,1.26
199802,1.85,1.54
199803,1.62,1.32
199804,1.99,1.73
199805,2.01,1.74
199806,3.75,3.52
199807,-0.73,-0.90
199808,-1.24,-1.39
199809,-2.02,-2.17
199810,-2.72,-2.79
199811,-3.81,-3.77
199812,-4.18,-4.29
199901,-2.93,-3.17
199902,-3.03,-3.34
199903,-2.55,-2.85
199904,-2.77,-3.03
199905,-3.08,-3.35
199906,-3.96,-4.19
199907,-4.67,-4.84
199908,-4.81,-4.96
199909,-4.55,-4.70
199910,-4.27,-4.34
199911,-4.30,-4.26
199912,-4.19,-4.30
200001,-4.35,-4.59
200002,-3.60,-3.91
200003,-3.91,-4.21
200004,0.31,0.05
200005,0.14,-0.13
200006,0.65,0.42
200007,1.08,0.91
200008,1.44,1.29
200009,2.05,1.90
200010,-0.75,-0.82
200011,-1.17,-1.13
200012,-1.42,-1.53
200101,-1.58,-1.82
200102,-1.98,-2.29
200103,-1.83,-2.13
200104,-2.47,-2.73
200105,0.91,0.64
200106,0.85,0.62
200107,2.28,2.11
200108,-0.37,-0.52
200109,-0.55,-0.70
200110,-1.21,-1.28
200111,-2.32,-2.28
200112,-2.79,-2.90
200201,-2.66,-2.90
200202,-3.47,-3.78
200203,0.41,0.11
200204,1.25,0.99
200205,1.62,1.35
200206,1.46,1.23
200207,1.36,1.19
200208,0.09,-0.06
200209,0.01,-0.14
200210,0.82,0.75
200211,1.43,1.47
200212,1.44,1.33
200301,0.90,0.66
200302,2.40,2.09
200303,1.11,0.81
200304,0.93,0.67
200305,2.12,1.85
200306,3.22,2.99
200307,3.49,3.32
200308,3.64,3.49
200309,5.07,4.92
200310,4.89,4.82
200311,6.00,6.04
200312,5.54,5.43
200401,4.99,4.75
200402,4.42,4.11
200403,3.75,3.45
200404,4.13,3.87
200405,4.36,4.09
200406,4.14,3.91
200407,3.60,3.43
200408,3.34,3.19
200409,4.97,4.82
200410,4.87,4.80
200411,4.76,4.80
200412,4.25,4.14
200501,4.09,3.85
200502,-0.41,-0.72
200503,-0.11,-0.41
200504,-0.04,-0.30
200505,-0.16,-0.43
200506,-1.21,-1.44
200507,-1.01,-1.18
200508,-1.04,-1.19
200509,-2.31,-2.46
200510,-1.97,-2.04
200511,-1.74,-1.70
200512,-1.73,-1.84
200601,-1.47,-1.71
200602,-2.12,-2.43
200603,-2.84,-3.14
200604,-2.36,-2.62
200605,-2.57,-2.84
200606,1.01,0.78
200607,0.80,0.63
200608,0.20,0.05
200609,1.06,0.91
200610,2.33,2.26
200611,0.02,0.06
200612,-0.74,-0.85
200701,-0.65,-0.89
200702,-0.83,-1.14
200703,-1.00,-1.30
200704,-0.40,-0.66
200705,-1.38,-1.65
200706,-1.66,-1.89
200707,-1.33,-1.50
200708,-1.88,-2.03
200709,-2.43,-2.58
200710,-2.48,-2.55
200711,-2.65,-2.61
200712,0.67,0.56
200801,0.44,0.20
200802,0.67,0.36
200803,0.76,0.46
200804,0.72,0.46
200805,1.35,1.08
200806,1.81,1.58
200807,1.84,1.67
200808,-0.30,-0.45
200809,-1.02,-1.17
200810,-1.63,-1.70
200811,-1.87,-1.83
200812,0.97,0.86
200901,1.42,1.18
200902,-0.77,-1.08
200903,-1.41,-1.71
200904,0.07,-0.19
200905,1.20,0.93
200906,1.18,0.95
200907,1.58,1.41
200908,1.41,1.26
200909,1.37,1.22
200910,1.75,1.68
200911,1.02,1.06
200912,1.67,1.56
201001,1.63,1.39
201002,1.65,1.34
201003,-0.34,-0.64
201004,-1.31,-1.57
201005,-0.87,-1.14
201006,-0.82,-1.05
201007,-0.83,-1.00
201008,-1.21,-1.36
201009,-1.55,-1.70
201010,-1.78,-1.85
201011,-2.01,-1.97
201012,-1.65,-1.76
201101,-1.95,-2.19
201102,-1.88,-2.19
201103,0.73,0.43
201104,2.19,1.93
201105,2.27,2.00
201106,1.91,1.68
201107,1.10,0.93
201108,0.67,0.52
201109,1.93,1.78
201110,2.84,2.77
201111,3.26,3.30
201112,3.09,2.98
201201,-0.14,-0.38
201202,-0.62,-0.93
201203,-0.68,-0.98
201204,-1.01,-1.27
201205,-0.91,-1.18
201206,-1.46,-1.69
201207,-1.11,-1.28
201208,-1.77,-1.92
201209,0.80,0.65
201210,1.51,1.44
201211,0.65,0.69
201212,1.19,1.08
201301,1.55,1.31
201302,-0.57,-0.88
201303,-0.64,-0.94
201304,-1.20,-1.46
201305,-1.17,-1.44
201306,0.75,0.52
201307,1.35,1.18
201308,2.00,1.85
201309,1.57,1.42
201310,1.12,1.05
201311,1.30,1.34
201312,2.38,2.27
201401,1.67,1.43
201402,2.09,1.78
201403,-0.27,-0.57
201404,-0.63,-0.89
201405,-0.61,-0.88
201406,-0.49,-0.72
201407,-0.61,-0.78
201408,-0.32,-0.47
201409,-0.75,-0.90
201410,0.89,0.82
201411,0.83,0.87
201412,0.72,0.61
201501,0.25,0.01
201502,0.11,-0.20
201503,0.77,0.47
201504,1.77,1.51
201505,0.59,0.32
201506,1.32,1.09
201507,2.00,1.83
201508,-0.54,-0.69
201509,-0.25,-0.40
201510,-0.29,-0.36
201511,-0.75,-0.71
201512,-0.36,-0.47
201601,-0.63,-0.87
201602,-0.30,-0.61
201603,-1.26,-1.56
201604,-1.58,-1.84
201605,0.80,0.53
201606,1.59,1.36
201607,0.00,-0.17
201608,-0.45,-0.60
201609,-0.90,-1.05
201610,-0.90,-0.97
201611,-1.59,-1.55
201612,0.47,0.36
201701,0.98,0.74
201702,-0.91,-1.22
201703,0.10,-0.20
201704,0.03,-0.23
201705,0.80,0.53
201706,0.99,0.76
201707,1.56,1.39
201708,-0.19,-0.34
201709,-0.74,-0.89
201710,0.75,0.68
201711,-0.13,-0.09
201712,-0.67,-0.78
201801,-0.68,-0.92
201802,1.60,1.29
201803,1.56,1.26
201804,2.14,1.88
201805,2.30,2.03
201806,2.89,2.66
201807,2.61,2.44
201808,3.10,2.95
201809,5.53,5.38
201810,5.55,5.48
201811,6.07,6.11
201812,6.16,6.05
201901,5.79,5.55
201902,6.25,5.94
201903,5.03,4.73
201904,4.38,4.12
201905,4.19,3.92
201906,4.20,3.97
201907,3.56,3.39
201908,3.02,2.87
201909,1.19,1.04
201910,1.54,1.47
201911,1.22,1.26
201912,1.74,1.63
202001,1.60,1.36
202002,2.40,2.09
202003,1.87,1.57
202004,3.08,2.82
202005,3.52,3.25
202006,3.65,3.42
202007,2.87,2.70
202008,3.17,3.02
202009,2.84,2.69
202010,2.76,2.69
202011,2.35,2.39
202012,2.50,2.39
202101,2.01,1.77
202102,2.23,1.92
202103,-0.17,-0.47
202104,-0.37,-0.63
202105,-0.68,-0.95
202106,-0.32,-0.55
202107,-0.95,-1.12
202108,0.41,0.26
202109,0.93,0.78
202110,0.89,0.82
202111,-0.50,-0.46
202112,-0.99,-1.10
202201,0.72,0.48
202202,1.20,0.89
202203,-0.81,-1.11
202204,-0.91,-1.17
202205,0.51,0.24
202206,0.63,0.40
202207,1.27,1.10
202208,2.05,1.90
202209,1.75,1.60
202210,1.83,1.76
202211,1.99,2.03
202212,-0.29,-0.40
