#  West Virginia Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.80,3.60
199702,2.71,2.51
199703,3.69,3.52
199704,2.82,2.67
199705,2.84,2.69
199706,2.69,2.43
199707,2.27,2.10
199708,2.19,2.09
199709,1.99,1.89
199710,1.14,1.14
199711,1.30,1.28
199712,0.98,0.90
199801,1.50,1.30
199802,1.85,1.65
199803,1.62,1.45
199804,1.99,1.84
199805,2.01,1.86
199806,3.75,3.49
199807,2.63,2.46
199808,1.77,1.67
199809,0.68,0.58
199810,-2.72,-2.72
199811,-3.81,-3.83
199812,-4.18,-4.26
199901,-2.93,-3.13
199902,-3.03,-3.23
199903,-2.55,-2.72
199904,-2.77,-2.92
199905,-3.08,-3.23
199906,-3.96,-4.22
199907,-4.67,-4.84
199908,-4.81,-4.91
199909,-4.55,-4.65
199910,-4.27,-4.27
199911,-4.30,-4.32
199912,-4.19,-4.27
200001,-4.35,-4.55
200002,-3.60,-3.80
200003,-3.91,-4.08
200004,-3.19,-3.34
200005,-3.00,-3.15
200006,-2.17,-2.43
200007,-1.45,-1.62
200008,-0.83,-0.93
200009,2.05,1.95
200010,1.09,1.09
200011,-1.17,-1.19
200012,-1.42,-1.50
200101,-1.58,-1.78
200102,-1.98,-2.18
200103,-1.83,-2.00
200104,-2.47,-2.62
200105,-1.31,-1.46
200106,-1.14,-1.40
200107,2.28,2.11
200108,1.68,1.58
200109,1.29,1.19
200110,-1.21,-1.21
200111,-2.32,-2.34
200112,-2.79,-2.87
200201,-2.66,-2.86
200202,-3.47,-3.67
200203,-2.70,-2.87
200204,-1.54,-1.69
200205,-0.88,-1.03
200206,-0.78,-1.04
200207,-0.65,-0.82
200208,-1.72,-1.82
200209,-1.61,-1.71
200210,-0.64,-0.64
200211,1.43,1.41
200212,1.44,1.36
200301,0.90,0.70
200302,2.40,2.20
200303,1.11,0.94
200304,0.93,0.78
200305,2.12,1.97
200306,3.22,2.96
200307,3.49,3.32
200308,3.64,3.54
200309,5.07,4.97
200310,4.89,4.89
200311,6.00,5.98
200312,5.54,5.46
200401,4.99,4.79
200402,4.42,4.22
200403,3.75,3.58
200404,4.13,3.98
200405,4.36,4.21
200406,4.14,3.88
200407,3.60,3.43
200408,3.34,3.24
200409,4.97,4.87
200410,4.87,4.87
200411,4.76,4.74
200412,4.25,4.17
200501,4.09,3.89
200502,3.26,3.06
200503,3.18,3.01
200504,2.91,2.76
200505,2.49,2.34
200506,1.17,0.91
200507,1.12,0.95
200508,0.87,0.77
200509,-2.31,-2.41
200510,-1.97,-1.97
200511,-1.74,-1.76
200512,-1.73,-1.81
200601,-1.47,-1.67
200602,-2.12,-2.32
200603,-2.84,-3.01
200604,-2.36,-2.51
200605,-2.57,-2.72
200606,-1.30,-1.56
200607,-1.27,-1.44
200608,-1.66,-1.76
200609,-0.60,-0.70
200610,2.33,2.33
200611,2.10,2.08
200612,1.15,1.07
200701,1.04,0.84
200702,0.69,0.49
200703,-1.00,-1.17
200704,-0.40,-0.55
200705,-1.38,-1.53
200706,-1.66,-1.92
200707,-1.33,-1.50
200708,-1.88,-1.98
200709,-2.43,-2.53
200710,-2.48,-2.48
200711,-2.65,-2.67
200712,-1.71,-1.79
200801,-1.69,-1.89
200802,-1.25,-1.45
200803,-0.95,-1.12
200804,-0.82,-0.97
200805,1.35,1.20
200806,1.81,1.55
200807,1.84,1.67
200808,1.35,1.25
200809,-1.02,-1.12
200810,-1.63,-1.63
200811,-1.87,-1.89
200812,-0.71,-0.79
200901,1.42,1.22
200902,-0.77,-0.97
200903,-1.41,-1.58
200904,-1.19,-1.34
200905,1.20,1.05
200906,1.18,0.92
200907,1.58,1.41
200908,1.41,1.31
200909,1.37,1.27
200910,1.75,1.75
200911,1.02,1.00
200912,1.67,1.59
201001,1.63,1.43
201002,1.65,1.45
201003,1.14,0.97
201004,-1.31,-1.46
201005,-0.87,-1.02
201006,-0.82,-1.08
201007,-0.83,-1.00
201008,-1.21,-1.31
201009,-1.55,-1.65
201010,-1.78,-1.78
201011,-2.01,-2.03
201012,-1.65,-1.73
201101,-1.95,-2.15
201102,-1.88,-2.08
201103,-0.96,-1.13
201104,2.19,2.04
201105,2.27,2.12
201106,1.91,1.65
201107,1.10,0.93
201108,0.67,0.57
201109,1.93,1.83
201110,2.84,2.84
201111,3.26,3.24
201112,3.09,3.01
201201,2.63,2.43
201202,1.87,1.67
201203,1.55,1.38
201204,0.99,0.84
201205,0.89,0.74
201206,-1.46,-1.72
201207,-1.11,-1.28
201208,-1.77,-1.87
201209,-0.78,-0.88
201210,1.51,1.51
201211,0.65,0.63
201212,1.19,1.11
201301,1.55,1.35
201302,0.82,0.62
201303,0.60,0.43
201304,-1.20,-1.35
201305,-1.17,-1.32
201306,0.75,0.49
201307,1.35,1.18
201308,2.00,1.90
201309,1.57,1.47
201310,1.12,1.12
201311,1.30,1.28
201312,2.38,2.30
201401,1.67,1.47
201402,2.09,1.89
201403,1.61,1.44
201404,1.05,0.90
201405,0.89,0.74
201406,0.86,0.60
201407,0.60,0.43
201408,0.77,0.67
201409,-0.75,-0.85
201410,0.89,0.89
201411,0.83,0.81
201412,0.72,0.64
201501,0.25,0.05
201502,0.11,-0.09
201503,0.77,0.60
201504,1.77,1.62
201505,0.59,0.44
201506,1.32,1.06
201507,2.00,1.83
201508,1.25,1.15
201509,1.36,1.26
201510,1.15,1.15
201511,-0.75,-0.77
201512,-0.36,-0.44
201601,-0.63,-0.83
201602,-0.30,-0.50
201603,-1.26,-1.43
