#  West Virginia Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.22,3.06
199702,1.30,1.20
199703,3.64,3.55
199704,2.15,1.98
199705,2.47,2.39
199706,2.43,2.28
199707,1.79,1.72
199708,1.84,1.72
199709,1.60,1.55
199710,0.00,0.00
199711,0.46,0.52
199712,-0.03,-0.04
199801,1.00,0.84
199802,1.81,1.71
199803,1.45,1.36
199804,1.99,1.82
199805,2.01,1.93
199806,3.75,3.60
199807,1.71,1.64
199808,0.15,0.03
199809,-1.87,-1.92
199810,-2.72,-2.72
199811,-3.81,-3.75
199812,-4.18,-4.19
199901,-1.92,-2.08
199902,-2.44,-2.54
199903,-1.73,-1.82
199904,-2.44,-2.61
199905,-3.08,-3.16
199906,-3.96,-4.11
199907,-4.67,-4.74
199908,-4.81,-4.93
199909,-4.55,-4.60
199910,-4.27,-4.27
199911,-4.30,-4.24
199912,-4.19,-4.20
200001,-4.35,-4.51
200002,-3.20,-3.30
200003,-3.91,-4.00
200004,-2.77,-2.94
200005,-2.69,-2.77
200006,-1.20,-1.35
200007,0.09,0.02
200008,1.15,1.03
200009,2.05,2.00
200010,-0.02,-0.02
200011,-1.17,-1.11
200012,-1.42,-1.43
200101,-1.58,-1.74
200102,-1.98,-2.08
200103,-1.83,-1.92
200104,-2.47,-2.64
200105,-0.08,-0.16
200106,0.12,-0.03
200107,2.28,2.21
200108,1.12,1.00
200109,0.40,0.35
200110,-1.21,-1.21
200111,-2.32,-2.26
200112,-2.79,-2.80
200201,-2.66,-2.82
200202,-3.47,-3.57
200203,-2.16,-2.25
200204,0.10,-0.07
200205,1.26,1.18
200206,1.23,1.08
200207,1.27,1.20
200208,-0.88,-1.00
200209,-0.83,-0.88
200210,0.75,0.75
200211,1.43,1.49
200212,1.44,1.43
200301,0.18,0.02
200302,2.40,2.30
200303,-0.31,-0.40
200304,-0.55,-0.72
200305,2.12,2.04
200306,3.22,3.07
200307,3.49,3.42
200308,3.64,3.52
