#  West Virginia Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,21.0,-0.2
199702,28.9,6.5
199703,33.5,3.5
199704,34.4,-4.0
199705,41.5,-6.1
199706,55.4,-0.7
199707,60.2,-0.1
199708,57.5,-1.6
199709,50.8,-1.6
199710,40.1,-0.7
199711,31.7,0.4
199712,27.1,3.2
199801,30.0,8.8
199802,31.6,9.2
199803,33.0,3.0
199804,39.4,1.0
199805,52.2,4.6
199806,58.0,1.9
199807,60.6,0.3
199808,59.7,0.6
199809,54.3,1.9
199810,42.0,1.2
199811,32.2,0.9
199812,28.2,4.3
199901,24.7,3.5
199902,26.0,3.6
199903,25.6,-4.4
199904,41.1,2.7
199905,45.9,-1.7
199906,56.6,0.5
199907,63.0,2.7
199908,57.9,-1.2
199909,49.8,-2.6
199910,39.3,-1.5
199911,35.1,3.8
199912,25.2,1.3
200001,19.0,-2.2
200002,28.6,6.2
200003,33.3,3.3
200004,39.0,0.6
200005,49.6,2.0
200006,58.7,2.6
200007,58.6,-1.7
200008,59.8,0.7
200009,52.6,0.2
200010,41.8,1.0
200011,30.3,-1.0
200012,16.6,-7.3
200101,20.3,-0.9
200102,27.7,5.3
200103,27.8,-2.2
200104,41.1,2.7
200105,48.5,0.9
200106,55.9,-0.2
200107,58.4,-1.9
200108,62.2,3.1
200109,50.5,-1.9
200110,38.5,-2.3
200111,33.2,1.9
200112,30.1,6.2
200201,25.4,4.2
200202,24.7,2.3
200203,30.9,0.9
200204,41.7,3.3
200205,44.6,-3.0
200206,58.1,2.0
200207,63.2,2.9
200208,60.9,1.8
200209,54.5,2.1
200210,46.0,5.2
200211,32.9,1.6
200212,24.6,0.7
200301,17.7,-3.5
200302,23.6,1.2
200303,32.9,2.9
200304,41.0,2.6
200305,50.1,2.5
200306,54.4,-1.7
200307,60.8,0.5
200308,62.7,3.6
200309,53.7,1.3
200310,40.1,-0.7
200311,36.4,5.1
200312,24.5,0.6
200401,18.5,-2.7
200402,22.6,0.2
200403,33.5,3.5
200404,40.6,2.2
200405,53.6,6.0
200406,57.1,1.0
200407,61.1,0.8
200408,58.2,-0.9
200409,54.8,2.4
200410,44.7,3.9
200411,37.6,6.3
200412,24.8,0.9
