#  West Virginia Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,-1.38,-1.74
199702,-2.10,-2.13
199703,3.79,3.69
199704,-1.47,-1.54
199705,0.93,1.00
199706,0.43,0.19
199707,-0.44,-0.32
199708,0.48,0.46
199709,0.07,0.11
199710,-1.94,-1.87
199711,0.82,0.96
199712,-0.54,-0.66
199801,1.85,1.49
199802,1.51,1.48
199803,-0.13,-0.23
199804,1.62,1.55
199805,0.68,0.75
199806,5.83,5.59
199807,-2.19,-2.07
199808,-1.77,-1.79
199809,-2.71,-2.67
199810,-2.73,-2.66
199811,-4.11,-3.97
199812,-2.30,-2.42
199901,2.48,2.12
199902,-1.21,-1.24
199903,0.51,0.41
199904,-1.46,-1.53
199905,-1.79,-1.72
199906,-3.58,-3.82
199907,-3.36,-3.24
199908,-1.88,-1.90
199909,-0.69,-0.65
199910,-0.58,-0.51
199911,-1.39,-1.25
199912,-1.02,-1.14
200001,-1.76,-2.12
200002,0.90,0.87
200003,-2.03,-2.13
200004,0.94,0.87
200005,-0.42,-0.35
200006,1.57,1.33
200007,1.50,1.62
200008,1.41,1.39
200009,2.28,2.32
200010,-2.26,-2.19
200011,-1.49,-1.35
200012,-1.11,-1.23
200101,-0.92,-1.28
200102,-1.68,-1.71
200103,-0.17,-0.27
200104,-2.49,-2.56
200105,2.72,2.79
200106,0.10,-0.14
200107,4.58,4.70
200108,-1.11,-1.13
200109,-0.66,-0.62
200110,-2.14,-2.07
200111,-3.72,-3.58
200112,-2.13,-2.25
200201,-0.45,-0.81
200202,-3.26,-3.29
200203,1.22,1.12
200204,2.66,2.59
200205,1.50,1.57
200206,0.01,-0.23
200207,0.16,0.28
200208,-3.40,-3.42
200209,-0.22,-0.18
200210,2.43,2.50
200211,2.10,2.24
200212,0.45,0.33
200301,-1.17,-1.53
200302,4.78,4.75
200303,-3.12,-3.22
200304,-0.22,-0.29
200305,3.87,3.94
200306,3.94,3.70
200307,1.81,1.93
200308,1.52,1.50
200309,5.43,5.47
200310,1.03,1.10
200311,4.84,4.98
200312,0.46,0.34
200401,0.06,-0.30
200402,-0.18,-0.21
200403,-0.63,-0.73
200404,2.31,2.24
200405,1.94,2.01
200406,0.70,0.46
200407,-0.34,-0.22
200408,0.32,0.30
200409,5.93,5.97
200410,1.24,1.31
200411,1.18,1.32
200412,-0.05,-0.17
200501,0.82,0.46
200502,-1.22,-1.25
200503,0.77,0.67
200504,0.18,0.11
200505,-0.37,-0.30
200506,-3.20,-3.44
200507,0.22,0.34
200508,-0.40,-0.42
200509,-4.14,-4.10
200510,0.31,0.38
200511,0.08,0.22
200512,-0.51,-0.63
200601,0.24,-0.12
200602,-2.41,-2.44
200603,-2.80,-2.90
200604,0.55,0.48
200605,-1.36,-1.29
200606,3.02,2.78
200607,-0.32,-0.20
200608,-1.54,-1.56
200609,2.66,2.70
200610,4.11,4.18
200611,0.05,0.19
200612,-2.22,-2.34
200701,0.04,-0.32
200702,-0.74,-0.77
200703,-0.76,-0.86
200704,1.50,1.43
200705,-3.08,-3.01
200706,-1.27,-1.51
200707,0.47,0.59
200708,-2.05,-2.07
200709,-2.23,-2.19
200710,-0.90,-0.83
200711,-1.28,-1.14
200712,2.02,1.90
200801,-0.49,-0.85
200802,0.82,0.79
200803,0.49,0.39
200804,0.11,0.04
200805,2.10,2.17
200806,1.80,1.56
200807,0.64,0.76
200808,-0.89,-0.91
200809,-2.27,-2.23
200810,-2.12,-2.05
200811,-1.24,-1.10
200812,2.90,2.78
200901,1.67,1.31
200902,-2.32,-2.35
200903,-2.14,-2.24
200904,0.22,0.15
200905,3.41,3.48
200906,0.29,0.05
200907,1.59,1.71
200908,-0.02,-0.04
200909,0.32,0.36
200910,1.55,1.62
200911,-1.63,-1.49
200912,2.25,2.13
201001,0.42,0.06
201002,0.55,0.52
201003,-1.03,-1.13
201004,-2.99,-3.06
201005,0.91,0.98
201006,-0.13,-0.37
201007,-0.27,-0.15
201008,-1.41,-1.43
201009,-1.37,-1.33
201010,-1.17,-1.10
201011,-1.26,-1.12
201012,0.46,0.34
201101,-1.40,-1.76
201102,-0.40,-0.43
201103,2.18,2.08
201104,4.60,4.53
201105,0.92,0.99
201106,-0.39,-0.63
201107,-1.82,-1.70
201108,-0.95,-0.97
201109,3.97,4.01
201110,3.35,3.42
201111,2.13,2.27
201112,0.50,0.38
201201,-0.43,-0.79
201202,-1.46,-1.49
201203,-0.37,-0.47
201204,-1.20,-1.27
201205,0.00,0.07
201206,-1.94,-2.18
201207,0.60,0.72
201208,-2.32,-2.34
201209,2.40,2.44
201210,2.37,2.44
201211,-2.10,-1.96
201212,1.80,1.68
201301,1.45,1.09
201302,-1.70,-1.73
201303,-0.40,-0.50
201304,-1.88,-1.95
201305,-0.27,-0.20
201306,2.26,2.02
201307,2.02,2.14
201308,2.38,2.36
201309,-0.67,-0.63
201310,-0.87,-0.80
201311,0.88,1.02
201312,3.66,3.54
201401,-1.40,-1.76
201402,1.77,1.74
201403,-0.80,-0.90
201404,-1.16,-1.23
201405,-0.15,-0.08
201406,0.19,-0.05
201407,-0.51,-0.39
201408,0.68,0.66
201409,-1.39,-1.35
201410,2.67,2.74
201411,0.10,0.24
201412,-0.08,-0.20
201501,-1.18,-1.54
201502,-0.35,-0.38
201503,2.00,1.90
201504,3.24,3.17
201505,-2.98,-2.91
201506,2.37,2.13
201507,2.44,2.56
201508,-1.63,-1.65
201509,0.72,0.76
201510,-0.21,-0.14
201511,-1.45,-1.31
201512,0.92,0.80
201601,-0.91,-1.27
201602,0.79,0.76
201603,-2.98,-3.08
201604,-1.35,-1.42
201605,2.39,2.46
201606,2.61,2.37
201607,0.00,0.12
201608,-1.35,-1.37
201609,-1.49,-1.45
201610,-0.28,-0.21
201611,-2.35,-2.21
201612,1.42,1.30
201701,1.69,1.33
201702,-2.73,-2.76
201703,0.29,0.19
201704,-0.17,-0.24
201705,2.33,2.40
201706,0.82,0.58
201707,2.02,2.14
201708,-0.58,-0.60
201709,-1.71,-1.67
201710,2.24,2.31
201711,-0.40,-0.26
201712,-1.66,-1.78
201801,-0.22,-0.58
201802,4.81,4.78
201803,0.36,0.26
201804,2.23,2.16
201805,1.13,1.20
201806,2.49,2.25
201807,0.05,0.17
201808,2.27,2.25
201809,8.24,8.28
201810,1.78,1.85
201811,3.26,3.40
201812,2.16,2.04
201901,0.80,0.44
201902,3.15,3.12
201903,-1.72,-1.82
201904,-0.40,-0.47
201905,0.79,0.86
201906,1.33,1.09
201907,-0.62,-0.50
201908,-0.52,-0.54
201909,-4.55,-4.51
201910,1.41,1.48
201911,-0.49,-0.35
201912,1.95,1.83
202001,0.13,-0.23
202002,2.87,2.84
202003,-0.84,-0.94
202004,4.20,4.13
202005,2.29,2.36
202006,1.48,1.24
202007,-1.22,-1.10
202008,1.78,1.76
202009,-0.01,0.03
202010,0.66,0.73
202011,-0.38,-0.24
202012,1.17,1.05
202101,-0.70,-1.06
202102,1.28,1.25
202103,-0.51,-0.61
202104,-0.65,-0.72
202105,-1.03,-0.96
202106,0.87,0.63
202107,-1.99,-1.87
202108,1.23,1.21
202109,1.69,1.73
202110,0.17,0.24
202111,-1.51,-1.37
202112,-1.60,-1.72
202201,2.17,1.81
202202,1.66,1.63
202203,-2.43,-2.53
202204,-0.56,-0.63
202205,1.53,1.60
202206,0.52,0.28
202207,2.11,2.23
202208,2.73,2.71
202209,-0.26,-0.22
202210,0.80,0.87
202211,1.03,1.17
202212,-0.88,-1.00
