#  Wisconsin Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.56,2.25
199702,2.25,1.95
199703,2.15,1.91
199704,1.12,0.90
199705,1.13,0.92
199706,0.94,0.72
199707,1.67,1.36
199708,1.94,1.77
199709,1.57,1.35
199710,1.45,1.24
199711,1.00,0.83
199712,0.64,0.50
199801,1.12,0.81
199802,1.44,1.14
199803,2.53,2.29
199804,1.83,1.61
199805,1.23,1.02
199806,2.11,1.89
199807,-0.94,-1.25
199808,-0.91,-1.08
199809,-1.69,-1.91
199810,-1.63,-1.84
199811,-2.05,-2.22
199812,-2.49,-2.63
199901,0.48,0.17
199902,0.59,0.29
199903,-0.70,-0.94
199904,0.60,0.38
199905,1.06,0.85
199906,0.94,0.72
199907,2.78,2.47
199908,-0.08,-0.25
199909,-0.54,-0.76
199910,-0.92,-1.13
199911,-1.49,-1.66
199912,-1.81,-1.95
200001,-1.60,-1.91
200002,-1.21,-1.51
200003,-1.67,-1.91
200004,-1.61,-1.83
200005,0.27,0.06
200006,1.54,1.32
200007,1.89,1.58
200008,1.74,1.57
200009,1.72,1.50
200010,0.80,0.59
200011,1.13,0.96
200012,1.32,1.18
200101,1.32,1.01
200102,1.66,1.36
200103,0.88,0.64
200104,1.79,1.57
200105,2.21,2.00
200106,2.29,2.07
200107,1.55,1.24
200108,1.48,1.31
200109,1.48,1.26
200110,1.49,1.28
200111,1.26,1.09
200112,1.26,1.12
200201,0.82,0.51
200202,1.30,1.00
200203,1.55,1.31
200204,2.29,2.07
200205,2.09,1.88
200206,2.48,2.26
200207,2.11,1.80
200208,2.21,2.04
200209,2.26,2.04
200210,3.22,3.01
200211,-0.44,-0.61
200212,-0.68,-0.82
200301,-1.01,-1.32
200302,-1.11,-1.41
200303,0.12,-0.12
200304,0.20,-0.02
200305,0.95,0.74
200306,-0.27,-0.49
200307,-0.34,-0.65
200308,-1.48,-1.65
200309,-1.81,-2.03
200310,-2.36,-2.57
200311,-2.10,-2.27
200312,-2.07,-2.21
200401,-2.02,-2.33
200402,0.49,0.19
200403,1.23,0.99
200404,0.73,0.51
200405,2.85,2.64
200406,2.92,2.70
200407,-0.08,-0.39
200408,-0.20,-0.37
200409,-0.97,-1.19
200410,0.48,0.27
200411,0.19,0.02
200412,0.46,0.32
200501,0.87,0.56
200502,0.98,0.68
200503,-0.27,-0.51
200504,-1.15,-1.37
200505,-1.33,-1.54
200506,-1.63,-1.85
200507,-1.87,-2.18
200508,-2.49,-2.66
200509,-2.64,-2.86
200510,-2.43,-2.64
200511,-2.09,-2.26
200512,-2.02,-2.16
200601,-1.53,-1.84
200602,-1.50,-1.80
200603,-1.08,-1.32
200604,-1.38,-1.60
200605,-0.99,-1.20
200606,-1.79,-2.01
200607,-1.98,-2.29
200608,-1.80,-1.97
200609,-1.89,-2.11
200610,-1.64,-1.85
200611,-1.87,-2.04
200612,-1.43,-1.57
200701,-1.31,-1.62
200702,-1.06,-1.36
200703,-0.71,-0.95
200704,-0.71,-0.93
200705,-1.34,-1.55
200706,-1.92,-2.14
200707,-2.20,-2.51
200708,1.21,1.04
200709,0.86,0.64
200710,1.83,1.62
200711,1.13,0.96
200712,2.02,1.88
200801,2.04,1.73
200802,2.28,1.98
200803,1.70,1.46
200804,2.98,2.76
200805,2.69,2.48
200806,3.39,3.17
200807,3.29,2.98
200808,-0.99,-1.16
200809,-1.50,-1.72
200810,-1.62,-1.83
200811,-2.13,-2.30
200812,0.44,0.30
200901,0.18,-0.13
200902,0.26,-0.04
200903,0.55,0.31
200904,0.75,0.53
200905,-0.30,-0.51
200906,-0.61,-0.83
200907,-1.01,-1.32
200908,0.45,0.28
200909,-1.17,-1.39
200910,1.57,1.36
200911,0.88,0.71
200912,1.59,1.45
201001,-0.05,-0.36
201002,-0.30,-0.60
201003,-1.17,-1.41
201004,-1.69,-1.91
201005,-1.85,-2.06
201006,1.35,1.13
201007,3.17,2.86
201008,3.17,3.00
201009,4.17,3.95
201010,3.86,3.65
201011,3.58,3.41
201012,3.65,3.51
201101,3.24,2.93
201102,3.03,2.73
201103,3.17,2.93
201104,3.53,3.31
201105,3.02,2.81
201106,2.78,2.56
201107,2.86,2.55
201108,-0.43,-0.60
201109,-0.62,-0.84
201110,-1.15,-1.36
201111,-1.43,-1.60
201112,-1.32,-1.46
201201,-1.15,-1.46
201202,-0.80,-1.10
201203,-1.38,-1.62
201204,-1.35,-1.57
201205,-0.83,-1.04
201206,-1.25,-1.47
201207,-1.66,-1.97
201208,-2.44,-2.61
201209,-3.30,-3.52
201210,-2.47,-2.68
201211,-2.97,-3.14
201212,-0.04,-0.18
201301,0.40,0.09
201302,0.82,0.52
201303,0.91,0.67
201304,2.41,2.19
201305,3.11,2.90
201306,3.81,3.59
201307,2.89,2.58
201308,1.96,1.79
201309,0.91,0.69
201310,1.22,1.01
201311,1.18,1.01
201312,1.41,1.27
201401,1.37,1.06
201402,1.45,1.15
201403,0.96,0.72
201404,2.44,2.22
201405,2.34,2.13
201406,3.20,2.98
201407,2.53,2.22
201408,2.90,2.73
201409,2.78,2.56
201410,3.09,2.88
201411,3.17,3.00
201412,3.05,2.91
201501,2.45,2.14
201502,1.84,1.54
201503,1.08,0.84
201504,1.00,0.78
201505,1.40,1.19
201506,1.45,1.23
201507,1.28,0.97
201508,1.29,1.12
201509,1.23,1.01
201510,1.32,1.11
201511,1.93,1.76
201512,3.80,3.66
201601,3.32,3.01
201602,2.90,2.60
201603,3.72,3.48
201604,3.10,2.88
201605,2.50,2.29
201606,2.75,2.53
201607,3.31,3.00
201608,3.64,3.47
201609,4.26,4.04
201610,4.22,4.01
201611,3.69,3.52
201612,3.91,3.77
201701,4.21,3.90
201702,4.05,3.75
201703,3.83,3.59
201704,4.32,4.10
