#  Wisconsin Palmer Modified Drought Index (PMDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.56,2.38
199702,2.13,1.89
199703,2.14,1.96
199704,-0.06,-0.22
199705,0.14,-0.07
199706,-0.15,-0.32
199707,1.49,1.19
199708,1.94,1.84
199709,1.25,1.19
199710,1.13,1.02
199711,0.21,0.07
199712,-0.50,-0.62
199801,0.66,0.48
199802,1.43,1.19
199803,2.53,2.35
199804,1.21,1.05
199805,0.05,-0.16
199806,2.11,1.94
199807,-0.38,-0.68
199808,-0.61,-0.71
199809,-1.69,-1.75
199810,-1.63,-1.74
199811,-2.05,-2.19
199812,-2.49,-2.61
199901,-1.07,-1.25
199902,-0.49,-0.73
199903,-1.84,-2.02
199904,-0.19,-0.35
199905,1.06,0.85
199906,0.81,0.64
199907,2.78,2.48
199908,2.25,2.15
199909,0.88,0.82
199910,-0.27,-0.38
199911,-1.49,-1.63
199912,-1.81,-1.93
200001,-1.49,-1.67
200002,-0.71,-0.95
200003,-1.67,-1.85
200004,-1.61,-1.77
200005,-0.69,-0.90
200006,1.54,1.37
200007,1.89,1.59
200008,1.74,1.64
200009,1.72,1.66
200010,-0.36,-0.47
200011,0.55,0.41
200012,1.08,0.96
200101,1.19,1.01
200102,1.66,1.42
200103,-0.10,-0.28
200104,1.79,1.63
200105,2.21,2.00
200106,2.29,2.12
200107,0.82,0.52
200108,0.83,0.73
200109,0.98,0.92
200110,1.12,1.01
200111,0.77,0.63
200112,0.84,0.72
200201,0.01,-0.17
200202,1.04,0.80
200203,1.55,1.37
200204,2.29,2.13
200205,2.07,1.86
200206,2.48,2.31
200207,1.90,1.60
200208,2.21,2.11
200209,2.26,2.20
200210,3.22,3.11
200211,1.85,1.71
200212,0.92,0.80
200301,-0.15,-0.33
200302,-0.67,-0.91
200303,-0.45,-0.63
200304,-0.30,-0.46
200305,1.01,0.80
200306,0.31,0.14
200307,0.02,-0.28
200308,-1.48,-1.58
200309,-1.81,-1.87
200310,-2.36,-2.47
200311,-2.01,-2.15
200312,-2.07,-2.19
200401,-2.02,-2.20
200402,-0.59,-0.83
200403,1.23,1.05
200404,-0.04,-0.20
200405,2.85,2.64
200406,2.92,2.75
200407,2.37,2.07
200408,1.78,1.68
200409,-0.27,-0.33
200410,0.67,0.56
200411,-0.01,-0.15
200412,0.49,0.37
200501,1.19,1.01
200502,1.36,1.12
200503,0.53,0.35
200504,-1.15,-1.31
200505,-1.33,-1.54
200506,-1.63,-1.80
200507,-1.87,-2.17
200508,-2.49,-2.59
200509,-2.64,-2.70
200510,-2.43,-2.54
200511,-1.90,-2.04
200512,-1.96,-2.08
200601,-1.02,-1.20
200602,-1.11,-1.35
200603,-0.29,-0.47
200604,-1.06,-1.22
200605,-0.29,-0.50
200606,-1.79,-1.96
200607,-1.98,-2.28
200608,-1.76,-1.86
200609,-1.89,-1.95
200610,-1.49,-1.60
200611,-1.87,-2.01
200612,-1.01,-1.13
200701,-0.86,-1.04
200702,-0.40,-0.64
200703,0.29,0.11
200704,0.18,0.02
200705,-1.18,-1.39
200706,-1.92,-2.09
200707,-2.20,-2.50
200708,0.93,0.83
200709,0.43,0.37
200710,1.83,1.72
200711,0.33,0.19
200712,2.02,1.90
200801,2.04,1.86
200802,2.28,2.04
200803,1.18,1.00
200804,2.98,2.82
200805,2.64,2.43
200806,3.39,3.22
200807,3.29,2.99
200808,0.72,0.62
200809,-0.81,-0.87
200810,-1.41,-1.52
200811,-2.13,-2.27
200812,-0.80,-0.92
200901,-1.12,-1.30
200902,-0.67,-0.91
200903,0.21,0.03
200904,0.75,0.59
200905,0.37,0.16
200906,-0.61,-0.78
200907,-1.01,-1.31
200908,0.45,0.35
200909,-1.17,-1.23
200910,1.57,1.46
200911,-0.01,-0.15
200912,1.59,1.47
201001,1.23,1.05
201002,0.36,0.12
201003,-1.17,-1.35
201004,-1.69,-1.85
201005,-1.85,-2.06
201006,1.35,1.18
201007,3.17,2.87
201008,3.17,3.07
201009,4.17,4.11
201010,3.86,3.75
201011,3.58,3.44
201012,3.65,3.53
201101,3.14,2.96
201102,3.02,2.78
201103,3.17,2.99
201104,3.53,3.37
201105,2.79,2.58
201106,2.57,2.40
201107,2.86,2.56
201108,1.54,1.44
201109,0.75,0.69
201110,-0.74,-0.85
201111,-1.43,-1.57
201112,-1.30,-1.42
201201,-0.98,-1.16
201202,-0.15,-0.39
201203,-1.38,-1.56
201204,-1.35,-1.51
201205,-0.10,-0.31
201206,-1.25,-1.42
201207,-1.66,-1.96
201208,-2.44,-2.54
201209,-3.30,-3.36
201210,-1.81,-1.92
201211,-2.97,-3.11
201212,-2.69,-2.81
201301,-1.45,-1.63
201302,-0.16,-0.40
201303,0.33,0.15
201304,2.41,2.25
201305,3.11,2.90
201306,3.81,3.64
201307,2.22,1.92
201308,0.52,0.42
201309,-1.45,-1.51
201310,-0.58,-0.69
201311,-0.44,-0.58
201312,0.16,0.04
201401,0.25,0.07
201402,0.53,0.29
201403,-0.19,-0.37
201404,2.31,2.15
201405,2.33,2.12
201406,3.20,3.03
201407,2.06,1.76
201408,2.90,2.80
201409,2.78,2.72
201410,3.09,2.98
201411,3.17,3.03
201412,3.05,2.93
201501,2.04,1.86
201502,0.94,0.70
201503,-0.51,-0.69
201504,-0.48,-0.64
201505,0.47,0.26
201506,0.71,0.54
201507,0.52,0.22
201508,0.64,0.54
201509,0.59,0.53
201510,0.75,0.64
201511,1.93,1.79
201512,3.80,3.68
201601,3.17,2.99
201602,2.58,2.34
201603,3.72,3.54
201604,2.77,2.61
201605,1.79,1.58
201606,2.56,2.39
201607,3.31,3.01
201608,3.64,3.54
201609,4.26,4.20
201610,4.22,4.11
201611,3.53,3.39
201612,3.91,3.79
201701,4.21,4.03
201702,4.05,3.81
201703,3.83,3.65
201704,4.32,4.16
201705,4.73,4.52
201706,5.04,4.87
201707,5.04,4.74
201708,4.89,4.79
201709,2.81,2.75
201710,4.16,4.05
201711,3.29,3.15
201712,2.92,2.80
201801,2.87,2.69
201802,3.11,2.87
201803,1.71,1.53
201804,2.63,2.47
201805,2.53,2.32
201806,2.78,2.61
201807,1.91,1.61
201808,3.02,2.92
