#  Wisconsin Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,20.4,-1.5
199702,30.0,3.3
199703,38.2,-0.1
199704,53.0,-0.9
199705,60.8,-6.2
199706,78.3,2.3
199707,78.2,-2.6
199708,73.9,-4.2
199709,70.0,0.7
199710,58.1,0.6
199711,36.7,-3.0
199712,32.6,6.3
199801,26.8,4.9
199802,38.6,11.9
199803,39.6,1.3
199804,59.0,5.1
199805,74.1,7.1
199806,74.1,-1.9
199807,81.1,0.3
199808,80.0,1.9
199809,76.0,6.7
199810,59.2,1.7
199811,44.9,5.2
199812,35.1,8.8
199901,20.7,-1.2
199902,35.4,8.7
199903,42.9,4.6
199904,57.8,3.9
199905,69.5,2.5
199906,76.6,0.6
199907,83.4,2.6
199908,76.4,-1.7
199909,70.0,0.7
199910,57.5,0.0
199911,50.6,10.9
199912,31.0,4.7
200001,24.8,2.9
200002,35.5,8.8
200003,49.4,11.1
200004,54.7,0.8
200005,68.8,1.8
200006,73.5,-2.5
200007,78.1,-2.7
200008,78.2,0.1
200009,69.4,0.1
200010,61.8,4.3
200011,39.0,-0.7
200012,17.6,-8.7
200101,28.2,6.3
200102,24.8,-1.9
200103,37.7,-0.6
200104,58.1,4.2
200105,68.3,1.3
200106,75.2,-0.8
200107,82.1,1.3
200108,81.1,3.0
200109,68.0,-1.3
200110,56.5,-1.0
200111,52.7,13.0
200112,34.9,8.6
200201,32.2,10.3
200202,36.1,9.4
200203,34.7,-3.6
200204,53.2,-0.7
200205,62.4,-4.6
200206,77.1,1.1
200207,84.0,3.2
200208,78.5,0.4
200209,72.7,3.4
200210,50.7,-6.8
200211,39.8,0.1
200212,32.2,5.9
200301,22.5,0.6
200302,24.8,-1.9
200303,39.9,1.6
200304,54.7,0.8
200305,65.9,-1.1
200306,75.1,-0.9
200307,80.0,-0.8
200308,82.4,4.3
200309,70.9,1.6
200310,58.3,0.8
200311,40.6,0.9
200312,32.8,6.5
200401,19.2,-2.7
200402,30.6,3.9
200403,42.4,4.1
200404,57.2,3.3
200405,64.6,-2.4
200406,73.2,-2.8
200407,77.7,-3.1
200408,73.2,-4.9
200409,75.2,5.9
200410,58.4,0.9
200411,45.0,5.3
200412,29.0,2.7
200501,22.6,0.7
200502,33.5,6.8
200503,38.7,0.4
200504,60.7,6.8
200505,63.4,-3.6
200506,81.0,5.0
200507,82.7,1.9
200508,79.8,1.7
200509,75.5,6.2
200510,60.5,3.0
200511,43.4,3.7
200512,24.8,-1.5
200601,34.4,12.5
200602,28.1,1.4
200603,41.2,2.9
200604,61.7,7.8
200605,67.3,0.3
200606,77.5,1.5
200607,85.4,4.6
200608,78.9,0.8
200609,67.0,-2.3
200610,53.0,-4.5
200611,44.4,4.7
200612,34.2,7.9
200701,28.3,6.4
200702,20.6,-6.1
200703,45.0,6.7
200704,54.2,0.3
200705,71.9,4.9
200706,79.4,3.4
200707,81.6,0.8
200708,79.1,1.0
200709,72.8,3.5
200710,62.2,4.7
200711,40.9,1.2
200712,25.2,-1.1
200801,23.2,1.3
200802,23.7,-3.0
200803,36.1,-2.2
200804,53.2,-0.7
200805,64.8,-2.2
200806,75.3,-0.7
200807,80.6,-0.2
200808,79.2,1.1
200809,71.4,2.1
200810,57.1,-0.4
200811,41.3,1.6
200812,23.2,-3.1
200901,16.9,-5.0
200902,30.6,3.9
200903,40.8,2.5
200904,54.4,0.5
200905,67.2,0.2
200906,74.7,-1.3
200907,74.8,-6.0
200908,75.7,-2.4
200909,73.7,4.4
200910,49.7,-7.8
200911,49.1,9.4
200912,25.6,-0.7
201001,22.9,1.0
201002,29.8,3.1
201003,49.4,11.1
201004,63.0,9.1
201005,69.8,2.8
201006,75.0,-1.0
201007,81.5,0.7
201008,81.3,3.2
201009,67.3,-2.0
201010,62.0,4.5
201011,43.5,3.8
201012,24.4,-1.9
201101,20.1,-1.8
201102,27.7,1.0
201103,38.0,-0.3
201104,51.4,-2.5
201105,64.7,-2.3
201106,75.2,-0.8
201107,84.1,3.3
201108,79.7,1.6
201109,67.8,-1.5
201110,61.2,3.7
201111,44.8,5.1
201112,33.3,7.0
201201,29.8,7.9
201202,35.1,8.4
201203,56.1,17.8
201204,56.8,2.9
201205,72.2,5.2
201206,79.7,3.7
201207,87.2,6.4
201208,79.6,1.5
201209,71.3,2.0
201210,55.3,-2.2
201211,43.3,3.6
201212,32.3,6.0
201301,26.0,4.1
201302,26.2,-0.5
201303,33.7,-4.6
201304,46.8,-7.1
201305,67.0,0.0
201306,74.3,-1.7
201307,79.8,-1.0
201308,79.6,1.5
201309,73.0,3.7
201310,56.6,-0.9
201311,39.0,-0.7
201312,20.7,-5.6
201401,16.2,-5.7
201402,18.4,-8.3
201403,32.3,-6.0
201404,50.2,-3.7
201405,66.7,-0.3
201406,77.0,1.0
201407,76.6,-4.2
201408,77.6,-0.5
201409,69.4,0.1
201410,55.6,-1.9
201411,32.8,-6.9
201412,30.0,3.7
201501,22.9,1.0
201502,18.0,-8.7
201503,42.3,4.0
201504,57.3,3.4
201505,68.3,1.3
201506,75.0,-1.0
201507,79.7,-1.1
201508,76.3,-1.8
201509,75.2,5.9
201510,59.0,1.5
201511,48.2,8.5
201512,37.1,10.8
201601,23.7,1.8
201602,31.0,4.3
201603,46.0,7.7
201604,53.3,-0.6
201605,68.8,1.8
201606,77.2,1.2
201607,80.6,-0.2
201608,79.6,1.5
201609,72.1,2.8
201610,60.3,2.8
201611,51.2,11.5
201612,26.2,-0.1
201701,26.4,4.5
201702,37.4,10.7
201703,39.3,1.0
201704,57.5,3.6
