#  Wisconsin Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.01,1.92
199702,-0.13,-0.22
199703,0.40,0.38
199704,-2.44,-2.47
199705,0.40,0.23
199706,-0.23,-0.34
199707,2.50,2.21
199708,1.33,1.46
199709,-0.53,-0.59
199710,0.14,0.01
199711,-0.90,-0.93
199712,-0.77,-0.71
199801,1.63,1.54
199802,1.31,1.22
199803,3.70,3.68
199804,-1.31,-1.34
199805,-1.23,-1.40
199806,3.02,2.91
199807,-2.81,-3.10
199808,-0.21,-0.08
199809,-2.63,-2.69
199810,-0.34,-0.47
199811,-1.75,-1.78
199812,-1.98,-1.92
199901,1.45,1.36
199902,0.48,0.39
199903,-2.09,-2.11
199904,1.81,1.78
199905,1.57,1.40
199906,-0.03,-0.14
199907,5.80,5.51
199908,-0.24,-0.11
199909,-1.41,-1.47
199910,-1.30,-1.43
199911,-1.99,-2.02
199912,-1.44,-1.38
200001,0.08,-0.01
200002,0.66,0.57
200003,-1.73,-1.75
200004,-0.34,-0.37
200005,0.80,0.63
200006,3.90,3.79
200007,1.54,1.25
200008,0.13,0.26
200009,0.46,0.40
200010,-2.21,-2.34
200011,1.24,1.21
200012,0.91,0.97
200101,0.41,0.32
200102,1.44,1.35
200103,-1.82,-1.84
200104,3.00,2.97
200105,1.81,1.64
200106,0.90,0.79
200107,-1.50,-1.79
200108,0.27,0.40
200109,0.46,0.40
200110,0.47,0.34
200111,-0.21,-0.24
200112,0.37,0.43
200201,-0.92,-1.01
200202,1.70,1.61
200203,1.14,1.12
200204,2.69,2.66
200205,0.11,-0.06
200206,1.83,1.72
200207,-0.34,-0.63
200208,0.96,1.09
200209,0.81,0.75
200210,3.58,3.45
200211,-1.32,-1.35
200212,-0.87,-0.81
200301,-1.20,-1.29
200302,-0.62,-0.71
200303,0.36,0.34
200304,0.29,0.26
200305,2.30,2.13
200306,-0.80,-0.91
200307,-0.29,-0.58
200308,-3.54,-3.41
200309,-1.43,-1.49
200310,-2.21,-2.34
200311,0.05,0.02
200312,-0.57,-0.51
200401,-0.49,-0.58
200402,1.46,1.37
200403,2.37,2.35
200404,-1.11,-1.14
200405,6.58,6.41
200406,1.08,0.97
200407,-0.25,-0.54
200408,-0.37,-0.24
200409,-2.40,-2.46
200410,1.43,1.30
200411,-0.73,-0.76
200412,0.87,0.93
200501,1.38,1.29
200502,0.60,0.51
200503,-0.81,-0.83
200504,-2.71,-2.74
200505,-0.92,-1.09
200506,-1.30,-1.41
200507,-1.23,-1.52
200508,-2.43,-2.30
200509,-1.21,-1.27
200510,-0.20,-0.33
200511,0.28,0.25
200512,-0.44,-0.38
200601,0.86,0.77
200602,-0.40,-0.49
200603,0.80,0.78
