#  Wyoming Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,1403,-7
199702,1171,1
199703,964,-125
199704,910,145
199705,465,-30
199706,174,-56
199707,80,10
199708,83,-10
199709,256,-76
199710,659,-15
199711,1065,12
199712,1325,-18
199801,1275,-135
199802,1045,-125
199803,1110,21
199804,745,-20
199805,430,-65
199806,356,126
199807,33,-37
199808,59,-34
199809,173,-159
199810,657,-17
199811,922,-131
199812,1324,-19
199901,1222,-188
199902,999,-171
199903,920,-169
199904,836,71
199905,540,45
199906,244,14
199907,56,-14
199908,65,-28
199909,404,72
199910,600,-74
199911,755,-298
199912,1193,-150
200001,1234,-176
200002,968,-202
200003,950,-139
200004,662,-103
200005,406,-89
200006,207,-23
200007,34,-36
200008,38,-55
200009,312,-20
200010,652,-22
200011,1332,279
200012,1405,62
200101,1331,-79
200102,1238,68
200103,991,-98
200104,696,-69
200105,414,-81
200106,174,-56
200107,32,-38
200108,35,-58
200109,214,-118
200110,657,-17
200111,894,-159
200112,1312,-31
200201,1346,-64
200202,1146,-24
200203,1228,139
200204,721,-44
200205,513,18
200206,146,-84
200207,23,-47
200208,101,8
200209,283,-49
200210,840,166
200211,1037,-16
200212,1204,-139
200301,1118,-292
200302,1230,60
200303,1000,-89
200304,645,-120
200305,450,-45
200306,266,36
200307,17,-53
200308,32,-61
200309,350,18
200310,535,-139
200311,1167,114
200312,1211,-132
200401,1316,-94
200402,1136,-34
200403,861,-228
200404,666,-99
200405,456,-39
200406,252,22
200407,77,7
200408,138,45
200409,308,-24
200410,638,-36
200411,1000,-53
200412,1185,-158
200501,1215,-195
200502,1039,-131
200503,980,-109
200504,722,-43
200505,509,14
200506,232,2
200507,36,-34
200508,99,6
200509,267,-65
200510,596,-78
200511,928,-125
200512,1341,-2
200601,1136,-274
200602,1198,28
200603,1056,-33
200604,621,-144
200605,409,-86
200606,124,-106
200607,21,-49
200608,72,-21
200609,387,55
200610,732,58
200611,975,-78
200612,1248,-95
200701,1471,61
200702,1106,-64
200703,822,-267
200704,723,-42
200705,414,-81
200706,154,-76
200707,15,-55
200708,46,-47
200709,271,-61
200710,616,-58
200711,932,-121
200712,1425,82
200801,1471,61
200802,1137,-33
200803,1095,6
200804,847,82
200805,542,47
200806,252,22
200807,43,-27
200808,74,-19
200809,353,21
200810,663,-11
200811,866,-187
200812,1401,58
200901,1259,-151
200902,1037,-133
200903,1029,-60
200904,787,22
200905,444,-51
200906,277,47
200907,93,23
200908,119,26
200909,236,-96
200910,911,237
200911,901,-152
200912,1537,194
201001,1296,-114
201002,1206,36
201003,937,-152
201004,749,-16
201005,618,123
201006,226,-4
201007,68,-2
201008,78,-15
201009,254,-78
201010,532,-142
201011,1067,14
201012,1240,-103
201101,1351,-59
201102,1291,121
201103,988,-101
201104,804,39
201105,624,129
201106,249,19
201107,45,-25
201108,47,-46
201109,257,-75
201110,607,-67
201111,1048,-5
201112,1334,-9
201201,1204,-206
201202,1166,-4
201203,756,-333
201204,581,-184
201205,436,-59
201206,120,-110
201207,21,-49
201208,43,-50
201209,226,-106
201210,703,29
201211,866,-187
201212,1295,-48
201301,1353,-57
201302,1166,-4
201303,1023,-66
201304,896,131
201305,437,-58
201306,157,-73
201307,36,-34
201308,43,-50
201309,229,-103
201310,775,101
201311,985,-68
201312,1416,73
201401,1270,-140
201402,1255,85
201403,990,-99
201404,737,-28
201405,449,-46
201406,252,22
201407,50,-20
201408,105,12
201409,269,-63
201410,538,-136
201411,1108,55
201412,1222,-121
201501,1200,-210
201502,1013,-157
201503,826,-263
201504,692,-73
201505,544,49
201506,120,-110
201507,86,16
201508,73,-20
201509,184,-148
201510,483,-191
201511,1046,-7
201512,1316,-27
201601,1279,-131
201602,954,-216
201603,921,-168
201604,685,-80
201605,517,22
201606,106,-124
201607,48,-22
201608,88,-5
201609,276,-56
201610,538,-136
201611,807,-246
201612,1459,116
201701,1448,38
201702,1010,-160
201703,796,-293
201704,722,-43
201705,475,-20
201706,175,-55
201707,28,-42
201708,88,-5
201709,310,-22
201710,716,42
201711,874,-179
201712,1253,-90
201801,1209,-201
201802,1256,86
201803,984,-105
201804,742,-23
201805,359,-136
201806,162,-68
201807,40,-30
201808,85,-8
201809,233,-99
201810,728,54
201811,1068,15
201812,1311,-32
201901,1294,-116
201902,1315,145
201903,1156,67
201904,698,-67
201905,627,132
201906,240,10
201907,55,-15
201908,64,-29
201909,239,-93
201910,928,254
201911,1029,-24
201912,1261,-82
202001,1236,-174
202002,1224,54
202003,962,-127
202004,808,43
202005,437,-58
202006,178,-52
202007,51,-19
202008,33,-60
202009,278,-54
202010,723,49
202011,918,-135
202012,1221,-122
202101,1258,-152
202102,1323,153
202103,998,-91
202104,793,28
202105,487,-8
202106,91,-139
202107,19,-51
202108,75,-18
202109,212,-120
202110,628,-46
202111,822,-231
202112,1159,-184
202201,1267,-143
202202,1214,44
202203,1004,-85
202204,837,72
202205,536,41
202206,191,-39
202207,26,-44
202208,37,-56
202209,181,-151
202210,611,-63
202211,1168,115
202212,1369,26
