#  Wyoming Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,1.60,0.54
199702,0.85,-0.12
199703,0.89,-0.36
199704,1.94,0.17
199705,2.04,-0.17
199706,2.14,0.30
199707,2.23,0.95
199708,1.75,0.68
199709,1.72,0.48
199710,1.38,0.18
199711,0.55,-0.48
199712,0.89,-0.12
199801,1.41,0.35
199802,0.90,-0.07
199803,1.82,0.57
199804,1.36,-0.41
199805,1.44,-0.77
199806,3.33,1.49
199807,1.74,0.46
199808,1.37,0.30
199809,1.34,0.10
199810,2.81,1.61
199811,1.21,0.18
199812,0.84,-0.17
199901,1.22,0.16
199902,1.17,0.20
199903,0.75,-0.50
199904,3.31,1.54
199905,2.18,-0.03
199906,2.17,0.33
199907,0.81,-0.47
199908,1.04,-0.03
199909,1.54,0.30
199910,0.39,-0.81
199911,0.58,-0.45
199912,0.78,-0.23
200001,1.18,0.12
200002,1.18,0.21
200003,1.06,-0.19
200004,1.75,-0.02
200005,2.32,0.11
200006,1.14,-0.70
200007,0.69,-0.59
200008,0.69,-0.38
200009,1.47,0.23
200010,0.98,-0.22
200011,0.99,-0.04
200012,0.86,-0.15
200101,0.37,-0.69
200102,0.92,-0.05
200103,0.68,-0.57
200104,1.74,-0.03
200105,1.13,-1.08
200106,1.25,-0.59
200107,1.50,0.22
200108,0.63,-0.44
200109,0.90,-0.34
200110,1.10,-0.10
200111,0.95,-0.08
200112,0.74,-0.27
200201,0.67,-0.39
200202,0.51,-0.46
200203,1.38,0.13
200204,1.34,-0.43
200205,1.25,-0.96
200206,0.66,-1.18
200207,1.06,-0.22
200208,1.16,0.09
200209,1.36,0.12
200210,1.23,0.03
200211,0.82,-0.21
200212,0.53,-0.48
200301,0.81,-0.25
200302,1.11,0.14
200303,2.06,0.81
200304,1.52,-0.25
200305,1.67,-0.54
200306,2.19,0.35
200307,0.40,-0.88
200308,1.03,-0.04
200309,1.28,0.04
200310,0.69,-0.51
200311,1.14,0.11
200312,1.23,0.22
200401,0.61,-0.45
200402,1.07,0.10
200403,0.44,-0.81
200404,1.52,-0.25
200405,1.45,-0.76
200406,1.66,-0.18
200407,1.66,0.38
200408,1.12,0.05
200409,1.88,0.64
200410,1.75,0.55
200411,0.71,-0.32
200412,0.69,-0.32
200501,0.95,-0.11
200502,0.55,-0.42
200503,1.01,-0.24
200504,1.84,0.07
200505,3.24,1.03
200506,1.88,0.04
200507,0.77,-0.51
200508,1.30,0.23
200509,0.85,-0.39
200510,1.57,0.37
200511,1.15,0.12
200512,1.16,0.15
200601,0.99,-0.07
200602,0.80,-0.17
200603,1.13,-0.12
200604,1.20,-0.57
200605,1.29,-0.92
200606,0.64,-1.20
200607,0.83,-0.45
200608,1.08,0.01
200609,1.61,0.37
200610,1.36,0.16
200611,0.88,-0.15
200612,0.93,-0.08
200701,0.70,-0.36
200702,0.90,-0.07
200703,1.41,0.16
200704,1.20,-0.57
200705,2.14,-0.07
200706,1.08,-0.76
200707,1.33,0.05
200708,1.36,0.29
200709,1.18,-0.06
200710,1.92,0.72
200711,0.52,-0.51
200712,1.31,0.30
200801,1.07,0.01
200802,0.96,-0.01
200803,1.30,0.05
200804,0.94,-0.83
200805,4.00,1.79
200806,1.43,-0.41
200807,0.73,-0.55
200808,0.86,-0.21
200809,1.41,0.17
200810,1.23,0.03
200811,0.92,-0.11
200812,1.20,0.19
200901,1.34,0.28
200902,0.64,-0.33
200903,1.60,0.35
200904,2.50,0.73
200905,1.26,-0.95
200906,3.22,1.38
200907,1.45,0.17
200908,1.18,0.11
200909,0.63,-0.61
200910,2.02,0.82
200911,0.34,-0.69
200912,0.82,-0.19
201001,0.59,-0.47
201002,0.58,-0.39
201003,1.11,-0.14
201004,2.32,0.55
201005,3.23,1.02
201006,2.63,0.79
201007,1.11,-0.17
201008,1.01,-0.06
201009,0.35,-0.89
201010,1.28,0.08
201011,1.35,0.32
201012,1.69,0.68
201101,1.01,-0.05
201102,1.03,0.06
201103,1.48,0.23
201104,2.49,0.72
201105,4.59,2.38
201106,1.59,-0.25
201107,1.01,-0.27
201108,0.81,-0.26
201109,0.54,-0.70
201110,1.80,0.60
201111,1.36,0.33
201112,0.84,-0.17
201201,0.92,-0.14
201202,1.29,0.32
201203,0.57,-0.68
201204,1.19,-0.58
201205,1.53,-0.68
201206,0.45,-1.39
201207,1.12,-0.16
201208,0.26,-0.81
201209,0.46,-0.78
201210,1.11,-0.09
201211,0.87,-0.16
201212,1.19,0.18
201301,0.74,-0.32
201302,0.79,-0.18
201303,0.71,-0.54
201304,1.87,0.10
201305,2.18,-0.03
201306,0.68,-1.16
201307,1.32,0.04
201308,0.90,-0.17
201309,2.88,1.64
201310,2.53,1.33
201311,0.56,-0.47
201312,1.15,0.14
201401,0.94,-0.12
201402,1.70,0.73
201403,1.76,0.51
201404,1.38,-0.39
201405,1.76,-0.45
201406,1.77,-0.07
201407,1.18,-0.10
201408,2.33,1.26
201409,1.94,0.70
201410,0.57,-0.63
201411,1.41,0.38
201412,1.35,0.34
201501,0.62,-0.44
201502,0.94,-0.03
201503,0.58,-0.67
201504,1.70,-0.07
201505,4.59,2.38
201506,1.89,0.05
201507,1.53,0.25
201508,0.91,-0.16
201509,0.64,-0.60
201510,1.11,-0.09
201511,1.09,0.06
201512,1.11,0.10
201601,0.87,-0.19
201602,0.80,-0.17
201603,1.99,0.74
201604,2.52,0.75
201605,2.46,0.25
201606,0.66,-1.18
201607,0.70,-0.58
201608,0.84,-0.23
201609,1.97,0.73
201610,1.81,0.61
201611,0.84,-0.19
