#  Wyoming Palmer Hydrological Drought Index (PHDI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.71,3.21
199702,3.81,3.30
199703,3.80,3.31
199704,4.30,3.82
199705,3.82,3.25
199706,3.64,3.13
199707,4.30,3.72
199708,4.92,4.31
199709,4.95,4.34
199710,4.73,4.12
199711,3.91,3.40
199712,3.44,2.94
199801,3.47,2.97
199802,3.22,2.71
199803,3.62,3.13
199804,3.25,2.77
199805,2.39,1.82
199806,3.48,2.97
199807,4.14,3.56
199808,4.44,3.83
199809,4.00,3.39
199810,5.08,4.47
199811,4.92,4.41
199812,4.58,4.08
199901,4.67,4.17
199902,4.93,4.42
199903,4.58,4.09
199904,5.80,5.32
199905,5.47,4.90
199906,5.31,4.80
199907,4.95,4.37
199908,4.49,3.88
199909,4.47,3.86
199910,3.24,2.63
199911,1.84,1.33
199912,1.20,0.70
200001,0.85,0.35
200002,0.60,0.09
200003,-2.55,-3.04
200004,-3.02,-3.50
200005,-2.97,-3.54
200006,-3.46,-3.97
200007,-4.29,-4.87
200008,-4.91,-5.52
200009,-4.33,-4.94
200010,-4.09,-4.70
200011,-3.84,-4.35
200012,-3.77,-4.27
200101,-4.31,-4.81
200102,-4.42,-4.93
200103,-5.25,-5.74
200104,-5.63,-6.11
200105,-6.27,-6.84
200106,-6.73,-7.24
200107,-7.04,-7.62
200108,-7.55,-8.16
200109,-7.43,-8.04
200110,-6.78,-7.39
200111,-6.54,-7.05
200112,-6.39,-6.89
200201,-6.51,-7.01
200202,-6.87,-7.38
200203,-7.05,-7.54
200204,-7.41,-7.89
200205,-7.51,-8.08
200206,-8.33,-8.84
200207,-9.02,-9.60
200208,-8.68,-9.29
200209,-7.89,-8.50
200210,-6.66,-7.27
200211,-6.24,-6.75
200212,-6.18,-6.68
200301,-6.05,-6.55
200302,-5.67,-6.18
200303,-4.84,-5.33
200304,-4.93,-5.41
200305,-4.92,-5.49
200306,-4.25,-4.76
200307,-4.79,-5.37
200308,-4.99,-5.60
200309,-4.49,-5.10
200310,-4.75,-5.36
200311,-4.28,-4.79
200312,-3.78,-4.28
200401,-3.96,-4.46
200402,-3.72,-4.23
200403,-4.89,-5.38
200404,-5.51,-5.99
200405,-5.80,-6.37
200406,-5.78,-6.29
200407,-5.65,-6.23
200408,-5.32,-5.93
200409,-4.28,-4.89
200410,-3.37,-3.98
200411,-3.34,-3.85
200412,-3.38,-3.88
200501,-3.32,-3.82
200502,-3.62,-4.13
200503,-4.00,-4.49
200504,-4.09,-4.57
200505,-2.98,-3.55
200506,-2.63,-3.14
200507,-2.70,-3.28
200508,-2.36,-2.97
200509,-2.53,-3.14
200510,-2.06,-2.67
200511,-1.86,-2.37
200512,-1.59,-2.09
200601,-1.53,-2.03
200602,-1.59,-2.10
200603,-1.66,-2.15
200604,-2.41,-2.89
200605,-3.11,-3.68
200606,-4.24,-4.75
200607,-5.36,-5.94
200608,-5.52,-6.13
200609,-4.67,-5.28
200610,-3.88,-4.49
200611,-3.71,-4.22
200612,-3.55,-4.05
200701,-3.73,-4.23
200702,-3.74,-4.25
200703,-4.32,-4.81
200704,-4.93,-5.41
200705,-4.88,-5.45
200706,-5.51,-6.02
200707,-6.05,-6.63
200708,-5.88,-6.49
200709,-5.53,-6.14
200710,-4.42,-5.03
200711,-4.60,-5.11
200712,-4.04,-4.54
200801,-3.79,-4.29
200802,-3.59,-4.10
200803,-3.43,-3.92
200804,-3.55,-4.03
200805,-1.80,-2.37
200806,-1.72,-2.23
200807,-1.66,-2.24
200808,-1.78,-2.39
200809,-1.40,-2.01
200810,-1.17,-1.78
200811,-1.51,-2.02
200812,-1.32,-1.82
200901,-1.04,-1.54
200902,-1.31,-1.82
200903,-1.07,-1.56
200904,0.66,0.18
200905,-0.62,-1.19
200906,1.10,0.59
200907,1.68,1.10
200908,2.05,1.44
200909,1.33,0.72
200910,2.53,1.92
200911,1.73,1.22
200912,1.52,1.02
201001,1.08,0.58
201002,0.67,0.16
201003,-1.28,-1.77
201004,-0.90,-1.38
201005,1.40,0.83
201006,1.96,1.45
201007,2.33,1.75
201008,2.34,1.73
201009,1.32,0.71
201010,1.04,0.43
201011,1.22,0.71
201012,1.75,1.25
201101,1.71,1.21
201102,1.84,1.33
201103,2.23,1.74
201104,3.04,2.56
201105,4.87,4.30
201106,4.37,3.86
201107,4.08,3.50
