#  Wyoming Palmer Z-Index
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,2.61,2.46
199702,1.44,1.22
199703,1.15,0.99
199704,2.69,2.56
199705,-0.11,-0.33
199706,0.62,0.66
199707,3.12,2.86
199708,3.19,3.02
199709,1.60,1.40
199710,0.87,0.55
199711,-1.00,-1.01
199712,-0.20,-0.29
199801,1.15,1.00
199802,0.32,0.10
199803,2.21,2.05
199804,0.00,-0.13
199805,-1.58,-1.80
199806,4.00,4.04
199807,3.06,2.80
199808,2.17,2.00
199809,0.07,-0.13
199810,4.47,4.15
199811,1.09,1.08
199812,0.50,0.41
199901,1.67,1.52
199902,2.25,2.03
199903,0.46,0.30
199904,5.08,4.95
199905,0.79,0.57
199906,1.21,1.25
199907,0.58,0.32
199908,0.14,-0.03
199909,1.33,1.13
199910,-2.31,-2.63
199911,-3.20,-3.21
199912,-1.35,-1.44
200001,-0.69,-0.84
200002,-0.48,-0.70
200003,-2.28,-2.44
200004,-2.21,-2.34
200005,-0.79,-1.01
200006,-2.37,-2.33
200007,-3.57,-3.83
200008,-3.18,-3.35
200009,0.21,0.01
200010,-0.61,-0.93
200011,-0.53,-0.54
200012,-0.98,-1.07
200101,-2.79,-2.94
200102,-1.65,-1.87
200103,-3.86,-4.02
200104,-2.77,-2.90
200105,-3.65,-3.87
200106,-3.33,-3.29
200107,-3.02,-3.28
200108,-3.69,-3.86
200109,-1.97,-2.17
200110,-0.34,-0.66
200111,-1.40,-1.41
200112,-1.56,-1.65
200201,-2.33,-2.48
200202,-3.10,-3.32
200203,-2.65,-2.81
200204,-3.29,-3.42
200205,-2.56,-2.78
200206,-4.79,-4.75
200207,-4.64,-4.90
200208,-1.77,-1.94
200209,-0.32,-0.52
200210,1.25,0.93
200211,-0.80,-0.81
200212,-1.74,-1.83
200301,-1.53,-1.68
200302,-0.73,-0.95
200303,0.73,0.57
200304,-1.77,-1.90
200305,-1.48,-1.70
200306,0.49,0.53
200307,-2.95,-3.21
200308,-2.07,-2.24
200309,-0.04,-0.24
200310,-2.15,-2.47
200311,-0.08,-0.09
200312,0.18,0.09
200401,-1.69,-1.84
200402,-0.51,-0.73
200403,-4.66,-4.82
200404,-3.38,-3.51
200405,-2.56,-2.78
200406,-1.73,-1.69
200407,-1.40,-1.66
200408,-0.76,-0.93
200409,1.49,1.29
200410,1.40,1.08
200411,-0.96,-0.97
200412,-1.16,-1.25
200501,-0.85,-1.00
200502,-1.92,-2.14
200503,-2.28,-2.44
200504,-1.50,-1.63
200505,2.08,1.86
200506,0.13,0.17
200507,-1.03,-1.29
200508,0.18,0.01
200509,-1.25,-1.45
200510,0.65,0.33
200511,-0.04,-0.05
200512,0.22,0.13
200601,-0.32,-0.47
200602,-0.65,-0.87
200603,-0.70,-0.86
200604,-2.77,-2.90
200605,-2.84,-3.06
200606,-4.36,-4.32
200607,-4.65,-4.91
200608,-2.16,-2.33
200609,0.87,0.67
200610,0.91,0.59
200611,-0.70,-0.71
200612,-0.66,-0.75
200701,-1.63,-1.78
200702,-1.18,-1.40
200703,-2.91,-3.07
200704,-3.17,-3.30
200705,-1.37,-1.59
200706,-3.38,-3.34
200707,-3.32,-3.58
200708,-1.38,-1.55
200709,-0.77,-0.97
200710,1.63,1.31
200711,-1.92,-1.93
200712,0.26,0.17
200801,-0.48,-0.63
200802,-0.59,-0.81
200803,-0.63,-0.79
200804,-1.42,-1.55
200805,4.18,3.96
200806,-0.34,-0.30
200807,-0.36,-0.62
200808,-0.87,-1.04
200809,0.61,0.41
200810,0.24,-0.08
200811,-1.37,-1.38
200812,0.11,0.02
200901,0.42,0.27
200902,-1.15,-1.37
200903,0.31,0.15
200904,1.69,1.56
200905,-1.87,-2.09
200906,3.29,3.33
200907,2.09,1.83
200908,1.61,1.44
200909,-1.52,-1.72
200910,4.01,3.69
200911,-1.61,-1.62
200912,-0.08,-0.17
201001,-0.86,-1.01
201002,-0.91,-1.13
201003,-1.25,-1.41
201004,0.75,0.62
201005,3.52,3.30
201006,2.11,2.15
201007,1.73,1.47
201008,0.75,0.58
201009,-2.33,-2.53
201010,-0.43,-0.75
201011,0.85,0.84
201012,1.97,1.88
201101,0.44,0.29
201102,0.89,0.67
201103,1.74,1.58
201104,3.11,2.98
201105,6.44,6.22
201106,0.01,0.05
201107,0.47,0.21
201108,-0.89,-1.06
201109,-2.17,-2.37
201110,1.30,0.98
201111,0.91,0.90
