Month,Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
199701,7.567747,0.618248,0.396451,8.591026
199702,6.685037,0.531601,0.342432,7.566024
199703,6.818842,0.529045,0.381349,7.737779
199704,6.438344,0.471001,0.373961,7.293386
199705,6.334819,0.493552,0.396319,7.232543
199706,6.301964,0.546683,0.361596,7.220479
199707,6.864248,0.601853,0.382384,7.862275
199708,6.688172,0.641012,0.370753,7.713541
199709,6.338503,0.551839,0.342452,7.242812
199710,6.594252,0.493021,0.403225,7.498098
199711,6.676918,0.537176,0.356111,7.579213
199712,7.472125,0.581961,0.356344,8.420365
199801,7.403689,0.607312,0.385839,8.402179
199802,6.569874,0.535028,0.323992,7.433762
199803,7.012227,0.563483,0.361643,7.943783
199804,6.454305,0.498354,0.347366,7.308779
199805,6.421263,0.540248,0.373713,7.342393
199806,6.585208,0.584683,0.30812,7.485279
199807,7.053682,0.645187,0.358273,8.068976
199808,7.040388,0.633331,0.354102,8.042543
199809,6.519245,0.600147,0.332635,7.460953
199810,6.514528,0.602492,0.346208,7.468256
199811,6.445165,0.601894,0.309366,7.359601
199812,7.254417,0.655652,0.371443,8.286219
199901,7.627163,0.686455,0.38301,8.699299
199902,6.672181,0.600763,0.328079,7.603491
199903,7.188621,0.614858,0.333234,8.139002
199904,6.590746,0.507129,0.352815,7.459182
199905,6.418875,0.585793,0.400059,7.413399
199906,6.571305,0.651038,0.354459,7.585314
199907,7.067383,0.698212,0.379388,8.15402
199908,7.108281,0.712091,0.35973,8.190041
199909,6.479405,0.636771,0.327451,7.457279
199910,6.666627,0.578335,0.30952,7.565749
199911,6.494068,0.632772,0.3392,7.478087
199912,7.43838,0.706037,0.333816,8.488111
200001,7.692062,0.737981,0.320353,8.760328
200002,7.222425,0.669318,0.333404,8.236611
200003,7.071465,0.654279,0.366512,8.101332
200004,6.486421,0.607585,0.362737,7.465288
200005,6.789661,0.667205,0.361371,7.828313
200006,6.783197,0.701857,0.325357,7.820433
200007,6.970518,0.719306,0.350411,8.055214
200008,7.320572,0.701102,0.344955,8.382084
200009,6.629874,0.607662,0.313113,7.561886
200010,6.738354,0.547207,0.342246,7.633342
