Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,9,635,6.47,1.57,1.57,1.57,45.9,56.0,35.8,1.24
199702,9,431,6.16,1.64,1.64,1.64,50.8,60.8,40.8,0.68
199703,63,217,3.87,0.6,0.6,-0.8,61.2,74.0,48.4,-2.61
199704,15,220,6.03,0.98,0.98,0.26,58.8,71.6,46.1,1.33
199705,107,66,5.39,1.48,1.48,1.48,67.2,79.2,55.1,1.8
199706,257,3,7.91,2.8,2.8,2.8,74.0,82.9,65.0,4.42
199707,458,0,5.33,2.6,2.6,2.6,80.1,90.2,70.0,0.28
199708,376,0,2.88,2.11,2.11,1.75,77.7,88.4,67.0,-0.68
199709,281,5,3.3,1.71,1.71,1.08,74.8,87.2,62.4,-0.54
199710,59,144,5.1,2.29,2.29,2.29,63.1,75.8,50.5,2.26
199711,1,476,5.7,2.81,2.81,2.81,50.0,60.7,39.2,2.26
199712,1,657,4.82,2.53,2.53,2.48,44.8,54.8,34.7,0.04
199801,16,572,8.14,3.15,3.15,3.15,47.8,57.7,37.8,2.65
199802,5,472,7.29,3.43,3.43,3.43,49.2,59.7,38.7,1.8
199803,13,398,6.2,3.09,3.09,3.04,53.4,64.7,42.1,0.04
199804,31,154,5.39,2.94,2.94,2.94,61.6,73.4,49.7,0.5
199805,256,9,2.28,-0.8,1.84,0.79,73.6,86.3,60.8,-2.39
199806,449,0,3.22,-1.42,0.94,-0.96,80.7,92.3,69.0,-2.12
199807,506,0,6.07,-1.47,0.65,-1.37,81.8,91.8,71.7,-0.59
199808,450,0,3.44,-1.85,-1.85,-1.85,79.9,91.2,68.7,-1.58
199809,361,0,8.29,1.14,1.14,1.14,77.4,88.2,66.5,3.41
199810,117,77,1.37,-0.4,0.62,-0.26,66.8,80.0,53.6,-1.2
199811,23,268,3.3,-0.67,-0.67,-0.67,57.9,69.6,46.2,-0.94
199812,12,465,4.27,-0.96,-0.96,-0.96,51.4,60.8,42.0,-1.07
199901,20,532,7.94,-0.08,-0.08,0.79,49.4,61.3,37.4,2.36
199902,12,407,2.55,-0.93,-0.93,-0.93,51.8,63.8,39.9,-2.6
199903,13,422,5.65,-0.95,-0.95,-0.95,52.8,66.2,39.5,-0.35
199904,102,59,2.57,-1.68,-1.68,-1.68,67.1,79.2,54.9,-2.46
199905,158,32,4.11,-0.04,-1.54,-1.53,69.5,82.3,56.6,-0.12
199906,340,0,8.31,1.45,1.45,1.45,76.7,86.2,67.1,4.36
199907,475,0,4.63,-0.15,1.16,0.83,80.5,90.5,70.5,-0.44
199908,507,0,2.02,-1.0,-1.0,-1.0,81.8,94.2,69.5,-2.59
199909,248,6,1.91,-1.57,-1.57,-1.57,73.3,86.8,59.8,-2.04
199910,67,129,3.39,-1.33,-1.33,-1.13,63.6,76.6,50.5,0.24
199911,14,290,2.61,-1.72,-1.72,-1.72,56.2,70.1,42.2,-1.58
199912,3,581,3.32,-2.17,-2.17,-2.17,47.0,59.4,34.6,-1.89
200001,11,622,4.69,-2.12,-2.12,-2.12,46.5,57.1,35.9,-0.52
200002,13,392,1.99,-2.96,-2.96,-2.96,52.3,66.2,38.4,-3.16
200003,43,258,5.05,-3.12,-3.12,-3.12,58.9,72.1,45.6,-1.41
200004,22,189,4.83,-2.73,-2.73,-2.58,60.1,73.4,46.8,0.22
200005,266,9,1.32,-3.59,-3.59,-3.59,74.0,86.3,61.6,-3.42
200006,360,0,3.71,-3.6,-3.6,-3.6,77.6,89.4,65.7,-1.15
