Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,473,1.89,-3.09,-3.09,-2.59,42.0,52.7,31.2,1.15
199702,7,368,0.91,-2.91,-2.91,-2.51,44.7,58.2,31.3,-0.4
199703,75,159,0.11,-3.52,-3.52,-3.52,55.0,71.2,38.7,-2.73
199704,94,130,0.76,-3.35,-3.35,-3.35,56.2,70.1,42.4,-0.59
199705,421,10,0.37,-3.55,-3.55,-3.55,70.5,86.4,54.6,-1.63
199706,466,3,0.25,-3.68,-3.68,-3.68,73.8,89.9,57.7,-1.48
199707,655,0,0.82,-4.22,-4.22,-4.22,79.4,94.9,64.0,-2.75
199708,653,0,2.26,0.01,-3.78,-3.71,79.1,92.3,65.8,0.02
199709,528,2,2.18,0.7,-2.7,-1.78,75.0,87.9,62.1,2.07
199710,146,64,0.7,0.48,-2.57,-1.78,60.2,75.0,45.3,-0.44
199711,23,232,0.59,0.15,-2.58,-2.06,51.0,64.7,37.3,-0.83
199712,0,564,1.87,0.61,-1.84,-0.78,39.4,50.8,28.1,1.41
199801,0,450,0.55,0.12,-2.07,-1.44,43.8,56.5,31.2,-1.26
199802,0,455,3.06,1.54,1.54,1.54,42.0,52.4,31.5,4.3
199803,16,308,1.9,2.05,2.05,2.05,49.0,62.3,35.7,2.0
199804,42,209,0.63,2.35,2.35,2.35,52.7,67.0,38.4,1.54
199805,183,46,0.26,2.93,2.93,2.93,63.0,78.6,47.3,2.47
199806,407,5,0.07,3.43,3.43,3.43,71.8,88.5,55.1,2.4
199807,698,0,2.35,3.94,3.94,3.94,81.2,95.5,66.8,2.59
199808,683,0,1.6,-0.4,3.13,2.61,80.4,94.3,66.6,-1.21
199809,483,2,1.44,0.16,2.97,2.58,73.6,87.4,59.7,0.48
199810,146,60,1.26,0.45,2.97,2.88,60.5,75.1,45.9,0.93
199811,19,246,0.93,0.41,2.67,2.52,50.6,64.9,36.3,0.01
199812,0,474,0.39,-0.56,1.83,0.96,42.7,55.9,29.5,-1.69
199901,4,413,0.14,-1.46,0.69,-1.3,45.4,59.8,30.9,-2.86
199902,12,296,0.36,-2.16,-2.16,-2.16,48.0,63.2,32.8,-2.57
199903,37,219,0.19,-2.98,-2.98,-2.98,53.0,68.8,37.3,-3.13
199904,47,194,1.37,-2.37,-2.37,-1.93,53.2,67.3,39.1,0.92
199905,255,29,0.17,-2.89,-2.89,-2.89,65.3,81.2,49.4,-2.31
199906,497,3,0.36,-3.19,-3.19,-3.19,74.5,90.5,58.5,-1.79
199907,605,0,3.39,1.36,-1.5,0.2,78.3,90.6,66.0,4.08
199908,621,0,2.55,1.53,-1.04,0.97,77.8,91.2,64.5,0.92
199909,465,4,1.8,1.84,1.84,1.84,72.6,86.7,58.5,1.42
199910,247,32,0.0,-0.9,0.76,-0.6,64.2,81.3,47.2,-2.69
