Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1154,3.91,3.4,3.4,3.4,26.9,35.7,18.1,0.2
199702,0,846,2.07,-0.54,2.51,1.8,33.9,42.9,25.0,-1.63
199703,0,877,4.11,-0.49,2.25,1.49,35.8,45.0,26.7,-0.01
199704,0,574,4.44,-0.28,2.18,1.57,45.2,56.2,34.1,0.49
199705,0,321,3.38,-0.36,1.84,1.06,54.2,65.0,43.4,-0.35
199706,78,33,1.93,-0.99,0.99,-0.52,66.3,78.5,54.0,-1.98
199707,200,1,3.82,-0.99,0.78,-0.77,70.8,82.5,59.1,-0.32
199708,137,15,6.08,-0.32,1.27,0.33,68.4,78.8,58.0,1.72
199709,26,108,1.45,-0.99,-0.99,-0.99,61.6,72.3,50.9,-2.12
199710,0,445,1.83,-1.51,-1.51,-1.51,50.0,61.6,38.3,-1.87
199711,0,768,6.41,0.52,-0.83,0.07,38.6,46.7,30.5,1.57
199712,0,998,3.25,0.27,-0.94,-0.31,32.0,40.2,23.9,-0.58
199801,0,963,4.67,0.54,0.54,0.54,33.1,40.4,25.7,0.89
199802,0,817,3.97,0.75,0.75,0.75,35.2,43.6,26.9,0.79
199803,0,779,6.1,1.24,1.24,1.24,39.3,49.0,29.6,1.7
199804,0,481,4.49,1.15,1.15,1.13,48.6,59.9,37.3,0.12
199805,27,149,5.86,1.44,1.44,1.44,61.0,72.8,49.2,1.21
199806,63,46,7.42,2.59,2.59,2.59,65.2,74.4,56.0,3.92
199807,213,1,3.62,0.01,2.33,2.28,71.2,81.9,60.5,0.02
199808,221,1,2.46,-0.53,1.57,0.77,71.6,82.5,60.6,-1.58
199809,58,63,2.83,-0.95,0.93,-0.48,64.2,75.6,52.9,-1.42
199810,0,389,5.07,-0.55,1.13,0.11,51.8,62.1,41.6,0.9
199811,0,687,2.32,-1.1,-1.1,-1.1,41.3,50.7,31.9,-1.83
199812,0,860,1.27,-1.9,-1.9,-1.9,36.6,46.3,26.8,-2.73
199901,0,1134,7.3,1.18,1.18,1.18,27.4,37.2,17.6,3.53
199902,0,914,3.73,1.3,1.3,1.3,31.7,40.8,22.5,0.72
199903,0,834,5.42,1.56,1.56,1.56,37.4,47.4,27.3,1.19
199904,0,498,1.35,-1.06,-1.06,-1.06,47.9,60.1,35.6,-3.17
199905,13,205,4.33,-0.93,-0.93,-0.78,58.5,70.4,46.5,0.06
199906,137,11,0.85,-1.97,-1.97,-1.97,68.8,81.0,56.7,-3.41
199907,321,0,2.42,-2.7,-2.7,-2.7,74.8,86.6,62.9,-2.8
199908,175,7,2.9,-3.12,-3.12,-3.12,69.8,80.5,59.0,-2.11
199909,61,59,10.39,1.66,-1.14,0.93,64.6,74.6,54.5,4.97
199910,0,440,4.48,1.96,-0.56,1.95,50.1,61.7,38.4,1.41
199911,0,572,3.21,1.36,-0.89,1.02,45.4,55.2,35.5,-1.17
199912,0,940,2.77,0.85,-1.17,0.27,33.8,42.6,24.9,-1.13
200001,0,1222,3.45,0.68,-1.14,0.17,24.6,34.1,15.1,-0.26
200002,0,922,2.59,0.34,-1.29,-0.25,31.3,40.4,22.2,-0.8
200003,0,700,4.11,0.1,-1.36,-0.5,41.9,53.0,30.8,-0.61
200004,0,554,5.02,0.42,-0.88,0.19,46.1,56.0,36.2,1.0
200005,10,220,4.49,0.47,-0.7,0.37,57.9,69.3,46.5,0.27
200006,79,34,6.22,1.28,1.28,1.28,66.0,76.9,55.2,2.56
200007,121,16,6.23,2.21,2.21,2.21,67.8,77.9,57.6,3.18
200008,128,19,3.42,2.02,2.02,2.0,67.9,77.7,58.2,0.11
200009,22,119,4.14,1.96,1.96,1.96,61.2,72.1,50.2,0.44
200010,0,412,1.14,-0.63,1.12,0.17,51.1,62.4,39.7,-1.9
200011,0,713,3.71,-0.73,0.84,-0.35,40.5,48.7,32.3,-0.5
200012,0,1177,4.22,-0.54,0.87,-0.16,26.1,34.8,17.4,0.34
200101,0,1191,2.45,-0.9,-0.9,-0.9,25.8,35.7,16.0,-1.24
200102,0,971,2.56,-1.09,-1.09,-1.09,29.5,38.9,20.1,-0.84
200103,0,934,7.68,1.27,1.27,1.27,34.1,42.0,26.3,3.81
200104,0,497,1.59,-0.97,-0.97,-0.97,47.9,60.0,35.8,-2.91
200105,15,192,4.11,-0.94,-0.94,-0.94,58.9,71.1,46.6,-0.22
200106,126,15,6.4,-0.02,-0.02,0.83,68.1,79.2,57.0,2.49
200107,132,13,2.19,-0.41,-0.41,-0.41,68.2,80.0,56.4,-1.18
200108,262,0,3.84,-0.58,-0.58,-0.58,72.8,83.3,62.3,-0.65
200109,35,92,3.93,-0.6,-0.6,-0.6,62.5,74.0,51.0,-0.23
200110,0,361,1.26,-1.38,-1.38,-1.38,52.7,64.8,40.6,-2.54
200111,0,569,1.08,-2.58,-2.58,-2.58,45.3,55.7,34.8,-4.01
200112,0,837,2.45,-3.22,-3.22,-3.22,37.1,45.8,28.4,-2.73
200201,0,960,1.94,-3.63,-3.63,-3.63,33.3,41.9,24.7,-2.21
200202,0,849,1.67,-3.98,-3.98,-3.98,34.1,44.9,23.2,-2.18
200203,0,801,4.12,-3.66,-3.66,-3.66,38.6,48.9,28.2,-0.26
200204,0,436,3.75,-3.57,-3.57,-3.57,50.1,61.4,38.7,-0.87
200205,0,300,5.21,0.44,-2.77,-2.19,55.1,66.6,43.6,1.31
200206,67,42,5.03,0.85,-2.02,-0.86,65.5,77.1,53.8,1.37
200207,256,0,2.59,0.34,-2.23,-1.54,72.8,84.2,61.3,-1.26
200208,232,1,3.62,0.02,-2.29,-1.87,71.9,83.1,60.7,-0.86
200209,64,56,4.82,0.12,-1.96,-1.38,64.8,75.5,54.1,0.29
200210,0,455,4.3,0.36,-1.5,-0.63,49.6,59.0,40.1,0.76
200211,0,729,5.68,0.84,-0.83,0.56,40.0,48.3,31.8,1.56
200212,0,1068,4.69,1.02,1.02,1.02,29.8,37.8,21.8,0.79
200301,0,1320,2.65,-0.35,0.56,-0.32,21.4,29.2,13.5,-1.04
200302,0,1137,3.82,0.28,0.79,0.45,23.8,32.8,14.9,0.84
200303,0,883,4.3,0.31,0.76,0.44,36.0,47.8,24.1,0.17
200304,0,606,3.28,0.05,0.05,-0.22,44.5,55.1,33.9,-0.67
200305,0,310,4.72,0.33,0.33,0.33,55.0,65.5,44.5,0.85
200306,52,56,7.18,1.54,1.54,1.54,64.7,74.3,55.1,3.72
200307,218,0,3.01,1.16,1.16,0.73,71.5,82.0,60.9,-0.67
200308,241,1,5.04,1.26,1.26,1.11,72.2,81.5,63.0,0.67
200309,46,77,7.7,2.21,2.21,2.21,63.3,72.7,53.9,3.23
200310,0,463,6.07,2.98,2.98,2.98,49.3,59.9,38.8,3.0
200311,0,619,3.17,-0.36,2.31,1.81,43.8,53.0,34.6,-1.08
200312,0,986,5.18,0.41,2.49,2.43,32.4,41.0,23.8,1.24
200401,0,1409,1.89,-0.6,1.64,0.77,18.7,26.9,10.5,-1.79
200402,0,999,2.17,-0.99,1.02,-0.43,28.5,38.1,18.9,-1.36
200403,0,824,2.97,-1.35,-1.35,-1.35,38.0,47.0,29.0,-1.39
200404,0,501,7.02,0.97,0.97,0.97,48.0,58.8,37.2,2.91
200405,19,172,3.59,-0.28,-0.28,0.59,59.9,71.7,48.1,-0.85
200406,62,47,1.99,-0.84,-0.84,-0.84,65.0,76.1,53.9,-1.76
200407,176,4,4.54,0.21,0.21,-0.55,70.0,79.5,60.4,0.62
200408,168,7,5.52,0.61,0.61,0.61,69.6,79.0,60.1,1.28
200409,52,69,8.39,1.84,1.84,1.84,63.8,73.9,53.6,3.86
200410,0,414,2.21,-0.28,1.37,0.89,50.9,60.4,41.5,-0.84
200411,0,673,3.95,-0.32,1.16,0.53,41.9,51.8,32.0,-0.2
200412,0,1029,4.37,0.16,1.2,0.75,30.8,40.0,21.6,0.49
200501,0,1235,4.85,0.52,1.45,1.44,24.3,32.8,15.8,1.12
200502,0,973,2.49,0.16,0.99,0.4,29.7,39.9,19.5,-0.93
200503,0,995,4.01,0.2,0.95,0.39,32.3,42.1,22.5,0.17
200504,0,464,5.5,0.55,1.22,1.15,49.3,62.1,36.4,1.12
200505,0,360,2.59,-0.33,0.77,0.05,53.1,63.6,42.5,-0.98
200506,151,8,2.39,-0.93,-0.93,-0.93,69.6,80.6,58.5,-1.89
200507,243,0,3.62,-1.08,-1.08,-1.08,72.4,82.5,62.2,-0.75
200508,270,0,2.05,-1.91,-1.91,-1.91,73.0,83.8,62.3,-2.81
200509,87,39,2.39,-2.45,-2.45,-2.45,66.0,77.9,54.1,-2.23
200510,0,365,15.92,3.62,3.62,3.62,52.7,60.9,44.5,10.86
200511,0,640,4.64,3.37,3.37,3.37,43.0,53.7,32.3,0.36
200512,0,1099,4.23,3.14,3.14,3.14,28.7,37.1,20.3,0.35
200601,0,948,5.91,3.51,3.51,3.51,33.7,42.7,24.6,2.07
200602,0,976,2.48,2.83,2.83,2.4,29.5,38.8,20.2,-0.94
200603,0,862,0.72,1.35,1.35,-0.54,36.7,47.0,26.3,-3.57
200604,0,468,4.84,1.36,1.36,-0.29,49.0,61.5,36.5,0.44
200605,8,238,7.17,2.2,2.2,1.62,57.2,67.4,47.0,2.96
200606,98,23,9.21,3.83,3.83,3.83,67.1,76.2,58.0,5.56
200607,296,0,3.15,3.17,3.17,2.79,74.1,84.4,63.9,-0.81
200608,176,7,5.26,3.19,3.19,3.17,69.8,80.4,59.3,1.06
200609,21,120,3.0,2.62,2.62,2.25,61.2,71.4,50.9,-0.73
200610,0,415,7.06,3.45,3.45,3.45,51.0,61.9,40.1,3.29
200611,0,544,6.08,3.57,3.57,3.57,46.3,54.7,37.8,1.44
200612,0,815,2.13,2.54,2.54,1.68,38.0,46.8,29.1,-2.01
200701,0,1021,3.43,2.18,2.18,1.19,31.3,39.6,22.9,-0.28
200702,0,1146,2.01,1.43,1.43,-0.16,23.3,31.7,14.9,-1.57
200703,0,909,5.24,1.69,1.69,0.57,35.1,46.3,23.8,1.22
200704,0,592,8.57,3.18,3.18,3.18,44.8,55.0,34.6,4.98
200705,18,178,1.88,-0.83,2.02,0.96,59.6,72.8,46.4,-2.48
200706,87,27,3.54,-0.93,1.63,0.33,66.6,78.0,55.2,-0.57
200707,202,1,4.94,-0.54,1.75,0.79,70.9,81.5,60.3,0.87
200708,183,6,2.25,-1.14,0.91,-0.76,70.3,81.3,59.2,-1.97
200709,61,59,1.79,-1.85,-1.85,-1.85,64.6,76.8,52.5,-2.48
200710,13,218,3.76,-2.05,-2.05,-2.05,57.8,68.0,47.6,-1.17
200711,0,732,3.16,-2.39,-2.39,-2.39,39.9,49.2,30.6,-1.66
200712,0,1056,4.97,-1.88,-1.88,-1.46,30.2,37.6,22.7,0.8
200801,0,1066,2.45,-2.1,-2.1,-2.1,29.7,38.8,20.6,-1.24
200802,0,965,8.34,2.29,2.29,2.29,29.8,38.6,21.0,6.88
200803,0,858,5.51,2.51,2.51,2.51,36.5,46.3,26.7,1.37
