Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,987,2.48,-0.33,3.84,3.41,34.1,42.8,25.4,-0.99
199702,0,697,2.99,-0.43,3.3,2.67,40.8,50.0,31.6,-0.42
199703,0,631,4.9,-0.12,3.23,2.85,45.5,55.7,35.3,0.81
199704,0,424,3.36,-0.09,2.92,2.5,51.1,61.7,40.4,0.05
199705,14,194,2.89,-0.27,2.43,1.76,59.7,71.0,48.3,-0.57
199706,139,11,2.66,-0.46,1.96,1.02,69.3,80.2,58.3,-0.66
199707,340,0,2.62,-0.94,1.23,-0.25,76.1,86.9,65.2,-1.57
199708,257,0,4.9,-0.84,1.11,-0.31,73.6,84.5,62.7,0.01
199709,88,43,2.09,-1.35,-1.35,-1.35,67.1,77.5,56.6,-1.81
199710,10,272,3.02,-1.46,-1.46,-1.46,57.0,68.1,45.9,-0.73
199711,0,624,6.35,0.9,0.9,0.9,44.8,52.8,36.9,2.71
199712,0,825,2.85,0.72,0.72,0.72,38.9,47.6,30.2,-0.28
199801,0,747,6.14,1.52,1.52,1.52,41.6,50.0,33.1,2.64
199802,0,673,5.53,2.32,2.32,2.32,41.3,49.3,33.3,2.86
199803,0,617,5.2,2.45,2.45,2.45,45.7,54.8,36.5,1.11
199804,0,304,3.14,-0.26,1.94,1.54,55.2,66.4,44.1,-0.78
199805,73,77,4.16,-0.22,1.75,1.31,64.8,75.0,54.6,0.04
199806,183,3,3.57,-0.16,1.62,1.17,71.3,81.0,61.6,0.13
199807,339,0,1.84,-0.83,0.76,-0.58,76.0,86.7,65.4,-2.08
199808,314,0,3.39,-1.26,-1.26,-1.26,75.2,85.8,64.6,-1.56
199809,186,8,2.25,-1.91,-1.91,-1.91,71.2,82.2,60.1,-2.34
199810,12,257,2.35,-2.28,-2.28,-2.28,57.5,68.3,46.7,-1.7
199811,0,543,1.23,-3.2,-3.2,-3.2,47.1,58.6,35.6,-3.44
199812,0,729,2.75,-3.71,-3.71,-3.71,42.0,51.6,32.4,-2.53
199901,0,879,5.84,-2.79,-2.79,-2.09,38.1,48.4,27.7,1.63
199902,0,765,2.73,-2.68,-2.68,-2.15,38.3,48.0,28.6,-0.55
199903,0,721,4.76,-2.08,-2.08,-1.13,42.2,52.6,31.8,0.99
199904,0,355,2.88,-2.14,-2.14,-1.47,53.4,65.3,41.4,-0.83
199905,43,113,1.54,-2.7,-2.7,-2.7,63.0,74.3,51.6,-2.35
199906,196,2,2.11,-3.07,-3.07,-3.07,71.3,81.7,60.9,-1.95
199907,445,0,2.21,-3.79,-3.79,-3.79,79.2,89.9,68.4,-3.1
199908,341,0,4.52,-3.71,-3.71,-3.71,76.2,86.5,65.9,-0.94
199909,122,22,10.37,2.07,-1.26,1.23,68.6,77.4,59.8,6.21
199910,7,309,3.8,2.37,-0.62,2.3,55.9,67.3,44.4,1.55
199911,0,428,2.1,1.79,-0.89,1.46,51.4,61.7,41.1,-1.02
199912,0,779,2.78,1.45,-0.95,1.09,40.5,49.6,31.4,-0.46
200001,0,1008,3.33,1.3,-0.86,1.05,33.3,42.8,23.8,0.0
200002,0,748,2.12,0.69,-1.25,0.17,39.2,49.6,28.9,-1.43
200003,0,519,7.01,1.54,1.54,1.54,48.7,59.9,37.6,2.75
200004,0,388,3.83,1.52,1.52,1.52,52.4,62.2,42.6,0.43
200005,65,86,3.36,1.11,1.11,0.64,64.7,75.3,54.0,-0.75
200006,232,0,4.91,1.45,1.45,1.45,73.0,83.0,63.0,1.36
200007,240,0,6.03,2.09,2.09,2.09,72.8,82.0,63.7,2.36
200008,246,0,4.55,2.1,2.1,2.1,73.1,82.0,64.2,0.67
200009,74,52,5.48,2.73,2.73,2.73,66.2,76.1,56.3,2.55
200010,13,251,0.31,-0.85,1.6,0.48,57.6,69.7,45.6,-2.54
200011,0,620,2.45,-0.98,1.22,-0.18,44.6,54.8,34.4,-0.66
200012,0,1063,2.81,-0.88,1.09,-0.27,31.3,40.2,22.3,0.0
200101,0,1009,3.06,-0.89,0.88,-0.54,33.1,41.4,24.7,-0.3
200102,0,768,2.94,-0.9,0.69,-0.76,38.6,48.3,28.9,-0.3
200103,0,757,5.61,-0.13,1.29,0.51,41.2,50.7,31.7,2.01
200104,0,341,1.84,-0.83,-0.83,-0.83,53.9,65.6,42.3,-2.13
200105,48,106,3.8,-0.79,-0.79,-0.79,63.2,74.2,52.3,-0.12
200106,247,0,5.1,0.52,0.52,0.52,73.5,83.4,63.6,1.56
200107,243,0,4.96,0.93,0.93,0.93,72.9,83.2,62.5,1.39
200108,367,0,6.27,1.42,1.42,1.42,76.7,86.3,66.9,1.76
200109,83,45,2.1,-0.29,0.98,0.42,66.5,77.3,55.6,-0.87
200110,13,249,0.94,-1.01,-1.01,-1.01,57.6,70.0,45.2,-2.24
200111,0,412,0.57,-2.09,-2.09,-2.09,51.5,63.8,39.1,-3.56
200112,0,662,2.03,-2.78,-2.78,-2.78,44.4,53.8,34.9,-2.71
200201,0,799,2.5,-3.11,-3.11,-3.11,40.0,48.7,31.4,-1.86
200202,0,686,0.69,-3.94,-3.94,-3.94,40.9,52.3,29.6,-3.43
200203,0,596,4.77,-3.34,-3.34,-3.06,46.4,56.9,35.9,0.57
200204,7,255,4.04,-3.0,-3.0,-2.66,57.1,68.4,45.8,0.0
200205,38,123,3.2,-2.9,-2.9,-2.76,62.7,74.3,51.0,-0.64
200206,230,0,2.92,-2.9,-2.9,-2.9,73.0,83.9,62.0,-0.88
200207,404,0,2.41,-3.34,-3.34,-3.34,78.0,89.4,66.7,-2.23
200208,398,0,2.88,-3.8,-3.8,-3.8,78.0,88.8,67.1,-2.4
200209,160,12,6.14,0.57,-2.84,-2.11,70.1,80.6,59.6,1.71
200210,13,255,7.33,1.98,-1.08,1.37,57.9,66.3,49.4,4.4
200211,0,597,5.5,2.81,2.81,2.81,45.8,54.7,36.8,3.12
200212,0,923,4.09,2.93,2.93,2.93,36.0,44.7,27.3,1.23
200301,0,1118,1.59,1.99,1.99,1.14,29.6,37.4,21.9,-1.92
200302,0,956,6.25,3.25,3.25,3.25,32.1,40.1,24.1,4.4
200303,0,638,4.13,2.92,2.92,2.87,45.1,56.0,34.2,0.01
200304,0,396,3.46,2.64,2.64,2.54,52.0,62.2,41.8,0.05
200305,11,209,4.79,2.84,2.84,2.84,59.0,67.8,50.1,1.43
200306,147,10,6.4,3.72,3.72,3.72,70.0,79.2,60.7,3.51
200307,342,0,5.35,3.81,3.81,3.81,76.3,85.6,67.0,1.43
200308,356,0,5.17,3.7,3.7,3.7,76.5,85.6,67.4,0.84
200309,138,17,5.84,4.17,4.17,4.17,69.3,78.6,60.1,2.55
200310,7,308,3.94,4.31,4.31,4.31,55.8,66.7,44.8,1.71
200311,0,424,5.07,4.58,4.58,4.58,51.5,61.7,41.2,2.14
