Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,94,186,3.08,-0.08,-0.08,0.51,59.4,70.8,47.9,0.21
199702,150,89,2.35,-0.55,-0.55,-0.55,64.1,75.2,53.0,-1.43
199703,241,24,2.59,-1.21,-1.21,-1.21,70.5,81.5,59.4,-2.15
199704,176,20,6.01,1.11,1.11,1.11,68.3,79.6,56.9,3.33
199705,345,0,3.53,0.94,0.94,0.73,74.8,85.5,64.0,-0.17
199706,440,0,7.06,1.07,1.07,1.07,78.7,88.1,69.3,0.68
199707,535,0,7.29,0.02,0.98,0.93,81.9,91.7,72.2,0.07
199708,528,0,6.13,-0.27,0.61,-0.14,81.5,91.1,71.8,-0.82
199709,456,0,5.53,-0.63,-0.63,-0.63,79.8,89.7,69.8,-1.14
199710,284,5,3.62,0.05,0.05,-0.51,72.2,82.8,61.5,0.15
199711,130,82,5.2,1.39,1.39,1.39,63.6,74.2,53.1,4.03
199712,81,174,7.26,3.25,3.25,3.25,58.9,68.6,49.2,6.01
199801,111,166,4.59,3.48,3.48,3.48,60.5,70.6,50.4,1.71
199802,79,154,8.44,4.98,4.98,4.98,60.0,70.4,49.5,5.57
199803,88,113,6.02,5.28,5.28,5.28,62.2,73.2,51.2,2.42
199804,200,11,1.22,-0.69,4.04,3.22,69.7,80.9,58.6,-2.07
199805,398,0,1.79,-1.67,2.57,0.55,77.4,89.4,65.5,-3.16
199806,578,0,2.23,-3.52,-3.52,-3.52,84.1,95.7,72.4,-6.07
199807,577,0,7.59,-3.75,-3.75,-3.75,83.6,93.3,73.8,-1.79
199808,564,0,6.65,-4.17,-4.17,-4.17,82.7,92.3,73.2,-2.4
199809,478,0,11.92,-2.26,-2.26,-0.5,80.3,87.8,72.7,4.43
199810,372,2,1.9,-2.79,-2.79,-1.9,75.2,85.3,65.2,-2.3
199811,219,26,3.19,-2.52,-2.52,-1.62,69.6,79.6,59.5,-0.04
199812,156,89,1.51,-3.01,-3.01,-2.84,64.6,75.0,54.2,-2.24
199901,114,162,4.06,-2.42,-2.42,-1.86,60.7,72.8,48.6,0.85
199902,94,128,1.26,-2.94,-2.94,-2.94,61.9,74.1,49.6,-2.31
199903,94,106,1.69,-3.25,-3.25,-3.25,62.6,76.2,48.9,-1.84
199904,269,2,1.62,-3.67,-3.67,-3.67,72.8,85.2,60.4,-2.28
199905,325,0,3.8,-3.46,-3.46,-3.46,74.6,86.4,62.7,-0.5
199906,438,0,9.48,-2.32,-2.32,-1.33,79.3,88.4,70.2,2.34
199907,538,0,5.32,-2.75,-2.75,-2.51,82.2,91.7,72.6,-2.02
199908,559,0,6.91,-2.73,-2.73,-2.73,83.1,92.6,73.5,-0.78
199909,447,0,6.72,-2.4,-2.4,-2.27,78.9,88.5,69.4,0.16
199910,315,4,4.86,-1.69,-1.69,-0.92,73.2,82.6,63.7,1.38
199911,155,58,2.15,-1.52,-1.52,-0.72,65.7,77.0,54.4,0.0
199912,85,171,1.82,-1.51,-1.51,-0.85,59.0,70.3,47.6,-0.44
200001,84,203,2.21,-1.56,-1.56,-1.11,58.4,70.4,46.5,-0.62
200002,83,146,1.08,-2.19,-2.19,-2.19,60.5,73.4,47.6,-2.38
200003,187,45,2.56,-2.55,-2.55,-2.55,67.6,80.0,55.2,-1.76
200004,168,20,2.1,-2.59,-2.59,-2.59,68.1,81.1,55.1,-0.88
200005,395,0,0.91,-3.61,-3.61,-3.61,77.3,89.7,64.9,-3.87
200006,470,0,5.72,-3.96,-3.96,-3.96,80.5,91.4,69.5,-2.18
200007,532,0,6.45,-4.4,-4.4,-4.4,82.3,92.5,72.1,-2.54
200008,523,0,5.28,-5.18,-5.18,-5.18,81.7,91.8,71.7,-3.7
200009,467,0,8.48,-4.25,-4.25,-3.75,79.5,88.3,70.7,1.19
200010,254,10,1.86,-4.45,-4.45,-4.45,70.9,82.6,59.3,-1.9
200011,116,87,2.02,-4.3,-4.3,-4.3,63.4,75.4,51.5,-0.94
200012,68,211,1.62,-4.44,-4.44,-4.44,56.7,68.4,45.0,-1.74
200101,32,322,1.27,-4.47,-4.47,-4.47,53.0,66.3,39.7,-1.44
200102,155,81,0.72,-5.22,-5.22,-5.22,65.2,76.7,53.6,-3.65
200103,136,80,6.52,-4.11,-4.11,-3.41,64.3,75.3,53.2,1.72
200104,203,10,0.99,-4.48,-4.48,-4.48,70.0,82.6,57.5,-2.37
200105,325,0,2.35,-4.69,-4.69,-4.69,74.9,87.2,62.5,-2.03
200106,467,0,8.17,-4.0,-4.0,-3.7,80.1,90.3,69.9,0.63
200107,508,0,9.4,-2.98,-2.98,-1.95,81.3,90.2,72.4,1.81
200108,525,0,6.74,-2.71,-2.71,-1.69,81.4,90.8,72.1,-0.11
200109,409,0,10.41,-0.99,-0.99,1.59,77.6,86.3,68.8,4.34
200110,285,9,2.72,-1.11,-1.11,1.08,71.6,81.8,61.3,-0.67
200111,175,40,1.57,-1.41,-1.41,0.26,67.7,78.6,56.9,-1.26
200112,151,94,1.35,-2.03,-2.03,-1.05,64.1,74.5,53.6,-2.28
200201,96,186,3.0,-1.85,-1.85,-0.91,59.3,70.4,48.1,-0.1
200202,86,153,2.68,-1.83,-1.83,-1.0,59.5,71.3,47.7,-0.52
200203,181,53,2.7,-2.1,-2.1,-1.48,66.6,79.1,54.2,-1.38
200204,293,1,2.41,-2.4,-2.4,-2.16,73.6,84.7,62.6,-1.52
200205,394,0,2.36,-2.9,-2.9,-2.9,76.7,88.3,65.1,-2.26
200206,443,0,10.19,0.91,-1.7,-0.51,79.6,88.7,70.5,2.72
200207,515,0,7.61,0.99,-1.34,0.05,81.5,90.7,72.3,0.54
200208,512,0,7.37,1.11,-0.98,0.63,81.1,90.4,71.8,0.67
200209,500,0,6.63,0.92,-0.96,0.51,81.0,89.4,72.7,-0.22
200210,394,1,3.72,0.66,-1.03,0.21,76.2,85.6,66.9,-0.51
200211,117,88,3.64,1.27,1.27,1.27,63.1,74.5,51.7,2.03
200212,68,205,6.18,2.77,2.77,2.77,57.3,68.7,45.9,4.91
200301,29,340,1.5,2.21,2.21,1.8,52.2,65.0,39.3,-0.84
200302,109,128,3.79,2.14,2.14,1.87,61.2,73.1,49.4,0.47
200303,256,29,6.47,2.48,2.48,2.48,69.8,79.6,60.1,1.68
200304,189,13,2.86,2.15,2.15,1.99,69.4,80.9,57.9,-0.22
200305,432,0,4.25,1.87,1.87,1.56,78.1,88.4,67.8,-0.19
200306,466,0,10.7,2.9,2.9,2.9,80.1,88.7,71.5,3.68
200307,524,0,7.25,2.66,2.66,2.66,81.4,90.3,72.4,0.17
200308,508,0,8.6,3.07,3.07,3.07,81.1,89.5,72.7,2.06
200309,449,0,5.96,-0.15,2.61,2.37,78.9,87.8,70.0,-0.44
200310,332,4,2.69,-0.49,1.99,1.25,73.5,83.4,63.6,-1.07
200311,213,32,2.45,-0.59,1.63,0.69,68.6,79.4,57.9,-0.44
200312,51,228,2.25,-0.56,1.43,0.44,56.1,68.4,43.8,-0.09
