Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1432,2.49,1.05,1.05,0.42,21.4,30.5,12.2,0.98
199702,0,978,3.9,2.01,2.01,2.01,33.6,40.4,26.7,3.21
199703,1,784,3.0,-0.13,1.68,1.43,42.9,53.4,32.4,-0.38
199704,0,579,2.26,-0.48,1.14,0.33,47.6,59.1,36.2,-1.1
199705,19,329,4.03,-0.21,1.24,0.68,57.5,69.0,46.1,0.64
199706,159,31,3.76,-0.23,1.07,0.43,70.6,80.6,60.6,-0.11
199707,272,5,2.21,-0.73,-0.73,-0.73,75.1,86.2,64.0,-1.56
199708,165,31,4.76,-0.04,-0.04,0.61,71.0,81.2,60.8,1.82
199709,74,82,2.38,-0.4,-0.4,-0.4,66.3,78.0,54.6,-1.08
199710,8,371,1.94,-0.74,-0.74,-0.74,54.9,66.4,43.3,-1.16
199711,0,845,2.46,-0.96,-0.96,-0.96,38.6,45.8,31.4,-0.89
199712,0,1064,1.91,-1.23,-1.23,-1.23,32.0,37.8,26.3,-1.09
199801,0,1111,2.74,0.31,-0.79,-0.12,31.8,38.4,25.3,0.94
199802,0,737,2.53,0.5,0.5,0.5,40.0,46.9,33.2,0.66
199803,0,808,4.57,1.11,1.11,1.11,40.6,48.4,32.9,1.99
199804,1,431,4.93,1.46,1.46,1.46,52.6,62.7,42.5,1.39
199805,130,106,4.78,1.31,1.31,1.22,67.4,77.8,57.0,-0.02
199806,175,28,7.64,2.6,2.6,2.6,71.8,81.5,62.0,4.27
199807,282,0,3.47,2.34,2.34,2.29,75.4,85.0,65.8,0.04
199808,278,8,3.3,2.09,2.09,1.96,74.8,84.9,64.7,-0.03
199809,149,29,2.28,1.31,1.31,0.41,70.9,82.8,59.0,-1.68
199810,13,322,4.23,1.62,1.62,1.24,56.6,67.7,45.4,1.34
199811,0,627,2.45,1.28,1.28,0.63,45.6,55.0,36.2,-0.55
199812,0,960,1.56,0.84,0.84,-0.19,35.1,44.1,26.1,-0.92
199901,0,1345,4.21,1.81,1.81,1.81,25.1,33.3,16.8,3.19
