Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1316,3.04,3.11,3.11,3.11,23.1,31.6,14.6,0.74
199702,0,863,3.28,3.26,3.26,3.26,34.7,42.5,27.0,1.4
199703,1,722,4.81,3.4,3.4,3.4,42.3,52.4,32.2,1.42
199704,0,555,2.07,2.55,2.55,1.89,46.9,59.1,34.6,-1.5
199705,19,306,5.71,3.11,3.11,3.11,56.2,67.3,45.0,2.48
199706,150,29,5.5,3.49,3.49,3.49,69.2,78.4,60.0,2.09
199707,267,3,2.95,2.84,2.84,2.44,73.8,84.9,62.7,-0.86
199708,163,27,3.96,2.98,2.98,2.98,69.8,80.0,59.6,1.29
199709,73,89,2.26,-0.25,2.42,2.04,64.8,76.9,52.7,-0.76
199710,7,370,1.61,-0.66,1.73,0.78,53.6,65.4,41.8,-1.3
199711,0,803,2.61,-0.86,1.28,-0.01,38.6,46.0,31.1,-0.81
199712,0,1001,2.0,-1.14,0.79,-0.88,33.0,39.0,26.9,-1.1
199801,0,949,3.04,-0.82,0.91,-0.46,34.8,40.9,28.8,0.61
199802,0,724,1.82,-1.05,-1.05,-1.05,39.4,47.2,31.5,-0.96
199803,0,748,4.24,0.27,-0.68,0.0,41.3,49.7,32.9,0.81
199804,0,387,6.06,1.09,1.09,1.09,52.4,63.1,41.6,2.54
199805,132,96,4.59,0.88,0.88,0.59,66.4,77.3,55.5,-0.28
199806,190,18,7.74,2.31,2.31,2.31,71.1,81.0,61.1,4.56
199807,260,5,4.96,2.65,2.65,2.65,73.6,83.6,63.5,1.74
199808,269,6,3.58,2.6,2.6,2.6,73.7,84.2,63.3,0.65
199809,157,29,1.06,-0.91,1.42,0.19,69.6,82.6,56.6,-2.74
199810,13,310,3.55,-0.62,1.47,0.48,55.7,67.4,44.2,0.59
199811,0,612,2.2,-1.0,0.88,-0.62,44.9,55.0,34.8,-1.31
199812,0,898,2.04,-1.3,-1.3,-1.3,36.4,45.3,27.5,-1.23
199901,0,1200,4.92,0.95,0.95,0.95,27.0,36.1,18.0,2.85
199902,0,816,3.41,1.33,1.33,1.33,36.4,45.2,27.5,1.45
199903,0,891,2.0,-0.53,0.67,-0.33,36.7,47.2,26.3,-1.6
199904,2,356,4.9,-0.16,0.92,0.43,53.6,64.2,43.2,0.96
199905,89,139,3.12,-0.62,-0.62,-0.62,63.6,75.8,51.4,-1.45
199906,217,12,4.13,-0.6,-0.6,-0.6,72.0,82.4,61.7,-0.13
199907,393,0,2.7,-1.23,-1.23,-1.23,77.9,88.7,67.0,-2.07
199908,196,18,2.24,-1.75,-1.75,-1.75,71.2,83.4,58.9,-1.95
199909,86,76,1.36,-2.48,-2.48,-2.48,65.6,81.5,49.7,-2.73
199910,7,367,2.02,-2.84,-2.84,-2.84,53.7,66.4,40.9,-1.82
199911,0,531,1.06,-4.14,-4.14,-4.14,47.8,59.6,35.9,-4.79
199912,0,1006,3.18,-4.25,-4.25,-4.25,33.0,41.4,24.6,-1.61
200001,0,1208,2.54,-4.14,-4.14,-4.14,26.7,35.7,17.6,-0.99
200002,0,811,3.46,-3.41,-3.41,-2.99,36.7,45.8,27.6,0.93
200003,5,621,2.2,-3.83,-3.83,-3.83,45.4,57.1,33.8,-2.34
200004,0,448,3.23,-3.63,-3.63,-3.63,50.4,62.4,38.4,-0.59
200005,97,131,4.53,0.0,-3.26,-3.2,64.2,75.1,53.3,0.0
200006,174,22,6.21,0.93,-2.0,-0.79,70.4,80.7,60.0,2.78
200007,213,9,3.89,1.04,-1.58,-0.13,71.8,82.1,61.6,0.63
200008,218,13,4.41,1.57,-0.78,1.33,72.0,82.5,61.4,1.92
200009,68,94,4.61,2.27,2.27,2.27,64.4,76.2,52.6,2.59
200010,18,268,2.33,2.12,2.12,2.12,57.2,69.3,45.2,0.25
200011,0,748,2.98,2.34,2.34,2.34,40.3,48.8,31.9,1.31
200012,0,1437,3.01,2.35,2.35,2.35,19.2,27.6,10.8,0.73
200101,0,1188,1.02,-0.51,1.59,0.86,26.9,34.6,19.3,-1.54
200102,0,899,2.86,-0.16,1.73,1.34,33.5,41.9,25.0,0.9
200103,0,873,0.97,-1.13,0.56,-1.12,37.2,46.7,27.6,-2.97
200104,12,278,2.75,-1.71,-1.71,-1.71,56.5,68.6,44.5,-2.07
200105,94,134,4.32,-1.6,-1.6,-1.6,64.0,75.7,52.3,-0.2
200106,148,31,4.09,0.12,-1.31,-1.05,69.1,79.6,58.6,0.36
200107,266,3,5.46,0.88,0.88,0.88,73.7,84.8,62.7,2.33
200108,272,6,4.02,1.21,1.21,1.21,73.8,84.4,63.2,1.25
200109,57,109,3.76,1.61,1.61,1.61,63.6,75.4,51.7,1.56
200110,8,366,7.75,3.78,3.78,3.78,53.7,64.4,42.9,7.03
200111,0,489,3.34,3.78,3.78,3.78,49.0,60.7,37.2,1.17
200112,0,883,3.62,3.79,3.79,3.79,36.9,44.5,29.2,1.19
200201,0,966,2.24,3.32,3.32,3.16,34.1,42.8,25.5,-0.25
200202,0,841,2.32,3.0,3.0,2.81,35.2,44.7,25.6,0.06
200203,0,843,4.38,3.13,3.13,3.13,38.3,48.0,28.6,1.32
200204,2,365,5.59,3.41,3.41,3.41,53.5,64.3,42.6,1.81
200205,32,251,7.09,4.28,4.28,4.28,58.4,69.4,47.3,3.67
200206,238,9,3.28,-0.41,3.43,2.89,72.9,84.0,61.8,-1.24
200207,364,0,2.64,-1.07,2.38,1.01,77.0,88.3,65.7,-2.09
200208,297,4,2.82,-1.54,1.55,-0.45,74.8,85.6,64.0,-1.75
200209,148,34,3.75,-1.45,1.33,-0.66,69.2,82.1,56.2,-0.19
200210,4,407,2.87,-1.44,1.05,-0.97,52.4,62.1,42.6,-0.41
200211,0,764,2.35,-1.88,-1.88,-1.88,39.9,48.0,31.7,-1.77
200212,0,1045,2.86,-1.88,-1.88,-1.88,31.7,39.1,24.3,-0.6
200301,0,1363,1.42,-2.06,-2.06,-2.06,21.6,29.8,13.5,-1.12
200302,0,1116,2.74,-1.58,-1.58,-1.15,25.7,33.5,17.9,0.81
200303,1,728,2.16,-2.08,-2.08,-2.08,42.1,53.5,30.7,-1.97
200304,2,370,3.0,-2.29,-2.29,-2.29,53.2,65.1,41.3,-1.27
200305,50,202,6.56,0.93,-1.12,0.17,60.5,70.7,50.3,2.79
200306,111,50,3.26,0.72,-1.13,0.0,67.1,78.0,56.2,-0.35
200307,244,6,8.18,2.59,2.59,2.59,73.0,83.6,62.5,5.86
200308,270,6,3.54,2.54,2.54,2.54,73.8,84.4,63.2,0.63
200309,54,111,6.2,3.88,3.88,3.88,63.4,74.8,52.0,4.81
200310,5,393,2.4,3.82,3.82,3.82,52.9,64.8,41.0,1.03
200311,0,580,4.26,4.26,4.26,4.26,46.0,55.2,36.9,2.5
200312,0,988,2.68,3.92,3.92,3.92,33.5,40.6,26.4,0.29
200401,0,1276,3.48,3.93,3.93,3.93,24.5,32.4,16.6,1.23
200402,0,997,0.83,2.93,2.93,2.18,29.9,38.8,21.1,-1.78
200403,2,659,3.46,2.44,2.44,1.43,44.3,54.0,34.6,-0.57
200404,1,362,1.83,1.29,1.29,-0.73,53.3,65.0,41.7,-2.7
200405,123,107,7.17,1.99,1.99,0.92,65.9,76.2,55.6,2.5
200406,155,30,4.43,2.02,2.02,1.19,69.5,80.0,59.0,0.72
200407,218,8,5.19,2.56,2.56,2.37,72.0,81.8,62.2,2.24
200408,139,36,4.85,3.34,3.34,3.34,68.6,79.1,58.1,3.13
200409,113,52,0.72,2.19,2.19,1.16,67.1,79.8,54.4,-2.42
200410,10,340,4.14,2.62,2.62,2.33,54.8,65.6,43.9,1.97
200411,0,585,4.73,3.25,3.25,3.25,45.9,53.8,37.9,2.69
200412,0,1072,2.57,2.98,2.98,2.98,30.8,39.4,22.3,0.22
200501,0,1112,7.11,4.45,4.45,4.45,29.9,37.3,22.6,5.32
200502,0,859,2.25,0.0,3.99,3.93,34.8,42.8,26.9,0.0
200503,0,876,2.12,-0.5,3.08,2.39,37.3,46.8,27.7,-1.5
200504,4,345,3.04,-0.9,2.31,1.08,54.0,66.0,41.9,-1.34
200505,38,229,2.57,-1.27,1.61,-0.13,59.2,71.6,46.7,-1.39
200506,257,7,3.21,-1.63,0.95,-1.22,73.4,84.4,62.4,-1.48
200507,305,0,4.43,-1.35,0.96,-0.97,75.0,85.8,64.2,0.33
200508,298,3,4.76,-0.78,1.3,-0.15,74.9,85.4,64.4,1.31
200509,149,32,4.1,-0.45,1.41,0.23,69.2,81.4,56.9,0.75
200510,11,323,1.24,-1.08,0.6,-1.04,55.2,65.8,44.7,-2.02
200511,0,625,3.91,-1.02,-1.02,-1.02,44.6,55.2,33.9,-0.15
200512,0,1206,2.15,-1.17,-1.17,-1.17,26.7,33.5,20.0,-0.78
200601,2,817,3.28,0.2,-0.85,-0.38,39.1,46.8,31.3,0.59
200602,0,943,1.62,-0.24,-1.0,-0.88,31.7,41.0,22.4,-0.71
200603,0,772,5.14,0.68,0.68,0.68,40.7,50.1,31.2,2.04
200604,9,302,4.27,0.57,0.57,0.57,55.7,68.2,43.2,-0.12
200605,46,208,5.25,0.98,0.98,0.98,60.1,70.7,49.4,1.41
200606,159,27,4.2,1.01,1.01,1.01,69.8,80.9,58.7,0.39
200607,315,0,4.85,1.34,1.34,1.34,75.4,85.4,65.3,1.3
200608,262,8,4.76,1.9,1.9,1.9,73.6,83.7,63.6,2.1
200609,44,126,4.56,2.61,2.61,2.61,62.5,72.7,52.2,2.71
200610,1,442,5.01,3.76,3.76,3.76,51.1,61.5,40.6,4.25
200611,0,632,3.25,3.88,3.88,3.88,44.1,52.9,35.3,1.53
200612,0,870,4.83,4.35,4.35,4.35,37.3,45.8,28.7,2.59
200701,0,1032,4.75,4.78,4.78,4.78,32.2,39.2,25.2,2.66
200702,0,1281,2.43,4.42,4.42,4.42,20.2,28.7,11.7,0.39
200703,8,588,3.54,-0.27,3.69,3.32,47.0,57.8,36.1,-0.82
200704,0,479,4.15,-0.02,3.53,3.36,49.4,60.5,38.4,0.67
200705,129,99,1.75,-1.14,2.05,0.56,66.2,79.2,53.3,-3.36
200706,218,12,3.28,-1.55,1.31,-0.73,72.1,84.0,60.2,-1.58
200707,214,9,3.17,-1.76,0.81,-1.5,71.9,83.5,60.2,-1.1
200708,354,2,4.55,-1.49,0.81,-1.25,76.8,88.6,65.1,0.26
200709,145,36,2.53,-1.88,-1.88,-1.88,69.0,82.2,55.8,-1.63
200710,38,193,3.81,-1.78,-1.78,-1.78,60.2,71.3,49.1,-0.27
200711,0,703,2.77,-2.08,-2.08,-2.08,41.9,51.6,32.2,-1.45
200712,0,1025,5.06,0.7,-1.17,-0.15,32.5,39.4,25.7,2.09
200801,0,1171,3.23,0.94,-0.73,0.71,27.7,36.7,18.6,0.95
200802,0,1050,4.81,2.05,2.05,2.05,28.2,36.0,20.5,3.61
200803,0,835,6.48,3.17,3.17,3.17,38.6,47.5,29.7,4.0
200804,1,392,3.36,2.61,2.61,2.26,52.3,63.8,40.9,-0.7
200805,29,258,5.68,3.06,3.06,3.06,58.1,69.2,46.9,2.17
200806,218,13,6.58,3.73,3.73,3.73,72.2,83.1,61.4,2.95
200807,254,5,4.32,3.67,3.67,3.67,73.3,84.0,62.6,0.96
200808,198,17,2.01,2.85,2.85,2.28,71.2,82.7,59.6,-1.3
200809,118,50,3.86,2.81,2.81,2.49,67.6,79.8,55.3,0.76
200810,6,368,2.23,2.36,2.36,1.8,53.7,65.9,41.6,-0.49
200811,0,745,2.11,1.73,1.73,0.69,40.5,49.7,31.3,-1.16
200812,0,1134,5.02,2.39,2.39,2.22,29.1,38.4,19.8,2.5
200901,0,1375,1.62,1.86,1.86,1.28,21.3,29.7,13.0,-0.86
200902,0,935,2.8,1.96,1.96,1.68,32.2,41.9,22.4,0.88
200903,2,662,3.23,1.47,1.47,0.8,44.2,55.4,33.0,-0.85
200904,1,420,5.74,2.08,2.08,2.08,51.5,62.2,40.8,2.28
200905,66,171,5.67,2.4,2.4,2.4,62.0,73.2,50.8,1.59
200906,203,16,4.69,2.39,2.39,2.39,71.6,82.0,61.2,0.71
200907,146,25,4.43,2.69,2.69,2.69,69.2,79.0,59.4,1.65
200908,186,19,3.76,2.84,2.84,2.84,70.7,81.1,60.2,1.29
200909,83,78,2.87,2.62,2.62,2.62,65.5,75.9,55.0,0.21
200910,0,460,6.69,4.28,4.28,4.28,50.5,59.5,41.4,5.79
200911,0,572,1.46,-0.23,3.61,3.28,46.3,56.0,36.7,-0.7
200912,0,1089,3.1,0.28,3.52,3.45,30.4,37.3,23.4,0.84
201001,0,1285,1.52,-0.32,2.83,2.33,23.9,30.4,17.5,-0.97
201002,0,1111,1.48,-0.59,2.24,1.35,25.7,33.0,18.5,-0.9
201003,1,675,3.1,-0.84,1.69,0.43,43.6,54.0,33.2,-0.94
201004,14,254,3.16,-1.33,0.95,-0.9,57.3,70.2,44.5,-1.7
201005,98,131,5.49,0.35,1.2,-0.22,64.3,74.8,53.8,1.04
201006,267,7,7.68,1.64,2.41,2.19,74.1,84.3,63.9,4.0
201007,344,0,4.15,1.57,2.26,2.1,76.4,86.9,65.9,0.3
