Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1555,0.96,1.75,1.75,1.75,14.6,23.9,5.2,0.45
199702,0,1109,1.68,2.15,2.15,2.15,25.0,32.5,17.5,1.76
199703,0,853,1.32,1.6,1.6,1.08,37.2,47.9,26.4,-1.0
199704,0,612,2.63,1.57,1.57,1.17,44.3,55.5,33.1,0.4
199705,15,348,4.03,1.79,1.79,1.79,54.2,66.2,42.3,1.15
199706,187,27,4.38,-0.13,1.47,1.21,70.4,82.2,58.7,-0.39
199707,268,10,2.95,-0.36,1.08,0.4,73.4,83.7,63.0,-0.74
199708,171,36,2.76,-0.71,0.58,-0.67,69.5,79.8,59.1,-1.16
199709,75,99,3.11,-0.93,-0.93,-0.93,64.2,75.8,52.6,-0.87
199710,6,408,3.37,-0.48,-0.48,-0.48,52.1,63.8,40.4,1.05
199711,0,952,1.02,-0.7,-0.7,-0.7,32.9,40.2,25.6,-0.82
199712,0,1163,1.0,-0.76,-0.76,-0.76,27.4,33.3,21.6,-0.38
199801,0,1278,1.05,0.08,0.08,-0.61,23.5,30.2,16.8,0.23
199802,0,833,1.63,0.53,0.53,0.53,34.8,41.2,28.5,1.39
199803,0,976,3.65,1.47,1.47,1.47,32.8,40.0,25.6,2.97
199804,0,457,3.94,1.77,1.77,1.77,49.7,59.8,39.6,1.37
199805,120,116,4.3,1.49,1.49,1.28,65.0,76.3,53.8,-0.29
199806,125,58,7.91,2.83,2.83,2.83,67.1,76.8,57.4,4.46
199807,282,8,3.16,2.39,2.39,2.14,73.8,83.9,63.7,-0.44
199808,261,13,5.01,2.59,2.59,2.59,72.9,82.4,63.4,1.35
199809,139,46,2.06,1.68,1.68,0.8,68.2,80.8,55.7,-1.93
199810,9,380,4.83,2.52,2.52,2.52,53.1,63.5,42.7,3.04
199811,0,723,1.61,2.31,2.31,2.31,40.7,49.6,31.9,0.16
199812,0,1095,0.42,1.88,1.88,1.56,29.4,39.5,19.2,-0.58
199901,0,1487,1.29,2.04,2.04,2.04,17.0,25.0,9.1,1.05
199902,0,892,0.91,1.92,1.92,1.92,32.9,41.1,24.7,0.28
199903,0,895,0.98,1.26,1.26,0.53,36.3,47.0,25.6,-1.4
199904,0,444,6.26,2.63,2.63,2.63,50.0,59.6,40.3,4.52
199905,60,191,4.89,2.76,2.76,2.76,60.5,70.8,50.1,1.2
199906,161,37,5.29,2.8,2.8,2.8,68.9,78.7,59.0,0.97
199907,372,1,5.21,3.1,3.1,3.1,76.8,87.2,66.3,1.77
199908,182,31,3.11,-0.06,2.72,2.59,70.0,80.6,59.3,-0.18
199909,39,148,1.84,-0.51,1.98,1.23,61.3,74.6,48.1,-1.37
199910,4,439,0.77,-1.1,1.14,-0.4,50.9,64.9,36.8,-1.92
199911,0,623,1.02,-1.73,-1.73,-1.73,44.3,57.0,31.4,-2.24
199912,0,1182,0.71,-2.05,-2.05,-2.05,27.0,37.0,17.0,-1.49
200001,0,1347,0.73,-2.18,-2.18,-2.18,21.6,31.5,11.8,-1.03
200002,0,913,1.37,-1.89,-1.89,-1.74,32.5,42.0,23.0,0.19
200003,8,682,1.0,-2.62,-2.62,-2.62,43.1,54.6,31.5,-2.77
200004,0,465,2.03,-2.88,-2.88,-2.88,49.4,62.2,36.6,-1.57
200005,85,155,3.6,-2.89,-2.89,-2.89,62.8,74.9,50.7,-0.93
200006,133,52,6.56,0.88,-1.71,-0.55,67.7,78.7,56.7,2.65
200007,232,14,4.09,1.11,-1.22,0.32,72.2,81.8,62.6,0.95
200008,251,15,2.62,-0.4,-1.49,-0.45,72.7,83.0,62.5,-1.2
200009,84,89,2.11,-0.94,-1.92,-1.48,64.6,78.0,51.3,-1.76
200010,15,323,1.8,-1.27,-2.15,-2.1,54.8,66.2,43.4,-1.28
200011,0,964,2.15,0.06,-1.87,-1.68,32.2,40.4,24.0,0.17
200012,0,1697,1.67,0.26,-1.47,-0.95,10.0,18.6,1.4,0.62
200101,0,1369,1.42,0.57,-0.99,0.01,20.8,29.1,12.5,1.01
200102,0,1297,2.16,1.39,1.39,1.39,18.1,26.9,9.2,2.64
200103,0,1072,1.3,1.08,1.08,0.72,30.2,38.4,22.0,-0.5
200104,7,365,3.6,1.11,1.11,0.9,52.7,65.1,40.3,0.42
200105,64,184,7.04,2.27,2.27,2.27,60.9,71.1,50.8,3.82
200106,142,46,4.07,-0.14,1.89,1.64,68.3,78.9,57.7,-0.42
200107,316,4,3.12,-0.37,1.45,0.81,75.1,85.4,64.7,-0.74
200108,249,15,2.97,-0.78,0.86,-0.39,72.5,83.5,61.5,-1.34
200109,38,152,4.07,-0.53,0.94,-0.07,61.2,72.3,50.1,0.52
200110,1,463,2.46,-0.35,0.97,0.12,50.2,61.7,38.7,0.39
200111,2,510,1.55,-0.8,-0.8,-0.8,48.0,59.0,36.9,-1.46
200112,0,1054,0.83,-0.97,-0.97,-0.97,30.7,39.7,21.8,-0.78
200201,0,1113,0.4,-1.24,-1.24,-1.24,28.6,38.8,18.4,-1.11
200202,0,979,0.89,-1.17,-1.17,-1.17,29.8,39.7,19.9,-0.18
200203,0,1034,1.16,-1.34,-1.34,-1.34,31.0,41.6,20.5,-0.85
200204,0,485,3.62,0.35,-0.84,-0.15,48.9,60.3,37.4,1.06
200205,28,277,4.1,0.59,0.59,0.59,56.8,69.1,44.6,0.82
200206,232,17,3.51,-0.59,-0.59,-0.59,72.4,83.3,61.4,-1.78
200207,353,1,4.24,0.06,0.06,-0.48,76.5,87.4,65.6,0.17
200208,205,25,5.81,0.81,0.81,0.81,70.9,81.6,60.1,2.29
200209,94,79,1.71,0.07,0.07,-0.66,65.3,77.8,52.8,-1.98
200210,0,570,3.58,0.78,0.78,0.78,46.2,56.0,36.4,2.16
200211,0,904,0.22,-0.49,-0.49,-0.49,34.7,44.6,24.8,-1.46
200212,0,1116,0.24,-0.92,-0.92,-0.92,28.9,39.1,18.7,-1.46
200301,0,1424,0.39,-1.17,-1.17,-1.17,19.1,28.7,9.4,-1.03
200302,0,1249,0.82,-1.12,-1.12,-1.12,20.4,31.2,9.6,-0.21
200303,0,931,1.15,-1.36,-1.36,-1.36,35.1,46.0,24.1,-1.06
200304,1,439,3.25,0.1,-1.11,-0.85,50.4,62.3,38.5,0.31
200305,34,252,4.61,0.52,-0.57,0.48,57.9,69.2,46.6,1.28
200306,125,57,4.48,0.55,0.55,0.55,67.3,78.4,56.1,0.24
200307,256,11,4.11,0.78,0.78,0.78,73.0,84.0,62.2,0.86
200308,290,10,1.03,-1.13,-1.13,-1.13,74.1,86.4,61.9,-3.39
200309,38,150,3.11,-1.25,-1.25,-1.25,61.1,74.0,48.1,-0.71
200310,7,403,1.0,-1.86,-1.86,-1.86,52.4,65.8,38.9,-2.22
200311,0,860,3.46,0.43,-1.24,-0.55,35.9,44.7,27.1,1.29
200312,0,1134,1.28,0.39,-1.11,-0.38,28.2,35.7,20.6,0.0
200401,0,1459,0.96,0.37,-0.97,-0.17,17.7,26.7,8.7,0.08
200402,0,1173,1.17,0.59,-0.61,0.52,22.7,30.9,14.5,0.77
200403,2,749,3.75,1.25,1.25,1.25,40.8,50.0,31.6,2.16
200404,2,421,1.85,-0.57,-0.57,-0.57,51.1,64.5,37.7,-1.72
200405,62,191,7.74,1.57,1.57,1.57,60.7,71.9,49.4,4.71
200406,124,58,3.55,1.13,1.13,0.62,66.9,77.4,56.5,-0.83
200407,193,23,4.33,1.47,1.47,1.47,70.5,80.5,60.5,1.37
200408,111,74,4.56,1.93,1.93,1.93,66.2,77.1,55.4,1.85
200409,106,67,2.66,1.51,1.51,1.11,66.4,79.1,53.7,-0.69
200410,6,413,2.05,1.32,1.32,0.83,51.9,62.7,41.2,-0.08
200411,0,726,2.21,1.38,1.38,1.1,40.6,49.7,31.5,0.58
200412,0,1191,0.58,1.09,1.09,0.55,26.6,36.1,17.0,-0.45
200501,0,1423,1.31,1.34,1.34,1.19,18.9,26.2,11.6,1.08
200502,0,945,1.52,1.69,1.69,1.69,31.2,39.6,22.8,1.46
200503,0,896,1.05,-0.42,1.09,0.39,36.0,47.0,25.0,-1.26
200504,9,352,3.45,-0.34,1.01,0.32,53.4,65.3,41.4,0.1
200505,33,260,3.85,-0.19,1.03,0.45,57.8,69.4,46.2,0.35
200506,250,13,5.25,-0.07,1.02,0.55,72.6,83.4,61.9,0.31
200507,305,6,3.27,-0.21,0.77,0.06,74.7,86.0,63.5,-0.45
200508,222,21,3.02,-0.51,-0.51,-0.51,71.5,82.9,60.0,-0.96
200509,129,51,3.29,-0.77,-0.77,-0.77,67.6,80.2,55.0,-0.95
200510,8,390,0.91,-1.43,-1.43,-1.43,52.6,64.9,40.3,-2.2
200511,0,760,1.75,-1.66,-1.66,-1.66,39.6,50.3,28.9,-1.14
200512,0,1415,1.17,-1.71,-1.71,-1.71,19.5,26.4,12.7,-0.67
