Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1141,0.22,1.84,1.84,1.36,28.6,41.1,16.1,-0.29
199702,0,827,2.13,2.63,2.63,2.63,34.8,44.7,24.8,2.95
199703,10,571,0.42,1.86,1.86,1.16,46.6,61.9,31.3,-1.51
199704,0,458,2.83,2.18,2.18,2.06,48.6,60.7,36.5,1.53
199705,47,172,3.31,2.09,2.09,2.08,60.7,74.4,47.0,0.41
199706,245,16,4.25,2.2,2.2,2.2,72.3,84.4,60.2,0.98
199707,418,0,3.21,2.38,2.38,2.38,78.2,90.7,65.8,1.23
199708,330,9,4.8,3.19,3.19,3.19,75.1,86.4,63.8,3.16
199709,192,37,2.89,3.02,3.02,3.02,69.9,82.2,57.6,0.46
199710,22,244,3.22,3.37,3.37,3.37,56.8,69.1,44.6,2.0
199711,0,721,0.92,3.08,3.08,3.08,40.2,51.1,29.3,0.16
199712,0,994,2.09,3.73,3.73,3.73,32.2,39.9,24.6,2.91
199801,0,1002,0.6,3.6,3.6,3.6,32.6,42.1,23.1,0.77
199802,0,701,0.96,3.51,3.51,3.51,39.6,49.2,30.1,0.83
199803,0,821,3.2,4.17,4.17,4.17,38.2,48.0,28.4,3.08
199804,5,374,2.28,3.86,3.86,3.86,51.9,64.2,39.6,0.35
199805,173,45,2.06,2.63,2.63,1.61,67.9,81.3,54.5,-2.48
199806,295,10,2.9,2.02,2.02,0.57,73.6,87.6,59.7,-1.04
199807,452,0,6.37,2.86,2.86,2.56,79.6,90.6,68.5,3.16
199808,420,3,1.94,2.24,2.24,1.53,77.9,90.3,65.5,-0.97
199809,314,12,3.08,1.88,1.88,1.0,74.4,88.0,60.9,-0.38
199810,30,213,4.23,2.62,2.62,2.62,58.5,70.7,46.2,2.78
199811,0,504,4.11,3.75,3.75,3.75,47.1,57.7,36.4,4.22
199812,0,920,0.58,3.47,3.47,3.47,34.5,46.4,22.6,0.32
199901,0,1070,1.35,3.84,3.84,3.84,31.7,42.8,20.6,2.18
199902,5,621,0.49,3.32,3.32,3.11,42.8,56.3,29.2,-0.39
199903,0,677,1.7,3.18,3.18,3.16,42.8,54.6,31.0,0.63
199904,10,315,5.18,4.26,4.26,4.26,53.5,65.0,42.0,4.2
199905,83,118,4.42,4.29,4.29,4.29,63.1,75.5,50.7,1.41
199906,218,21,5.31,4.6,4.6,4.6,71.0,81.9,60.1,2.25
199907,492,0,2.73,4.32,4.32,4.32,80.4,92.4,68.5,0.59
199908,402,4,3.22,4.15,4.15,4.15,77.5,90.1,64.8,0.82
199909,112,88,3.28,4.1,4.1,4.1,65.4,77.7,53.1,1.15
199910,19,261,0.61,-0.55,3.13,2.44,56.5,72.0,40.9,-1.64
199911,6,410,0.76,-1.03,2.27,0.92,50.4,66.2,34.6,-1.62
199912,0,873,1.21,-0.85,2.11,0.85,36.8,48.9,24.8,0.23
200001,0,987,0.42,-1.01,1.65,0.13,33.3,45.5,21.1,-0.74
200002,0,664,1.61,0.21,1.69,0.42,41.0,54.8,27.3,0.63
200003,11,558,4.16,1.09,2.42,1.95,46.3,57.6,35.0,2.71
200004,9,322,1.35,-0.42,1.75,0.82,53.8,68.5,39.2,-1.25
200005,137,67,2.67,-0.91,1.04,-0.43,66.5,79.5,53.4,-1.6
200006,229,19,4.25,-0.6,1.15,-0.06,72.0,84.5,59.5,0.65
200007,429,1,3.68,-0.2,1.36,0.48,79.0,91.4,66.6,1.0
200008,590,0,0.62,-1.36,-1.36,-1.36,83.0,97.2,68.7,-3.52
200009,234,24,1.01,-2.18,-2.18,-2.18,71.1,87.1,55.2,-2.88
200010,41,183,3.98,0.69,-1.26,-0.27,59.4,71.0,47.7,2.06
200011,0,813,1.24,0.71,-1.04,0.08,36.8,47.9,25.6,0.27
200012,0,1318,0.49,0.42,-1.15,-0.3,24.2,34.7,13.7,-0.65
200101,0,1070,1.31,0.73,-0.68,0.58,31.0,41.9,20.1,1.06
200102,0,949,2.46,1.73,1.73,1.73,30.4,40.2,20.6,3.23
200103,0,745,1.48,1.64,1.64,1.64,41.1,51.9,30.3,0.26
200104,33,196,1.81,1.04,1.04,0.31,58.3,71.7,44.9,-1.29
200105,121,81,5.26,1.58,1.58,1.58,65.1,77.5,52.7,1.96
200106,254,15,3.81,1.57,1.57,1.57,72.9,85.3,60.5,0.45
200107,556,0,3.71,1.8,1.8,1.8,83.0,95.9,70.1,1.18
200108,450,1,2.4,-0.23,1.39,0.98,79.0,92.7,65.3,-0.69
200109,146,63,3.55,0.33,1.57,1.57,67.9,80.9,54.8,0.98
200110,17,268,1.11,-0.37,1.03,0.37,56.2,70.5,42.0,-1.12
200111,4,434,0.58,-0.98,-0.98,-0.98,49.2,62.0,36.5,-1.93
200112,0,844,0.27,-1.45,-1.45,-1.45,36.9,50.3,23.5,-1.71
200201,0,956,1.06,-1.29,-1.29,-1.19,33.8,47.3,20.2,0.03
200202,0,794,0.42,-1.6,-1.6,-1.6,35.9,48.8,22.9,-1.34
200203,0,765,0.53,-2.1,-2.1,-2.1,39.2,54.1,24.4,-1.99
200204,18,258,2.34,-2.12,-2.12,-2.12,56.4,69.9,42.8,-0.72
200205,62,145,3.9,-2.06,-2.06,-2.06,62.1,75.2,49.0,-0.46
200206,343,4,2.74,-2.64,-2.64,-2.64,76.9,89.7,64.2,-2.38
200207,486,0,1.72,-3.37,-3.37,-3.37,80.7,93.8,67.6,-3.01
200208,430,1,3.09,-3.37,-3.37,-3.37,78.4,90.7,66.1,-1.05
200209,226,26,1.5,-3.79,-3.79,-3.79,70.4,84.0,56.8,-2.29
200210,1,432,4.43,-2.18,-2.18,-0.69,50.5,60.6,40.3,3.67
200211,0,670,0.24,-2.41,-2.41,-1.43,42.4,54.7,30.0,-1.36
200212,0,906,0.47,-2.46,-2.46,-1.79,35.5,47.6,23.4,-0.91
200301,0,1068,0.18,-2.6,-2.6,-2.29,31.8,44.3,19.3,-1.18
200302,0,932,1.15,-2.19,-2.19,-1.68,31.3,43.1,19.6,0.42
200303,3,645,2.22,-1.89,-1.89,-1.25,44.2,56.7,31.6,0.23
200304,17,261,3.23,-1.41,-1.41,-0.44,56.1,69.2,42.8,0.86
200305,77,125,3.47,-1.29,-1.29,-0.35,62.9,75.5,50.3,-0.08
200306,198,27,4.19,-0.86,-0.86,0.35,70.4,82.2,58.7,0.89
200307,517,0,0.85,-1.46,-1.46,-0.85,81.8,96.0,67.5,-2.05
